.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR27961772_1	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR27961772_2	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR27961773_1	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR27961773_2	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR27961774_1	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR27961774_2	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR27961775_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR27961775_2	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR27961776_1	1	1	1	1	0.25	0.5	1	1	0.5	0.25	1
SRR27961776_2	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR27961777_1	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR27961777_2	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR27961778_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR27961778_2	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR27961779_1	1	1	1	1	0.25	1	1	1	0.5	0.25	1
SRR27961779_2	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR27961780_1	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR27961780_2	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR27961781_1	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR27961781_2	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR27961782_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR27961782_2	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR27961783_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR27961783_2	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR27961784_1	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR27961784_2	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR27961785_1	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR27961785_2	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR27961786_1	1	1	1	1	0.25	1	1	1	0.5	0.25	1
SRR27961786_2	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR27961787_1	1	1	1	1	0.25	1	1	1	0.5	0.25	1
SRR27961787_2	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR27961788_1	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR27961788_2	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR27961789_1	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR27961789_2	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR27961790_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR27961790_2	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR27961791_1	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR27961791_2	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR27961792_1	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR27961792_2	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR27961793_1	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR27961793_2	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR27961794_1	1	1	1	1	0.25	0.5	1	1	0.5	0.25	1
SRR27961794_2	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR27961795_1	1	1	1	1	0.25	0.5	1	1	0.5	0.25	1
SRR27961795_2	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR27961796_1	1	1	1	1	0.25	1	1	1	1	0.5	1
SRR27961796_2	1	1	1	1	0.25	1	1	1	1	1	1
SRR27961797_1	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR27961797_2	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR27961798_1	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR27961798_2	1	1	1	1	0.25	1	1	1	0.5	0.5	1
