Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
SRR27961777_1	(15.0, 2.0)	(16.0, 15.0)	(17.0, 127.0)	(18.0, 553.0)	(19.0, 1488.0)	(20.0, 3247.0)	(21.0, 5229.0)	(22.0, 8432.0)	(23.0, 12324.0)	(24.0, 17448.0)	(25.0, 24928.0)	(26.0, 35294.0)	(27.0, 48904.0)	(28.0, 65992.0)	(29.0, 88017.0)	(30.0, 113510.0)	(31.0, 147605.0)	(32.0, 201191.0)	(33.0, 314817.0)	(34.0, 713697.0)	(35.0, 9100103.0)													
SRR27961777_2	(2.0, 123.0)	(3.0, 76.0)	(4.0, 74.0)	(5.0, 75.0)	(6.0, 47.0)	(7.0, 65.0)	(8.0, 70.0)	(9.0, 108.0)	(10.0, 110.0)	(11.0, 79.0)	(12.0, 97.0)	(13.0, 102.0)	(14.0, 1010.0)	(15.0, 5958.0)	(16.0, 17825.0)	(17.0, 20898.0)	(18.0, 13743.0)	(19.0, 11953.0)	(20.0, 11966.0)	(21.0, 13467.0)	(22.0, 16310.0)	(23.0, 20633.0)	(24.0, 27435.0)	(25.0, 36518.0)	(26.0, 46897.0)	(27.0, 61292.0)	(28.0, 78121.0)	(29.0, 98917.0)	(30.0, 124373.0)	(31.0, 159861.0)	(32.0, 216580.0)	(33.0, 337855.0)	(34.0, 761696.0)	(35.0, 8818589.0)
SRR27961778_1	(15.0, 2.0)	(16.0, 10.0)	(17.0, 91.0)	(18.0, 321.0)	(19.0, 950.0)	(20.0, 2112.0)	(21.0, 3893.0)	(22.0, 6528.0)	(23.0, 10252.0)	(24.0, 15923.0)	(25.0, 24645.0)	(26.0, 36360.0)	(27.0, 52472.0)	(28.0, 71893.0)	(29.0, 96740.0)	(30.0, 127726.0)	(31.0, 168112.0)	(32.0, 228680.0)	(33.0, 357638.0)	(34.0, 820842.0)	(35.0, 10026952.0)													
SRR27961778_2	(2.0, 147.0)	(3.0, 68.0)	(4.0, 70.0)	(5.0, 65.0)	(6.0, 64.0)	(7.0, 50.0)	(8.0, 71.0)	(9.0, 105.0)	(10.0, 94.0)	(11.0, 115.0)	(12.0, 104.0)	(13.0, 120.0)	(14.0, 1258.0)	(15.0, 10234.0)	(16.0, 36733.0)	(17.0, 43435.0)	(18.0, 21715.0)	(19.0, 13126.0)	(20.0, 11711.0)	(21.0, 12620.0)	(22.0, 15202.0)	(23.0, 19904.0)	(24.0, 26846.0)	(25.0, 36717.0)	(26.0, 49621.0)	(27.0, 65737.0)	(28.0, 84271.0)	(29.0, 107524.0)	(30.0, 134976.0)	(31.0, 174944.0)	(32.0, 237622.0)	(33.0, 375173.0)	(34.0, 858867.0)	(35.0, 9712833.0)
SRR27961779_1	(15.0, 1.0)	(16.0, 17.0)	(17.0, 52.0)	(18.0, 264.0)	(19.0, 796.0)	(20.0, 1862.0)	(21.0, 3492.0)	(22.0, 5981.0)	(23.0, 9655.0)	(24.0, 15486.0)	(25.0, 24093.0)	(26.0, 36837.0)	(27.0, 52857.0)	(28.0, 73542.0)	(29.0, 98526.0)	(30.0, 130649.0)	(31.0, 176102.0)	(32.0, 249967.0)	(33.0, 412284.0)	(34.0, 900299.0)	(35.0, 8612793.0)													
SRR27961779_2	(2.0, 124.0)	(3.0, 52.0)	(4.0, 66.0)	(5.0, 69.0)	(6.0, 70.0)	(7.0, 73.0)	(8.0, 76.0)	(9.0, 106.0)	(10.0, 112.0)	(11.0, 87.0)	(12.0, 102.0)	(13.0, 98.0)	(14.0, 1944.0)	(15.0, 14778.0)	(16.0, 36932.0)	(17.0, 45135.0)	(18.0, 36364.0)	(19.0, 27089.0)	(20.0, 21507.0)	(21.0, 18918.0)	(22.0, 19947.0)	(23.0, 24540.0)	(24.0, 32688.0)	(25.0, 44958.0)	(26.0, 61202.0)	(27.0, 80862.0)	(28.0, 105778.0)	(29.0, 138910.0)	(30.0, 183132.0)	(31.0, 252067.0)	(32.0, 374158.0)	(33.0, 642925.0)	(34.0, 1465274.0)	(35.0, 7175412.0)
SRR27961780_1	(15.0, 2.0)	(16.0, 23.0)	(17.0, 196.0)	(18.0, 820.0)	(19.0, 2075.0)	(20.0, 4269.0)	(21.0, 6711.0)	(22.0, 10083.0)	(23.0, 14884.0)	(24.0, 21391.0)	(25.0, 30964.0)	(26.0, 47291.0)	(27.0, 74911.0)	(28.0, 110040.0)	(29.0, 129968.0)	(30.0, 127652.0)	(31.0, 145237.0)	(32.0, 191998.0)	(33.0, 291238.0)	(34.0, 635698.0)	(35.0, 9306009.0)													
SRR27961780_2	(2.0, 155.0)	(3.0, 72.0)	(4.0, 70.0)	(5.0, 64.0)	(6.0, 63.0)	(7.0, 73.0)	(8.0, 84.0)	(9.0, 100.0)	(10.0, 99.0)	(11.0, 106.0)	(12.0, 103.0)	(13.0, 126.0)	(14.0, 2032.0)	(15.0, 17143.0)	(16.0, 61322.0)	(17.0, 71032.0)	(18.0, 35839.0)	(19.0, 22461.0)	(20.0, 20121.0)	(21.0, 19471.0)	(22.0, 20127.0)	(23.0, 22883.0)	(24.0, 27800.0)	(25.0, 35964.0)	(26.0, 46551.0)	(27.0, 60492.0)	(28.0, 76974.0)	(29.0, 97580.0)	(30.0, 122983.0)	(31.0, 157298.0)	(32.0, 210452.0)	(33.0, 319669.0)	(34.0, 695651.0)	(35.0, 9006500.0)
SRR27961781_1	(16.0, 17.0)	(17.0, 118.0)	(18.0, 405.0)	(19.0, 1145.0)	(20.0, 2585.0)	(21.0, 4668.0)	(22.0, 8086.0)	(23.0, 13138.0)	(24.0, 19736.0)	(25.0, 31703.0)	(26.0, 60403.0)	(27.0, 69618.0)	(28.0, 68848.0)	(29.0, 89569.0)	(30.0, 115240.0)	(31.0, 149312.0)	(32.0, 203246.0)	(33.0, 316166.0)	(34.0, 719193.0)	(35.0, 9344292.0)														
SRR27961781_2	(2.0, 147.0)	(3.0, 68.0)	(4.0, 56.0)	(5.0, 80.0)	(6.0, 65.0)	(7.0, 63.0)	(8.0, 88.0)	(9.0, 100.0)	(10.0, 112.0)	(11.0, 101.0)	(12.0, 98.0)	(13.0, 106.0)	(14.0, 1044.0)	(15.0, 7376.0)	(16.0, 24359.0)	(17.0, 29116.0)	(18.0, 16348.0)	(19.0, 11384.0)	(20.0, 11244.0)	(21.0, 12138.0)	(22.0, 14965.0)	(23.0, 19433.0)	(24.0, 26063.0)	(25.0, 35298.0)	(26.0, 47100.0)	(27.0, 61607.0)	(28.0, 79039.0)	(29.0, 100624.0)	(30.0, 127306.0)	(31.0, 163323.0)	(32.0, 219082.0)	(33.0, 335825.0)	(34.0, 734133.0)	(35.0, 9139597.0)
SRR27961782_1	(15.0, 1.0)	(16.0, 20.0)	(17.0, 113.0)	(18.0, 435.0)	(19.0, 1423.0)	(20.0, 3155.0)	(21.0, 5956.0)	(22.0, 10214.0)	(23.0, 15043.0)	(24.0, 19914.0)	(25.0, 26094.0)	(26.0, 34841.0)	(27.0, 46206.0)	(28.0, 60316.0)	(29.0, 78522.0)	(30.0, 101342.0)	(31.0, 130703.0)	(32.0, 178852.0)	(33.0, 285473.0)	(34.0, 629682.0)	(35.0, 8182042.0)													
SRR27961782_2	(2.0, 104.0)	(3.0, 68.0)	(4.0, 63.0)	(5.0, 66.0)	(6.0, 57.0)	(7.0, 65.0)	(8.0, 74.0)	(9.0, 86.0)	(10.0, 87.0)	(11.0, 71.0)	(12.0, 82.0)	(13.0, 93.0)	(14.0, 1031.0)	(15.0, 6685.0)	(16.0, 20937.0)	(17.0, 24626.0)	(18.0, 14789.0)	(19.0, 11402.0)	(20.0, 11588.0)	(21.0, 13056.0)	(22.0, 16513.0)	(23.0, 21346.0)	(24.0, 27383.0)	(25.0, 34994.0)	(26.0, 43699.0)	(27.0, 54868.0)	(28.0, 68591.0)	(29.0, 86960.0)	(30.0, 108174.0)	(31.0, 139421.0)	(32.0, 187165.0)	(33.0, 286066.0)	(34.0, 637207.0)	(35.0, 7992930.0)
SRR27961783_1	(14.0, 1.0)	(15.0, 1.0)	(16.0, 12.0)	(17.0, 81.0)	(18.0, 366.0)	(19.0, 1200.0)	(20.0, 3176.0)	(21.0, 6858.0)	(22.0, 12002.0)	(23.0, 16988.0)	(24.0, 20524.0)	(25.0, 24198.0)	(26.0, 29693.0)	(27.0, 38043.0)	(28.0, 49613.0)	(29.0, 64160.0)	(30.0, 82426.0)	(31.0, 110267.0)	(32.0, 154404.0)	(33.0, 257403.0)	(34.0, 588867.0)	(35.0, 6666032.0)												
SRR27961783_2	(2.0, 121.0)	(3.0, 46.0)	(4.0, 45.0)	(5.0, 54.0)	(6.0, 40.0)	(7.0, 51.0)	(8.0, 61.0)	(9.0, 72.0)	(10.0, 68.0)	(11.0, 73.0)	(12.0, 63.0)	(13.0, 100.0)	(14.0, 1055.0)	(15.0, 8093.0)	(16.0, 27907.0)	(17.0, 32412.0)	(18.0, 16341.0)	(19.0, 10535.0)	(20.0, 10604.0)	(21.0, 12906.0)	(22.0, 17314.0)	(23.0, 22393.0)	(24.0, 27790.0)	(25.0, 33937.0)	(26.0, 40754.0)	(27.0, 48898.0)	(28.0, 59759.0)	(29.0, 74327.0)	(30.0, 92800.0)	(31.0, 120387.0)	(32.0, 163681.0)	(33.0, 258110.0)	(34.0, 593533.0)	(35.0, 6451985.0)
SRR27961784_1	(16.0, 11.0)	(17.0, 26.0)	(18.0, 150.0)	(19.0, 396.0)	(20.0, 1030.0)	(21.0, 2116.0)	(22.0, 4030.0)	(23.0, 7041.0)	(24.0, 11750.0)	(25.0, 18107.0)	(26.0, 27845.0)	(27.0, 40069.0)	(28.0, 54832.0)	(29.0, 73547.0)	(30.0, 95699.0)	(31.0, 125966.0)	(32.0, 172004.0)	(33.0, 271868.0)	(34.0, 621404.0)	(35.0, 7653620.0)														
