Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR26260919_1	70.91582332100873	46.0	131.3277303835345	147	9.090909090909092	17721796.0
SRR26260919_2	66.68788496910128	46.0	131.57302013859092	147	27.27272727272727	17721796.0
SRR26260920_1	70.60461385872873	48.0	123.26973281151926	137	27.27272727272727	17037486.0
SRR26260920_2	67.76595463342724	49.0	123.69932465388379	142	45.45454545454545	17037486.0
SRR26260921_1	74.69877633040696	48.0	127.59325479261067	142	36.36363636363637	16138125.0
SRR26260921_2	69.95094951586533	49.0	127.95114488207273	142	45.45454545454545	16138125.0
SRR26260922_1	63.82871476700057	48.0	130.93757927150713	147	18.181818181818183	16298416.0
SRR26260922_2	56.553483471390194	48.0	131.34879009101252	147	18.181818181818183	16298416.0
SRR26260923_1	61.909691837233325	51.0	122.62250861366263	132	36.36363636363637	11983288.0
SRR26260923_2	60.29202079263056	51.0	122.94522972326126	132	36.36363636363637	11983288.0
SRR26260924_1	64.66729244378581	50.0	129.44583554844576	142	18.181818181818183	17414466.0
SRR26260924_2	60.461744667531235	51.0	129.96139169584643	142	18.181818181818183	17414466.0
SRR26260925_1	63.671820089844175	50.0	131.0680287169127	147	18.181818181818183	16053397.0
SRR26260925_2	58.52421676634752	51.0	131.47058744015362	147	18.181818181818183	16053397.0
SRR26260926_1	62.67838166751405	50.0	129.9919251041408	142	27.27272727272727	16394391.0
SRR26260926_2	59.02167232436046	51.0	130.43694620922486	142	18.181818181818183	16394391.0
SRR26260927_1	64.37196260930207	50.0	129.5861487205647	142	18.181818181818183	16700219.0
SRR26260927_2	60.664008542231514	50.0	129.9772262267938	142	18.181818181818183	16700219.0
