Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
SRR26260925_2	(35, 20039.0)	(40, 2437.0)	(45, 4810.0)	(50, 10227.0)	(55, 17081.0)	(60, 30933.0)	(65, 52014.0)	(70, 81550.0)	(75, 128799.0)	(80, 183828.0)	(85, 270336.0)	(90, 345649.0)	(95, 468111.0)	(100, 541168.0)	(105, 658660.0)	(110, 685994.0)	(115, 764253.0)	(120, 729568.0)	(125, 753549.0)	(130, 686438.0)	(135, 689003.0)	(140, 641769.0)	(145, 8287181.0)	
SRR26260926_1	(35, 166870.0)	(40, 2604.0)	(45, 5127.0)	(50, 10678.0)	(55, 17917.0)	(60, 31069.0)	(65, 50180.0)	(70, 79074.0)	(75, 120884.0)	(80, 180242.0)	(85, 259144.0)	(90, 348236.0)	(95, 469349.0)	(100, 568762.0)	(105, 699364.0)	(110, 755851.0)	(115, 838869.0)	(120, 832088.0)	(125, 845926.0)	(130, 796245.0)	(135, 775693.0)	(140, 704949.0)	(145, 7835270.0)	
SRR26260926_2	(35, 162935.0)	(40, 2556.0)	(45, 5062.0)	(50, 10487.0)	(55, 17612.0)	(60, 30596.0)	(65, 49365.0)	(70, 77743.0)	(75, 118303.0)	(80, 176365.0)	(85, 253314.0)	(90, 340457.0)	(95, 458071.0)	(100, 554136.0)	(105, 680432.0)	(110, 735882.0)	(115, 813870.0)	(120, 804127.0)	(125, 816165.0)	(130, 768047.0)	(135, 748543.0)	(140, 710276.0)	(145, 8060047.0)	
SRR26260927_1	(35, 30180.0)	(40, 2588.0)	(45, 5764.0)	(50, 12522.0)	(55, 21910.0)	(60, 38250.0)	(65, 62702.0)	(70, 96146.0)	(75, 152173.0)	(80, 216112.0)	(85, 317689.0)	(90, 407181.0)	(95, 546420.0)	(100, 643682.0)	(105, 764823.0)	(110, 810823.0)	(115, 866870.0)	(120, 851677.0)	(125, 834170.0)	(130, 785504.0)	(135, 741186.0)	(140, 683479.0)	(145, 7808368.0)	
SRR26260927_2	(35, 28816.0)	(40, 2521.0)	(45, 5670.0)	(50, 12346.0)	(55, 21557.0)	(60, 37744.0)	(65, 61900.0)	(70, 94739.0)	(75, 149546.0)	(80, 212255.0)	(85, 311827.0)	(90, 399068.0)	(95, 534971.0)	(100, 629964.0)	(105, 747326.0)	(110, 792476.0)	(115, 844325.0)	(120, 826429.0)	(125, 808883.0)	(130, 761852.0)	(135, 718530.0)	(140, 694584.0)	(145, 8002890.0)	
SRR26260934_1	(35, 71566.0)	(40, 6504.0)	(45, 9511.0)	(50, 18014.0)	(55, 26036.0)	(60, 46994.0)	(65, 70371.0)	(70, 109016.0)	(75, 157877.0)	(80, 228188.0)	(85, 319784.0)	(90, 411176.0)	(95, 515439.0)	(100, 611057.0)	(105, 699541.0)	(110, 730317.0)	(115, 770279.0)	(120, 769657.0)	(125, 786752.0)	(130, 763500.0)	(135, 787794.0)	(140, 752488.0)	(145, 5166917.0)	(150, 9056319.0)
SRR26260934_2	(35, 70519.0)	(40, 6594.0)	(45, 9516.0)	(50, 17922.0)	(55, 25792.0)	(60, 46952.0)	(65, 70010.0)	(70, 108730.0)	(75, 156936.0)	(80, 225342.0)	(85, 317073.0)	(90, 410302.0)	(95, 513297.0)	(100, 604931.0)	(105, 697718.0)	(110, 729285.0)	(115, 767326.0)	(120, 766527.0)	(125, 778701.0)	(130, 749549.0)	(135, 770054.0)	(140, 737123.0)	(145, 5374848.0)	(150, 8930050.0)
SRR26260935_1	(35, 61922.0)	(40, 6011.0)	(45, 9150.0)	(50, 15153.0)	(55, 24516.0)	(60, 44196.0)	(65, 72469.0)	(70, 116241.0)	(75, 172140.0)	(80, 250538.0)	(85, 342527.0)	(90, 452736.0)	(95, 564319.0)	(100, 681135.0)	(105, 786532.0)	(110, 874296.0)	(115, 939522.0)	(120, 968020.0)	(125, 992061.0)	(130, 988372.0)	(135, 1001149.0)	(140, 959957.0)	(145, 5396497.0)	(150, 9916188.0)
SRR26260935_2	(35, 62322.0)	(40, 6154.0)	(45, 9225.0)	(50, 15342.0)	(55, 24488.0)	(60, 44447.0)	(65, 72915.0)	(70, 116415.0)	(75, 171770.0)	(80, 249903.0)	(85, 343065.0)	(90, 453185.0)	(95, 564758.0)	(100, 682616.0)	(105, 787696.0)	(110, 876140.0)	(115, 940632.0)	(120, 968350.0)	(125, 991661.0)	(130, 984330.0)	(135, 992167.0)	(140, 953390.0)	(145, 5557444.0)	(150, 9767232.0)
SRR26260936_1	(35, 57941.0)	(40, 5243.0)	(45, 6306.0)	(50, 8655.0)	(55, 9869.0)	(60, 16429.0)	(65, 26669.0)	(70, 43673.0)	(75, 68019.0)	(80, 107926.0)	(85, 162347.0)	(90, 241731.0)	(95, 337866.0)	(100, 445876.0)	(105, 559745.0)	(110, 674779.0)	(115, 764534.0)	(120, 824704.0)	(125, 879577.0)	(130, 908268.0)	(135, 944158.0)	(140, 926771.0)	(145, 6067577.0)	(150, 10682869.0)
