Sample	Unique Reads	Duplicate Reads
SRR26260919_1	5154239.0	12567557.0
SRR26260919_2	5903506.0	11818290.0
SRR26260920_1	5008235.0	12029251.0
SRR26260920_2	5491871.0	11545615.0
SRR26260921_1	4083144.0	12054981.0
SRR26260921_2	4849354.0	11288771.0
SRR26260922_1	5895347.0	10403069.0
SRR26260922_2	7081095.0	9217321.0
SRR26260923_1	4564472.0	7418816.0
SRR26260923_2	4758322.0	7224966.0
SRR26260924_1	6153003.0	11261463.0
SRR26260924_2	6885377.0	10529089.0
SRR26260925_1	5831907.0	10221490.0
SRR26260925_2	6658273.0	9395124.0
SRR26260926_1	6118653.0	10275738.0
SRR26260926_2	6718148.0	9676243.0
SRR26260927_1	5949961.0	10750258.0
SRR26260927_2	6569197.0	10131022.0
SRR26260934_1	15895621.0	6989476.0
SRR26260934_2	16689172.0	6195925.0
SRR26260935_1	18178425.0	7457222.0
SRR26260935_2	19470134.0	6165513.0
SRR26260936_1	16593613.0	8177919.0
SRR26260936_2	17915789.0	6855743.0
SRR26260937_1	17306215.0	8430053.0
SRR26260937_2	18588413.0	7147855.0
SRR26260938_1	17339677.0	7526983.0
SRR26260938_2	18917766.0	5948894.0
SRR26260939_1	14114973.0	8518883.0
SRR26260939_2	15643971.0	6989885.0
SRR26260940_1	11578330.0	8448382.0
SRR26260940_2	12441916.0	7584796.0
SRR26260941_1	13661463.0	8294415.0
SRR26260941_2	14902984.0	7052894.0
SRR26260942_1	15755945.0	9884332.0
SRR26260942_2	17471246.0	8169031.0
SRR26260943_1	15595799.0	9958878.0
SRR26260943_2	16951274.0	8603403.0
SRR26260944_1	18291551.0	10965734.0
SRR26260944_2	20226087.0	9031198.0
SRR26260945_1	11122217.0	6919718.0
SRR26260945_2	12218230.0	5823705.0
SRR26260946_1	9114363.0	4967389.0
SRR26260946_2	9802845.0	4278907.0
SRR26260947_1	11652380.0	7183697.0
SRR26260947_2	12626656.0	6209421.0
SRR26260948_1	14244589.0	9417915.0
SRR26260948_2	15710355.0	7952149.0
SRR26260949_1	8793940.0	4626731.0
SRR26260949_2	9524469.0	3896202.0
SRR26260950_1	15087387.0	6787830.0
SRR26260950_2	16177972.0	5697245.0
SRR26260951_1	10112366.0	5445834.0
SRR26260951_2	10842575.0	4715625.0
SRR26260989_1	10338413.0	44402646.0
SRR26260989_2	11573359.0	43167700.0
SRR26260990_1	10744117.0	47632604.0
SRR26260990_2	12104617.0	46272104.0
SRR26260991_1	9469309.0	47198351.0
SRR26260991_2	10717614.0	45950046.0
SRR26260992_1	9425718.0	43701967.0
SRR26260992_2	10535882.0	42591803.0
SRR26260993_1	9023978.0	45235261.0
SRR26260993_2	10319568.0	43939671.0
SRR26260994_1	25261154.0	17885294.0
SRR26260994_2	28362544.0	14783904.0
SRR26260995_1	18592686.0	11420587.0
SRR26260995_2	20364250.0	9649023.0
SRR26260996_1	31614549.0	25236005.0
SRR26260996_2	35552639.0	21297915.0
SRR26260997_1	24160282.0	16546134.0
SRR26260997_2	26709859.0	13996557.0
SRR26260998_1	23191706.0	15257093.0
SRR26260998_2	25649795.0	12799004.0
SRR26260999_1	29246388.0	21118363.0
SRR26260999_2	32527486.0	17837265.0
SRR26261000_1	23650844.0	15254404.0
SRR26261000_2	26128164.0	12777084.0
SRR26261001_1	23515554.0	16797269.0
SRR26261001_2	26330212.0	13982611.0
SRR26261002_1	18082857.0	11418011.0
SRR26261002_2	19999461.0	9501407.0
SRR26261003_1	23847702.0	15819591.0
SRR26261003_2	26765663.0	12901630.0
SRR26261004_1	19066602.0	10770384.0
SRR26261004_2	20935828.0	8901158.0
SRR26261005_1	21882009.0	13129004.0
SRR26261005_2	24010362.0	11000651.0
SRR26261006_1	11209264.0	46526122.0
SRR26261006_2	12518719.0	45216667.0
SRR26261235_1	23799334.0	9347489.0
SRR26261235_2	24026530.0	9120293.0
SRR26261236_1	19923991.0	7125351.0
SRR26261236_2	19972097.0	7077245.0
