Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR26260919_1	(1, 0.8920032710002981)	(2, 0.8899041609552439)	(3, 0.8898872326484292)	(4, 0.8898872326484292)	(5, 0.8898872326484292)	(6, 0.9056531290620883)	(7, 0.8898872326484292)	(8, 0.8898872326484292)	(9, 0.8898872326484292)	(10, 0.8899459174453875)	(15, 0.8898872326484292)	(20, 0.890035073194613)	(25, 0.8907280052202384)	(30, 0.8912979248830085)	(35, 0.18003221995328064)	(40, 0.006689211000729766)	(45, 0.014702848864041768)	(50, 0.008981494122989)	(55, 0.010237425379755295)	(60, 0.006310436585409064)	(65, 0.004414848245511965)	(70, 0.002350803576518071)	(75, 0.001929752930685306)	(80, 0.0017710631805145905)	(85, 0.0004724218891934577)	(90, 2.3972880439274265e-05)	(95, 9.821268142767257e-06)	(100, 0.0010127795926052892)	(105, 0.003942333545755645)	(110, 0.0023217969814890607)	(115, 0.002098430702769582)	(120, 0.0006862373946768565)	(125, 0.0015929547914405096)	(130, 0.0006837526128346556)	(135, 0.00010819646158929008)	(140, 9.14032918895574e-05)	(145, 0.0)																		
SRR26260919_2	(1, 0.897222832268242)	(2, 0.8869981349520104)	(3, 0.8716441606708486)	(4, 0.86459634226689)	(5, 0.8608156870782171)	(6, 0.8605617624759929)	(7, 0.8593993520746993)	(8, 0.8597153471352451)	(9, 0.8594388514572676)	(10, 0.8587944472445118)	(15, 0.8592165263610979)	(20, 0.8590370863088593)	(25, 0.8589208452687301)	(30, 0.8613754497568982)	(35, 0.1763302822482333)	(40, 0.0013855534027802604)	(45, 0.0006274092272357685)	(50, 0.00016744142688162076)	(55, 0.0006918891138611367)	(60, 0.00035377898148857185)	(65, 0.00022988242303210524)	(70, 0.0001124517617800306)	(75, 0.0002388153512584444)	(80, 2.326105851075027e-05)	(85, 4.70913935992742e-06)	(90, 0.00018441437258081124)	(95, 0.00011892539357654034)	(100, 0.0006224867335361654)	(105, 3.4230077094559485e-05)	(110, 0.00023376532335152634)	(115, 0.000513209328215569)	(120, 0.00015420664272683824)	(125, 1.6621969636249137e-05)	(130, 0.0003973726362787674)	(135, 0.0004543885447044156)	(140, 0.00015169679320564002)	(145, 0.0006619719980328399)																		
SRR26260920_1	(1, 7.844531757795722)	(2, 7.842377684125464)	(3, 7.842371814714917)	(4, 7.842371814714917)	(5, 7.842371814714917)	(6, 7.85645840002451)	(7, 7.842371814714917)	(8, 7.842371814714917)	(9, 7.842371814714917)	(10, 7.842411726706628)	(15, 7.842371814714917)	(20, 7.8427498047540585)	(25, 7.844325154544514)	(30, 7.846272624963565)	(35, 1.6751677966003613)	(40, 0.006528230385684004)	(45, 0.014480236178998813)	(50, 0.008745179360147437)	(55, 0.009917535735042457)	(60, 0.006233877354965454)	(65, 0.004370843890808778)	(70, 0.0022955825597250163)	(75, 0.001905505106727743)	(80, 0.001749457252182402)	(85, 0.0004855344650321404)	(90, 4.889348077144352e-05)	(95, 1.1171021298334077e-05)	(100, 0.000927164586693641)	(105, 0.0037203634784510487)	(110, 0.002169162011412866)	(115, 0.0020918979803993074)	(120, 0.0006837970656608565)	(125, 0.0016131382751589471)	(130, 0.0006943980545034932)	(135, 9.564137000250785e-05)	(140, 9.089731222543792e-05)	(145, 0.0)																		
SRR26260920_2	(1, 7.71039224918512)	(2, 7.700854457048417)	(3, 7.686996778750105)	(4, 7.680023919021855)	(5, 7.675833159892252)	(6, 7.675657077575881)	(7, 7.674336460203107)	(8, 7.674776665994032)	(9, 7.674471456645658)	(10, 7.673923253700693)	(15, 7.674362285609508)	(20, 7.67441511030442)	(25, 7.675230958370266)	(30, 7.682945711591486)	(35, 1.6430906682585504)	(40, 0.0014615456836504592)	(45, 0.0006578325062754295)	(50, 0.00017314494636943501)	(55, 0.0007417412275909078)	(60, 0.000379157718108339)	(65, 0.0002279015749944958)	(70, 0.00012730880628447706)	(75, 0.00023823144741853247)	(80, 3.4002439439628285e-05)	(85, 5.30865284002376e-06)	(90, 0.00018421366878425697)	(95, 0.0001252722705806438)	(100, 0.0006291456241385052)	(105, 2.865204854230064e-05)	(110, 0.00024344111946128294)	(115, 0.0005236848289011859)	(120, 0.00014446779104142587)	(125, 1.5469885392901055e-05)	(130, 0.00041572845415573177)	(135, 0.0004627451068058181)	(140, 0.0001828806439824243)	(145, 0.0006899328395533368)																		
SRR26260921_1	(1, 2.9620603384841795)	(2, 2.9596870764106735)	(3, 2.959668486890515)	(4, 2.959668486890515)	(5, 2.959668486890515)	(6, 2.9743232252817475)	(7, 2.959668486890515)	(8, 2.959668486890515)	(9, 2.959668486890515)	(10, 2.9597329305603965)	(15, 2.959668486890515)	(20, 2.9600972851554936)	(25, 2.961446884318965)	(30, 2.962816312303939)	(35, 0.6076107334767198)	(40, 0.006432444452789422)	(45, 0.014343646820397292)	(50, 0.008643300756150768)	(55, 0.009824728833517968)	(60, 0.006044720965261846)	(65, 0.004308831106774094)	(70, 0.002293525289052592)	(75, 0.0018350833708136983)	(80, 0.0017046228254748448)	(85, 0.00047480670299026857)	(90, 4.633163426145863e-05)	(95, 1.2621118918285968e-05)	(100, 0.0010156947424900522)	(105, 0.003914659746272382)	(110, 0.002299614645908403)	(115, 0.002356036348008343)	(120, 0.0007373650154255839)	(125, 0.0016408910363334694)	(130, 0.000731938392873882)	(135, 9.013068533385631e-05)	(140, 0.0001123919969105688)	(145, 0.0)																		
SRR26260921_2	(1, 2.870178536849851)	(2, 2.8606235234886332)	(3, 2.845937802563805)	(4, 2.838756051276093)	(5, 2.8352116494326323)	(6, 2.8348274660160335)	(7, 2.8337368808334302)	(8, 2.834096278223152)	(9, 2.834096278223152)	(10, 2.833306843267108)	(15, 2.8336476511366717)	(20, 2.833805042407343)	(25, 2.834418496572557)	(30, 2.840850470547229)	(35, 0.5861373716778546)	(40, 0.0012937350218114921)	(45, 0.0005678986519642938)	(50, 0.00014810639651991847)	(55, 0.0006428181639045486)	(60, 0.0003046359719813241)	(65, 0.0001963794030043045)	(70, 0.0001198831147365713)	(75, 0.00021674949785501063)	(80, 3.5405528895920804e-05)	(85, 3.99422174579737e-06)	(90, 0.00017133834022945221)	(95, 0.00014406945434533407)	(100, 0.0006289537021079173)	(105, 3.6467061369931355e-05)	(110, 0.00028260967619883945)	(115, 0.0005375861001737939)	(120, 0.0001718986269176572)	(125, 1.765536653894513e-05)	(130, 0.00043959552730994607)	(135, 0.0005508011151856232)	(140, 0.00020382223165207007)	(145, 0.0007332084668260935)																		
SRR26260922_1	(1, 0.44565680493122767)	(2, 0.44329461218808014)	(3, 0.44328234105694686)	(4, 0.44328234105694686)	(5, 0.44328234105694686)	(6, 0.45803224067909426)	(7, 0.44328234105694686)	(8, 0.44328234105694686)	(9, 0.44328234105694686)	(10, 0.443351059391293)	(15, 0.44328234105694686)	(20, 0.44336333052242616)	(25, 0.4438161352612426)	(30, 0.44434011256063166)	(35, 0.08972572140795271)	(40, 0.006472928262635361)	(45, 0.014647408037580219)	(50, 0.008835248880992849)	(55, 0.01019557807446305)	(60, 0.006230758207120096)	(65, 0.004507455625326309)	(70, 0.0022928491645382645)	(75, 0.0017599304199116376)	(80, 0.0016269013699254777)	(85, 0.0004340650735761427)	(90, 5.219445178718892e-05)	(95, 1.875102703728e-05)	(100, 0.0010393680320853742)	(105, 0.003992225419539626)	(110, 0.002421757126991945)	(115, 0.0025522223014737386)	(120, 0.0008748627299745693)	(125, 0.0016953492618877787)	(130, 0.0008097681633748257)	(135, 0.00011650192108431703)	(140, 0.00011656659075150877)	(145, 0.0)																		
SRR26260922_2	(1, 0.4631308956649529)	(2, 0.45287836560313594)	(3, 0.43842910869375284)	(4, 0.43181496901293964)	(5, 0.4281152229762696)	(6, 0.4278268513946386)	(7, 0.42664268724028154)	(8, 0.426875838731813)	(9, 0.4269985500431453)	(10, 0.4261984722932584)	(15, 0.42655678932234886)	(20, 0.4263432716406306)	(25, 0.4260818965474927)	(30, 0.42720470504618363)	(35, 0.08778401836349559)	(40, 0.0011585636029849036)	(45, 0.000516523373138753)	(50, 0.00013935758496511712)	(55, 0.0005381372765729009)	(60, 0.00025956176407519087)	(65, 0.00017098649593260296)	(70, 9.576534594895423e-05)	(75, 0.0001776710350218638)	(80, 4.6707449844562024e-05)	(85, 2.558558790442355e-06)	(90, 0.0002019865099595378)	(95, 0.0001563994525430992)	(100, 0.0006895645869477032)	(105, 3.0263381779291145e-05)	(110, 0.0002682403474127741)	(115, 0.0005248759920276634)	(120, 0.00018653636958639155)	(125, 2.379246644127514e-05)	(130, 0.00044227205652024596)	(135, 0.0004985543192253445)	(140, 0.00019787143105895512)	(145, 0.000678874638426396)																		
SRR26260923_1	(1, 3.9137839297528356)	(2, 3.911438997377014)	(3, 3.9114223074668657)	(4, 3.9114223074668657)	(5, 3.9114223074668657)	(6, 3.924432092427387)	(7, 3.9114223074668657)	(8, 3.9114223074668657)	(9, 3.9114223074668657)	(10, 3.9114790531613695)	(15, 3.9114223074668657)	(20, 3.9116025584964658)	(25, 3.91239699821952)	(30, 3.9138673793035768)	(35, 0.8090918624106868)	(40, 0.006176854016180056)	(45, 0.013475508788688237)	(50, 0.008094899583214488)	(55, 0.009349773074851029)	(60, 0.00567752057550078)	(65, 0.004064099519263278)	(70, 0.0022608395429199036)	(75, 0.001744701985823741)	(80, 0.0016446313057715807)	(85, 0.0004146022465008919)	(90, 5.7448216847562804e-05)	(95, 5.967547759179849e-06)	(100, 0.0009618890161997793)	(105, 0.003816710685989321)	(110, 0.002363154796869199)	(115, 0.002448291629777999)	(120, 0.0008229734040361435)	(125, 0.0018643413409926844)	(130, 0.0008866486007767857)	(135, 0.00010829405495512518)	(140, 0.0001194165209956686)	(145, 0.0)																		
SRR26260923_2	(1, 3.863956203005386)	(2, 3.854626543232542)	(3, 3.840740537989239)	(4, 3.8344234069981464)	(5, 3.8305930726191346)	(6, 3.830334379011837)	(7, 3.8293079495377227)	(8, 3.829675127560983)	(9, 3.8295416082797975)	(10, 3.8289491164695364)	(15, 3.8292562108162636)	(20, 3.8291977961307446)	(25, 3.829356350277153)	(30, 3.834351640384509)	(35, 0.795729693617806)	(40, 0.0011563717201690867)	(45, 0.0005177221054326474)	(50, 0.00014087627092788748)	(55, 0.0005942755613603634)	(60, 0.0003094448224216795)	(65, 0.00017922967717326263)	(70, 0.00011860895768483813)	(75, 0.00021295484874031838)	(80, 3.997809854386863e-05)	(85, 3.713150439756761e-06)	(90, 0.00018350451532930773)	(95, 0.0001250282851687995)	(100, 0.0006545810300958221)	(105, 1.7670351465057675e-05)	(110, 0.000251430532993355)	(115, 0.0005272796172769054)	(120, 0.00015920225926439844)	(125, 1.2183469280037073e-05)	(130, 0.00042857720671055473)	(135, 0.0004952544898212913)	(140, 0.0002019240290725371)	(145, 0.000753832947035141)																		
SRR26260924_1	(1, 0.2741456442017803)	(2, 0.2715558432856913)	(3, 0.2715386162285998)	(4, 0.2715386162285998)	(5, 0.2715386162285998)	(6, 0.2870027711444037)	(7, 0.2715386162285998)	(8, 0.2715386162285998)	(9, 0.2715386162285998)	(10, 0.271621306102639)	(15, 0.2715386162285998)	(20, 0.27172581691566083)	(25, 0.2725527156560529)	(30, 0.2738791990520984)	(35, 0.055623850402057126)	(40, 0.006640220887955677)	(45, 0.01494854441170029)	(50, 0.009007595098581633)	(55, 0.010286804109158089)	(60, 0.00643613000279431)	(65, 0.0046481206729169925)	(70, 0.0024242946366661586)	(75, 0.0019481036239321547)	(80, 0.0017369702607523835)	(85, 0.00046004228476849256)	(90, 4.320801059727075e-05)	(95, 1.1444864119134016e-05)	(100, 0.0010206397282559944)	(105, 0.004043616160047908)	(110, 0.0024497133189209513)	(115, 0.0025042925751703198)	(120, 0.0008023725684866286)	(125, 0.001753907110095624)	(130, 0.000823466529077324)	(135, 0.00014162160774943138)	(140, 0.00012847636607168092)	(145, 0.0)																		
SRR26260924_2	(1, 0.2833736044504609)	(2, 0.2732957760519329)	(3, 0.257831621136129)	(4, 0.25015409602568345)	(5, 0.24652492933174064)	(6, 0.2460712834949978)	(7, 0.24500894830768857)	(8, 0.24541091297315692)	(9, 0.2454223976778846)	(10, 0.24464718010876707)	(15, 0.24498253348681492)	(20, 0.24491821914033998)	(25, 0.2449205160812855)	(30, 0.24883335498200174)	(35, 0.053256559490454124)	(40, 0.0013669562813639164)	(45, 0.0005817469688678974)	(50, 0.00016022051691495833)	(55, 0.0006404732642744671)	(60, 0.0003156521129844942)	(65, 0.00020066561364002819)	(70, 0.00011772580415349691)	(75, 0.0002066758701623667)	(80, 3.679957688558747e-05)	(85, 2.4119382647035193e-06)	(90, 0.00022427069818302536)	(95, 0.00014838537309827974)	(100, 0.0006571705911340339)	(105, 3.722430901238986e-05)	(110, 0.000306110383054289)	(115, 0.000589205193360011)	(120, 0.0001829476035568673)	(125, 1.2515296597779195e-05)	(130, 0.0004539226147704217)	(135, 0.0005408677364543225)	(140, 0.00021038981364009644)	(145, 0.0007367232700863831)																		
SRR26260925_1	(1, 0.126895260859742)	(2, 0.12450947297945725)	(3, 0.12449078534593021)	(4, 0.12449078534593021)	(5, 0.12449078534593021)	(6, 0.13921041135405796)	(7, 0.12449078534593021)	(8, 0.12449078534593021)	(9, 0.12449078534593021)	(10, 0.12454435656204105)	(15, 0.12449078534593021)	(20, 0.12455432329992212)	(25, 0.1250140390846872)	(30, 0.12569302310283612)	(35, 0.025771862608398338)	(40, 0.006402404230038034)	(45, 0.01457944733163421)	(50, 0.00881447320271568)	(55, 0.010209819154892589)	(60, 0.006338022953201419)	(65, 0.004580534884059287)	(70, 0.0022816385640233197)	(75, 0.0018326603186152206)	(80, 0.0017197377435768917)	(85, 0.00047515702511612525)	(90, 3.840362182703483e-05)	(95, 1.2248237478626826e-05)	(100, 0.000966936072064646)	(105, 0.00376073153973729)	(110, 0.0022863351194305306)	(115, 0.002328319011758077)	(120, 0.0007735180742958133)	(125, 0.0017372075624451223)	(130, 0.0007809621945126919)	(135, 0.00011801069631468331)	(140, 0.00011084772590819607)	(145, 0.0)																		
SRR26260925_2	(1, 0.15345038810165848)	(2, 0.1432157941400191)	(3, 0.12812241546135064)	(4, 0.12138863818044245)	(5, 0.11779438333207608)	(6, 0.11750783961799487)	(7, 0.11623085132698083)	(8, 0.11650493661871067)	(9, 0.11651116582988635)	(10, 0.11574746453974818)	(15, 0.1161361673171105)	(20, 0.1159081781880807)	(25, 0.11561291357835353)	(30, 0.11696340656124059)	(35, 0.0257193665932564)	(40, 0.0013335346567319624)	(45, 0.0005727042063252372)	(50, 0.0001572770420991572)	(55, 0.0006433622937977002)	(60, 0.0003189901038511688)	(65, 0.00019939418028582217)	(70, 0.00012085439221117614)	(75, 0.00021918373039458544)	(80, 3.06929053835177e-05)	(85, 5.188539729855047e-06)	(90, 0.00020367261668883632)	(95, 0.00013039039495454366)	(100, 0.0006240194093647857)	(105, 2.0529738822422393e-05)	(110, 0.0002513909515327962)	(115, 0.000502907515716064)	(120, 0.00017399941981633457)	(125, 1.3014307055358901e-05)	(130, 0.0004388228489312848)	(135, 0.0005031250488405965)	(140, 0.00020036007699722613)	(145, 0.0006538666246337086)																		
