Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
SRR26260924_1	(2.0, 47287.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 10.0)	(16.0, 50.0)	(17.0, 609.0)	(18.0, 3435.0)	(19.0, 10117.0)	(20.0, 19188.0)	(21.0, 29693.0)	(22.0, 46218.0)	(23.0, 70220.0)	(24.0, 104469.0)	(25.0, 151694.0)	(26.0, 212480.0)	(27.0, 286554.0)	(28.0, 375879.0)	(29.0, 485216.0)	(30.0, 626374.0)	(31.0, 830150.0)	(32.0, 1180437.0)	(33.0, 1982544.0)	(34.0, 4521029.0)	(35.0, 6430812.0)
SRR26260924_2	(2.0, 42475.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 2.0)	(12.0, 1.0)	(13.0, 0.0)	(14.0, 558.0)	(15.0, 2930.0)	(16.0, 6541.0)	(17.0, 13099.0)	(18.0, 25322.0)	(19.0, 46786.0)	(20.0, 73038.0)	(21.0, 96285.0)	(22.0, 120253.0)	(23.0, 150871.0)	(24.0, 191371.0)	(25.0, 240609.0)	(26.0, 300706.0)	(27.0, 373140.0)	(28.0, 463613.0)	(29.0, 574290.0)	(30.0, 725943.0)	(31.0, 955780.0)	(32.0, 1374142.0)	(33.0, 2305050.0)	(34.0, 4799033.0)	(35.0, 4532628.0)
SRR26260925_1	(2.0, 19985.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 11.0)	(16.0, 39.0)	(17.0, 457.0)	(18.0, 2523.0)	(19.0, 7773.0)	(20.0, 15507.0)	(21.0, 25279.0)	(22.0, 40957.0)	(23.0, 64307.0)	(24.0, 95717.0)	(25.0, 140415.0)	(26.0, 197634.0)	(27.0, 267442.0)	(28.0, 353497.0)	(29.0, 456745.0)	(30.0, 592228.0)	(31.0, 790758.0)	(32.0, 1139042.0)	(33.0, 1926485.0)	(34.0, 4300412.0)	(35.0, 5616184.0)
SRR26260925_2	(2.0, 18468.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 2.0)	(14.0, 463.0)	(15.0, 2427.0)	(16.0, 5291.0)	(17.0, 10545.0)	(18.0, 20489.0)	(19.0, 37175.0)	(20.0, 59172.0)	(21.0, 79575.0)	(22.0, 100889.0)	(23.0, 129013.0)	(24.0, 165329.0)	(25.0, 209748.0)	(26.0, 265417.0)	(27.0, 331881.0)	(28.0, 416426.0)	(29.0, 521581.0)	(30.0, 664358.0)	(31.0, 887246.0)	(32.0, 1294411.0)	(33.0, 2211182.0)	(34.0, 4560226.0)	(35.0, 4062082.0)
SRR26260926_1	(2.0, 165604.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 1.0)	(14.0, 2.0)	(15.0, 10.0)	(16.0, 45.0)	(17.0, 492.0)	(18.0, 2818.0)	(19.0, 8413.0)	(20.0, 16296.0)	(21.0, 25991.0)	(22.0, 41016.0)	(23.0, 64345.0)	(24.0, 96789.0)	(25.0, 141016.0)	(26.0, 199460.0)	(27.0, 272476.0)	(28.0, 359462.0)	(29.0, 464203.0)	(30.0, 599966.0)	(31.0, 796546.0)	(32.0, 1140000.0)	(33.0, 1917176.0)	(34.0, 4326347.0)	(35.0, 5755917.0)
SRR26260926_2	(2.0, 160916.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 3.0)	(14.0, 530.0)	(15.0, 2674.0)	(16.0, 5600.0)	(17.0, 10941.0)	(18.0, 21431.0)	(19.0, 39258.0)	(20.0, 61866.0)	(21.0, 82331.0)	(22.0, 103767.0)	(23.0, 131540.0)	(24.0, 169267.0)	(25.0, 215899.0)	(26.0, 272012.0)	(27.0, 341234.0)	(28.0, 425858.0)	(29.0, 531619.0)	(30.0, 678108.0)	(31.0, 898811.0)	(32.0, 1297536.0)	(33.0, 2206253.0)	(34.0, 4585213.0)	(35.0, 4151724.0)
SRR26260927_1	(2.0, 29079.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 13.0)	(16.0, 50.0)	(17.0, 464.0)	(18.0, 2728.0)	(19.0, 8184.0)	(20.0, 16431.0)	(21.0, 26039.0)	(22.0, 41658.0)	(23.0, 64178.0)	(24.0, 97183.0)	(25.0, 141791.0)	(26.0, 199192.0)	(27.0, 272297.0)	(28.0, 358021.0)	(29.0, 464447.0)	(30.0, 599574.0)	(31.0, 794775.0)	(32.0, 1133728.0)	(33.0, 1912680.0)	(34.0, 4339091.0)	(35.0, 6198616.0)
SRR26260927_2	(2.0, 26968.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 0.0)	(14.0, 488.0)	(15.0, 2783.0)	(16.0, 5567.0)	(17.0, 10596.0)	(18.0, 20538.0)	(19.0, 38540.0)	(20.0, 60649.0)	(21.0, 78843.0)	(22.0, 97839.0)	(23.0, 121850.0)	(24.0, 155334.0)	(25.0, 197260.0)	(26.0, 249779.0)	(27.0, 314766.0)	(28.0, 398332.0)	(29.0, 502161.0)	(30.0, 642459.0)	(31.0, 859900.0)	(32.0, 1250537.0)	(33.0, 2151530.0)	(34.0, 4694736.0)	(35.0, 4818763.0)
SRR26260934_1	(2.0, 60243.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 18.0)	(18.0, 97.0)	(19.0, 695.0)	(20.0, 3051.0)	(21.0, 10164.0)	(22.0, 24963.0)	(23.0, 45204.0)	(24.0, 72108.0)	(25.0, 108296.0)	(26.0, 161649.0)	(27.0, 238903.0)	(28.0, 359481.0)	(29.0, 545137.0)	(30.0, 843075.0)	(31.0, 1389777.0)	(32.0, 3016185.0)	(33.0, 15040466.0)	(34.0, 965584.0)	
SRR26260934_2	(2.0, 59711.0)	(3.0, 3.0)	(4.0, 13.0)	(5.0, 23.0)	(6.0, 105.0)	(7.0, 275.0)	(8.0, 224.0)	(9.0, 282.0)	(10.0, 282.0)	(11.0, 308.0)	(12.0, 329.0)	(13.0, 337.0)	(14.0, 338.0)	(15.0, 360.0)	(16.0, 566.0)	(17.0, 1125.0)	(18.0, 3256.0)	(19.0, 9278.0)	(20.0, 22227.0)	(21.0, 43907.0)	(22.0, 70066.0)	(23.0, 91743.0)	(24.0, 118087.0)	(25.0, 157127.0)	(26.0, 218246.0)	(27.0, 302793.0)	(28.0, 431966.0)	(29.0, 624554.0)	(30.0, 952105.0)	(31.0, 1561327.0)	(32.0, 3463406.0)	(33.0, 14000681.0)	(34.0, 750047.0)	
SRR26260935_1	(2.0, 53166.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 8.0)	(18.0, 41.0)	(19.0, 318.0)	(20.0, 1942.0)	(21.0, 7401.0)	(22.0, 19847.0)	(23.0, 36730.0)	(24.0, 61425.0)	(25.0, 98022.0)	(26.0, 157059.0)	(27.0, 247194.0)	(28.0, 390542.0)	(29.0, 598144.0)	(30.0, 936420.0)	(31.0, 1534919.0)	(32.0, 3339542.0)	(33.0, 17059737.0)	(34.0, 1093188.0)	
SRR26260935_2	(2.0, 53115.0)	(3.0, 64.0)	(4.0, 69.0)	(5.0, 24.0)	(6.0, 130.0)	(7.0, 327.0)	(8.0, 300.0)	(9.0, 332.0)	(10.0, 389.0)	(11.0, 388.0)	(12.0, 440.0)	(13.0, 391.0)	(14.0, 322.0)	(15.0, 385.0)	(16.0, 577.0)	(17.0, 1144.0)	(18.0, 3056.0)	(19.0, 8378.0)	(20.0, 19364.0)	(21.0, 36331.0)	(22.0, 58385.0)	(23.0, 80871.0)	(24.0, 109436.0)	(25.0, 152423.0)	(26.0, 219116.0)	(27.0, 316202.0)	(28.0, 461180.0)	(29.0, 678799.0)	(30.0, 1046061.0)	(31.0, 1737435.0)	(32.0, 3935464.0)	(33.0, 15899082.0)	(34.0, 815667.0)	
SRR26260936_1	(2.0, 49067.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 2.0)	(17.0, 14.0)	(18.0, 65.0)	(19.0, 491.0)	(20.0, 2501.0)	(21.0, 9036.0)	(22.0, 23816.0)	(23.0, 46495.0)	(24.0, 76409.0)	(25.0, 116589.0)	(26.0, 175630.0)	(27.0, 265112.0)	(28.0, 403831.0)	(29.0, 607679.0)	(30.0, 928244.0)	(31.0, 1509364.0)	(32.0, 3230473.0)	(33.0, 16353987.0)	(34.0, 972726.0)	
SRR26260936_2	(2.0, 48895.0)	(3.0, 2.0)	(4.0, 16.0)	(5.0, 20.0)	(6.0, 107.0)	(7.0, 294.0)	(8.0, 298.0)	(9.0, 347.0)	(10.0, 330.0)	(11.0, 320.0)	(12.0, 405.0)	(13.0, 360.0)	(14.0, 303.0)	(15.0, 365.0)	(16.0, 604.0)	(17.0, 1283.0)	(18.0, 3565.0)	(19.0, 10567.0)	(20.0, 24937.0)	(21.0, 48073.0)	(22.0, 78493.0)	(23.0, 106742.0)	(24.0, 140759.0)	(25.0, 184382.0)	(26.0, 251147.0)	(27.0, 345468.0)	(28.0, 491644.0)	(29.0, 710228.0)	(30.0, 1079188.0)	(31.0, 1766921.0)	(32.0, 3893256.0)	(33.0, 14943408.0)	(34.0, 638805.0)	
SRR26260937_1	(2.0, 40402.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 2.0)	(17.0, 4.0)	(18.0, 70.0)	(19.0, 436.0)	(20.0, 2434.0)	(21.0, 9196.0)	(22.0, 24411.0)	(23.0, 46674.0)	(24.0, 77323.0)	(25.0, 118299.0)	(26.0, 179020.0)	(27.0, 270046.0)	(28.0, 415848.0)	(29.0, 630954.0)	(30.0, 978875.0)	(31.0, 1597325.0)	(32.0, 3464410.0)	(33.0, 16928593.0)	(34.0, 951946.0)	
SRR26260937_2	(2.0, 40366.0)	(3.0, 2.0)	(4.0, 5.0)	(5.0, 19.0)	(6.0, 75.0)	(7.0, 268.0)	(8.0, 277.0)	(9.0, 341.0)	(10.0, 346.0)	(11.0, 360.0)	(12.0, 371.0)	(13.0, 304.0)	(14.0, 273.0)	(15.0, 362.0)	(16.0, 507.0)	(17.0, 1187.0)	(18.0, 3203.0)	(19.0, 9989.0)	(20.0, 24765.0)	(21.0, 49074.0)	(22.0, 79509.0)	(23.0, 106559.0)	(24.0, 137664.0)	(25.0, 179892.0)	(26.0, 242582.0)	(27.0, 336095.0)	(28.0, 479587.0)	(29.0, 697667.0)	(30.0, 1072066.0)	(31.0, 1778384.0)	(32.0, 3943093.0)	(33.0, 15800709.0)	(34.0, 750367.0)	
SRR26260938_1	(2.0, 28890.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 6.0)	(18.0, 54.0)	(19.0, 410.0)	(20.0, 2053.0)	(21.0, 7778.0)	(22.0, 19902.0)	(23.0, 36223.0)	(24.0, 58360.0)	(25.0, 92028.0)	(26.0, 146635.0)	(27.0, 234493.0)	(28.0, 371268.0)	(29.0, 576526.0)	(30.0, 912835.0)	(31.0, 1517532.0)	(32.0, 3351498.0)	(33.0, 16553486.0)	(34.0, 956682.0)	
SRR26260938_2	(2.0, 28605.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 10.0)	(6.0, 52.0)	(7.0, 224.0)	(8.0, 238.0)	(9.0, 299.0)	(10.0, 318.0)	(11.0, 337.0)	(12.0, 355.0)	(13.0, 342.0)	(14.0, 267.0)	(15.0, 309.0)	(16.0, 541.0)	(17.0, 1164.0)	(18.0, 3195.0)	(19.0, 8885.0)	(20.0, 19645.0)	(21.0, 35967.0)	(22.0, 56095.0)	(23.0, 75641.0)	(24.0, 101621.0)	(25.0, 142125.0)	(26.0, 207348.0)	(27.0, 301141.0)	(28.0, 444311.0)	(29.0, 658725.0)	(30.0, 1019367.0)	(31.0, 1715751.0)	(32.0, 3960416.0)	(33.0, 15390354.0)	(34.0, 693012.0)	
SRR26260939_1	(2.0, 72483.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 3.0)	(17.0, 7.0)	(18.0, 83.0)	(19.0, 410.0)	(20.0, 1869.0)	(21.0, 6340.0)	(22.0, 16644.0)	(23.0, 30695.0)	(24.0, 50473.0)	(25.0, 81000.0)	(26.0, 131365.0)	(27.0, 210156.0)	(28.0, 333701.0)	(29.0, 516887.0)	(30.0, 814204.0)	(31.0, 1332075.0)	(32.0, 2898752.0)	(33.0, 15135987.0)	(34.0, 1000721.0)	
SRR26260939_2	(2.0, 72041.0)	(3.0, 4.0)	(4.0, 16.0)	(5.0, 14.0)	(6.0, 97.0)	(7.0, 285.0)	(8.0, 282.0)	(9.0, 315.0)	(10.0, 275.0)	(11.0, 321.0)	(12.0, 322.0)	(13.0, 363.0)	(14.0, 263.0)	(15.0, 347.0)	(16.0, 549.0)	(17.0, 1081.0)	(18.0, 2808.0)	(19.0, 7669.0)	(20.0, 17087.0)	(21.0, 30585.0)	(22.0, 47472.0)	(23.0, 64817.0)	(24.0, 89527.0)	(25.0, 127363.0)	(26.0, 185564.0)	(27.0, 269303.0)	(28.0, 398238.0)	(29.0, 587550.0)	(30.0, 909611.0)	(31.0, 1513300.0)	(32.0, 3467034.0)	(33.0, 14143365.0)	(34.0, 695988.0)	
SRR26260940_1	(2.0, 272518.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 10.0)	(18.0, 104.0)	(19.0, 614.0)	(20.0, 2859.0)	(21.0, 9680.0)	(22.0, 23760.0)	(23.0, 46044.0)	(24.0, 74964.0)	(25.0, 111863.0)	(26.0, 162448.0)	(27.0, 234650.0)	(28.0, 349216.0)	(29.0, 514163.0)	(30.0, 779275.0)	(31.0, 1262328.0)	(32.0, 2704603.0)	(33.0, 12696657.0)	(34.0, 780955.0)	
SRR26260940_2	(2.0, 272653.0)	(3.0, 5.0)	(4.0, 18.0)	(5.0, 20.0)	(6.0, 120.0)	(7.0, 252.0)	(8.0, 266.0)	(9.0, 285.0)	(10.0, 297.0)	(11.0, 293.0)	(12.0, 310.0)	(13.0, 312.0)	(14.0, 298.0)	(15.0, 330.0)	(16.0, 540.0)	(17.0, 1085.0)	(18.0, 2964.0)	(19.0, 8657.0)	(20.0, 21335.0)	(21.0, 41848.0)	(22.0, 69570.0)	(23.0, 95917.0)	(24.0, 124852.0)	(25.0, 160261.0)	(26.0, 210012.0)	(27.0, 280140.0)	(28.0, 393262.0)	(29.0, 563761.0)	(30.0, 844522.0)	(31.0, 1343887.0)	(32.0, 2900391.0)	(33.0, 12037204.0)	(34.0, 651045.0)	
SRR26260941_1	(2.0, 518252.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 4.0)	(17.0, 8.0)	(18.0, 45.0)	(19.0, 397.0)	(20.0, 1955.0)	(21.0, 7030.0)	(22.0, 17656.0)	(23.0, 34231.0)	(24.0, 57840.0)	(25.0, 89909.0)	(26.0, 138459.0)	(27.0, 213914.0)	(28.0, 332112.0)	(29.0, 510029.0)	(30.0, 788231.0)	(31.0, 1291873.0)	(32.0, 2789499.0)	(33.0, 14219462.0)	(34.0, 944972.0)	
