Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR18889440_1	0.3195715572221556	2.7247486636793345
SRR18889440_2	0.2939696888301827	1.4350451751719997
SRR18889441_1	0.27185845553904564	2.10740371091118
SRR18889441_2	0.5545031010260465	1.2544978925235926
SRR18889442_1	0.2726996693864852	2.6317351078560316
SRR18889442_2	0.27394077137648776	0.9611417465513515
SRR18889443_1	0.3024653497784725	2.484705717566978
SRR18889443_2	0.2859598897038463	1.0742663472695269
SRR18889444_1	0.31367484857071354	2.542542448282051
SRR18889444_2	0.2725627282639371	1.0469258863253796
SRR18889445_1	0.3198828612365708	2.5647258457643685
SRR18889445_2	0.25492844905909845	1.0577144765252127
