Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR21170613_1	(1, 0.026017813540617614)	(2, 0.2762535153091516)	(3, 0.0)	(4, 0.0)	(5, 0.0105212458353744)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.6420204190986185e-06)	(15, 4.105051047746547e-06)	(20, 0.0012142740999234285)	(25, 4.105051047746547e-05)	(30, 0.00016912810316715773)	(35, 0.0008037689951487738)	(40, 0.0019942337989952725)	(45, 1.5599193981436875e-05)	(50, 0.0)	(55, 0.0)	(60, 7.9637990326283e-05)	(65, 0.0018497360021145937)	(70, 9.852122514591711e-06)	(75, 0.000228240838254708)	(80, 0.0)	(85, 0.0)	(90, 0.0005385826974643469)	(95, 8.210102095493094e-06)	(100, 0.00017241214400535497)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 8.210102095493093e-07)	(145, 0.0)	(150, 0.0)
SRR21170613_2	(1, 0.0)	(2, 0.050878002685770696)	(3, 0.0)	(4, 0.0)	(5, 2.0525255238732735e-05)	(6, 0.00018883234819634114)	(7, 0.0)	(8, 0.002155151800066937)	(9, 0.0)	(10, 0.0006551661472203489)	(15, 0.0007561504029949139)	(20, 0.006511431971935573)	(25, 0.001207706018247034)	(30, 0.0006100105856951368)	(35, 0.0045492175711127235)	(40, 0.003976973455056854)	(45, 0.011847177323796533)	(50, 0.001489312520122447)	(55, 0.0009088583019710854)	(60, 0.006279086082633117)	(65, 0.004446591294919059)	(70, 0.0021428366469236973)	(75, 0.0012561456206104432)	(80, 0.00010344728640321297)	(85, 0.0010155896292124956)	(90, 0.0010262627619366366)	(95, 0.003484367329327269)	(100, 0.002736427028427848)	(105, 0.0017068802256530143)	(110, 0.0009917803331355656)	(115, 0.005257749381953777)	(120, 0.00015188688876662223)	(125, 0.000124793551851495)	(130, 0.001218379150971175)	(135, 0.0)	(140, 0.00015352890918572085)	(145, 0.00024466104244569417)	(150, 0.0)
SRR21170614_1	(1, 0.0256523396201799)	(2, 0.2786459406295101)	(3, 0.0)	(4, 0.0)	(5, 0.010705798139702308)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 4.157591510564003e-06)	(15, 8.315183021128007e-06)	(20, 0.0012048700197614484)	(25, 5.737476284578325e-05)	(30, 0.00019291224609016975)	(35, 0.0007857847954965966)	(40, 0.0019465843452460664)	(45, 2.0787957552820018e-05)	(50, 0.0)	(55, 0.0)	(60, 0.00011308648908734089)	(65, 0.001777786129917168)	(70, 1.080973792746641e-05)	(75, 0.000233656642893697)	(80, 0.0)	(85, 0.0)	(90, 0.0005845573663852989)	(95, 9.146701323240808e-06)	(100, 0.00021868931345566658)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR21170614_2	(1, 0.0)	(2, 0.05206967607830358)	(3, 4.157591510564003e-06)	(4, 0.0)	(5, 1.2472774531692011e-05)	(6, 0.00016630366042256014)	(7, 0.0)	(8, 0.002203523500598922)	(9, 0.0)	(10, 0.0006643831233881278)	(15, 0.0007591762098289871)	(20, 0.0066280323861411345)	(25, 0.0012497720080755395)	(30, 0.0006153235435634725)	(35, 0.00467313285787394)	(40, 0.004037021356757648)	(45, 0.012222487522756058)	(50, 0.0014534939920931756)	(55, 0.0008880615466564711)	(60, 0.0065033046408242146)	(65, 0.0044835466849922215)	(70, 0.0021212031886897543)	(75, 0.001272223002232585)	(80, 9.146701323240809e-05)	(85, 0.001013620810275504)	(90, 0.001010294737067053)	(95, 0.003511501789822357)	(100, 0.0027905754218905594)	(105, 0.001760324245572799)	(110, 0.0009662242670550745)	(115, 0.005487189275642372)	(120, 0.0001421896296612889)	(125, 0.0001230647087126945)	(130, 0.0012963370329938562)	(135, 0.0)	(140, 0.00015466240419298091)	(145, 0.000241971825914825)	(150, 0.0)
SRR21170615_1	(1, 0.024951842336977757)	(2, 0.28097284075250106)	(3, 0.0)	(4, 0.0)	(5, 0.010675675241881476)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 1.7351767967300247e-06)	(20, 0.0011382759786548963)	(25, 5.552565749536079e-05)	(30, 0.0001552983233073372)	(35, 0.0007860350889187012)	(40, 0.0020518465621332544)	(45, 2.6895240349315384e-05)	(50, 0.0)	(55, 0.0)	(60, 7.114224866593102e-05)	(65, 0.0018800640592569816)	(70, 6.940707186920099e-06)	(75, 0.00024986545872912353)	(80, 0.0)	(85, 0.0)	(90, 0.0005396399837830376)	(95, 9.543472382015137e-06)	(100, 0.00018132597525828757)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR21170615_2	(1, 0.0)	(2, 0.051942517410113284)	(3, 0.0)	(4, 0.0)	(5, 8.675883983650123e-06)	(6, 0.00015182796971387717)	(7, 0.0)	(8, 0.0021819848218880057)	(9, 0.0)	(10, 0.0006897327767001848)	(15, 0.0007617426137644808)	(20, 0.006813171692360441)	(25, 0.001195536812946987)	(30, 0.0006489561219770292)	(35, 0.004811645257332358)	(40, 0.004066386823136813)	(45, 0.012270302718076368)	(50, 0.0014558133324564905)	(55, 0.000911835406681628)	(60, 0.006640521601085804)	(65, 0.004615570279301866)	(70, 0.0022010717666520363)	(75, 0.001260605942824363)	(80, 0.00010237543100707144)	(85, 0.0010254894868674445)	(90, 0.0010081377189001444)	(95, 0.0036837803394578423)	(100, 0.00282833817866994)	(105, 0.0018193328713714309)	(110, 0.0009994618349164941)	(115, 0.005398135014627107)	(120, 0.00014488726252695705)	(125, 0.0001127864917874516)	(130, 0.0012614735312227279)	(135, 0.0)	(140, 0.00015096038131551216)	(145, 0.00023858680955037836)	(150, 0.0)
SRR21170616_1	(1, 0.025981252197200204)	(2, 0.27946747652017573)	(3, 0.0)	(4, 0.0)	(5, 0.010866153733949682)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 8.19468607386854e-07)	(15, 5.736280251707977e-06)	(20, 0.001244772814620631)	(25, 5.572386530230607e-05)	(30, 0.00016143531565521022)	(35, 0.0007498137757589714)	(40, 0.0018929724830636326)	(45, 2.048671518467135e-05)	(50, 0.0)	(55, 0.0)	(60, 7.866898630913799e-05)	(65, 0.0017651353803112833)	(70, 5.736280251707977e-06)	(75, 0.0002605910171490195)	(80, 0.0)	(85, 0.0)	(90, 0.0005293767203719077)	(95, 4.09734303693427e-06)	(100, 0.00019667246577284494)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR21170616_2	(1, 0.0)	(2, 0.050938168635166835)	(3, 0.0)	(4, 0.0)	(5, 4.09734303693427e-06)	(6, 0.00015160169236656798)	(7, 0.0)	(8, 0.002208467896907571)	(9, 0.0)	(10, 0.0006629501033759648)	(15, 0.0007555500560106793)	(20, 0.006418897601661228)	(25, 0.001172659577170588)	(30, 0.0006260740160435564)	(35, 0.004427588885711172)	(40, 0.003871169701295498)	(45, 0.011683983404121764)	(50, 0.001386540883698557)	(55, 0.0008669977866152913)	(60, 0.006054234071374077)	(65, 0.004251403135122998)	(70, 0.0020331016149267847)	(75, 0.0011874100121035513)	(80, 7.703004909436427e-05)	(85, 0.0009899180777233195)	(90, 0.0009874596719011588)	(95, 0.003354085010034393)	(100, 0.002619841137815772)	(105, 0.0016487708380623501)	(110, 0.0009456667729244295)	(115, 0.005242960150061091)	(120, 0.00013930966325576517)	(125, 0.00011390613642677269)	(130, 0.0012218276936137992)	(135, 0.0)	(140, 0.0001581574412256628)	(145, 0.00023600695892741393)	(150, 0.0)
SRR21170617_1	(1, 0.02643665713248269)	(2, 0.27612225034458177)	(3, 0.0)	(4, 0.0)	(5, 0.01096777611219201)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 8.381945825137188e-07)	(15, 5.867362077596031e-06)	(20, 0.0011122842109957047)	(25, 5.280625869836428e-05)	(30, 0.00015087502485246936)	(35, 0.0007526987350973195)	(40, 0.0018876141998208948)	(45, 1.5925697067760658e-05)	(50, 0.0)	(55, 0.0)	(60, 6.202639910601518e-05)	(65, 0.0016973440295902802)	(70, 1.0058334990164625e-05)	(75, 0.00023217989935630007)	(80, 0.0)	(85, 0.0)	(90, 0.0005188424465759919)	(95, 7.543751242623469e-06)	(100, 0.0001961375323082102)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR21170617_2	(1, 0.0)	(2, 0.05156153974333141)	(3, 0.0)	(4, 0.0)	(5, 2.9336810387980156e-05)	(6, 0.00012572918737705781)	(7, 0.0)	(8, 0.0023637087226886866)	(9, 0.0)	(10, 0.0006579827472732692)	(15, 0.0007233619247093393)	(20, 0.0064884642632386975)	(25, 0.0011868835288394257)	(30, 0.0006278077423027753)	(35, 0.004557263945127089)	(40, 0.0038707825820483532)	(45, 0.011851233202161469)	(50, 0.0014098432877880749)	(55, 0.0008474147229213696)	(60, 0.006327530903396063)	(65, 0.004351906272411227)	(70, 0.0020057996359553287)	(75, 0.001212867560897351)	(80, 8.717223658142674e-05)	(85, 0.0009731439102984274)	(90, 0.0009614091861432354)	(95, 0.0034676109878592543)	(100, 0.002641151129500728)	(105, 0.0016830947216875472)	(110, 0.0009513508511530708)	(115, 0.005242907113623311)	(120, 0.00014584585735738707)	(125, 0.00010812710114426972)	(130, 0.0012497481225279545)	(135, 0.0)	(140, 0.00015003683026995566)	(145, 0.00023301809393881382)	(150, 0.0)
