.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR21170613_1	1	1	1	1	0.5	1	1	1	0.25	1	1
SRR21170613_2	1	1	0.5	1	0.5	1	1	1	0.25	1	1
SRR21170614_1	1	1	1	1	0.5	1	1	1	0.25	1	1
SRR21170614_2	1	1	0.5	1	0.5	1	1	1	0.25	1	1
SRR21170615_1	1	1	1	1	0.5	1	1	1	0.25	1	1
SRR21170615_2	1	1	1	1	0.5	1	1	1	0.25	0.5	1
SRR21170616_1	1	1	1	1	0.5	1	1	1	0.25	1	1
SRR21170616_2	1	1	1	1	0.5	1	1	1	0.25	1	1
SRR21170617_1	1	1	1	1	0.5	1	1	1	0.25	1	1
SRR21170617_2	1	1	1	1	0.5	1	1	1	0.25	1	1
SRR21170618_1	1	1	1	1	0.5	1	1	1	0.25	1	1
SRR21170618_2	1	1	1	1	0.5	1	1	1	0.25	0.5	1
