Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR21170613_1 - illumina_universal_adapter	(1, 0.00036534954324944267)	(2, 0.0003735596453449357)	(3, 0.00038176974744042884)	(4, 0.0003899798495359219)	(5, 0.0003899798495359219)	(6, 0.0003899798495359219)	(7, 0.00039408490058366846)	(8, 0.000398189951631415)	(9, 0.0004146101558224012)	(10, 0.0004269253089656408)	(12, 0.0004679758194431063)	(14, 0.0004926061257295856)	(16, 0.0005336566362070511)	(18, 0.0005664970445890235)	(20, 0.0006075475550664889)	(22, 0.000660913218687194)	(24, 0.0007471192906898715)	(26, 0.0008579556689790283)	(28, 0.0009749496238398048)	(30, 0.0011309415636541736)	(32, 0.0014408729177590378)	(34, 0.0016317577914792523)	(36, 0.0018452204459620727)	(38, 0.00205663057492102)	(40, 0.0023973498118839832)	(42, 0.002719596319132087)	(44, 0.0030685256581905436)	(46, 0.003409244895153507)	(48, 0.003873115663548867)	(50, 0.004380089467945565)	(52, 0.004946586512534589)	(54, 0.005453560316931287)	(56, 0.006118578586666227)	(58, 0.006939588796215536)	(60, 0.007783176786527452)	(62, 0.00875402135931951)	(64, 0.009833649784876853)	(66, 0.01115547622225124)	(68, 0.012409569317337811)	(70, 0.013891492745574312)	(72, 0.015531460639149059)	(74, 0.017230951772916128)	(76, 0.01934300053698173)	(78, 0.02174650792543733)	(80, 0.02438605574913836)	(82, 0.02738890059056496)	(84, 0.030746832347621635)	(86, 0.034437273239545776)	(88, 0.03849306367471937)	(90, 0.04315434913943557)	(92, 0.0482897680001665)	(94, 0.05420104150892153)	(96, 0.060760913083220514)	(98, 0.06777028774724773)	(100, 0.07547546856386801)	(102, 0.08377382925688764)	(104, 0.09344532952537851)	(106, 0.10395426020760967)	(108, 0.11513026168509964)	(110, 0.1276219320233924)	(112, 0.14132048736972264)	(114, 0.15552601652044953)	(116, 0.17114573575712516)	(118, 0.18896165730434517)	(120, 0.20831902551999398)	(122, 0.2293245717313131)	(124, 0.2511634433053247)	(126, 0.2755597616820824)	(128, 0.3019716601232837)	(130, 0.3307439629169393)	(132, 0.36336475106785715)	(134, 0.3985163031897109)	(136, 0.43679179915889965)	(138, 0.4779469884380827)
SRR21170613_1 - polya	(1, 0.0005993374529709958)	(2, 0.004634602632905851)	(3, 0.006908800913357438)	(4, 0.010287257925652845)	(5, 0.013267524986316838)	(6, 0.016859444653095065)	(7, 0.020106540031862585)	(8, 0.02680598334178495)	(9, 0.03710555642058103)	(10, 0.04801472957996748)	(12, 0.05557212855886888)	(14, 0.06523541872526425)	(16, 0.07477350483470335)	(18, 0.0831478089721063)	(20, 0.09235954352324954)	(22, 0.10459875322210588)	(24, 0.11492295660718845)	(26, 0.127158061254997)	(28, 0.13854547286144595)	(30, 0.14899077525243704)	(32, 0.15723371775631212)	(34, 0.1654356097497097)	(36, 0.1727302854615553)	(38, 0.1796493490025321)	(40, 0.186907079254948)	(42, 0.19439263984051386)	(44, 0.2020588226721805)	(46, 0.21080873898045227)	(48, 0.21887926934032198)	(50, 0.22699085021066917)	(52, 0.2349505441922497)	(54, 0.2438318221340494)	(56, 0.252454481859841)	(58, 0.2608780466098169)	(60, 0.2691353567923591)	(62, 0.27751581850633367)	(64, 0.2866023490005206)	(66, 0.29667409174616677)	(68, 0.3076017376352681)	(70, 0.31866895525999284)	(72, 0.32959660114909406)	(74, 0.33802016589907)	(76, 0.3469219690961084)	(78, 0.3560516026262967)	(80, 0.3646085815353244)	(82, 0.3721475077845109)	(84, 0.38044792100305447)	(86, 0.3907043910458492)	(88, 0.3998648124588956)	(90, 0.41012744007826196)	(92, 0.41973120700446503)	(94, 0.4304166548817493)	(96, 0.44104463204436506)	(98, 0.45117384550467965)	(100, 0.4610033902385088)	(102, 0.4705968945370925)	(104, 0.4802047665143433)	(106, 0.4886693817747967)	(108, 0.4987780699798725)	(110, 0.5080944833327333)	(112, 0.5161834864223178)	(114, 0.5240118187703706)	(116, 0.5324846441329194)	(118, 0.5405182290333594)	(120, 0.548120783573786)	(122, 0.5558567522732645)	(124, 0.5640442765879949)	(126, 0.5730199707038928)	(128, 0.5828885134226753)	(130, 0.5931593511441373)	(132, 0.6042060435136232)	(134, 0.6158500208105563)	(136, 0.6275576263987295)	(138, 0.638286177312015)
SRR21170613_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 7.799596990718438e-05)	(4, 0.00020935760343507388)	(5, 0.0003776646963926823)	(6, 0.0006444930144962078)	(7, 0.0010303678129843833)	(8, 0.0014737133261410102)	(9, 0.0020402103707300337)	(10, 0.002750384201990186)	(12, 0.0035467641052530164)	(14, 0.004279515717275775)	(16, 0.0050225299569178995)	(18, 0.005662917920366361)	(20, 0.006225309913907638)	(22, 0.006806174637163775)	(24, 0.007331621171275332)	(26, 0.007885803062721117)	(28, 0.008632922353410987)	(30, 0.009390304271720225)	(32, 0.010057375066979039)	(34, 0.010944066093292293)	(36, 0.011900542987417238)	(38, 0.012906280494115142)	(40, 0.013955121036814386)	(42, 0.014991646426370388)	(44, 0.016011751611735403)	(46, 0.01685328707652345)	(48, 0.01767634981159663)	(50, 0.018663614588579673)	(52, 0.019554410665940672)	(54, 0.020420576437015198)	(56, 0.021352423024853663)	(58, 0.022343792852884452)	(60, 0.02337210814034496)	(62, 0.0246364638630509)	(64, 0.02592955494309106)	(66, 0.027403268269232072)	(68, 0.02979651303006831)	(70, 0.06264718403966005)	(72, 0.0728728661995967)	(74, 0.07549804634463061)	(76, 0.0772878486014481)	(78, 0.07902223266912103)	(80, 0.08068477834345839)	(82, 0.08254436646808756)	(84, 0.08451889602205365)	(86, 0.08609728814991219)	(88, 0.08781114696234638)	(90, 0.0892150744206757)	(92, 0.0906662099660541)	(94, 0.0922179192621023)	(96, 0.09356027095471542)	(98, 0.09511813782733523)	(100, 0.09679094612929195)	(102, 0.09869774234097022)	(104, 0.10066200926731694)	(106, 0.10258933073423394)	(108, 0.10507288661812061)	(110, 0.10754002229781628)	(112, 0.1102719337700916)	(114, 0.113067473533607)	(116, 0.11595332442017284)	(118, 0.11885354298540576)	(120, 0.12206985048131519)	(122, 0.12523689736465163)	(124, 0.1283485260588435)	(126, 0.13177624368371188)	(128, 0.135353795671823)	(130, 0.13924538406508674)	(132, 0.1430487138608239)	(134, 0.1470367709537097)	(136, 0.15124650080317376)	(138, 0.15551164884178242)
SRR21170613_2 - illumina_universal_adapter	(1, 0.00034482428801070993)	(2, 0.00036534954324944267)	(3, 0.00036945459429718917)	(4, 0.0003776646963926823)	(5, 0.0003776646963926823)	(6, 0.0003776646963926823)	(7, 0.00038176974744042884)	(8, 0.0003899798495359219)	(9, 0.00040640005372690813)	(10, 0.00041871520687014775)	(12, 0.00046592329391923306)	(14, 0.0004987637023012054)	(16, 0.0005541818914457838)	(18, 0.0005870222998277561)	(20, 0.0006403879634484613)	(22, 0.0007163314078317724)	(24, 0.0008251152605970558)	(26, 0.0009934223535546644)	(28, 0.0012561456206104434)	(30, 0.001516816362142349)	(32, 0.0019293739924408767)	(34, 0.0023008811122619396)	(36, 0.0026477579257965225)	(38, 0.003004897366950472)	(40, 0.00353034390106203)	(42, 0.004035265179934855)	(44, 0.004544291509855427)	(46, 0.005145681488350296)	(48, 0.005851750268562703)	(50, 0.006600922084776447)	(52, 0.007372671681752797)	(54, 0.008148526329776895)	(56, 0.009090635545234729)	(58, 0.01013331851136235)	(60, 0.011288890381303002)	(62, 0.01257992893581929)	(64, 0.013936648307099526)	(66, 0.015632034389818847)	(68, 0.017171428532723805)	(70, 0.018953020687445806)	(72, 0.021009651262366827)	(74, 0.02302112627576263)	(76, 0.025455421547076335)	(78, 0.02822427847878138)	(80, 0.031284594034876434)	(82, 0.03465278841955247)	(84, 0.03844585558767028)	(86, 0.042481120767605136)	(88, 0.04692689105231465)	(90, 0.05201099677494875)	(92, 0.057595918725407924)	(94, 0.06392795996655697)	(96, 0.07106459121306434)	(98, 0.07860556998777474)	(100, 0.0868115670322201)	(102, 0.09560253385096931)	(104, 0.10578306044938075)	(106, 0.11688722353353517)	(108, 0.12861535437694704)	(110, 0.14164683892801846)	(112, 0.15602272769722686)	(114, 0.17090764279635584)	(116, 0.18710206917971597)	(118, 0.20554811606276507)	(120, 0.22554997729291013)	(122, 0.24712817812538984)	(124, 0.26956638715237247)	(126, 0.29474061270267815)	(128, 0.32185447487304414)	(130, 0.35142521009548633)	(132, 0.3847418043989973)	(134, 0.4206014778265873)	(136, 0.4595994627801795)	(138, 0.5016495531877713)
SRR21170613_2 - polya	(1, 0.0021223113916849644)	(2, 0.007828332348052665)	(3, 0.01400232912386347)	(4, 0.025324059913548445)	(5, 0.039268918322743464)	(6, 0.05349702525423299)	(7, 0.06624731380853377)	(8, 0.08500329204568774)	(9, 0.10664512116940754)	(10, 0.13683777162558336)	(12, 0.1671946241236691)	(14, 0.1987337313235058)	(16, 0.23020921023210245)	(18, 0.25731280977484905)	(20, 0.2841311082697772)	(22, 0.3121768170279816)	(24, 0.33726483650628464)	(26, 0.3641036602564516)	(28, 0.38895563929950916)	(30, 0.4110161836300991)	(32, 0.43005746291507146)	(34, 0.4488339664074642)	(36, 0.4662085949670514)	(38, 0.4823024475997418)	(40, 0.49803710826575426)	(42, 0.5137902416614817)	(44, 0.5294448538320631)	(46, 0.5458958459059073)	(48, 0.5610640095273309)	(50, 0.5760659185813206)	(52, 0.5907496861791101)	(54, 0.6056694942121448)	(56, 0.6194398879518106)	(58, 0.6324693199773581)	(60, 0.6453530226907107)	(62, 0.6584686607882609)	(64, 0.6721487434048763)	(66, 0.6864322685255104)	(68, 0.702019147353804)	(70, 0.7189422202981393)	(72, 0.7335623596046885)	(74, 0.7461751289488898)	(76, 0.7594713892925409)	(78, 0.7724433506034198)	(80, 0.7840606450685427)	(82, 0.7948589818496399)	(84, 0.8060062479697957)	(86, 0.8186539102479029)	(88, 0.8309423805593321)	(90, 0.8441832227138386)	(92, 0.8565476364696512)	(94, 0.8700347816870224)	(96, 0.8828322783283723)	(98, 0.8951125385377061)	(100, 0.9074153765278025)	(102, 0.9193241296173152)	(104, 0.9309701594397721)	(106, 0.9420086417071627)	(108, 0.9549662353393746)	(110, 0.9665753197024018)	(112, 0.9767968968112908)	(114, 0.9864827647584486)	(116, 0.9964128832429476)	(118, 1.006252690604396)	(120, 1.016035027251176)	(122, 1.0253103900935594)	(124, 1.0355545449832109)	(126, 1.0461147888035391)	(128, 1.0571204306625475)	(130, 1.0682430664764166)	(132, 1.0804617509200343)	(134, 1.0934070293991032)	(136, 1.1061142149174024)	(138, 1.117698668974143)
SRR21170613_2 - polyg	(1, 0.27433645646985394)	(2, 0.28934862815146306)	(3, 0.2899397555023386)	(4, 0.29040362627073396)	(5, 0.29087160209017704)	(6, 0.2912574768886652)	(7, 0.29207027699611904)	(8, 0.2928789720525251)	(9, 0.2939996509885599)	(10, 0.2959290249810008)	(12, 0.29797334040277856)	(14, 0.2994860517138732)	(16, 0.30046305386323685)	(18, 0.3013148519556442)	(20, 0.30228980157948404)	(22, 0.3031231269421766)	(24, 0.3038846139115336)	(26, 0.3045763150130789)	(28, 0.3053870625950088)	(30, 0.30631480413179957)	(32, 0.30708450120325204)	(34, 0.3078829336320388)	(36, 0.3088537782048308)	(38, 0.30975073185876345)	(40, 0.3106723158189825)	(42, 0.31146869572224534)	(44, 0.31229586350836624)	(46, 0.3132379727238241)	(48, 0.3140692455609928)	(50, 0.3149908295212119)	(52, 0.31601914480867244)	(54, 0.31708235303003873)	(56, 0.31810040568987985)	(58, 0.3189480987312395)	(60, 0.31988815542117355)	(62, 0.32096778384673086)	(64, 0.32205767489990755)	(66, 0.3232748225355644)	(68, 0.32439344894607536)	(70, 0.3256003339541128)	(72, 0.32683595431948453)	(74, 0.3280838898379995)	(76, 0.32960481125118957)	(78, 0.3309800033521847)	(80, 0.3322505166514622)	(82, 0.3336708643139825)	(84, 0.3354031958561316)	(86, 0.33697132535637075)	(88, 0.33852508717794283)	(90, 0.3400624287953239)	(92, 0.34164287344870636)	(94, 0.3431904776937068)	(96, 0.3449166516592842)	(98, 0.34661203774200355)	(100, 0.3485332016323489)	(102, 0.35037431702726324)	(104, 0.35227906071341764)	(106, 0.3542351175376689)	(108, 0.35634100872516283)	(110, 0.35864394236294866)	(112, 0.361230124523029)	(114, 0.36424938956864655)	(116, 0.36722349905273893)	(118, 0.3703700206808367)	(120, 0.3736745867742726)	(122, 0.37707767409285453)	(124, 0.38055465233029584)	(126, 0.3841773598799322)	(128, 0.3880463704924333)	(130, 0.39228073064818386)	(132, 0.39680654942832444)	(134, 0.4016279318839028)	(136, 0.40700349623092685)	(138, 0.41236058784823615)
SRR21170614_1 - illumina_universal_adapter	(1, 0.00041160155954583636)	(2, 0.00041160155954583636)	(3, 0.00041991674256696435)	(4, 0.00042407433407752837)	(5, 0.00042823192558809234)	(6, 0.00044486229163034837)	(7, 0.00044486229163034837)	(8, 0.00045317747465147635)	(9, 0.0004573350661620404)	(10, 0.0004698078406937324)	(12, 0.0004822806152254244)	(14, 0.0004905957982465524)	(16, 0.0005155413473099365)	(18, 0.0005508808751497305)	(20, 0.0006007719732764985)	(22, 0.0006672934374455225)	(24, 0.0007566816549226486)	(26, 0.0008419122808892108)	(28, 0.0009770340049825407)	(30, 0.001149574052670947)	(32, 0.0014946541480477592)	(34, 0.0017399520471710356)	(36, 0.002022668269889388)	(38, 0.00230538449260774)	(40, 0.0026151250601447584)	(42, 0.0030142538451589027)	(44, 0.003373885510822689)	(46, 0.0037834082746132434)	(48, 0.0042532161153069755)	(50, 0.004810333377722552)	(52, 0.005431893308551871)	(54, 0.0060222713030519594)	(56, 0.006650067621147124)	(58, 0.007363094565208851)	(60, 0.008159273339481857)	(62, 0.008978318867062966)	(64, 0.009922092139960995)	(66, 0.011011381115728764)	(68, 0.012111064070272941)	(70, 0.013493463247535474)	(72, 0.01511076634514487)	(74, 0.016811221272965547)	(76, 0.018825574359833806)	(78, 0.02113511644395211)	(80, 0.023504943604973592)	(82, 0.02642149404963424)	(84, 0.02964986385758719)	(86, 0.03318589543732188)	(88, 0.03706492831667809)	(90, 0.04146573893061009)	(92, 0.04656294612256156)	(94, 0.05200315461413456)	(96, 0.058293590569617894)	(98, 0.06521598043470696)	(100, 0.07305927681938595)	(102, 0.08174656428070944)	(104, 0.09120300617148727)	(106, 0.101985719754135)	(108, 0.11354174535774765)	(110, 0.1259438408337601)	(112, 0.13940404334921103)	(114, 0.15504906020346337)	(116, 0.171669032266943)	(118, 0.18963190638833477)	(120, 0.20953429694940465)	(122, 0.23122237306426177)	(124, 0.2556419868015594)	(126, 0.2822027601667976)	(128, 0.31133708267707483)	(130, 0.3428038140247785)	(132, 0.3771413623105266)	(134, 0.4140545385370691)	(136, 0.4540651204389818)	(138, 0.4979859171565799)
SRR21170614_1 - polya	(1, 0.0006402690926268565)	(2, 0.004606611393704916)	(3, 0.00703048724436373)	(4, 0.010809737927466409)	(5, 0.013769943082987979)	(6, 0.016850718392315906)	(7, 0.02030151934608403)	(8, 0.027277957900810428)	(9, 0.03780082201404792)	(10, 0.04863342669482243)	(12, 0.05621687361009117)	(14, 0.0662283539675293)	(16, 0.07676992724256432)	(18, 0.08562351836431037)	(20, 0.09536059768205127)	(22, 0.10803709419776092)	(24, 0.11853917035344558)	(26, 0.13167923832258313)	(28, 0.14371338694991062)	(30, 0.15463537984816225)	(32, 0.16307321181885193)	(34, 0.17166903226694297)	(36, 0.17963497760118363)	(38, 0.1868816596040967)	(40, 0.19426762092261363)	(42, 0.20175960082464994)	(44, 0.20971515218011416)	(46, 0.21840036084568237)	(48, 0.22674464700738434)	(50, 0.2348103745378785)	(52, 0.24290312641319134)	(54, 0.2519105484208283)	(56, 0.26079324268314824)	(58, 0.26977571914172177)	(60, 0.2785503160247671)	(62, 0.28738104039320506)	(64, 0.29691231893117304)	(66, 0.3065516948484157)	(68, 0.31736351157163734)	(70, 0.32834578954679217)	(72, 0.33955049866776216)	(74, 0.34870343637826884)	(76, 0.3576006822108758)	(78, 0.3672421369238737)	(80, 0.37543882858695066)	(82, 0.38344427104054163)	(84, 0.39214195248064154)	(86, 0.4023322092730339)	(88, 0.41240813229888573)	(90, 0.4235962110538135)	(92, 0.433537012355572)	(94, 0.44517826858515125)	(96, 0.45570321149414406)	(98, 0.4657895284987723)	(100, 0.47606501591713124)	(102, 0.48596424130378413)	(104, 0.4958842546479898)	(106, 0.5046858758758539)	(108, 0.5156286567316583)	(110, 0.5252160627550189)	(112, 0.533687155457793)	(114, 0.5418464287972748)	(116, 0.5501221146990525)	(118, 0.558160817884728)	(120, 0.5659292776222169)	(122, 0.5741758603834206)	(124, 0.5833454284599695)	(126, 0.5928891797724691)	(128, 0.6028757145808439)	(130, 0.6133382936171783)	(132, 0.6248735312632381)	(134, 0.6371238746491149)	(136, 0.6491725748467294)	(138, 0.659998943140238)
SRR21170614_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 6.652146416902405e-05)	(4, 0.00014551570286974012)	(5, 0.00030350418027117224)	(6, 0.0005446444878838845)	(7, 0.0008772518087290048)	(8, 0.001284695776764277)	(9, 0.0017545036174580096)	(10, 0.002361511978000354)	(12, 0.0031036420626360285)	(14, 0.003785487070368525)	(16, 0.00443407134601651)	(18, 0.005007818974474342)	(20, 0.005583645398687456)	(22, 0.0061677870059217)	(24, 0.0066001765230203555)	(26, 0.007117796666085574)	(28, 0.00771648984360679)	(30, 0.008352601344723083)	(32, 0.009048997922742552)	(34, 0.009828546330973305)	(36, 0.01084299865955092)	(38, 0.01172440805979049)	(40, 0.01267857531146493)	(42, 0.013449808536674551)	(44, 0.014395660605327862)	(46, 0.015289542780099124)	(48, 0.01613769144825418)	(50, 0.01698168252489867)	(52, 0.017775782503416396)	(54, 0.01862185237581617)	(56, 0.01947207983972651)	(58, 0.02033478007816854)	(60, 0.021272316963800723)	(62, 0.02225766615180439)	(64, 0.02340516140872006)	(66, 0.024658675249155104)	(68, 0.026560773365238134)	(70, 0.05463698883607685)	(72, 0.06077151510991404)	(74, 0.06269024359203933)	(76, 0.0641017459098758)	(78, 0.06542178121447988)	(80, 0.066793786412966)	(82, 0.06827388899072678)	(84, 0.06992861041193126)	(86, 0.07129022163164098)	(88, 0.07284100326508133)	(90, 0.07420053568903576)	(92, 0.07549978303608702)	(94, 0.07684476388975447)	(96, 0.07826873898212265)	(98, 0.07971558082779892)	(100, 0.08122478654613366)	(102, 0.08288782315035925)	(104, 0.08465687833810423)	(106, 0.08630328457628758)	(108, 0.08852343844292876)	(110, 0.09092652633603476)	(112, 0.09352709982589254)	(114, 0.09613183090726088)	(116, 0.09863054340510985)	(118, 0.10123943207798877)	(120, 0.10416429770567054)	(122, 0.10720557589564811)	(124, 0.11026972083893379)	(126, 0.11340038724638848)	(128, 0.1165393688368643)	(130, 0.11995690905854792)	(132, 0.12325180033066988)	(134, 0.1269104808599662)	(136, 0.13059826452983647)	(138, 0.1342777330166856)
SRR21170614_2 - illumina_universal_adapter	(1, 0.00039497119350358033)	(2, 0.00039497119350358033)	(3, 0.0004032863765247083)	(4, 0.0004032863765247083)	(5, 0.0004032863765247083)	(6, 0.00041991674256696435)	(7, 0.00042407433407752837)	(8, 0.00043238951709865636)	(9, 0.0004365471086092204)	(10, 0.00044901988314091233)	(12, 0.00046565024918316836)	(14, 0.00047396543220429635)	(16, 0.0005093049600440904)	(18, 0.0005591960581708584)	(20, 0.0006277963180951645)	(22, 0.0007213421270828546)	(24, 0.0008793306044842867)	(26, 0.0010352402861304368)	(28, 0.0012472774531692011)	(30, 0.0015279148801322713)	(32, 0.002062165389239746)	(34, 0.002498712497848966)	(36, 0.0029290232191923403)	(38, 0.003353097553269869)	(40, 0.003868638900579805)	(42, 0.004504750401696098)	(44, 0.005124231536770134)	(46, 0.005833100889321297)	(48, 0.006560679403669997)	(50, 0.0073755673397405425)	(52, 0.008304789042351598)	(54, 0.00920075001287814)	(56, 0.010159074856063143)	(58, 0.011161054410109068)	(60, 0.012266973751919093)	(62, 0.013447729740919269)	(64, 0.014744898292215237)	(66, 0.016175109771849255)	(68, 0.017597006068462144)	(70, 0.01937645523498354)	(72, 0.02132012926617221)	(74, 0.02332408837426406)	(76, 0.025714703492838362)	(78, 0.028388034834131017)	(80, 0.03113204523110326)	(82, 0.034476827601352)	(84, 0.038120956560361345)	(86, 0.04206858969964187)	(88, 0.04637169691307561)	(90, 0.05124023657194606)	(92, 0.05686337908998387)	(94, 0.06269024359203933)	(96, 0.06944632979670584)	(98, 0.0768551578685309)	(100, 0.08526804429015714)	(102, 0.09444384875397191)	(104, 0.10441583199205967)	(106, 0.11573903247108074)	(108, 0.12786672690739592)	(110, 0.14078852132222885)	(112, 0.15492849004965703)	(114, 0.17101213280827388)	(116, 0.18820793129596658)	(118, 0.20681938969300634)	(120, 0.22745767395144606)	(122, 0.24992321967877867)	(124, 0.27495192057237394)	(126, 0.302109308319378)	(128, 0.3316718627552434)	(130, 0.3638453846597429)	(132, 0.39895000857919005)	(134, 0.43660947248187887)	(136, 0.47745988786892546)	(138, 0.5221228146711592)
