Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR21170613_1	(1.0, 31.33894923550243)	(2.0, 15.553917764049865)	(3.0, 8.573957686680547)	(4.0, 5.15240964022977)	(5.0, 3.508865611542052)	(6.0, 2.4960761708118016)	(7.0, 1.9831448406126182)	(8.0, 1.6503182738707107)	(9.0, 1.4379160911369986)	('>10', 14.811505827819385)	('>50', 4.059892132886565)	('>100', 6.61829672317383)	('>500', 1.5778127459251845)	('>1k', 1.2115025418472818)	('>5k', 0.025434713910754584)	('>10k+', 0.0)
SRR21170613_2	(1.0, 33.21008316563439)	(2.0, 15.399795764757506)	(3.0, 8.303208117339775)	(4.0, 4.95240325084549)	(5.0, 3.3689935418608186)	(6.0, 2.550461195662616)	(7.0, 1.9990675713915746)	(8.0, 1.52980557069344)	(9.0, 1.2963898318258382)	('>10', 14.364671522691463)	('>50', 4.045772742370178)	('>100', 6.283551416041582)	('>500', 1.469912961277209)	('>1k', 1.11199430724603)	('>5k', 0.0)	('>10k+', 0.1138890403623375)
SRR21170614_1	(1.0, 30.864841002229788)	(2.0, 15.637120102811513)	(3.0, 8.867930732169956)	(4.0, 5.260460925089619)	(5.0, 3.6159848702052675)	(6.0, 2.5995584307884507)	(7.0, 2.0863346172306216)	(8.0, 1.7837309277566353)	(9.0, 1.3922956971324465)	('>10', 15.153721691285138)	('>50', 4.157308534410598)	('>100', 6.189180394972346)	('>500', 1.3772977716909667)	('>1k', 0.9893624908136581)	('>5k', 0.02487181141298576)	('>10k+', 0.0)
SRR21170614_2	(1.0, 32.890286863756096)	(2.0, 15.57151079936079)	(3.0, 8.508766951576042)	(4.0, 5.162027316922429)	(5.0, 3.6285662793829525)	(6.0, 2.688754829302032)	(7.0, 2.0274587415460434)	(8.0, 1.6007690549045068)	(9.0, 1.3700872847255336)	('>10', 14.572482244506269)	('>50', 3.858084224699829)	('>100', 5.847385697752768)	('>500', 1.2873860006963813)	('>1k', 0.8763311517087573)	('>5k', 0.0)	('>10k+', 0.11010255915939497)
SRR21170615_1	(1.0, 31.135735301054048)	(2.0, 15.558473163894874)	(3.0, 8.667020611132283)	(4.0, 5.327793315613348)	(5.0, 3.5686514589608547)	(6.0, 2.6259216314458844)	(7.0, 2.1469540239652853)	(8.0, 1.6845096203093226)	(9.0, 1.475368439038862)	('>10', 15.186202739519757)	('>50', 4.016752694094835)	('>100', 6.141767949502206)	('>500', 1.4205784077937034)	('>1k', 0.9818958834160667)	('>5k', 0.06237476025858677)	('>10k+', 0.0)
SRR21170615_2	(1.0, 33.83622067162976)	(2.0, 15.498637831278844)	(3.0, 8.230992014617193)	(4.0, 5.13359549876652)	(5.0, 3.345505008022072)	(6.0, 2.6338789040368984)	(7.0, 1.9796871022156388)	(8.0, 1.6884843761863166)	(9.0, 1.3812939465197802)	('>10', 14.39572095546375)	('>50', 3.868534884251055)	('>100', 5.687829502002197)	('>500', 1.301357874034395)	('>1k', 0.8758034327142129)	('>5k', 0.0)	('>10k+', 0.14245799826133493)
SRR21170616_1	(1.0, 30.007920142446682)	(2.0, 15.555484216018248)	(3.0, 8.570289141028901)	(4.0, 5.359346590172908)	(5.0, 3.7420659269442096)	(6.0, 2.6776753019173696)	(7.0, 2.1894755270839057)	(8.0, 1.7006794685445388)	(9.0, 1.4571901847982272)	('>10', 15.468772327355182)	('>50', 4.341472621159334)	('>100', 6.445960450136193)	('>500', 1.4242201115773752)	('>1k', 1.024231174293031)	('>5k', 0.03521681652346971)	('>10k+', 0.0)
SRR21170616_2	(1.0, 31.77272263352997)	(2.0, 15.591015928477495)	(3.0, 8.670716798822369)	(4.0, 5.08786684158372)	(5.0, 3.656689090850355)	(6.0, 2.6382549067294017)	(7.0, 2.0510072282978298)	(8.0, 1.7268890813556526)	(9.0, 1.4375858461772832)	('>10', 14.805752917492304)	('>50', 4.057256925120123)	('>100', 6.116795777077992)	('>500', 1.3307900540850572)	('>1k', 0.9672697809717874)	('>5k', 0.0)	('>10k+', 0.08938618942863825)
SRR21170617_1	(1.0, 30.44368216404999)	(2.0, 15.640701830855125)	(3.0, 8.419633151602063)	(4.0, 5.157842836756375)	(5.0, 3.4723994212333658)	(6.0, 2.6245966547963384)	(7.0, 2.113899348571272)	(8.0, 1.6061889736990422)	(9.0, 1.443939481813075)	('>10', 14.980104525607485)	('>50', 4.309325328278308)	('>100', 6.916424892925798)	('>500', 1.6461590077450416)	('>1k', 1.1697406340569587)	('>5k', 0.055361748009528186)	('>10k+', 0.0)
SRR21170617_2	(1.0, 32.401675626053084)	(2.0, 15.420760109586364)	(3.0, 8.320978407558)	(4.0, 4.966022840510786)	(5.0, 3.4289492520530365)	(6.0, 2.5139745275634624)	(7.0, 1.873524549124156)	(8.0, 1.5221488288166514)	(9.0, 1.4153225387247168)	('>10', 14.72828672359969)	('>50', 4.16368716006802)	('>100', 6.549028761752791)	('>500', 1.539281605321668)	('>1k', 1.0600753907837068)	('>5k', 0.0)	('>10k+', 0.0962836784837433)
