Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR21170613_1	(13.0, 2.0)	(14.0, 92.0)	(15.0, 342.0)	(16.0, 731.0)	(17.0, 1140.0)	(18.0, 1849.0)	(19.0, 2872.0)	(20.0, 4000.0)	(21.0, 5664.0)	(22.0, 8580.0)	(23.0, 13201.0)	(24.0, 19762.0)	(25.0, 29858.0)	(26.0, 44145.0)	(27.0, 66773.0)	(28.0, 99967.0)	(29.0, 145395.0)	(30.0, 201185.0)	(31.0, 274960.0)	(32.0, 377400.0)	(33.0, 540920.0)	(34.0, 881183.0)	(35.0, 2332184.0)	(36.0, 17963750.0)	(37.0, 1344278.0)			
SRR21170613_2	(11.0, 20.0)	(12.0, 790.0)	(13.0, 5025.0)	(14.0, 9062.0)	(15.0, 9773.0)	(16.0, 9363.0)	(17.0, 9893.0)	(18.0, 12432.0)	(19.0, 17412.0)	(20.0, 26292.0)	(21.0, 38527.0)	(22.0, 51307.0)	(23.0, 60449.0)	(24.0, 67370.0)	(25.0, 74036.0)	(26.0, 84408.0)	(27.0, 100174.0)	(28.0, 123782.0)	(29.0, 158717.0)	(30.0, 210959.0)	(31.0, 295589.0)	(32.0, 446331.0)	(33.0, 751472.0)	(34.0, 1579584.0)	(35.0, 4839133.0)	(36.0, 14747107.0)	(37.0, 631226.0)	
SRR21170614_1	(13.0, 3.0)	(14.0, 70.0)	(15.0, 278.0)	(16.0, 602.0)	(17.0, 976.0)	(18.0, 1576.0)	(19.0, 2381.0)	(20.0, 3571.0)	(21.0, 5155.0)	(22.0, 7801.0)	(23.0, 11764.0)	(24.0, 17553.0)	(25.0, 25616.0)	(26.0, 36804.0)	(27.0, 55047.0)	(28.0, 82998.0)	(29.0, 123316.0)	(30.0, 173495.0)	(31.0, 243284.0)	(32.0, 339610.0)	(33.0, 493488.0)	(34.0, 833145.0)	(35.0, 2283652.0)	(36.0, 17979322.0)	(37.0, 1330880.0)			
SRR21170614_2	(11.0, 14.0)	(12.0, 789.0)	(13.0, 4826.0)	(14.0, 8649.0)	(15.0, 9183.0)	(16.0, 8814.0)	(17.0, 9205.0)	(18.0, 11366.0)	(19.0, 16067.0)	(20.0, 24171.0)	(21.0, 36138.0)	(22.0, 48484.0)	(23.0, 58631.0)	(24.0, 64688.0)	(25.0, 72328.0)	(26.0, 82848.0)	(27.0, 99146.0)	(28.0, 123039.0)	(29.0, 159942.0)	(30.0, 214857.0)	(31.0, 305616.0)	(32.0, 464672.0)	(33.0, 786759.0)	(34.0, 1652616.0)	(35.0, 4923475.0)	(36.0, 14262927.0)	(37.0, 603137.0)	
SRR21170615_1	(13.0, 5.0)	(14.0, 81.0)	(15.0, 330.0)	(16.0, 623.0)	(17.0, 1025.0)	(18.0, 1636.0)	(19.0, 2547.0)	(20.0, 3659.0)	(21.0, 5205.0)	(22.0, 7894.0)	(23.0, 11889.0)	(24.0, 17789.0)	(25.0, 26427.0)	(26.0, 38904.0)	(27.0, 59245.0)	(28.0, 87555.0)	(29.0, 127558.0)	(30.0, 178179.0)	(31.0, 242360.0)	(32.0, 333152.0)	(33.0, 474617.0)	(34.0, 776833.0)	(35.0, 2032703.0)	(36.0, 17208921.0)	(37.0, 1413269.0)			
SRR21170615_2	(11.0, 21.0)	(12.0, 1050.0)	(13.0, 5614.0)	(14.0, 9075.0)	(15.0, 9434.0)	(16.0, 9196.0)	(17.0, 9757.0)	(18.0, 12143.0)	(19.0, 16971.0)	(20.0, 25145.0)	(21.0, 35321.0)	(22.0, 46891.0)	(23.0, 55625.0)	(24.0, 62379.0)	(25.0, 69587.0)	(26.0, 80525.0)	(27.0, 98353.0)	(28.0, 123122.0)	(29.0, 160894.0)	(30.0, 215574.0)	(31.0, 304639.0)	(32.0, 466971.0)	(33.0, 812637.0)	(34.0, 1769455.0)	(35.0, 5278225.0)	(36.0, 12931934.0)	(37.0, 441868.0)	
SRR21170616_1	(13.0, 5.0)	(14.0, 80.0)	(15.0, 293.0)	(16.0, 607.0)	(17.0, 1001.0)	(18.0, 1547.0)	(19.0, 2443.0)	(20.0, 3623.0)	(21.0, 5078.0)	(22.0, 7720.0)	(23.0, 12032.0)	(24.0, 18445.0)	(25.0, 28414.0)	(26.0, 42582.0)	(27.0, 64617.0)	(28.0, 95267.0)	(29.0, 137107.0)	(30.0, 189172.0)	(31.0, 255434.0)	(32.0, 348356.0)	(33.0, 494118.0)	(34.0, 811307.0)	(35.0, 2153755.0)	(36.0, 18261211.0)	(37.0, 1471846.0)			
SRR21170616_2	(11.0, 9.0)	(12.0, 625.0)	(13.0, 3983.0)	(14.0, 7622.0)	(15.0, 8285.0)	(16.0, 7896.0)	(17.0, 8069.0)	(18.0, 9911.0)	(19.0, 14163.0)	(20.0, 21254.0)	(21.0, 31737.0)	(22.0, 43620.0)	(23.0, 52556.0)	(24.0, 59353.0)	(25.0, 65051.0)	(26.0, 74798.0)	(27.0, 88802.0)	(28.0, 107631.0)	(29.0, 138768.0)	(30.0, 186064.0)	(31.0, 261633.0)	(32.0, 393634.0)	(33.0, 659164.0)	(34.0, 1394702.0)	(35.0, 4453862.0)	(36.0, 15561457.0)	(37.0, 751411.0)	
SRR21170617_1	(13.0, 7.0)	(14.0, 69.0)	(15.0, 315.0)	(16.0, 609.0)	(17.0, 989.0)	(18.0, 1641.0)	(19.0, 2402.0)	(20.0, 3581.0)	(21.0, 5241.0)	(22.0, 7753.0)	(23.0, 11916.0)	(24.0, 17756.0)	(25.0, 26108.0)	(26.0, 38033.0)	(27.0, 56815.0)	(28.0, 84225.0)	(29.0, 123715.0)	(30.0, 173058.0)	(31.0, 239637.0)	(32.0, 333342.0)	(33.0, 480593.0)	(34.0, 801907.0)	(35.0, 2162442.0)	(36.0, 17904900.0)	(37.0, 1383754.0)			
SRR21170617_2	(10.0, 1.0)	(11.0, 17.0)	(12.0, 646.0)	(13.0, 3966.0)	(14.0, 7447.0)	(15.0, 8268.0)	(16.0, 8199.0)	(17.0, 8570.0)	(18.0, 10938.0)	(19.0, 15661.0)	(20.0, 23514.0)	(21.0, 34217.0)	(22.0, 45877.0)	(23.0, 54206.0)	(24.0, 60228.0)	(25.0, 66550.0)	(26.0, 75346.0)	(27.0, 88131.0)	(28.0, 109103.0)	(29.0, 142367.0)	(30.0, 191281.0)	(31.0, 271767.0)	(32.0, 420047.0)	(33.0, 725769.0)	(34.0, 1581073.0)	(35.0, 4941814.0)	(36.0, 14396488.0)	(37.0, 569317.0)
