Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR27961774_1 - polya	(1, 0.010800414894240816)	(2, 0.014497760398055176)	(3, 0.016195414812482614)	(4, 0.018705443731973487)	(5, 0.020580154128273725)	(6, 0.022569430159903422)	(7, 0.025360665638839333)	(8, 0.03325527941881478)	(9, 0.043316225212292725)	(10, 0.051533705782742106)	(11, 0.053866678720360175)	(12, 0.05663708408378164)	(13, 0.06088642764872885)	(14, 0.06656263412641568)	(15, 0.07456139848396336)	(16, 0.0829351049207711)	(17, 0.08795516275975285)	(18, 0.0926731839237751)	(19, 0.09692252748872232)	(20, 0.10289035558361141)	(21, 0.10836867596391099)	(22, 0.11451356004067288)	(23, 0.11979399432358522)	(24, 0.12497027802892532)	(25, 0.12962580884640426)	(26, 0.13770789366600972)	(27, 0.14310289358425152)	(28, 0.14871660971539502)	(29, 0.15377832778540565)	(30, 0.15847551883391348)	(31, 0.16294357861176237)	(32, 0.167026281252594)	(33, 0.17140060551062788)	(34, 0.17643107840736685)	(35, 0.18005551850688065)	(36, 0.18425278678304174)	(37, 0.18785639676704108)	(38, 0.19191826929235828)	(39, 0.1957822557202882)	(40, 0.20217710118322346)	(41, 0.20667640613434404)	(42, 0.21106114545013516)	(43, 0.21535214924611126)	(44, 0.2194348518869429)	(45, 0.22561098113697645)	(46, 0.23053730345614318)	(47, 0.2355886064683966)	(48, 0.23977545968680047)	(49, 0.24406646348277658)	(50, 0.24838871245202435)	(51, 0.25249224520837044)	(52, 0.2576997740869822)	(53, 0.2642508454162758)	(54, 0.2715518009040895)	(55, 0.2778008355584236)	(56, 0.2825605169534748)	(57, 0.2875493296191849)	(58, 0.2920069743392765)	(59, 0.2964854491748827)	(60, 0.30049524641141373)	(61, 0.3048591556116904)	(62, 0.3094938563136549)	(63, 0.3141389720733766)	(64, 0.31965895268470507)	(65, 0.325106027891733)
SRR27961774_1 - polyg	(1, 0.0032703281357681934)	(2, 0.005259604167397891)	(3, 0.005707451650958503)	(4, 0.006082393730218551)	(5, 0.006728127311166411)	(6, 0.007707142740345424)	(7, 0.008634082880738319)	(8, 0.009873474753847922)	(9, 0.011727355034633713)	(10, 0.012966746907743314)	(11, 0.014185308665338469)	(12, 0.015310134903118612)	(13, 0.016466206314170426)	(14, 0.01753895726316445)	(15, 0.018788764194031277)	(16, 0.019996910893869208)	(17, 0.021007171496319893)	(18, 0.02194452669447001)	(19, 0.023017277643464035)	(20, 0.02385048226404192)	(21, 0.02473576217340592)	(22, 0.025756437833613827)	(23, 0.026652132800735053)	(24, 0.02766239340318574)	(25, 0.028651823890121973)	(26, 0.029859970589959907)	(27, 0.03083898601913892)	(28, 0.03190132191037572)	(29, 0.03296365780161252)	(30, 0.03428637013677991)	(31, 0.03561949752970452)	(32, 0.036713078594213)	(33, 0.037879565063022036)	(34, 0.039233522571461094)	(35, 0.0408270264083163)	(36, 0.04241011518741428)	(37, 0.044014034082026705)	(38, 0.04695108036956375)	(39, 0.04837794328230337)	(40, 0.04973190079074243)	(41, 0.051856572573216034)	(42, 0.053418831236799566)	(43, 0.05509565553571256)	(44, 0.05664749914153886)	(45, 0.05843888907578131)	(46, 0.060001147739364845)	(47, 0.06216747975286734)	(48, 0.06390679439832368)	(49, 0.0658648252566817)	(50, 0.06755206461335192)	(51, 0.06965590628031107)	(52, 0.07168684254296967)	(53, 0.07430102204003278)	(54, 0.07739429419392817)	(55, 0.0795710412651879)	(56, 0.08190401420280596)	(57, 0.08455985393089796)	(58, 0.08694490215730216)	(59, 0.08915289440183355)	(60, 0.09181914918768277)	(61, 0.09431876304941643)	(62, 0.09691211243096509)	(63, 0.10002621470037493)	(64, 0.10294243087239753)	(65, 0.10583781692890568)
SRR27961774_2 - polya	(1, 0.017695183129522805)	(2, 0.02223614831167227)	(3, 0.024392065267417544)	(4, 0.02772488374972908)	(5, 0.02995370610977492)	(6, 0.032255433874121324)	(7, 0.03549451683661784)	(8, 0.04484723870260459)	(9, 0.05637670763985105)	(10, 0.06531282719554886)	(11, 0.06809364761672754)	(12, 0.07107235413529348)	(13, 0.07629029807166247)	(14, 0.08226854122430878)	(15, 0.09115258549122048)	(16, 0.10130726680451342)	(17, 0.10658770108742577)	(18, 0.11231598285389871)	(19, 0.11755475690578215)	(20, 0.12437661973676357)	(21, 0.13086520071951385)	(22, 0.13816615620732756)	(23, 0.14425896499530333)	(24, 0.14970604020233125)	(25, 0.15521560575590249)	(26, 0.16447459210207424)	(27, 0.171452680799414)	(28, 0.1786599007674127)	(29, 0.18432569218734232)	(30, 0.18950197589268242)	(31, 0.19463659936699362)	(32, 0.1998024680145765)	(33, 0.20496833666215938)	(34, 0.21046748715797342)	(35, 0.21557086545901294)	(36, 0.2206013383557519)	(37, 0.22473611628536966)	(38, 0.22954787296920695)	(39, 0.2344846103461309)	(40, 0.24138979363917012)	(41, 0.24672230321086858)	(42, 0.2520756428980815)	(43, 0.25734566212323656)	(44, 0.2625011157130622)	(45, 0.26963543027676035)	(46, 0.2757490691802506)	(47, 0.28147735094672355)	(48, 0.2864453334969192)	(49, 0.2911841847764559)	(50, 0.2964854491748827)	(51, 0.3015888274759222)	(52, 0.3083481999603603)	(53, 0.3169614527255842)	(54, 0.3276785471577672)	(55, 0.348914849924746)	(56, 0.3740359692351692)	(57, 0.4054477834309554)	(58, 0.4917469520073097)	(59, 0.6529824611468874)	(60, 0.741625017718617)	(61, 0.7688395636382421)	(62, 0.7771924399595355)	(63, 0.7829623819570373)	(64, 0.7880865903735913)	(65, 0.7950021887243877)
SRR27961774_2 - polyg	(1, 0.7417395833539465)	(2, 0.7440204810027784)	(3, 0.7458535311680498)	(4, 0.7469262821170438)	(5, 0.7476865813333211)	(6, 0.7484781257228701)	(7, 0.7497800079425231)	(8, 0.7526337337680022)	(9, 0.7574767356251112)	(10, 0.7617885695366018)	(11, 0.7655484053869595)	(12, 0.7696311080277911)	(13, 0.7769112334000904)	(14, 0.7797128839367835)	(15, 0.781650084679627)	(16, 0.7836914360000429)	(17, 0.7853995054722276)	(18, 0.7868784436737534)	(19, 0.7881803258934063)	(20, 0.7895863586906314)	(21, 0.7912527679317872)	(22, 0.7928879319996713)	(23, 0.794502265952041)	(24, 0.7961478450776823)	(25, 0.7975747079904218)	(26, 0.7988974203255893)	(27, 0.8006263199132884)	(28, 0.8028655573310914)	(29, 0.8044903063412183)	(30, 0.8058234337341429)	(31, 0.8073440321666976)	(32, 0.8090625166966394)	(33, 0.8108330765153675)	(34, 0.8128015224314827)	(35, 0.8146658177700258)	(36, 0.8163947173577248)	(37, 0.8182381825807534)	(38, 0.82185220762251)	(39, 0.8243830666575153)	(40, 0.8279658465260002)	(41, 0.8333296012709703)	(42, 0.8364645336558946)	(43, 0.8396411262718478)	(44, 0.8424531918662982)	(45, 0.8446715991685868)	(46, 0.8469941570484476)	(47, 0.8492854697550368)	(48, 0.8514205565952676)	(49, 0.8532431917027817)	(50, 0.8551908075033825)	(51, 0.8567322360514517)	(52, 0.8584923808124224)	(53, 0.8607003730569538)	(54, 0.8636999096910342)	(55, 0.8653871490477044)	(56, 0.8672514443862475)	(57, 0.8690532493782471)	(58, 0.871146675987449)	(59, 0.8731463670768359)	(60, 0.8751668882817373)	(61, 0.8775206913348699)	(62, 0.8797703438104301)	(63, 0.8821137318058054)	(64, 0.8846341757830535)	(65, 0.8871025444715155)
SRR27961775_1 - polya	(1, 0.010496737341008557)	(2, 0.013992575172504377)	(3, 0.015625196006738572)	(4, 0.018272439958293456)	(5, 0.020347805425540315)	(6, 0.0223309324275762)	(7, 0.024849042527835725)	(8, 0.03240337282861429)	(9, 0.04293700555570724)	(10, 0.05131225819686345)	(11, 0.053894935222770654)	(12, 0.05650528378824114)	(13, 0.061015744737057655)	(14, 0.06643014264494168)	(15, 0.07428885988091645)	(16, 0.08346658716940812)	(17, 0.08850280736992716)	(18, 0.0932530883282922)	(19, 0.09764363927233444)	(20, 0.10335320026889358)	(21, 0.10913655203762149)	(22, 0.11552867767674181)	(23, 0.12067558403551402)	(24, 0.12548120807300564)	(25, 0.12964116285402044)	(26, 0.13702024007089816)	(27, 0.1421025795040227)	(28, 0.14776602126797636)	(29, 0.15259009299851017)	(30, 0.1573034785707908)	(31, 0.16146343335180563)	(32, 0.16561416428629935)	(33, 0.17022608754684793)	(34, 0.17542833698474672)	(35, 0.17942226252838178)	(36, 0.18342541191853795)	(37, 0.18699504052220253)	(38, 0.19087827990758444)	(39, 0.19465083313471318)	(40, 0.20050797567560985)	(41, 0.20520291355484832)	(42, 0.20953812141976397)	(43, 0.21390100082424293)	(44, 0.21829155176828516)	(45, 0.22455454355611013)	(46, 0.22987670299878318)	(47, 0.23421191086369886)	(48, 0.23869470027295206)	(49, 0.242485701193123)	(50, 0.24691314752324964)	(51, 0.2511099976903488)	(52, 0.255777264030024)	(53, 0.2622800758273975)	(54, 0.2695945861186275)	(55, 0.27563620558994617)	(56, 0.2803772627017901)	(57, 0.28512754366015514)	(58, 0.2892137076690012)	(59, 0.29376106400390206)	(60, 0.29758896031015736)	(61, 0.3023669128080857)	(62, 0.3071633129990562)	(63, 0.31124947700790223)	(64, 0.31662697952970187)	(65, 0.3225025697636408)
SRR27961775_1 - polyg	(1, 0.004178402474057009)	(2, 0.006512035643894588)	(3, 0.0072038241329768745)	(4, 0.007904836468580258)	(5, 0.009113160362843984)	(6, 0.010921034280979026)	(7, 0.012120134328721655)	(8, 0.014177052102926321)	(9, 0.016999549138382048)	(10, 0.018715184591306118)	(11, 0.020504610816398965)	(12, 0.02192508318064793)	(13, 0.023520808628797733)	(14, 0.02503351945825767)	(15, 0.02641709643642224)	(16, 0.027883688033276687)	(17, 0.02926726501144126)	(18, 0.030475588905704985)	(19, 0.03176692741865859)	(20, 0.03285534130814805)	(21, 0.03389763596503203)	(22, 0.03519819832450673)	(23, 0.03640652221877046)	(24, 0.03766096534563967)	(25, 0.038832393853819)	(26, 0.04012373236677261)	(27, 0.04162721934971144)	(28, 0.04322294479786125)	(29, 0.044615745622546915)	(30, 0.04599009875419039)	(31, 0.04745669035104484)	(32, 0.04885871502225161)	(33, 0.05068503663342884)	(34, 0.05253902978416937)	(35, 0.05457749986533184)	(36, 0.056348478397382495)	(37, 0.05820247154812302)	(38, 0.06141237013746483)	(39, 0.06324791559516316)	(40, 0.06524949029024124)	(41, 0.06774915269745857)	(42, 0.06968616046688897)	(43, 0.07198289825064216)	(44, 0.0738092198618194)	(45, 0.07623509149686795)	(46, 0.0783473523501992)	(47, 0.08104993938088066)	(48, 0.08372485487199884)	(49, 0.08604004034879423)	(50, 0.08815230120212547)	(51, 0.09044903898587867)	(52, 0.09292102985353269)	(53, 0.09578964612159391)	(54, 0.09916557394831546)	(55, 0.1016560125090117)	(56, 0.10463531493532607)	(57, 0.10739324504513413)	(58, 0.11045556209013838)	(59, 0.1129736721903979)	(60, 0.11597142230975448)	(61, 0.11927355936430725)	(62, 0.12262181565146552)	(63, 0.12599774347818707)	(64, 0.12933677591882425)	(65, 0.13278649451771457)
SRR27961775_2 - polya	(1, 0.01959145001081035)	(2, 0.02401889634093698)	(3, 0.026103485654704935)	(4, 0.029405622709257718)	(5, 0.03167468895344762)	(6, 0.033722382881131184)	(7, 0.03660022299571349)	(8, 0.0449939233299119)	(9, 0.0556935852943846)	(10, 0.0650742372063404)	(11, 0.06774915269745857)	(12, 0.07084836512854721)	(13, 0.07595837610123504)	(14, 0.08139122170216126)	(15, 0.09008008512503478)	(16, 0.09946996088351168)	(17, 0.10469988186097376)	(18, 0.10986523591278816)	(19, 0.11496602303895488)	(20, 0.12132125329199082)	(21, 0.12749200661460483)	(22, 0.1340224899515416)	(23, 0.1395199024781155)	(24, 0.14512800116294258)	(25, 0.15010887828433503)	(26, 0.15878851786068746)	(27, 0.16459031732245755)	(28, 0.17136984451546397)	(29, 0.17685803319551677)	(30, 0.18140538953041765)	(31, 0.18593429817227636)	(32, 0.19089672760062662)	(33, 0.19583148548941362)	(34, 0.20192844803985882)	(35, 0.20644813283519642)	(36, 0.2113644430309412)	(37, 0.21546905473282943)	(38, 0.21998873952816705)	(39, 0.22451764817002576)	(40, 0.2314816522934541)	(41, 0.23649020095440984)	(42, 0.24140651115015463)	(43, 0.24664565597413782)	(44, 0.25126680308120747)	(45, 0.2578341818042287)	(46, 0.2633961612564502)	(47, 0.2687367683921655)	(48, 0.2735792878157415)	(49, 0.2784125833927964)	(50, 0.28370707129590617)	(51, 0.28895543996641043)	(52, 0.2945450909581953)	(53, 0.30272664282240846)	(54, 0.31255003936737696)	(55, 0.3278800722854404)	(56, 0.34591269223418536)	(57, 0.3684188777456624)	(58, 0.42678737853116516)	(59, 0.5375473275564997)	(60, 0.596635288370648)	(61, 0.6151475483384901)	(62, 0.6223052532388614)	(63, 0.6275997411419713)	(64, 0.6325806182633636)	(65, 0.6391203254468216)
SRR27961775_2 - polyg	(1, 0.5327970465981348)	(2, 0.5349830982236348)	(3, 0.5363943467413627)	(4, 0.5373720744725989)	(5, 0.5382483398921031)	(6, 0.5395489022515778)	(7, 0.5409693746158268)	(8, 0.5442622878238584)	(9, 0.5488373156983226)	(10, 0.5532001951028016)	(11, 0.5567144806273396)	(12, 0.5601734230727511)	(13, 0.5665747725583925)	(14, 0.5696739849894811)	(15, 0.5721090804710508)	(16, 0.574599519031747)	(17, 0.5769054806620213)	(18, 0.5786856830405931)	(19, 0.5802906323352639)	(20, 0.5822276401046943)	(21, 0.5843675724975889)	(22, 0.5864521618113568)	(23, 0.5884168411203505)	(24, 0.5903538488897809)	(25, 0.5921801705009582)	(26, 0.5939972682656143)	(27, 0.5959711714211291)	(28, 0.5987567730705005)	(29, 0.6007860193051419)	(30, 0.6026861316884878)	(31, 0.6050197648583254)	(32, 0.606975220320798)	(33, 0.6095671211932263)	(34, 0.6118823066700216)	(35, 0.614760146784604)	(36, 0.6175365245874542)	(37, 0.6199531723759817)	(38, 0.6243252756269817)	(39, 0.6272584588206906)	(40, 0.6313907420621422)	(41, 0.6369711692074059)	(42, 0.6405592455041127)	(43, 0.6436400102421592)	(44, 0.6468591326780221)	(45, 0.6499675689556318)	(46, 0.6530667813867205)	(47, 0.6560368599665137)	(48, 0.6588040139228429)	(49, 0.6614235863348344)	(50, 0.6639693679746573)	(51, 0.6664136873027481)	(52, 0.6689594689425709)	(53, 0.671818861364111)	(54, 0.6753792661212544)	(55, 0.6778143616028242)	(56, 0.6802679047774359)	(57, 0.68273989564509)	(58, 0.6852580057453496)	(59, 0.6877023250734403)	(60, 0.6902942259458685)	(61, 0.6931443945208876)	(62, 0.6955056992302885)	(63, 0.6986141355078982)	(64, 0.7015104233155227)	(65, 0.7047295457513856)
SRR27961776_1 - polya	(1, 0.016359494490831825)	(2, 0.019741770701225486)	(3, 0.021523575884323316)	(4, 0.02472451793891499)	(5, 0.02669554137154533)	(6, 0.0283827374298769)	(7, 0.030850458767530085)	(8, 0.03852956606105789)	(9, 0.04858966966120315)	(10, 0.05704141814032205)	(11, 0.059327805322173244)	(12, 0.06190590397205373)	(13, 0.0661081259304216)	(14, 0.07129585960510466)	(15, 0.07864383496195057)	(16, 0.08804167468873204)	(17, 0.0930086537389605)	(18, 0.0977706463521954)	(19, 0.10180730234222234)	(20, 0.10720002245389894)	(21, 0.11245082887842617)	(22, 0.11843485601989188)	(23, 0.12369354653814964)	(24, 0.12860533693226445)	(25, 0.13311503854612267)	(26, 0.14070742080861473)	(27, 0.1458636181083757)	(28, 0.15151651331315952)	(29, 0.15624696955147233)	(30, 0.16065417794683376)	(31, 0.16509292271711729)	(32, 0.16931091286294622)	(33, 0.17389945541410967)	(34, 0.17890585493299072)	(35, 0.1826586835487189)	(36, 0.186577078132788)	(37, 0.18999089071810377)	(38, 0.1938540966460592)	(39, 0.19796170947966085)	(40, 0.20411918668319803)	(41, 0.20862888829705625)	(42, 0.2128862989115378)	(43, 0.2169781435576784)	(44, 0.22088076995428646)	(45, 0.22676230387725538)	(46, 0.23176870339613645)	(47, 0.23637301413476092)	(48, 0.24078022253012235)	(49, 0.244706501207922)	(50, 0.2489087231662899)	(51, 0.25273250862559277)	(52, 0.25718702158333734)	(53, 0.263533717036407)	(54, 0.2702982694571943)	(55, 0.27551753950679947)	(56, 0.28019280708899863)	(57, 0.28491537923358096)	(58, 0.28879435334899745)	(59, 0.2930990685258621)	(60, 0.29694650626635655)	(61, 0.30130641009933484)	(62, 0.30557958890127745)	(63, 0.3097029699223401)	(64, 0.31407864194277946)	(65, 0.31946347796072555)
SRR27961776_2 - polya	(1, 0.0429604267376109)	(2, 0.0472809101019366)	(3, 0.04922039715964486)	(4, 0.05236615055812288)	(5, 0.054881176458159195)	(6, 0.057033534046591526)	(7, 0.06032908522594945)	(8, 0.06856007908061375)	(9, 0.07962146258453523)	(10, 0.08870393856209584)	(11, 0.0919048806166875)	(12, 0.09507428629635709)	(13, 0.099836278909592)	(14, 0.10576511739494406)	(15, 0.11427205453017661)	(16, 0.12431638994286082)	(17, 0.1299929374288362)	(18, 0.13562218035242846)	(19, 0.140620695777579)	(20, 0.14657318654412263)	(21, 0.15300660702822805)	(22, 0.16015748004181093)	(23, 0.16610997080835455)	(24, 0.1729533641664471)	(25, 0.17921333458848104)	(26, 0.18929709046981788)	(27, 0.19559648136050445)	(28, 0.2022979610314476)	(29, 0.20804546536099766)	(30, 0.21309916944226187)	(31, 0.21830267130440598)	(32, 0.2231513889486766)	(33, 0.22854410906035322)	(34, 0.23447294754570527)	(35, 0.23963702893919678)	(36, 0.2446355443643473)	(37, 0.24912947779074449)	(38, 0.2538993544977099)	(39, 0.2588821017353994)	(40, 0.2649922743765535)	(41, 0.27001444208289554)	(42, 0.27513121891400394)	(43, 0.27993263199589147)	(44, 0.28468674051539583)	(45, 0.2913566838114169)	(46, 0.29767972698329503)	(47, 0.3031749403134684)	(48, 0.30843363083172615)	(49, 0.3136529008813313)	(50, 0.3192269551488099)	(51, 0.324793125322558)	(52, 0.3319676506173324)	(53, 0.34265059762218886)	(54, 0.36254216610429424)	(55, 0.47087749805538825)	(56, 0.6073275082495214)	(57, 0.7639686824875199)	(58, 1.2380550066912304)	(59, 2.1026799138363166)	(60, 2.5380711060106282)	(61, 2.650592891732629)	(62, 2.6728418042401603)	(63, 2.680765318439334)	(64, 2.6867493455808)	(65, 2.693435057064282)
SRR27961776_2 - polyg	(1, 3.1757444910289263)	(2, 3.180214772174132)	(3, 3.182714029886707)	(4, 3.1857178695980357)	(5, 3.187412949750098)	(6, 3.1891159139958907)	(7, 3.190558703148576)	(8, 3.1973311396630937)	(9, 3.210678910348866)	(10, 3.222741573756564)	(11, 3.2351353691009437)	(12, 3.247505512164132)	(13, 3.277985418526327)	(14, 3.286311021505758)	(15, 3.2897090659036126)	(16, 3.2930598057390843)	(17, 3.2950781337340977)	(18, 3.296520922886783)	(19, 3.297908523383355)	(20, 3.298996528318167)	(21, 3.3003131719711636)	(22, 3.3016850042802743)	(23, 3.3029858797458105)	(24, 3.304160609711658)	(25, 3.305217078271548)	(26, 3.3063760400499347)	(27, 3.307700567796662)	(28, 3.3098371571976335)	(29, 3.3112562940691275)	(30, 3.312296994441556)	(31, 3.31355844943844)	(32, 3.3147647157792095)	(33, 3.3160498230572846)	(34, 3.317461075835048)	(35, 3.319132503705918)	(36, 3.3209537293576687)	(37, 3.3223176775730487)	(38, 3.3258260992831308)	(39, 3.328703793494771)	(40, 3.3360123483829645)	(41, 3.3496124100681137)	(42, 3.3555175962722745)	(43, 3.3617696826005776)	(44, 3.365601352153611)	(45, 3.368045421210073)	(46, 3.36996914008032)	(47, 3.3720820772001)	(48, 3.3740294483515383)	(49, 3.375685108034948)	(50, 3.3774196086556625)	(51, 3.3787283682149294)	(52, 3.38010020052404)	(53, 3.382268326299933)	(54, 3.3847912362937)	(55, 3.386360170946074)	(56, 3.388205048879016)	(57, 3.390002622249575)	(58, 3.3916898183079063)	(59, 3.3933533620850462)	(60, 3.3950484422371083)	(61, 3.3967277542017094)	(62, 3.398414950260041)	(63, 3.400488466911168)	(64, 3.402585635843487)	(65, 3.4048326025566853)
SRR27961777_1 - polya	(1, 0.011052082088445457)	(2, 0.01458324524533467)	(3, 0.01623417866933482)	(4, 0.019178343275468423)	(5, 0.021040229303646373)	(6, 0.02307638052657989)	(7, 0.02607557624684683)	(8, 0.033981712977336445)	(9, 0.04491456098515967)	(10, 0.05272897919209372)	(11, 0.05517786377102728)	(12, 0.05795693503476086)	(13, 0.06201089377591679)	(14, 0.06728470888036171)	(15, 0.07503492412080687)	(16, 0.08432601055698549)	(17, 0.08916874860071927)	(18, 0.09412154887271973)	(19, 0.0984598350368979)	(20, 0.10443071092036511)	(21, 0.1099888534478323)	(22, 0.1162532286066773)	(23, 0.12138029407343333)	(24, 0.12616800100303377)	(25, 0.13083647385201197)	(26, 0.13806389350819043)	(27, 0.14322764638436866)	(28, 0.14865738297885805)	(29, 0.15368355806970296)	(30, 0.1581319064621478)	(31, 0.16291961339174824)	(32, 0.16723038399885976)	(33, 0.1718254820289935)	(34, 0.17642058005912725)	(35, 0.18084141289450545)	(36, 0.18508798053512807)	(37, 0.18904104890037288)	(38, 0.1929207424467732)	(39, 0.19722234120152918)	(40, 0.20341334154152974)	(41, 0.2076507373297968)	(42, 0.212401756849975)	(43, 0.21678590227593095)	(44, 0.22096826695006466)	(45, 0.22712257988064302)	(46, 0.23249728536099906)	(47, 0.23763352268011065)	(48, 0.24236619849557775)	(49, 0.24621837648491143)	(50, 0.2507859589579785)	(51, 0.25526182290749005)	(52, 0.2601504202130016)	(53, 0.26689173169433555)	(54, 0.274696978048914)	(55, 0.2809521813554035)	(56, 0.2856848571708706)	(57, 0.29082109448998217)	(58, 0.2946457569222492)	(59, 0.29888315271051624)	(60, 0.30334984480767224)	(61, 0.3080641769184282)	(62, 0.3127968527338953)	(63, 0.3166948899850068)	(64, 0.3210790354109627)	(65, 0.3269581927708744)
SRR27961777_1 - polyg	(1, 0.004980315829067123)	(2, 0.006906404823733965)	(3, 0.007612637455111808)	(4, 0.0086031975095119)	(5, 0.010052350181689809)	(6, 0.012143532518756668)	(7, 0.01376695038569015)	(8, 0.016142460145779254)	(9, 0.01953604551733512)	(10, 0.022094992324535358)	(11, 0.02409445613804665)	(12, 0.026020545132713492)	(13, 0.027928290422669224)	(14, 0.030120363135647202)	(15, 0.0317621247072918)	(16, 0.03404591594382534)	(17, 0.03600869234791441)	(18, 0.0380081561614257)	(19, 0.03957654291422585)	(20, 0.04119078892880377)	(21, 0.04262159789627057)	(22, 0.0441716409443596)	(23, 0.0457491995495153)	(24, 0.047501023349426574)	(25, 0.04895017602160448)	(26, 0.050573593888537965)	(27, 0.052325417688449234)	(28, 0.05419647556898274)	(29, 0.05626014234898293)	(30, 0.058287121719560894)	(31, 0.06054339739902777)	(32, 0.062405283427205714)	(33, 0.06463404354960592)	(34, 0.06713795924267281)	(35, 0.06971524975458417)	(36, 0.07218247803822883)	(37, 0.07468639373129572)	(38, 0.07862111839182942)	(39, 0.0812534400178741)	(40, 0.08359226236854099)	(41, 0.08686661365947462)	(42, 0.0892696389766304)	(43, 0.092296350253964)	(44, 0.09502039040356426)	(45, 0.0980195861238312)	(46, 0.10057853293103143)	(47, 0.10374282199369839)	(48, 0.10666864289512087)	(49, 0.10955777638712114)	(50, 0.11222678542258806)	(51, 0.11504254409574387)	(52, 0.1183168953866775)	(53, 0.12175634002001115)	(54, 0.126122141741256)	(55, 0.12951572711281187)	(56, 0.13318446805503442)	(57, 0.13665142824543472)	(58, 0.14016424769761282)	(59, 0.14365872344507982)	(60, 0.14730912068259128)	(61, 0.1515098290614361)	(62, 0.15543538186961423)	(63, 0.15988373026205907)	(64, 0.16392851715085946)	(65, 0.16815674108677095)
SRR27961777_2 - polya	(1, 0.020416543343468537)	(2, 0.025066672487735628)	(3, 0.027286260757780276)	(4, 0.030780736505247264)	(5, 0.03343140183600306)	(6, 0.035779396039025496)	(7, 0.03881527916871466)	(8, 0.04749185149707102)	(9, 0.05835132468604979)	(10, 0.06763323926987286)	(11, 0.07046734164773978)	(12, 0.07376003664338453)	(13, 0.07875869617716276)	(14, 0.08494052466480778)	(15, 0.09413072072507528)	(16, 0.10355938494658726)	(17, 0.1091450430311211)	(18, 0.11418038997432156)	(19, 0.11909650283689979)	(20, 0.12558100245227816)	(21, 0.1316711124163676)	(22, 0.13937546839503498)	(23, 0.14550226576854666)	(24, 0.1514456260949472)	(25, 0.1570587997365477)	(26, 0.16683599434757082)	(27, 0.17352227471477144)	(28, 0.180685491404461)	(29, 0.18624363393192817)	(30, 0.19154496459343975)	(31, 0.19650693671779576)	(32, 0.2018632984934407)	(33, 0.20739392546384122)	(34, 0.21330977023317507)	(35, 0.21863861645175336)	(36, 0.22366479154259825)	(37, 0.22833326439157647)	(38, 0.2332035179923769)	(39, 0.23819300567379958)	(40, 0.24581481498126695)	(41, 0.2506667248773563)	(42, 0.25594971183415677)	(43, 0.2610859491532683)	(44, 0.2660204057205577)	(45, 0.2731927942626028)	(46, 0.27902609236073667)	(47, 0.2850336556536261)	(48, 0.2902432677915821)	(49, 0.29545287992953817)	(50, 0.30094681949051644)	(51, 0.3066150242462503)	(52, 0.31295277422393974)	(53, 0.3212441287533627)	(54, 0.331369853753897)	(55, 0.34713626795309843)	(56, 0.36492966152287787)	(57, 0.38455742556376854)	(58, 0.432929774886973)	(59, 0.5183747514313364)	(60, 0.5666095229692074)	(61, 0.5833022942563201)	(62, 0.590703979107254)	(63, 0.5961887468158769)	(64, 0.6014533900679662)	(65, 0.6084790289723224)
SRR27961777_2 - polyg	(1, 0.42053860235461626)	(2, 0.42279487803408317)	(3, 0.4248218574046611)	(4, 0.425775730049639)	(5, 0.4266929152851946)	(6, 0.42812372425266143)	(7, 0.430013125837906)	(8, 0.43321410230999524)	(9, 0.43813021517257345)	(10, 0.44255104800795164)	(11, 0.4463298511784409)	(12, 0.4499160454494634)	(13, 0.4555750783528417)	(14, 0.45872102371079754)	(15, 0.46147257941746445)	(16, 0.4642424788288425)	(17, 0.46660881673657606)	(18, 0.46880088944955406)	(19, 0.470827868820132)	(20, 0.47301994153311)	(21, 0.4751844986890213)	(22, 0.4774591180731993)	(23, 0.47986214339035504)	(24, 0.4822651687075108)	(25, 0.48431966363515544)	(26, 0.48636498671044454)	(27, 0.488712980913467)	(28, 0.49147370847248945)	(29, 0.4937758434137341)	(30, 0.4962981028115121)	(31, 0.4986552688668901)	(32, 0.5008381697275125)	(33, 0.5034888350582684)	(34, 0.5060752974225352)	(35, 0.5092395864852022)	(36, 0.512220438500758)	(37, 0.5152654934828027)	(38, 0.520034856707692)	(39, 0.5233734109651146)	(40, 0.5276750097198706)	(41, 0.5337009167174711)	(42, 0.5378465939821826)	(43, 0.5417079438238718)	(44, 0.5452482788331166)	(45, 0.5484492553052057)	(46, 0.5518336688244061)	(47, 0.5550529890012064)	(48, 0.5580154973120511)	(49, 0.5612806767506292)	(50, 0.5640322324572961)	(51, 0.5667562726068963)	(52, 0.5692326727428966)	(53, 0.5722135247584524)	(54, 0.575652969391786)	(55, 0.5781201976754307)	(56, 0.580862581529742)	(57, 0.5833756690751645)	(58, 0.5864207240572092)	(59, 0.5893282012539206)	(60, 0.5921623036317876)	(61, 0.5954825141844989)	(62, 0.5986468032471659)	(63, 0.6017927486051218)	(64, 0.605342255466722)	(65, 0.6088000438047668)
