Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SRR27961777_1	(1, 0.02175563378737977)	(2, 0.0003393585371555866)	(3, 7.337481884445117e-05)	(4, 0.0005686548460444964)	(5, 0.00030267112773336107)	(6, 0.014995978601334706)	(7, 0.0006145141078222785)	(8, 0.0007062326313778425)	(9, 0.00021095260417779708)	(10, 0.000371460020400034)	(12, 0.001343676370089012)	(14, 0.0010089037591112034)	(16, 0.0015959023098668127)	(18, 0.0018251986187557228)	(20, 0.0004356629868889287)	(22, 4.5859261777781976e-05)	(24, 0.0013895356318667938)	(26, 0.0016280037931112603)	(28, 0.0013115748868445646)	(30, 0.005480181782444946)	(32, 0.008254667120000756)	(34, 0.01150150285386772)	(36, 0.01106583986697879)	(38, 0.007374169293867341)	(40, 0.004086060224400374)	(42, 0.003920966882000359)	(44, 0.002540603102489121)	(46, 0.0027607275590224747)	(48, 0.0018710578805335046)	(50, 0.002338822350666881)	(52, 0.004081474298222596)	(54, 0.00208659641088908)	(56, 0.0024718142098224486)	(58, 0.003948482439067028)	(60, 0.002150799377377975)	(62, 0.0024672282836446704)	(64, 0.002338822350666881)	(66, 0.003274351290933633)	(68, 0.0013574341486223464)	(70, 0.0030725705391113924)	(72, 0.00547100993008939)	(74, 0.0022562756794668733)	(76, 0.0042557394929781675)
SRR27961777_2	(1, 0.015170243796090277)	(2, 0.010593489470667636)	(3, 0.012602125136534486)	(4, 0.01966445145031291)	(5, 0.02590131105209126)	(6, 0.031276016532447305)	(7, 0.03826496802738128)	(8, 0.03488055450818097)	(9, 0.03519239748826989)	(10, 0.03937017623622583)	(12, 0.031207227639780632)	(14, 0.034137634467380905)	(16, 0.028918850477069314)	(18, 0.023851402050624405)	(20, 0.020421129269646315)	(22, 0.019091210678090637)	(24, 0.020774245585335235)	(26, 0.022961732372135436)	(28, 0.029244451235691568)	(30, 0.02076507373297968)	(32, 0.01852255583204614)	(34, 0.018458352865557245)	(36, 0.013624786674179025)	(38, 0.019976294430401827)	(40, 0.015991124581912576)	(42, 0.016367170528490387)	(44, 0.01569303938035699)	(46, 0.01555087566884587)	(48, 0.01589940605835701)	(50, 0.010611833175378749)	(52, 0.012680085881556715)	(54, 0.007933652287556282)	(56, 0.01216187622346778)	(58, 0.01336338888204567)	(60, 0.010290818342934275)	(62, 0.014454839312356879)	(64, 0.016990856488668223)	(66, 0.02210416417689091)	(68, 0.02478693099089116)	(70, 0.024511775420224466)	(72, 0.03250045882191409)	(74, 0.035861942710225504)	(76, 0.0401543696126259)
SRR27961778_1	(1, 0.021224442924751466)	(2, 0.00029040480936915613)	(3, 0.00014935104481842316)	(4, 0.0003650803317783677)	(5, 0.0003235939304399168)	(6, 0.015308482093888374)	(7, 0.0006305933003444532)	(8, 0.0006803769819505944)	(9, 0.000190837446156874)	(10, 0.000381674892313748)	(12, 0.0014935104481842315)	(14, 0.0008670657879736233)	(16, 0.001609672371931894)	(18, 0.0017424288562149365)	(20, 0.0004936881759275654)	(22, 4.563504147229596e-05)	(24, 0.0013607539639011888)	(26, 0.0014935104481842315)	(28, 0.001136727396673554)	(30, 0.005277070250250951)	(32, 0.00814792922287175)	(34, 0.011222071562050961)	(36, 0.01069104562491879)	(38, 0.0069614181445920575)	(40, 0.004049072770632805)	(42, 0.003766965241531339)	(44, 0.002451846319102447)	(46, 0.0026219405645900953)	(48, 0.0017216856555457112)	(50, 0.002281752073614798)	(52, 0.004148640133845087)	(54, 0.0021572928695994453)	(56, 0.0025389677619131936)	(58, 0.004277247977994285)	(60, 0.0022983466341501783)	(62, 0.002605346004054715)	(64, 0.0023481303157563195)	(66, 0.0033894389893514365)	(68, 0.0014644699672473158)	(70, 0.0029704263358330827)	(72, 0.005542583218817037)	(74, 0.0023190898348194036)	(76, 0.004505423185355764)
SRR27961778_2	(1, 0.014818942558094652)	(2, 0.010869437150674129)	(3, 0.012197001993504557)	(4, 0.019332663023718107)	(5, 0.02512416465056585)	(6, 0.029953181766361532)	(7, 0.036831627108276685)	(8, 0.03446690223198499)	(9, 0.03493984720724333)	(10, 0.03880223117185311)	(12, 0.030749720672059788)	(14, 0.033089553707548416)	(16, 0.028306171633225033)	(18, 0.023414924915421676)	(20, 0.019614770552819575)	(22, 0.018830677567522852)	(24, 0.01991347264245642)	(26, 0.022079062792323554)	(28, 0.028650508764334174)	(30, 0.019892729441787195)	(32, 0.01786819305647079)	(34, 0.017880638976872327)	(36, 0.012960351778132054)	(38, 0.019706040635764165)	(40, 0.015536657301249852)	(42, 0.01572334610727288)	(44, 0.015063712325991511)	(46, 0.015063712325991511)	(48, 0.015615481463792909)	(50, 0.01036330305434503)	(52, 0.01232146119751991)	(54, 0.007625200566007271)	(56, 0.011703313817576992)	(58, 0.01327564842830428)	(60, 0.009612399190119067)	(62, 0.014092930534671762)	(64, 0.016631898296584954)	(66, 0.021431874931443724)	(68, 0.024443787668615255)	(70, 0.023593316441177015)	(72, 0.032031650473417925)	(74, 0.034715820640015695)	(76, 0.03972737792170056)
SRR27961779_1	(1, 0.020952186167207513)	(2, 0.0002683804765234178)	(3, 9.254499190462684e-05)	(4, 0.0004719794587135968)	(5, 0.00035167096923758196)	(6, 0.014770180707978444)	(7, 0.0007403599352370147)	(8, 0.0006200514457609998)	(9, 0.00017583548461879098)	(10, 0.00029614397409480586)	(12, 0.0011753213971887608)	(14, 0.000906940920665343)	(16, 0.0015871466111643502)	(18, 0.0017028278510451337)	(20, 0.00041645246357082077)	(22, 5.089974554754475e-05)	(24, 0.0012678663890933876)	(26, 0.001624164607926201)	(28, 0.0012539846403076937)	(30, 0.005409254776825439)	(32, 0.0078987150590599)	(34, 0.010957327041507817)	(36, 0.010503856581175147)	(38, 0.006839074901751924)	(40, 0.0040997431413749685)	(42, 0.0037665811705183123)	(44, 0.002461696784663074)	(46, 0.002693059264424641)	(48, 0.0017676093453783724)	(50, 0.0023367610455918278)	(52, 0.003956298403922797)	(54, 0.0021192803146159547)	(56, 0.0025079692806153873)	(58, 0.003900771408780021)	(60, 0.0021886890585444243)	(62, 0.002452442285472611)	(64, 0.002262725052068126)	(66, 0.003063239232043148)	(68, 0.0013650386305932459)	(70, 0.0029938304881146783)	(72, 0.005358355031277893)	(74, 0.002221079805711044)	(76, 0.003822108165661088)
SRR27961779_2	(1, 0.014011311774360501)	(2, 0.0100688951192234)	(3, 0.012123393939506115)	(4, 0.018777378857448783)	(5, 0.024635476845011665)	(6, 0.029688433403004286)	(7, 0.03616658283632817)	(8, 0.034232392505521465)	(9, 0.034861698450472926)	(10, 0.03833213564689643)	(12, 0.0303547573447176)	(14, 0.03291825362047576)	(16, 0.028638047744886774)	(18, 0.02327969271360888)	(20, 0.019878664261113843)	(22, 0.018888432847734338)	(24, 0.020022108998566015)	(26, 0.022233934305086595)	(28, 0.02807352329426855)	(30, 0.01955012953985242)	(32, 0.01758817571147433)	(34, 0.017625193708236182)	(36, 0.01286838112433836)	(38, 0.019341903308067007)	(40, 0.015436504649691757)	(42, 0.01586683886204827)	(44, 0.01489974369664492)	(46, 0.014885861947859225)	(48, 0.015325450659406204)	(50, 0.010452956835627601)	(52, 0.012359383668862913)	(54, 0.007621080083346019)	(56, 0.011841131714197003)	(58, 0.013391260328599502)	(60, 0.010059640620032936)	(62, 0.014367609993193317)	(64, 0.01663033504526144)	(66, 0.02120668489494524)	(68, 0.024427250613226252)	(70, 0.023645245431632156)	(72, 0.03138200675485896)	(74, 0.03520411492052005)	(76, 0.039211313069990386)
SRR27961780_1	(1, 0.02176396633265958)	(2, 0.00031386024789579125)	(3, 9.86417921958201e-05)	(4, 0.0004932089609791005)	(5, 0.0002600556339707984)	(6, 0.01529844522600628)	(7, 0.0006097856244832515)	(8, 0.0007442971592957334)	(9, 0.000251088198316633)	(10, 0.0002600556339707984)	(12, 0.001354082783778985)	(14, 0.0009729667684769528)	(16, 0.0017934871308330927)	(18, 0.0019100637943372438)	(20, 0.0005066601144603487)	(22, 3.138602478957912e-05)	(24, 0.0014616920116289707)	(26, 0.0017621011060435137)	(28, 0.0012733758628914959)	(30, 0.005658451897778407)	(32, 0.008259008237486392)	(34, 0.011348289820346394)	(36, 0.011195843414225581)	(38, 0.0076088691525593955)	(40, 0.004133987836570279)	(42, 0.004012927455239045)	(44, 0.00246156108706842)	(46, 0.0025871051862267364)	(48, 0.001806938284314341)	(50, 0.0022866960918121932)	(52, 0.004021894890893211)	(54, 0.0018966126408559954)	(56, 0.0024346587801059236)	(58, 0.004098118093953617)	(60, 0.002259793784849697)	(62, 0.0023808541661809305)	(64, 0.002273244938330945)	(66, 0.0031699885037474915)	(68, 0.0013361479124706541)	(70, 0.0028650956915058654)	(72, 0.0053625265211909474)	(74, 0.0020400916113226426)	(76, 0.004178825014841106)
SRR27961780_2	(1, 0.015513663681706251)	(2, 0.011119620211165176)	(3, 0.013146260669006569)	(4, 0.019522107419118216)	(5, 0.026220781852779814)	(6, 0.03165504785920409)	(7, 0.03759149026226162)	(8, 0.035789035695774365)	(9, 0.036945834895161705)	(10, 0.04002614904236755)	(12, 0.0316774664483395)	(14, 0.03458291560028911)	(16, 0.029597021376573114)	(18, 0.02434210408323215)	(20, 0.020445753291497257)	(22, 0.019571428315216122)	(24, 0.020934478534649272)	(26, 0.023310848983003125)	(28, 0.029668760861806438)	(30, 0.020835836742453456)	(32, 0.018342889630595455)	(34, 0.019118572814680768)	(36, 0.01344218604559403)	(38, 0.020199148811007706)	(40, 0.016455244425393624)	(42, 0.016181737637941576)	(44, 0.015872361107872872)	(46, 0.015827523929602044)	(48, 0.016289346865791563)	(50, 0.010837145988058964)	(52, 0.012693405168471214)	(54, 0.008187268752253068)	(56, 0.011841498781325495)	(58, 0.013563246426925264)	(60, 0.010227360363575713)	(62, 0.014697627037177195)	(64, 0.01718160671338103)	(66, 0.02188054299616373)	(68, 0.025489935846965333)	(70, 0.024933954836407073)	(72, 0.0321706754093186)	(74, 0.036067026201053495)	(76, 0.0404790045429029)
SRR27961781_1	(1, 0.020842455993712674)	(2, 0.00038333002896905256)	(3, 0.00017829303672979192)	(4, 0.0005259644583528861)	(5, 0.00032092746611362544)	(6, 0.015359945114271571)	(7, 0.0005259644583528861)	(8, 0.0007131721469191677)	(9, 0.00031201281427713587)	(10, 0.000329842117950115)	(12, 0.0013149111458822154)	(14, 0.0008201479689570428)	(16, 0.0017695583895431849)	(18, 0.0017249851303607368)	(20, 0.00046356189549745893)	(22, 5.7945236937182366e-05)	(24, 0.0015021188344484968)	(26, 0.001760643737706695)	(28, 0.0012435939311902986)	(30, 0.005330961798220778)	(32, 0.007893924201211537)	(34, 0.010666380922359801)	(36, 0.01090707652194502)	(38, 0.007247611943066042)	(40, 0.00385558691928175)	(42, 0.00385558691928175)	(44, 0.0024114133217704352)	(46, 0.0026298222917644307)	(48, 0.0016358386119958409)	(50, 0.0023267241293237844)	(52, 0.004194343689068354)	(54, 0.002054827248310852)	(56, 0.0025183891438083105)	(58, 0.004096282518866969)	(60, 0.0023088948256508052)	(62, 0.0025629624029907586)	(64, 0.0023623827366697427)	(66, 0.003267219898073437)	(68, 0.0015422347677127)	(70, 0.0030398962762429524)	(72, 0.005500340183114081)	(74, 0.0021930043517764406)	(76, 0.0044216673108988394)
SRR27961781_2	(1, 0.014753748789390281)	(2, 0.010403398693183357)	(3, 0.012765781429853101)	(4, 0.018595963730917296)	(5, 0.026262564310298345)	(6, 0.030568341147322823)	(7, 0.03729890328387247)	(8, 0.03580124177534221)	(9, 0.03629154762634915)	(10, 0.040111475938284936)	(12, 0.03194119753014222)	(14, 0.03467353831802628)	(16, 0.02932920454205077)	(18, 0.023842236336691424)	(20, 0.02023180234291314)	(22, 0.0194918862404845)	(24, 0.020655248305146395)	(26, 0.02268778892386602)	(28, 0.02897261846859119)	(30, 0.020000021395164408)	(32, 0.018110115205828614)	(34, 0.01801205403562723)	(36, 0.01311791017739444)	(38, 0.019634520669868333)	(40, 0.01611769052037319)	(42, 0.0164074167050591)	(44, 0.015560524780592588)	(46, 0.015899281550379195)	(48, 0.015903738876297438)	(50, 0.010791186048070655)	(52, 0.012716750844752408)	(54, 0.008009814675085901)	(56, 0.011691565883556104)	(58, 0.013568100095137165)	(60, 0.010037897967887285)	(62, 0.014825066004082196)	(64, 0.017432601666255404)	(66, 0.021970159451028606)	(68, 0.0256608253113353)	(70, 0.024586609765038302)	(72, 0.03267665630665261)	(74, 0.035355509183517736)	(76, 0.039376017161774544)
