Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR27961772_1	(1.0, 54.38956578923586)	(2.0, 12.98061047858111)	(3.0, 5.716070025342625)	(4.0, 3.3684877010538266)	(5.0, 2.331691610788239)	(6.0, 1.7337696387232329)	(7.0, 1.3965826326833122)	(8.0, 1.0838289381562263)	(9.0, 0.9544812033840442)	('>10', 10.382881737413822)	('>50', 2.4951157598983413)	('>100', 2.3043305496989617)	('>500', 0.11112660866504372)	('>1k', 0.010163755720426078)	('>5k', 0.0)	('>10k+', 0.7412935706547714)
SRR27961772_2	(1.0, 55.430121306979174)	(2.0, 12.939528890754826)	(3.0, 5.788010206559256)	(4.0, 3.3397485873139967)	(5.0, 2.340878324704571)	(6.0, 1.6530524557175872)	(7.0, 1.291863319920666)	(8.0, 1.0991264234061917)	(9.0, 0.8632721018544636)	('>10', 10.322020744801344)	('>50', 2.55578071994544)	('>100', 2.1803164776890283)	('>500', 0.09736844913601467)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.09891199121753777)
SRR27961773_1	(1.0, 50.649252550123656)	(2.0, 13.098345845622777)	(3.0, 5.975934093420499)	(4.0, 3.6438141120637764)	(5.0, 2.505650532080163)	(6.0, 1.8458213211497112)	(7.0, 1.4578421403844894)	(8.0, 1.249275120735246)	(9.0, 1.0326073362583268)	('>10', 11.8784989999338)	('>50', 2.9666452959462593)	('>100', 2.8325700574538746)	('>500', 0.13325247703514392)	('>1k', 0.04923707073493379)	('>5k', 0.0)	('>10k+', 0.6812530470573042)
SRR27961773_2	(1.0, 51.74677728174364)	(2.0, 12.994454550492529)	(3.0, 5.943630836074116)	(4.0, 3.4837124066659633)	(5.0, 2.436887667216575)	(6.0, 1.8857662726610653)	(7.0, 1.4841676655364229)	(8.0, 1.26617368435819)	(9.0, 1.0080239042337604)	('>10', 11.821683757417103)	('>50', 2.868875046296013)	('>100', 2.786792387420384)	('>500', 0.15917872293021892)	('>1k', 0.012156151733510107)	('>5k', 0.0)	('>10k+', 0.10171966522043603)
SRR27961774_1	(1.0, 54.90701011855354)	(2.0, 13.109127258796116)	(3.0, 5.770753440151837)	(4.0, 3.4522104561655187)	(5.0, 2.269985676567252)	(6.0, 1.7031726014790642)	(7.0, 1.3806660398660253)	(8.0, 1.101384120485703)	(9.0, 0.8840927253357679)	('>10', 10.027519243945367)	('>50', 2.4125497851256186)	('>100', 2.260429067950402)	('>500', 0.08156578440505237)	('>1k', 0.022511400868352717)	('>5k', 0.0)	('>10k+', 0.6170222803044575)
SRR27961774_2	(1.0, 55.807737519109324)	(2.0, 12.993519172057667)	(3.0, 5.776084868121399)	(4.0, 3.2978757230694815)	(5.0, 2.344920885569168)	(6.0, 1.6451025165028739)	(7.0, 1.3271985587365887)	(8.0, 1.024825163492508)	(9.0, 0.929638263474343)	('>10', 10.122853471811423)	('>50', 2.3687106246272975)	('>100', 2.1609883750498753)	('>500', 0.10644110342664964)	('>1k', 0.0)	('>5k', 0.09410375495141408)	('>10k+', 0.0)
SRR27961775_1	(1.0, 52.746385857967304)	(2.0, 13.47957966634103)	(3.0, 6.103777514658365)	(4.0, 3.664009482309504)	(5.0, 2.4842095875982846)	(6.0, 1.836456157345421)	(7.0, 1.4455728597041695)	(8.0, 1.1642099035255251)	(9.0, 1.0019741906149187)	('>10', 10.559249209021779)	('>50', 2.4818319561817916)	('>100', 2.4925560124354087)	('>500', 0.13091226175951318)	('>1k', 0.020887655359919363)	('>5k', 0.0)	('>10k+', 0.388387685177032)
SRR27961775_2	(1.0, 53.74791308658106)	(2.0, 13.386777410497718)	(3.0, 6.066698700341814)	(4.0, 3.5343413344136563)	(5.0, 2.4932343290383434)	(6.0, 1.7495981073932767)	(7.0, 1.3962589267469774)	(8.0, 1.1872639373865088)	(9.0, 0.9059945143150714)	('>10', 10.517334258551875)	('>50', 2.4665099975093354)	('>100', 2.3430494603969025)	('>500', 0.12352136278406445)	('>1k', 0.0)	('>5k', 0.0815045740432901)	('>10k+', 0.0)
SRR27961776_1	(1.0, 48.9239439371685)	(2.0, 13.388254371045234)	(3.0, 6.008188546002462)	(4.0, 3.659820429320637)	(5.0, 2.4256124450554246)	(6.0, 1.831192429417837)	(7.0, 1.4417416250123656)	(8.0, 1.1381286912165371)	(9.0, 0.972499895707137)	('>10', 10.835205314073596)	('>50', 2.7661200653116453)	('>100', 3.1380168082843065)	('>500', 0.2621151707942303)	('>1k', 0.05397793332198871)	('>5k', 0.059678937982386)	('>10k+', 3.0955034002856334)
SRR27961776_2	(1.0, 51.25685933069363)	(2.0, 13.160011381072293)	(3.0, 6.256321612437403)	(4.0, 3.6712917275401984)	(5.0, 2.4219141199837058)	(6.0, 1.8102413650432663)	(7.0, 1.4834698881853843)	(8.0, 1.1993700294436453)	(9.0, 1.0139988523444388)	('>10', 10.941492671498379)	('>50', 2.9224399037588276)	('>100', 3.2343136376847466)	('>500', 0.2593069978940241)	('>1k', 0.16339374601490467)	('>5k', 0.0)	('>10k+', 0.20557473640525634)
