Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SRR27961777_1	(1, 31.696037383736453)	(2, 31.73246559661111)	(3, 31.785464411699504)	(4, 31.81252064240021)	(5, 31.834235002851987)	(6, 35.61195534445213)	(7, 35.628877778922224)	(8, 35.60240570349804)	(9, 35.610017240330876)	(10, 35.605803507921685)	(12, 35.61498632064081)	(14, 35.5988700461335)	(16, 35.591486383972445)	(18, 35.58452013281209)	(20, 35.58080727526004)	(22, 35.557162423324456)	(24, 35.5363855637612)	(26, 35.50424436639606)	(28, 35.48833262419628)	(30, 35.46130157023029)	(32, 35.43974386501675)	(34, 35.42200729107231)	(36, 35.405237522084676)	(38, 35.38375392543816)	(40, 35.3633122970785)	(42, 35.31777359154054)	(44, 35.27958351168765)	(46, 35.29588469073843)	(48, 35.28092310658344)	(50, 35.26446265831649)	(52, 35.23982967686739)	(54, 35.21829705667003)	(56, 35.18071915210261)	(58, 35.17741329549883)	(60, 35.149631938150904)	(62, 35.117164819012295)	(64, 35.12284114085736)	(66, 35.08888717273341)	(68, 35.07919385471217)	(70, 35.05620391889404)	(72, 35.00668747270801)	(74, 34.94125556972199)	(76, 34.39190710601185)
SRR27961777_2	(1, 31.643030405699463)	(2, 31.58301512355907)	(3, 31.632042251421936)	(4, 31.62997867636046)	(5, 31.63977054593525)	(6, 35.40251692137971)	(7, 35.365756962605346)	(8, 35.31008867988887)	(9, 35.3091944242842)	(10, 35.30230535426142)	(12, 35.30853799481112)	(14, 35.29537427715485)	(16, 35.295029094491454)	(18, 35.28703921874896)	(20, 35.25934077494631)	(22, 35.25116420614912)	(24, 35.22372486717553)	(26, 35.19481816940283)	(28, 35.19821565281164)	(30, 35.19873001029174)	(32, 35.17625406507961)	(34, 35.16056689568477)	(36, 35.14638106680199)	(38, 35.13008052978087)	(40, 35.11915873385513)	(42, 35.0929479186453)	(44, 35.06387709057471)	(46, 35.03548369551908)	(48, 35.02034724999892)	(50, 35.021185419726436)	(52, 34.99241322716853)	(54, 34.96230254033712)	(56, 34.95132869414927)	(58, 34.960250154935515)	(60, 34.97311129318257)	(62, 34.97253154039518)	(64, 34.96194625973237)	(66, 34.931214730215004)	(68, 34.89157531425289)	(70, 34.85482851708666)	(72, 34.82671275400184)	(74, 34.784897224349834)	(76, 34.11424129107396)
SRR27961778_1	(1, 31.684877924604606)	(2, 31.710260383589905)	(3, 31.776411114306487)	(4, 31.810759614349053)	(5, 31.833228234449944)	(6, 35.610327027345015)	(7, 35.639583652432904)	(8, 35.61251327772275)	(9, 35.62004778901543)	(10, 35.61141986212907)	(12, 35.62509037812532)	(14, 35.61186969917878)	(16, 35.602563386657735)	(18, 35.59838300942687)	(20, 35.593640035107455)	(22, 35.57138266376218)	(24, 35.5543264840391)	(26, 35.5252367587438)	(28, 35.51082720399411)	(30, 35.48640453290378)	(32, 35.463931598217144)	(34, 35.44795510208891)	(36, 35.43295420017454)	(38, 35.41338050115905)	(40, 35.36094716607222)	(42, 35.269328223978775)	(44, 35.32274138489241)	(46, 35.294007198056576)	(48, 35.30000181710438)	(50, 35.27505040182899)	(52, 35.25174172358739)	(54, 35.180156398754676)	(56, 35.19500599976337)	(58, 35.17873333221597)	(60, 35.12579137384873)	(62, 35.16379026234507)	(64, 35.12661944241945)	(66, 35.15042172586416)	(68, 35.124094289629184)	(70, 35.03763463789258)	(72, 34.94559991908493)	(74, 34.923481817588936)	(76, 34.477829418206326)
SRR27961778_2	(1, 31.64737778562516)	(2, 31.5789401585212)	(3, 31.61659147394712)	(4, 31.60973617801715)	(5, 31.619657070087623)	(6, 35.38263148575581)	(7, 35.31308061255833)	(8, 35.23556800110719)	(9, 35.23881173985504)	(10, 35.23565914673093)	(12, 35.243501362662336)	(14, 35.234249687731854)	(16, 35.23633043819099)	(18, 35.22952700026269)	(20, 35.195847551414516)	(22, 35.189275690578484)	(24, 35.1612804595233)	(26, 35.12620026382032)	(28, 35.130114422813804)	(30, 35.13176686766552)	(32, 35.11345559984275)	(34, 35.098495810952116)	(36, 35.086181941766036)	(38, 35.06648249746809)	(40, 35.056857901275976)	(42, 35.034472751814576)	(44, 35.00840572572079)	(46, 34.98107726410791)	(48, 34.968945893601315)	(50, 34.97043666594702)	(52, 34.941496789533346)	(54, 34.90899381205432)	(56, 34.895951483147144)	(58, 34.905296419507835)	(60, 34.92312491007823)	(62, 34.933636527017356)	(64, 34.93798882389537)	(66, 34.907148828814)	(68, 34.85100154810655)	(70, 34.80538807956295)	(72, 34.77410890943701)	(74, 34.73398712029778)	(76, 34.0768790311299)
SRR27961779_1	(1, 31.569862075571315)	(2, 31.563369674209238)	(3, 31.685805495414165)	(4, 31.75002700000139)	(5, 31.782695474688712)	(6, 35.5289980014909)	(7, 35.565922342720945)	(8, 35.536039379744956)	(9, 35.542388151279596)	(10, 35.53199951321334)	(12, 35.5462966501952)	(14, 35.532461266450454)	(16, 35.52343627883991)	(18, 35.52158681344919)	(20, 35.51543673601217)	(22, 35.49153180933325)	(24, 35.47595417357091)	(26, 35.44205175023403)	(28, 35.427554114527204)	(30, 35.38047513524294)	(32, 35.38259575745994)	(34, 35.35370843977935)	(36, 35.34421480432981)	(38, 35.321616983116556)	(40, 35.206468385936674)	(42, 35.15145371986909)	(44, 35.24016327712921)	(46, 35.22138682372169)	(48, 35.21777932739225)	(50, 35.19037259076465)	(52, 35.16746876953567)	(54, 35.10151824686469)	(56, 35.10587359927371)	(58, 35.086648071292956)	(60, 35.03664369854209)	(62, 35.06872173618107)	(64, 35.039646552166914)	(66, 35.0442994829974)	(68, 35.01101493629896)	(70, 34.856599128873995)	(72, 34.71186861757679)	(74, 34.7155769879474)	(76, 34.316324242484534)
SRR27961779_2	(1, 31.47526915554083)	(2, 31.321438741462146)	(3, 31.369852358347163)	(4, 31.312027933780357)	(5, 31.34014393522591)	(6, 34.90634483837248)	(7, 34.94773216183713)	(8, 34.7640491395398)	(9, 34.78240627158901)	(10, 34.70728995410231)	(12, 34.769643576845425)	(14, 34.75591776637109)	(16, 34.77026432237863)	(18, 34.77683696024869)	(20, 34.6885979017274)	(22, 34.70723368674723)	(24, 34.642174696255765)	(26, 34.643401009943496)	(28, 34.67744983945757)	(30, 34.63431559045324)	(32, 34.582995042827505)	(34, 34.57611247177956)	(36, 34.559461730563584)	(38, 34.55967111360777)	(40, 34.55421521615502)	(42, 34.48994841079426)	(44, 34.480548986146474)	(46, 34.44826101019336)	(48, 34.44664179674251)	(50, 34.46314913949353)	(52, 34.3839394181974)	(54, 34.35031115939903)	(56, 34.37706170576153)	(58, 34.394934179688136)	(60, 34.42123713219728)	(62, 34.413750010989716)	(64, 34.402963290640784)	(66, 34.3714729137004)	(68, 34.33138552346455)	(70, 34.30501654010368)	(72, 34.246955616810055)	(74, 34.164829293821555)	(76, 33.27387968503238)
SRR27961780_1	(1, 31.68391753187475)	(2, 31.74625412277854)	(3, 31.803554870842024)	(4, 31.8268016026601)	(5, 31.839168682845116)	(6, 35.62505698805358)	(7, 35.634167633655146)	(8, 35.61055682394951)	(9, 35.61299946374735)	(10, 35.61558845209506)	(12, 35.61749075905756)	(14, 35.606883717468385)	(16, 35.597532027196436)	(18, 35.59236575300454)	(20, 35.58495708185296)	(22, 35.55955188827292)	(24, 35.54426250015693)	(26, 35.51112419360335)	(28, 35.494085886511726)	(30, 35.46975606781534)	(32, 35.44699752319427)	(34, 35.430576130838475)	(36, 35.40818368177799)	(38, 35.384655372480374)	(40, 35.31320629765071)	(42, 35.1060607758984)	(44, 35.12965997277487)	(46, 35.063970816377406)	(48, 35.11308783782572)	(50, 35.09292361717658)	(52, 35.026091605942185)	(54, 34.95769455300024)	(56, 35.03913586203062)	(58, 34.97233667161071)	(60, 34.902414661398595)	(62, 34.989914280282576)	(64, 34.93371594392124)	(66, 35.092215413945794)	(68, 35.08510383393744)	(70, 34.977666422154584)	(72, 34.82207634695367)	(74, 34.76248495712669)	(76, 34.4580844122653)
SRR27961780_2	(1, 31.61513990096364)	(2, 31.541528104840083)	(3, 31.570976804830938)	(4, 31.562224408283758)	(5, 31.572251884506603)	(6, 35.333372042763905)	(7, 35.207365044577124)	(8, 35.09688551992295)	(9, 35.09273261079715)	(10, 35.10329880571692)	(12, 35.101386634575206)	(14, 35.089022513643954)	(16, 35.09047734556731)	(18, 35.08023689274768)	(20, 35.02936637893155)	(22, 35.02504322303985)	(24, 34.98992988362062)	(26, 34.947151942436236)	(28, 34.94726430440498)	(30, 34.944985858353974)	(32, 34.920329311139525)	(34, 34.90646238250417)	(36, 34.89246905786328)	(38, 34.873384785489975)	(40, 34.86702983286493)	(42, 34.84653354807352)	(44, 34.822294121128536)	(46, 34.8008057689307)	(48, 34.792377679693956)	(50, 34.79709342991859)	(52, 34.762435053347275)	(54, 34.73292268456328)	(56, 34.71194964605532)	(58, 34.71636126569974)	(60, 34.73728220340655)	(62, 34.75758393968144)	(64, 34.77778811025641)	(66, 34.74596303981721)	(68, 34.67687029321721)	(70, 34.622018462156525)	(72, 34.59259218075481)	(74, 34.56426934231033)	(76, 33.97784935784193)
SRR27961781_1	(1, 31.687961511525575)	(2, 31.724876549901367)	(3, 31.78174721470618)	(4, 31.808425380085097)	(5, 31.827604451192638)	(6, 35.60162355422177)	(7, 35.614549888531194)	(8, 35.586870429458)	(9, 35.59463134705381)	(10, 35.593301726732406)	(12, 35.60075183499193)	(14, 35.58621364248395)	(16, 35.57831717760696)	(18, 35.57428249533229)	(20, 35.56968311443703)	(22, 35.54721948443359)	(24, 35.52816089484562)	(26, 35.497628479745195)	(28, 35.482388481271386)	(30, 35.45659839350842)	(32, 35.43594091654032)	(34, 35.41709667975576)	(36, 35.40443011840084)	(38, 35.38176287774945)	(40, 35.32319731476423)	(42, 35.25509231656856)	(44, 35.25450189917743)	(46, 35.207363850088356)	(48, 35.20148940654093)	(50, 35.177514297318616)	(52, 35.15624558724734)	(54, 35.13284360099159)	(56, 35.119109287212964)	(58, 35.10125252641233)	(60, 35.07716589489554)	(62, 35.0600530172174)	(64, 35.04143958076889)	(66, 35.05093667138311)	(68, 35.066150772793335)	(70, 35.03849293175085)	(72, 34.98144040804857)	(74, 34.917862671214806)	(76, 34.391419273192)
SRR27961781_2	(1, 31.645705883527576)	(2, 31.587646271607333)	(3, 31.63061400199403)	(4, 31.631371123374503)	(5, 31.638187801047792)	(6, 35.413568349705386)	(7, 35.35053257913002)	(8, 35.28936638933779)	(9, 35.29192382465664)	(10, 35.294693963568314)	(12, 35.29566356567531)	(14, 35.28532225753217)	(16, 35.2880223272804)	(18, 35.28001946603375)	(20, 35.2509999564965)	(22, 35.24480471920273)	(24, 35.21928086751686)	(26, 35.18527499204813)	(28, 35.18660737591161)	(30, 35.18920795814535)	(32, 35.1697669299936)	(34, 35.15753798889733)	(36, 35.144597435718225)	(38, 35.128084514108686)	(40, 35.11676540237886)	(42, 35.09641998279828)	(44, 35.06747972451586)	(46, 35.04185188341632)	(48, 35.03068503393986)	(50, 35.032271886540016)	(52, 35.00313412414616)	(54, 34.97268292152397)	(56, 34.95652903751713)	(58, 34.96708028571102)	(60, 34.98224589141526)	(62, 34.98471159496671)	(64, 34.98108529289267)	(66, 34.95129729579385)	(68, 34.90484910703715)	(70, 34.86225882300921)	(72, 34.83742269213927)	(74, 34.80274790576999)	(76, 34.15564206531801)
