Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR27961772_1	0.6410368805297143	0.0
SRR27961772_2	0.0	0.0
SRR27961773_1	0.6754200879944655	0.0
SRR27961773_2	0.10101576699349366	0.0
SRR27961774_1	0.6123324907204439	0.0
SRR27961774_2	0.0	0.0
SRR27961775_1	0.38538153149796006	0.0
SRR27961775_2	0.0	0.0
SRR27961776_1	3.0907854969888278	0.0
SRR27961776_2	0.2040324616521623	0.0
SRR27961777_1	0.2917657952826045	0.0
SRR27961777_2	0.0	0.0
SRR27961778_1	0.6107462059441384	0.0
SRR27961778_2	0.0	0.0
SRR27961779_1	1.3100854144002785	0.0
SRR27961779_2	0.12922057219643046	0.0
SRR27961780_1	0.7084812212929966	0.10154724134776971
SRR27961780_2	0.1364485009137817	0.0
SRR27961781_1	0.0	0.0
SRR27961781_2	0.0	0.0
SRR27961782_1	0.42307372002233967	0.0
SRR27961782_2	0.0	0.0
SRR27961783_1	0.7659806443634046	0.0
SRR27961783_2	0.11900843125081911	0.0
SRR27961784_1	0.15483290277602454	0.0
SRR27961784_2	0.0	0.0
SRR27961785_1	0.188435992905117	0.0
SRR27961785_2	0.0	0.0
SRR27961786_1	1.4573581005937908	0.0
SRR27961786_2	0.10258664740169764	0.0
SRR27961787_1	1.2644064581500196	0.0
SRR27961787_2	0.0	0.0
SRR27961788_1	0.0	0.0
SRR27961788_2	0.0	0.0
SRR27961789_1	0.15591238134464172	0.0
SRR27961789_2	0.0	0.0
SRR27961790_1	0.915543406239897	0.13908690210589314
SRR27961790_2	0.0	0.0
SRR27961791_1	0.0	0.0
SRR27961791_2	0.0	0.0
SRR27961792_1	0.20665318490991455	0.0
SRR27961792_2	0.0	0.0
SRR27961793_1	0.3561423253875792	0.13408373926789657
SRR27961793_2	0.0	0.0
SRR27961794_1	1.1868718017938114	0.0
SRR27961794_2	0.0	0.0
SRR27961795_1	1.080503191929647	0.0
SRR27961795_2	0.0	0.0
SRR27961796_1	0.1454818319991118	0.0
SRR27961796_2	0.0	0.0
SRR27961797_1	0.14494063836026772	0.0
SRR27961797_2	0.0	0.0
SRR27961798_1	0.9697717755009964	0.0
SRR27961798_2	0.13075030164347584	0.0
