Sample	Unique Reads	Duplicate Reads
SRR20079516_1	12373756.0	17869441.0
SRR20079516_2	14358489.0	15884708.0
SRR20079517_1	2612110.0	1424090.0
SRR20079517_2	2778738.0	1257462.0
SRR20079518_1	2575889.0	1860964.0
SRR20079518_2	2803303.0	1633550.0
SRR20079519_1	11696869.0	18436353.0
SRR20079519_2	13946035.0	16187187.0
SRR20079520_1	20700067.0	31428094.0
SRR20079520_2	23416865.0	28711296.0
SRR20079521_1	3458668.0	1766587.0
SRR20079521_2	3651774.0	1573481.0
SRR20079522_1	2786177.0	39268373.0
SRR20079522_2	7280735.0	34773815.0
SRR20079523_1	2121857.0	5549794.0
SRR20079523_2	2857110.0	4814541.0
SRR20079524_1	562734.0	5912759.0
SRR20079524_2	1425841.0	5049652.0
SRR20079525_1	3935142.0	2674325.0
SRR20079525_2	4284280.0	2325187.0
SRR20079526_1	32779342.0	69329285.0
SRR20079526_2	41657357.0	60451270.0
SRR20079527_1	55084559.0	140453362.0
SRR20079527_2	72130241.0	123407680.0
SRR20079528_1	5297114.0	3917008.0
SRR20079528_2	5660102.0	3554020.0
SRR20079529_1	12165295.0	15935957.0
SRR20079529_2	13468255.0	14632997.0
SRR20079530_1	24140116.0	48221489.0
SRR20079530_2	31565945.0	40795660.0
SRR20079531_1	5045481.0	3422501.0
SRR20079531_2	5563044.0	2904938.0
SRR20079532_1	6047695.0	13067461.0
SRR20079532_2	7955921.0	11159235.0
SRR20079533_1	78867.0	585774.0
SRR20079533_2	180801.0	483840.0
SRR20079534_1	84616.0	3298467.0
SRR20079534_2	834412.0	2548671.0
SRR20079535_1	964769.0	16116898.0
SRR20079535_2	3419367.0	13662300.0
SRR20079536_1	8796609.0	8065264.0
SRR20079536_2	9931715.0	6930158.0
SRR20079537_1	2637243.0	1264211.0
SRR20079537_2	2831622.0	1069832.0
SRR20079538_1	22540979.0	40500665.0
SRR20079538_2	26479992.0	36561652.0
SRR20079539_1	3899118.0	2377988.0
SRR20079539_2	4148971.0	2128135.0
SRR20079540_1	6418869.0	6421780.0
SRR20079540_2	7167552.0	5673097.0
SRR20079541_1	5039207.0	4070300.0
SRR20079541_2	5471676.0	3637831.0
SRR20079542_1	30188466.0	66117237.0
SRR20079542_2	37371743.0	58933960.0
SRR20079543_1	4461206.0	3230188.0
SRR20079543_2	4852248.0	2839146.0
