Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR20079516_1	59.08582040698136	49.0	92.07586435058437	100	40.0	30.243197
SRR20079516_2	52.52324586407074	54.0	98.36323820196654	100	30.0	30.243197
SRR20079517_1	35.28295525818653	49.0	91.33873098458946	100	30.0	4.0362
SRR20079517_2	31.15461543147238	54.0	98.3533159902879	100	20.0	4.0362
SRR20079518_1	41.9433479031768	49.0	86.13790281084363	100	30.0	4.436853
SRR20079518_2	36.81777278927396	59.0	97.63868726324718	100	30.0	4.436853
SRR20079519_1	61.18281436011654	49.0	87.2842315036872	100	40.0	30.133222
SRR20079519_2	53.718739831880484	57.0	98.28722414748745	100	40.0	30.133222
SRR20079520_1	60.29005014603058	49.0	97.52470605091939	100	30.0	52.128161
SRR20079520_2	55.07828348333279	49.0	98.49128095080891	100	20.0	52.128161
SRR20079521_1	33.808643000730456	49.0	97.25380818735162	100	20.0	5.225255
SRR20079521_2	30.113018012953745	50.0	98.47112255765508	100	20.0	5.225255
SRR20079522_1	93.3748511106333	38.0	42.6087903686997	34	70.0	42.05455
SRR20079522_2	82.68740263576436	93.0	95.81031971570258	100	40.0	42.05455
SRR20079523_1	72.34159313390089	47.0	53.2156039814637	34	70.0	7.671651
SRR20079523_2	62.75756384075388	84.0	99.50542295263432	100	40.0	7.671651
SRR20079524_1	91.30979966826533	48.0	41.199523881811004	34	60.0	6.475492999999999
SRR20079524_2	77.98096678787553	88.0	100.22921320430738	100	40.0	6.475492999999999
SRR20079525_1	40.46204274909167	49.0	88.93384648111565	100	30.0	6.6094669999999995
SRR20079525_2	35.179658885207914	56.0	98.64336224085845	100	30.0	6.6094669999999995
SRR20079526_1	67.89757846530932	49.0	90.9238124365339	100	40.0	102.108627
SRR20079526_2	59.20290174537493	54.0	98.7328129825896	100	30.0	102.108627
SRR20079527_1	71.82921955254129	49.0	92.27899709795932	100	40.0	195.53792099999998
SRR20079527_2	63.11189150733174	54.0	99.09484651061622	100	40.0	195.53792099999998
SRR20079528_1	42.510926308810895	49.0	93.37581757654175	100	30.0	9.214122
SRR20079528_2	38.57145377932456	52.0	97.01997162616253	100	20.0	9.214122
SRR20079529_1	56.709066382309295	49.0	93.85276442487331	100	40.0	28.101252
SRR20079529_2	52.07240257132662	51.0	97.02564988919355	100	30.0	28.101252
SRR20079530_1	66.6396070544751	49.0	93.83543558078901	100	40.0	72.361605
SRR20079530_2	56.3774951552996	53.0	98.97646427964112	100	30.0	72.361605
SRR20079531_1	40.416963974409455	48.0	92.20010942394539	100	30.0	8.467982
SRR20079531_2	34.30496858232354	55.0	99.07484014491293	100	30.0	8.467982
SRR20079532_1	68.3617847030609	47.0	57.0986023865042	34	70.0	19.115156
SRR20079532_2	58.37899464556188	81.0	99.82219145896586	100	40.0	19.115156
SRR20079533_1	88.13404529663381	48.0	42.45801944207474	34	60.0	0.6646409999999999
SRR20079533_2	72.7973129901397	86.0	100.2523414896162	100	40.0	0.6646409999999999
SRR20079534_1	97.49884942225775	46.0	36.64636412999622	34	60.0	3.383083
SRR20079534_2	75.33575669952005	87.0	100.41556399887321	100	50.0	3.383083
SRR20079535_1	94.35202142893542	46.0	38.24493496448561	34	70.0	17.081667
SRR20079535_2	79.98224113732425	93.0	100.35830387631371	100	40.0	17.081667
SRR20079536_1	47.83136526984465	48.0	95.8531298687874	100	30.0	16.861873
SRR20079536_2	41.099574954733775	50.0	98.02165053075657	100	20.0	16.861873
SRR20079537_1	32.40359177407058	48.0	96.33233020304738	100	20.0	3.9014539999999998
SRR20079537_2	27.421371849976524	49.0	98.09181320605087	100	20.0	3.9014539999999998
SRR20079538_1	64.24430380743055	49.0	95.71880479512876	100	40.0	63.041644
SRR20079538_2	57.99603273812834	51.0	98.55087364155668	100	30.0	63.041644
SRR20079539_1	37.883515361970446	49.0	94.70322772946642	100	30.0	6.277106
SRR20079539_2	33.903137324177195	52.0	98.50244475718587	100	20.0	6.277106
SRR20079540_1	50.01133934823325	48.0	95.83252890878023	100	40.0	12.840648999999999
SRR20079540_2	44.18076918364735	50.0	98.11283826074524	100	20.0	12.840648999999999
SRR20079541_1	44.68190004508056	48.0	95.00357082990331	100	30.0	9.109506999999999
SRR20079541_2	39.934445858633914	51.0	97.9914339491698	100	20.0	9.109506999999999
SRR20079542_1	68.65350187406105	49.0	93.89016475483285	100	40.0	96.305703
SRR20079542_2	61.19467380597611	52.0	99.07485357850511	100	40.0	96.305703
SRR20079543_1	41.99744462419945	49.0	92.7747202912762	100	30.0	7.691394
SRR20079543_2	36.91329425900586	53.0	99.0493329297654	100	30.0	7.691394
