Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
SRR20079521_1	(34, 98965.0)	(36, 313.0)	(38, 359.0)	(40, 331.0)	(42, 343.0)	(44, 403.0)	(46, 486.0)	(48, 752.0)	(50, 1045.0)	(52, 1032.0)	(54, 1403.0)	(56, 2164.0)	(58, 3760.0)	(60, 5225.0)	(62, 5073.0)	(64, 5813.0)	(66, 8443.0)	(68, 12576.0)	(70, 16051.0)	(72, 18098.0)	(74, 19719.0)	(76, 23291.0)	(78, 28217.0)	(80, 33240.0)	(82, 37755.0)	(84, 41583.0)	(86, 44502.0)	(88, 47658.0)	(90, 52746.0)	(92, 55448.0)	(94, 60256.0)	(96, 85597.0)	(98, 490099.0)	(100, 4022509.0)
SRR20079521_2	(34, 6414.0)	(36, 231.0)	(38, 278.0)	(40, 289.0)	(42, 311.0)	(44, 384.0)	(46, 469.0)	(48, 720.0)	(50, 1010.0)	(52, 974.0)	(54, 1310.0)	(56, 2066.0)	(58, 3630.0)	(60, 5064.0)	(62, 4896.0)	(64, 5604.0)	(66, 8182.0)	(68, 12281.0)	(70, 15658.0)	(72, 17516.0)	(74, 19227.0)	(76, 22665.0)	(78, 27549.0)	(80, 32583.0)	(82, 36959.0)	(84, 40654.0)	(86, 43652.0)	(88, 46817.0)	(90, 51783.0)	(92, 53965.0)	(94, 58668.0)	(96, 84734.0)	(98, 486531.0)	(100, 4132181.0)
SRR20079522_1	(34, 36840087.0)	(36, 95.0)	(38, 89.0)	(40, 99.0)	(42, 121.0)	(44, 132.0)	(46, 186.0)	(48, 397.0)	(50, 335.0)	(52, 341.0)	(54, 423.0)	(56, 596.0)	(58, 988.0)	(60, 1437.0)	(62, 1411.0)	(64, 1707.0)	(66, 2787.0)	(68, 3465.0)	(70, 4480.0)	(72, 4803.0)	(74, 5249.0)	(76, 6158.0)	(78, 7523.0)	(80, 9433.0)	(82, 9890.0)	(84, 11294.0)	(86, 12538.0)	(88, 13688.0)	(90, 15769.0)	(92, 14982.0)	(94, 17334.0)	(96, 27915.0)	(98, 241435.0)	(100, 4797363.0)
SRR20079522_2	(34, 2947074.0)	(36, 75.0)	(38, 83.0)	(40, 77.0)	(42, 104.0)	(44, 107.0)	(46, 158.0)	(48, 226.0)	(50, 291.0)	(52, 309.0)	(54, 368.0)	(56, 516.0)	(58, 891.0)	(60, 1241.0)	(62, 1255.0)	(64, 1319.0)	(66, 2201.0)	(68, 2564.0)	(70, 3403.0)	(72, 3649.0)	(74, 3999.0)	(76, 5059.0)	(78, 6245.0)	(80, 8005.0)	(82, 8444.0)	(84, 9691.0)	(86, 10962.0)	(88, 12173.0)	(90, 14055.0)	(92, 12882.0)	(94, 15687.0)	(96, 30775.0)	(98, 232971.0)	(100, 38717691.0)
SRR20079523_1	(34, 5450458.0)	(36, 91.0)	(38, 89.0)	(40, 91.0)	(42, 80.0)	(44, 116.0)	(46, 168.0)	(48, 249.0)	(50, 311.0)	(52, 329.0)	(54, 378.0)	(56, 563.0)	(58, 1046.0)	(60, 1375.0)	(62, 1276.0)	(64, 1626.0)	(66, 2213.0)	(68, 3139.0)	(70, 4095.0)	(72, 4428.0)	(74, 5105.0)	(76, 5831.0)	(78, 7205.0)	(80, 8916.0)	(82, 9661.0)	(84, 11512.0)	(86, 12640.0)	(88, 14174.0)	(90, 16371.0)	(92, 15789.0)	(94, 17401.0)	(96, 30832.0)	(98, 217409.0)	(100, 1826684.0)
SRR20079523_2	(34, 79357.0)	(36, 65.0)	(38, 65.0)	(40, 79.0)	(42, 71.0)	(44, 91.0)	(46, 135.0)	(48, 191.0)	(50, 266.0)	(52, 264.0)	(54, 290.0)	(56, 447.0)	(58, 856.0)	(60, 1076.0)	(62, 1023.0)	(64, 1208.0)	(66, 1814.0)	(68, 2378.0)	(70, 3073.0)	(72, 3272.0)	(74, 3818.0)	(76, 4453.0)	(78, 5676.0)	(80, 7088.0)	(82, 7571.0)	(84, 8744.0)	(86, 9824.0)	(88, 11346.0)	(90, 13055.0)	(92, 11943.0)	(94, 13935.0)	(96, 27886.0)	(98, 183659.0)	(100, 7266632.0)
SRR20079524_1	(34, 5798738.0)	(36, 47.0)	(38, 61.0)	(40, 53.0)	(42, 71.0)	(44, 58.0)	(46, 94.0)	(48, 108.0)	(50, 181.0)	(52, 151.0)	(54, 190.0)	(56, 272.0)	(58, 486.0)	(60, 684.0)	(62, 746.0)	(64, 814.0)	(66, 1293.0)	(68, 1565.0)	(70, 1950.0)	(72, 2175.0)	(74, 2483.0)	(76, 2765.0)	(78, 3309.0)	(80, 3965.0)	(82, 4387.0)	(84, 4872.0)	(86, 5244.0)	(88, 5509.0)	(90, 6258.0)	(92, 5927.0)	(94, 6326.0)	(96, 10252.0)	(98, 65396.0)	(100, 539063.0)
SRR20079524_2	(34, 8928.0)	(36, 39.0)	(38, 68.0)	(40, 49.0)	(42, 63.0)	(44, 48.0)	(46, 80.0)	(48, 90.0)	(50, 155.0)	(52, 133.0)	(54, 151.0)	(56, 225.0)	(58, 398.0)	(60, 597.0)	(62, 607.0)	(64, 654.0)	(66, 1081.0)	(68, 1280.0)	(70, 1629.0)	(72, 1728.0)	(74, 2011.0)	(76, 2164.0)	(78, 2663.0)	(80, 3224.0)	(82, 3327.0)	(84, 3806.0)	(86, 4182.0)	(88, 4827.0)	(90, 5691.0)	(92, 4882.0)	(94, 5371.0)	(96, 11321.0)	(98, 104032.0)	(100, 6299989.0)
SRR20079525_1	(34, 981128.0)	(36, 357.0)	(38, 401.0)	(40, 384.0)	(42, 365.0)	(44, 467.0)	(46, 671.0)	(48, 947.0)	(50, 1359.0)	(52, 1451.0)	(54, 1763.0)	(56, 2823.0)	(58, 4709.0)	(60, 6403.0)	(62, 6873.0)	(64, 7429.0)	(66, 10307.0)	(68, 14744.0)	(70, 18330.0)	(72, 21003.0)	(74, 23198.0)	(76, 25695.0)	(78, 31163.0)	(80, 36111.0)	(82, 41336.0)	(84, 45474.0)	(86, 47419.0)	(88, 50341.0)	(90, 55412.0)	(92, 58843.0)	(94, 63160.0)	(96, 90350.0)	(98, 535005.0)	(100, 4424046.0)
SRR20079525_2	(34, 14332.0)	(36, 247.0)	(38, 292.0)	(40, 332.0)	(42, 330.0)	(44, 436.0)	(46, 644.0)	(48, 903.0)	(50, 1281.0)	(52, 1365.0)	(54, 1669.0)	(56, 2686.0)	(58, 4457.0)	(60, 6138.0)	(62, 6560.0)	(64, 7128.0)	(66, 9893.0)	(68, 14244.0)	(70, 17750.0)	(72, 20264.0)	(74, 22402.0)	(76, 24853.0)	(78, 30233.0)	(80, 35102.0)	(82, 40123.0)	(84, 44182.0)	(86, 45938.0)	(88, 48942.0)	(90, 53891.0)	(92, 57043.0)	(94, 61416.0)	(96, 89555.0)	(98, 531770.0)	(100, 5413066.0)
