Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR20079521_1	(2.0, 96559.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 15.0)	(18.0, 41.0)	(19.0, 160.0)	(20.0, 383.0)	(21.0, 1051.0)	(22.0, 2447.0)	(23.0, 4800.0)	(24.0, 8060.0)	(25.0, 11571.0)	(26.0, 15975.0)	(27.0, 24234.0)	(28.0, 35985.0)	(29.0, 55664.0)	(30.0, 83455.0)	(31.0, 124941.0)	(32.0, 179837.0)	(33.0, 269872.0)	(34.0, 422152.0)	(35.0, 974824.0)	(36.0, 2757439.0)	(37.0, 155789.0)
SRR20079521_2	(2.0, 4271.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 35.0)	(14.0, 203.0)	(15.0, 880.0)	(16.0, 1791.0)	(17.0, 2784.0)	(18.0, 3290.0)	(19.0, 4457.0)	(20.0, 6183.0)	(21.0, 9588.0)	(22.0, 13431.0)	(23.0, 19216.0)	(24.0, 24381.0)	(25.0, 30995.0)	(26.0, 37688.0)	(27.0, 49935.0)	(28.0, 65005.0)	(29.0, 87387.0)	(30.0, 116688.0)	(31.0, 160337.0)	(32.0, 223968.0)	(33.0, 344435.0)	(34.0, 597228.0)	(35.0, 1331326.0)	(36.0, 2013675.0)	(37.0, 76077.0)
SRR20079522_1	(2.0, 36839578.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 4.0)	(16.0, 27.0)	(17.0, 134.0)	(18.0, 524.0)	(19.0, 2376.0)	(20.0, 9712.0)	(21.0, 34201.0)	(22.0, 87974.0)	(23.0, 178291.0)	(24.0, 270021.0)	(25.0, 366119.0)	(26.0, 473892.0)	(27.0, 660712.0)	(28.0, 827215.0)	(29.0, 822239.0)	(30.0, 525675.0)	(31.0, 240383.0)	(32.0, 130733.0)	(33.0, 123200.0)	(34.0, 128052.0)	(35.0, 155517.0)	(36.0, 171851.0)	(37.0, 6120.0)
SRR20079522_2	(2.0, 2946617.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 14.0)	(12.0, 355.0)	(13.0, 6720.0)	(14.0, 51522.0)	(15.0, 210886.0)	(16.0, 398199.0)	(17.0, 483875.0)	(18.0, 457317.0)	(19.0, 461277.0)	(20.0, 483053.0)	(21.0, 526910.0)	(22.0, 550399.0)	(23.0, 592193.0)	(24.0, 622651.0)	(25.0, 697799.0)	(26.0, 784083.0)	(27.0, 954253.0)	(28.0, 1145634.0)	(29.0, 1474825.0)	(30.0, 1888065.0)	(31.0, 2573125.0)	(32.0, 3442832.0)	(33.0, 4949468.0)	(34.0, 6368333.0)	(35.0, 6916788.0)	(36.0, 3035651.0)	(37.0, 31706.0)
SRR20079523_1	(2.0, 5449877.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 15.0)	(16.0, 71.0)	(17.0, 215.0)	(18.0, 481.0)	(19.0, 2047.0)	(20.0, 6642.0)	(21.0, 18571.0)	(22.0, 39678.0)	(23.0, 70357.0)	(24.0, 101121.0)	(25.0, 128531.0)	(26.0, 148214.0)	(27.0, 166562.0)	(28.0, 176490.0)	(29.0, 181519.0)	(30.0, 174403.0)	(31.0, 172852.0)	(32.0, 171291.0)	(33.0, 176158.0)	(34.0, 178445.0)	(35.0, 181619.0)	(36.0, 123745.0)	(37.0, 2747.0)
SRR20079523_2	(2.0, 78913.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 2.0)	(12.0, 96.0)	(13.0, 1468.0)	(14.0, 10478.0)	(15.0, 37541.0)	(16.0, 63689.0)	(17.0, 73261.0)	(18.0, 74562.0)	(19.0, 88974.0)	(20.0, 118127.0)	(21.0, 158142.0)	(22.0, 183213.0)	(23.0, 201556.0)	(24.0, 204636.0)	(25.0, 218278.0)	(26.0, 235652.0)	(27.0, 272184.0)	(28.0, 311030.0)	(29.0, 372674.0)	(30.0, 438788.0)	(31.0, 546231.0)	(32.0, 667814.0)	(33.0, 867241.0)	(34.0, 1012300.0)	(35.0, 996500.0)	(36.0, 432968.0)	(37.0, 5333.0)
SRR20079524_1	(2.0, 5798440.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 7.0)	(16.0, 24.0)	(17.0, 88.0)	(18.0, 237.0)	(19.0, 738.0)	(20.0, 2153.0)	(21.0, 4741.0)	(22.0, 9116.0)	(23.0, 14228.0)	(24.0, 20535.0)	(25.0, 27510.0)	(26.0, 34094.0)	(27.0, 41032.0)	(28.0, 46070.0)	(29.0, 50344.0)	(30.0, 52996.0)	(31.0, 55134.0)	(32.0, 53323.0)	(33.0, 53026.0)	(34.0, 50385.0)	(35.0, 48404.0)	(36.0, 85947.0)	(37.0, 26921.0)
SRR20079524_2	(2.0, 8682.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 12.0)	(12.0, 559.0)	(13.0, 9320.0)	(14.0, 39376.0)	(15.0, 83128.0)	(16.0, 106080.0)	(17.0, 118190.0)	(18.0, 123148.0)	(19.0, 137882.0)	(20.0, 154012.0)	(21.0, 175233.0)	(22.0, 186489.0)	(23.0, 201740.0)	(24.0, 207831.0)	(25.0, 224366.0)	(26.0, 234526.0)	(27.0, 256020.0)	(28.0, 275028.0)	(29.0, 308048.0)	(30.0, 336318.0)	(31.0, 389143.0)	(32.0, 437964.0)	(33.0, 525463.0)	(34.0, 614517.0)	(35.0, 718822.0)	(36.0, 572887.0)	(37.0, 30709.0)
SRR20079525_1	(2.0, 978370.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 2.0)	(16.0, 6.0)	(17.0, 28.0)	(18.0, 84.0)	(19.0, 295.0)	(20.0, 840.0)	(21.0, 2113.0)	(22.0, 4378.0)	(23.0, 8173.0)	(24.0, 12042.0)	(25.0, 16303.0)	(26.0, 20932.0)	(27.0, 28091.0)	(28.0, 38398.0)	(29.0, 55839.0)	(30.0, 79505.0)	(31.0, 118810.0)	(32.0, 175010.0)	(33.0, 270390.0)	(34.0, 435032.0)	(35.0, 1056608.0)	(36.0, 3125450.0)	(37.0, 182768.0)
SRR20079525_2	(2.0, 11913.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 19.0)	(13.0, 255.0)	(14.0, 1791.0)	(15.0, 7536.0)	(16.0, 14115.0)	(17.0, 17653.0)	(18.0, 18374.0)	(19.0, 20070.0)	(20.0, 23882.0)	(21.0, 29846.0)	(22.0, 35590.0)	(23.0, 41672.0)	(24.0, 46727.0)	(25.0, 53606.0)	(26.0, 63034.0)	(27.0, 79380.0)	(28.0, 99303.0)	(29.0, 131303.0)	(30.0, 169632.0)	(31.0, 235237.0)	(32.0, 323935.0)	(33.0, 492157.0)	(34.0, 804092.0)	(35.0, 1633291.0)	(36.0, 2178587.0)	(37.0, 76466.0)
