"DRR456169","DRR456170","DRR456171","DRR456172","DRR456173","DRR456174","DRR456175","DRR456176","DRR456177","DRR456178","DRR456179","DRR456180","DRR456181","DRR456182","DRR456183","DRR456184","DRR456185","DRR456186"
0,0,0,0,0,0,0,0,1.727,57.795,16.843,31.567,0,0,0,0,9,11.453
1,0,0,0,0,3,0,2,10,2,15,14,3,2.074,4,8,0,2
94.441,184.833,195.167,75.935,206.273,110.529,170.93,104.938,9.748,374.66,420.428,339.457,482.332,394.849,382.552,344.834,333.499,268.919
487.094,597.203,456.36,320.552,446.249,630.127,317.465,558.312,482.363,433.724,350.804,472.182,382.797,344.541,338.001,422.783,363.059,236.096
373.293,499.609,415.554,372.142,492.022,491.878,621.705,503.468,418.852,493.905,628.099,393.62,905.195,536.847,546.002,550.878,430.373,539.993
54.876,62.618,31.995,65.774,69.126,93.587,74.999,87.754,82.932,79.465,111.792,90.001,107.779,54.952,47.166,85.808,50.382,51.034
1142.919,1051.492,989.447,945.317,979.07,933.518,1119.818,967.175,733.377,999.846,929.174,781.455,1044.668,1564.312,812.79,811.598,716.711,786.41
479.883,229.652,338.667,308.52,411.912,455.569,749.937,324.479,529.551,235.319,133.732,306.428,209.564,321.963,137.387,209.291,38.775,231.829
1,2,3,1,4,0,2,2,1,14,10,10,6,0,11,8,26.001,6
14.051,4,0,1,3,3,18,5,2,0,0,0,0,0,0,0,0,0
36.805,183.698,99.297,152.317,232.882,57.428,93.202,132.987,90.624,189.344,306.842,258.413,671.299,907.095,114.292,324.291,147.496,232.98
0,0,0,0,0,0,0,12.536,21.334,53.818,13.166,85.051,80.544,0,0,45.337,0,0
748.083,629.091,290.853,1273.754,1353.233,1224.8,1171.335,1067.125,611.282,557.59,633.623,635.25,1033.897,633.294,849.665,836.131,741.874,536.275
401.784,563.654,345.294,563.79,689.652,626.511,605.335,616.129,411.595,650.094,504.433,531.839,1017.257,815.128,736.056,616.309,775.537,658.472
6.745,82.334,7.594,1.66,24.434,61.414,15.738,13.699,21.213,0,23.06,14.741,15.337,16.451,57.938,26.476,34.379,1.294
47.672,33.96,27.574,53.584,66.875,68.338,30.612,67.75,103.577,249.789,138.168,126.61,74.815,51.936,76.8,93.142,66.063,49.508
327.581,267,244.29,259.93,382.665,366.199,440.368,329.686,252.473,371.38,369.219,364.627,282.786,396.505,328.342,281.848,247.561,317.499
12,2,0,2.554,0,3.005,17,7.001,13,232.03,208.034,113.138,412.352,132.765,334.276,238.08,419.848,259.953
3330.121,3542.191,3060.308,2424.555,2438.894,2828.945,3232.722,2789.991,2062.819,4159.175,3408.45,3159.725,5195.564,3802.767,4188.066,3574.248,4845.104,3330.006
777.173,581.563,525.839,645.007,762.834,851.361,805.05,703.883,669.002,683.415,511.669,560.646,793.62,665.948,675.68,541.859,417.473,562.787
1004.925,1130.97,1921.02,958.164,876.942,1353.025,885.132,593.88,1198.161,724.964,580.798,916.41,1146.278,853.096,715.253,839.3,758.47,695.859
3445.257,3184.696,3693.295,2878.682,3088.265,3387.503,4093.911,3462.725,2877.332,2681.651,2559.257,2989.629,2420.048,2421.948,1878.077,1682.818,2020.311,1542.179
351.158,351.399,467.803,278.823,288.493,375.85,418.123,355.886,381.694,263.546,188.432,290.219,339.056,243.545,268.263,205.49,213.299,192.953
1015.081,1053.325,863.069,1069.854,1226.298,1079.789,1712.962,1299.941,1108.674,1496.712,1575.888,1304.576,1402.45,1331.685,1344.278,1319.088,933.914,1187.827
2124.396,1050.279,403.377,2455.851,2009.287,2503.06,3652.708,3098.687,2127.984,613.254,462.98,388.387,176.242,239.72,281,255.267,385.092,246.009
0,42.611,71.25,1.058,0,23.272,0,0,20.889,24.221,3.573,43.729,67.561,34.162,1.416,45.008,36.565,55.699
0,1,0,0,0,0,0,0,0,0,29,29,9,0,10,5,0,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,1,5,1,2.104,0,0,0,6,0,0
1006.838,817.473,717.668,982.518,921.973,1086.358,1119.882,1038.029,872.26,1312.095,1302.9,1530.921,1265.897,957.123,1132.321,1302.714,1295.863,1066.139
452.392,609.31,525.579,382.601,477.458,643.844,515.164,554.278,437.624,386.549,303.879,192.205,410.786,401.498,323.782,317.349,340.412,276.126
1882.237,2016.156,1815.374,1417.324,1654.675,1792.92,2000.4,2065.702,1620.958,1406.524,1382.864,1174.204,2134.629,1694.249,1394.017,1531.784,1213.022,1351.393
0,0,0,0,0,0,0,1,0,34,31,9.006,31,19,41,23,19.001,26
711.194,782.303,565.725,531.971,548.403,855.455,765.329,696.77,550.575,815.301,734.909,732.249,860.063,693.026,571.859,417.231,603.708,386.094
1013.036,797.765,465.436,695.189,747.74,834.048,1235.672,961.41,732.377,633.984,731.774,447.772,687.82,424.036,597.183,570.673,619.14,650.72
24.734,45.648,41.664,63.705,78.259,51.49,42.625,54.395,60.895,47.007,30.57,26.845,67.998,19.167,18.493,29.323,16.999,42.805
93.385,84.284,102.184,38.294,83.494,31.172,114.638,145.574,29.518,293.217,264.462,238.176,172.519,130.094,188.366,161.657,308.349,274.332
19,16.006,10,10,11.257,15,10,12,8,29,27,16.009,41,20,32,19,23,29.085
1560.135,1417.418,1582.845,1397.553,1738.654,1793.527,2011.222,1670.425,1594.899,1135.732,1032.769,869.628,1161.064,1409.539,986.671,891.475,916.897,970.159
0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0
254.33,196.033,238.713,165.604,219.57,209.502,292.989,315.565,148.057,251.546,302.966,315.629,270.832,287.641,154.634,96.099,176.631,285.069
479.984,440.156,640.274,430.841,491.523,635.484,653.638,523.74,403.594,443.833,330.045,388.5,413.981,357.09,288.097,252.607,346.205,309.101
