"SRR21170613","SRR21170614","SRR21170615","SRR21170616","SRR21170617","SRR21170618"
6903.62,8006.951,7514.66,8625.747,7742.92,7540.379
40.638,74.818,47.796,0,63.035,55.348
1276.955,1389.966,1335.583,1158.664,1163.934,1195.963
0,0,0,0,0,2.059
6.46,6.389,1.259,1.545,0,0
0,0,0,0,0,0
6,0,2,1,0,3
0,0,0,0,0,0
1.048,0,1.048,1.048,3.44,0
0,0,0,0,0,0
158,127.063,113.747,106.699,204.35,183.453
286.816,292.774,239.496,247.502,234.626,229.613
0,0,0,0,0,0
0,0,0,0,44.808,41.093
6.524,0,3.256,8.273,5.348,4.739
0,0,0,0,0,0
1.442,0,4.806,6.132,3.34,4.477
23.109,0,0,0,0,0
0,0,0,0,0,0
21.716,38.001,44.006,34.174,30.902,21.447
5.646,16.21,31.602,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
47.792,0,37.384,0,25.637,0
286,268.136,241.136,218,251.016,229
991.311,698.777,829.086,881.984,807.565,870.136
0,0,0,0,0,0
1,0,0,0,0,0
0,1.094,1,1,0,0
0,0,2.312,0,0,0.964
1.03,0,0.507,0.506,0,0
79.006,80,70,77,97,81
0,0,0,0,0,0
38.214,56.716,43.062,27.603,69.834,48.106
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1.174,0
0,0,0,0,0,0
0,0,0,0,0,0
15.838,13.278,14.106,0,20.228,0
0,0,0,0,0,0
0,0,0,0,0,0
103.177,151.883,177.516,105.4,232.634,96.998
0,0,0,0,0,0
0,0,0,0,0,0
123.477,143.525,151.925,113.729,123.252,136.698
76.834,69.525,61.075,56.112,71.756,83.421
0,0,0,0,0,0
1,0,0,3,0,2
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
238.973,236.498,219.968,214.925,217.973,228.729
64.879,62.241,60.467,63.123,40.928,66.775
0,0,0,0,0,0
6,8,1,6,5,2
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
663.223,750.194,641.866,713.581,709.407,704.952
339.527,472.156,404.002,490.875,416.724,314.875
3340.46,3646.757,3659.42,3912.335,3202.576,3085.33
448.941,415.174,448,421.886,387.933,374.883
173.358,240.871,215.788,230.14,169.596,176.116
1129.286,1417.58,1434.125,1390.758,1134.82,1293.307
222.504,223.194,212.448,173.784,264.907,146.831
851.174,955.957,980.599,940.866,784.373,897.25
87.075,61.656,79.005,99.56,42.214,73.794
1725.301,1739.555,1478.746,1491.585,1666.874,1578.491
196.601,223.094,217.797,229.18,235.94,207.498
833.45,912.787,690.235,935.076,672.049,783.335
1170.448,937.308,1032.559,1022.916,923.942,1081.299
12,15,16,15,8,11
0,0,0,0,0,0
712.852,904.993,725.423,781.543,649.376,730.096
312.048,272.11,266.692,339.956,301.979,329.878
2158.554,2684.932,2438.649,2495.718,2399.167,2224.202
1241.61,1694.201,1493.575,1788.591,1404.999,1338.489
3192.275,2983.379,2952.255,2921.656,2894.425,3066.953
81.173,49.101,49.857,54.803,64.107,62.918
348.449,385.217,475.01,251.007,333.534,360.732
609.395,760.047,675.784,812.89,685.798,616.054
164,177,155,173.756,176,157.757
51.505,48.433,55.016,58.534,57,46.498
3,0,0,0,0,0
38.033,104.316,180.012,159.506,145.713,237.829
33.71,20.229,0,48.861,27.548,44.633
0,33.24,36.427,77.118,31.071,0
0,0,0,0,0,0
47.085,42,44,42,42,46
247.991,369.101,295.121,351.417,330.755,250.022
25.784,22,13.809,31.366,17.755,21.075
5544.475,4910.289,4974.979,5074.206,5269.044,5384.287
0,0,0,0,0,0
2,0,0,0,0,0
0,0,0,0,0,0
39.086,42.339,25.904,18.007,30.006,27.298
9568.819,11323.604,11394.523,12865.044,10889.592,10548.078
0,0,0,0,0,0
256.987,549.986,359.115,381.265,356.071,412.131
2763.084,2801.347,2895.383,2996.262,2512.295,2619.02
0,0,0,0,0,0
68.87,59.373,73.375,85.752,82.273,55.786
31.562,26.201,33.432,38.598,21.834,30.874
0,0,0,0,0,0
335.457,374.205,371.324,344.919,347.695,330.265
607.012,569.044,554.201,609.818,654.695,592.906
0,0,0,0,0,3
0,0,0,0,0,0
937.66,948.079,924.524,890.512,945.297,896.18
289.604,275.381,303.663,324.273,279.778,305.644
496.138,538.615,460.332,509.128,497.737,465.705
468.929,463.482,398.73,462.996,422.093,492.915
9.032,0,7,0,5,0
101.91,121.563,163.164,167.643,125.819,141.274
1,1,0,0,0,0
2892.524,2832.01,2845.937,2899.456,2897.651,2800.686
0,14.25,6.031,3.55,3.837,2.488
0,0,1,7,0,3.632
214.162,279.12,216.725,238.654,236.619,222.751
0,0,0,0,0,0
9,13,6.021,11,15,12
1,0,2,2,0,0
3.008,6,0,5,3,4.012
0,0,4,0,0,1
17,14,21,7,13,25.015
1,4,1,6,0,1
8.144,11.74,9.628,7.096,4.357,12.67
4,4.872,2,4.872,5,2.858
214.194,224.856,210.94,239.839,214.979,150.035
300.037,267.742,262.194,287.341,224.156,261.45
714.1,623.843,305.287,932.88,668.645,718.273
1698.273,2365.254,1723.205,1994.964,1860.266,1577.551
544.058,498.853,342.749,282.368,339.57,332.468
0,0,0,0,0,0
9.176,13.408,23.841,6.111,16.82,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
67.099,83.657,57.299,100.856,65.742,76.105
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
449.959,434.738,531.207,552.289,403.821,537.808
223.973,243.122,205.179,283.619,260.683,273.884
20.748,11.038,11.669,0,0,28.886
0,3.832,0,0,0,0
177.931,198.563,233.891,230.192,165.096,174.069
1424.031,594.656,1070.12,758.884,760.655,1103.839
0,1,0,0,2,4
0,0,0,0,0,0
77486.172,64183.8,63969.58,69864.444,73995.071,73090.412
0,1.636,4,0,4.2,1
1479.613,1644.21,1661.342,1700.058,1571.034,1435.695
0,0,0,0,0,0
0,0,0,0,0,0
0,2,1,0,0,1
5,8,0,5,1,3
0,0,0,0,0,0
2326.738,2383.231,2275.333,2471.607,2486.085,2077.608
0,0,3.224,4.995,18.661,0
1,0,0,0,0,1
1916.028,1700.53,1584.729,1729.435,1555.673,1623.12
303.007,593.067,414.33,407.727,456.553,376.626
3021.182,3076.163,3059.05,3461.619,2913.091,2942.986
1109.766,1151.869,1280.296,1308.549,1109.214,1157.605
6523.19,6701.352,6728.822,7677.681,6598.365,6850.007
149.617,165.875,191.059,248.641,201.535,156.592
593.126,607.446,637.324,620.458,570.422,485.399
2.1,12.632,10.079,14.246,8.078,1.042
336,384.019,374,228.873,261.817,306.98
671.01,725.815,619.197,717.258,705.189,700.955
505.754,339.187,535.987,451.077,463.043,416.002
0,0,0,0,0,0
0,0,0,0,0,0
8.939,13.95,5.861,13.927,2.563,9.413
238.646,73.274,262.72,107.91,80.641,176.018
1308.554,1267.156,1142.887,1342.522,1171.974,1169.269
78.258,86,64.053,49.413,55.908,70.895
104.764,212.418,156.026,187.73,125.121,120.238
2018.459,1760.033,1610.958,1639.666,1778.665,1811.37
16,22,32,36,22,29
60.31,98.624,113.46,143.276,134.397,145.881
0,0,0,0,0,0
182.791,201.97,206.868,180.166,210.962,200.237
75.729,79.112,79.083,84.143,97.148,71.311
37.12,17.341,38.876,15.898,34.346,19.529
94.901,166.616,83.132,118.791,107.289,144.765
0,0,0,0,0,0
0,0,0,0,0,0
173.129,190.866,172.646,161.451,185.27,152.05
336.227,224.159,222.014,277.372,222.016,157.525
456.733,359.978,393.663,487.559,393.569,476.883
1,0,1,0,0,0
885.757,792.496,873.622,898.106,933.716,820.049
0,0,0,154.418,0,6.585
0,0,0,0,0,0
177.058,155.129,91.242,270.944,223.602,200.497
0,0,0,0,0,0
0,0,0,1,0,1
6,0,0,15,0,0
214.377,304.019,305.214,219.478,266.277,136.563
228.666,258.157,318.509,159.376,310.587,158.742
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,2,1,1,2,3
0,0,0,0,0,0
0,0,0,0,0,0
13.681,27,4.969,0,41,34.001
683.125,927.166,783.541,893.522,716.678,728.584
0,0,0,0,0,0
1825.954,1152.696,1049.679,1534.546,1668.746,1662.735
58.571,66.006,46,31.382,75,71.022
7,5,1,9,2,1
181.978,110.207,191.32,125.948,133.649,181.06
0,7,0,5,0,5
168.133,146,137,157.747,184,149
0,1,0,1,0,0
46.686,32.793,53.85,44.698,67.614,188.461
3,9,5,3,11,11
26.051,1.068,30.457,59.697,24.633,1.221
89.33,25.457,80,82,67,85
71.465,106.183,60.097,73.008,51.179,79.51
263,305.137,255.687,326,234.049,242.025
3.196,6.875,4.738,0,6.536,1.42
9,19,0,13,12,16
34,29,20,44,40.001,18
226.984,176.256,205.781,229.075,185.068,178.195
0,0,19,17,11,18
226.354,220.05,192.158,227,203.007,158
6.508,14.011,0,5.024,3.4,15
0,0,0,0,0,0
18,10,10,21,7,12
0,6.704,4.617,0,6.232,10.002
19,33,25,16.008,20.607,22
197.745,111.672,177.215,176.035,179.583,204.653
174.718,159.657,153.117,175.858,146.747,125.229
5700.976,5830.393,5640.896,6290.321,5686.638,5089.187
390.595,452.087,441.83,484.057,356.622,346.092
0,0,0,0,0,0
773.494,823.286,755.274,838.483,752.463,665.181
721.036,775.208,637.095,654.082,683.193,627.415
217.042,179,176.215,167,185.143,201.114
31.989,49.785,19.467,43.456,38.08,13.942
894.36,858.803,900.742,984.137,860.774,805.672
93.061,61.74,61.587,57,53.348,58.498
1109.051,1187.697,1108.028,1085.727,975.623,1152.536
10,3,6,4,6.013,4
0,0,0,0,0,0
402.375,373.24,307.266,478.838,244.308,115.95
0,0,0,0,0,0
0,0,0,30.269,0,0
876.286,613.18,785.036,682.998,624.244,826.536
165.9,149.272,136.259,126.934,16.29,136.853
0,0,0,0,0,0
1039.016,1039.597,1121.424,1092.563,963.511,941.238
0,0,0,0,0,0
384.626,176.919,383.056,392.283,35.471,367.081
999.574,1141.042,1083.659,1279.247,763.574,1108.384
422.931,692.661,780.009,748.509,604.999,624.226
2214.362,2333.276,2194.539,2255.449,2194.76,1989.583
0,0,0,0,0,1
1,2,0,0,0,0
253.129,111.952,73.888,105.374,256.575,343.516
662.597,949.466,995.31,1021.625,843.859,761.579
112.297,108,62.448,114.024,77.25,130.041
455.079,453.597,427.045,462.178,452.668,502.777
142.429,131,120.836,134.001,119,108
5,4,1,4,3,1.725
0,0,0,0,0,0
5,3,5,6,2,5
0,0,0,0,0,0
0,0,0,0,0,0
271.933,268.868,185.359,300.218,244.702,194.279
0,0,0,0,0,0
2,0,6,5,2,4
0,0,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
43,31.703,6.078,16.159,0,7.096
4,2,3,0,2,3
0,0,0,0,0,1
0,0,0,0,0,0
106.059,118.035,76.883,127.023,105,99.689
0,0,0,0,0,0
1709.813,1917.958,1622.002,1914.4,1619.286,1678.13
7.725,0,65.209,70.761,40.881,0
97.04,139.995,78.466,116.947,135.863,165.284
0,0,0,0,0,0
229.043,239.353,229.212,236.857,224.809,193.563
0,0,0,0,0,0
3,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1939.99,1994.484,1771.126,2033.866,1826.58,1645.448
0,0,1,1,0,0
0,0,0,0,0,0
2.701,13.749,0,3,11.031,1
931.856,773.702,736.399,561.065,681.372,792.157
0,0,0,0,0,0
0,0,0,0,0,0
2049.669,2125.521,2304.478,2399.485,2123.209,1946.184
608.94,452.498,640.743,518.142,474.815,782.324
2,3,2,1,6,5
310.826,253.411,241.423,317.54,251.764,257.008
467.213,347.609,416.824,361.623,433.162,560.224
7,15,10,11,8,6
1.632,0,0,5.195,12.66,6.187
2047.924,2302.379,2184.366,2367.047,2318.746,1687.554
646.504,699.325,599.201,704.152,656.583,658.452
1643.208,1248.865,1450.491,1367.521,1557.405,1503.779
26.773,24.48,35.437,56.778,44.022,35.848
17.377,14.619,35.705,17.233,20.904,15.639
341.1,347.747,316.908,326,349.295,357.558
0,0,0,0,0,0
1380.082,1413.155,1448.08,1477.838,1215.297,1192.884
0,0,2,0,0,0
75.001,47,77,54,61.013,65.075
631.087,532.676,586.816,630.86,510.444,624.767
112.348,75.189,104.037,65.453,96.698,95.283
0,0,1,1,0,0
3,3,3,4,5,3
0,0,0,0,0,1
0,0,0,2,2,1
8,0,1,1,3,3
476.4,382.102,408.572,357.367,445.393,505.077
22.006,21,15,19,23,26
25,27,31.003,18,37,24
0,0,0,0,0,0
2158.337,1813.191,1938.472,1964.778,1888.412,2027.448
2118.132,2100.096,2208.842,2558.548,1579.046,2125.799
2817.371,3164.758,2816.594,3009.134,2856.621,2800.606
0,1.384,0,0,2.479,1.457
0,2,0,0,0,0
2,1,4,2,0,0
1242.529,1474.651,1171.95,1177.211,1249.726,1080.529
2656.109,2470.434,2618.512,2759.965,2521.274,2732.731
1647.243,1504.495,1444.691,1538.664,1505.824,1586.391
33.845,47.264,38.233,48.403,47.976,41.985
849.238,975.491,955.941,973.154,791.172,811.487
12.82,38.747,18.326,12.66,0,0
0,32.344,31.027,36.229,27.316,25.594
1183.841,1535.302,1334.564,1366.533,1221.046,1256.071
1362.165,1478.925,1201.079,1343.761,1290.55,1096.241
207.122,228.005,252.999,225.002,199,196.4
315.197,366.749,297.18,332.59,326.313,230.063
2711.921,2797.601,2373.302,2679.685,2530.958,2528.554
736.464,1678.196,1152.957,1394.922,1192.823,998.57
0,0,0,0,0,0
167.325,110.527,119.622,93.374,195.936,175.48
0,0,0,0,0,1
332.954,338.586,244.959,317.182,129.763,211.693
245.93,288.733,291.801,222.697,202.295,240.057
1199.897,1252.97,1303.869,1347.115,1055.955,1078.204
