"SRR26436341","SRR26436342","SRR26436343","SRR26436344","SRR26436345","SRR26436346","SRR26436347","SRR26436348"
3730.254,5713.049,5067.701,5015.739,3458.477,4463.745,10138.54,4748.818
1.178,19.644,9.015,256.249,120.799,1.254,21.812,12.72
0,0,0,9.315,0,7.265,33.126,0
2.359,13.644,0,2.176,2.414,2.067,2.677,5.055
0,0,0,9.157,4.424,0,5.923,8.239
0,0,0,0,0,0,1.524,0
0,0,0,0,0,0,0,0
7.152,10.507,0,1.439,10.501,0,12.285,10.439
0,0,0,0,0,0,0,0
11,18.636,10,6.65,0,10.425,14,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
6.573,13.359,6.387,38.001,10,22.537,44.289,1
368.95,4.394,0,5.953,3.115,0,2.543,0
0,0,7.699,7.258,0,1.908,0,0
402.972,571.443,457.984,627.413,510.228,676.389,1018.096,648.368
0,0,0,0,0,0,0,0
27.721,0,78.373,189.955,19.485,9.761,207.907,139.469
1,0,2.835,0,1,0,0,2
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
32.829,69.042,65.967,51.039,41.873,0,86.214,80.023
47.257,88.356,82.419,114.873,110.69,44.405,118.367,70.037
2.04,2.279,3.596,5.714,2.144,4.229,4.626,4.353
289.697,644.112,393.404,1821.311,948.869,851.514,2278.379,616.779
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
22.575,102.836,5.903,34.098,29.121,31.072,128.409,9.81
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
44.325,62.049,27.221,0,18.085,38.985,11.623,20.154
90.105,91.19,30.12,166.846,0,0,158.179,19.442
0,0,0,9,0,0,0,0
13.741,86.94,47.079,309.298,231.684,64.802,327.454,96.403
0,29.526,29.428,34.739,8.796,4.446,30.32,22.083
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.018,1.01,0,11,1.031,6.321,6,0
0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0
0,3,0,2.753,0.918,0,3,4.559
222.758,498.088,341.861,944.288,508.892,484.428,986.133,474.871
18541.762,27869.491,18203.923,19230.166,19620.041,9468.185,49400.333,24314.357
4259.838,6715.853,5053.654,9759.703,5668.76,6194.135,14053.776,6302.984
1390.387,2289.122,1787.121,1850.946,1000.808,2666.717,4264.185,2312.085
0,1.82,0,3.777,0,0,0,0
6.217,28.304,17.147,34.402,28.215,17.036,51.966,19.098
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,0,0,0,2,0,1
0,3.894,0,0,0,0,3.567,0
0,3,0,0,0,0,0,0
149.256,212.244,164.729,144.25,91.048,217,188.148,88
86.982,164.712,98.091,143.768,109.724,130.886,149.405,141.665
0,0,0,1,1,0,1,0
55.145,0,32.114,9.886,10.319,0,120.721,44.074
1.405,3.836,0,6.119,4.757,9.85,21.203,4.62
0,0,0,0,0,0,0,0
5.393,4.359,9.736,12.107,7.546,3.512,4.04,0
27.088,67.527,72.765,9.637,6.279,20.57,98.265,0
1.2,1.445,0,5.546,3.579,2.002,0,4.29
0,7.331,0,80.108,56.607,19.298,7.997,7.39
0,0,0,0,0,0,0,0
181.225,312.057,176.102,402.808,120.427,340.773,460.593,226.625
2.594,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,6,1,3,1,10,0
0,20.049,55.864,172.293,25.058,5.833,265.333,116.081
106,155,109,191,140,138,269,104
315.999,447,310,378.999,255,425,531,278
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
4.475,5.151,1.71,8.452,7.299,6.891,14.943,5.503
857.081,1401.86,955.268,1932.591,1010.382,1108.965,2752.435,1306.662
0,0,0,0,0,0,0,0
0,1,0,4,0,1,0,0
0,0,0,0,0,0,0,0
2.792,6.953,2.396,2.51,2.486,17.697,15.27,24.933
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0.921,0,0
0,0,0,0,0,0,0,0
0,0,0,0,2,0,3,0
0,0,0,0,10.969,0,0,0
0,0,0,0,2.375,0,0,0
0,0,0,0,0,0,0,0
159.33,363.965,154.221,359.129,186.709,207.198,477.038,242.481
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
178.984,314.78,98.93,158.64,34.852,280.3,286.435,132.754
157.016,179.22,64.07,59.36,42.148,171.037,251.565,85.246
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,1,41.001,0,0,11,0
0,0,0,2,2.185,0,0,0
0,0,0,0,0,0,0,0
173.419,280.135,457.019,295.516,152.141,265.358,417.607,238.913
0,0,0,0,0,0,0,0
0,0,0,0,1,0,3,0
0,0,0,0,0,0,0,0
0,0,10.918,20.785,0,0,0,26.48
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
3178.417,4196.568,3206.639,6217.928,3465.651,4615.059,11062.03,5071.544
726.785,983.947,594.779,762.684,700.464,1168.565,2182.18,1022.281
795.001,922.001,770.004,1679.001,730.686,1045.001,2486.005,1269
338.001,429.999,289,377,237,480.016,445,309
508.573,337.559,355.19,952.659,329.705,390.753,1116.855,236.029
111.548,120.817,48.5,179.814,49.369,62.899,295.029,84.94
440.593,794.359,478.319,703.339,413.53,720.945,1171.11,574.029
475.733,878.768,581.181,1415.402,727.025,921.425,1810.502,797.99
0,0,0,0,0,0,0,0
865.139,1261.37,825.125,2531.807,1561.297,1226.238,3313.722,1529.02
351.981,438.496,438,1030.709,609.854,635.156,1373.871,566.583
403.031,702.204,388.362,866.014,421.61,656.031,977.086,649.659
5323.49,6995.842,6040.068,7247.87,5444.627,7212.895,15300.232,8780.226
0,0,0,0,0,0,0,0
1509.81,2850.641,1479.94,5288.99,3897.143,2061.213,7164.932,2964.543
3974.029,5920.724,3367.133,7018.339,4067.688,6395.111,8537.085,4231.343
1231.436,2178.197,1288.335,2888.91,1602.227,1742.879,3317.934,2564.027
400.632,526.487,400.564,985.306,537.886,458.562,1452.222,553.706
131.619,287.694,166.333,460.796,284.135,218.421,432.016,275.652
1366.135,2358.855,1619.872,3342.002,1893.395,2043.771,4337.701,1934.653
142.556,227.428,139.708,410.385,304.17,221.172,648.927,274.299
523.209,718.121,651.062,1285.855,760.393,633.531,2023.776,826.291
254.441,466.356,358.239,365.287,205.626,348.75,640.049,389.098
0,0,0,0,0,2,2,0
595.22,306.311,222.765,328.9,727.293,277.779,1246.526,254.812
3,3,0,2,0,0,2,0
143.262,193.153,113.647,291.38,138.112,233.779,371.525,132.215
2.94,10.268,3.003,157.778,94.334,1.649,254.675,136
0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0
18,26,11,53,45,29,40.038,28
1946.685,2302.476,1867.887,4312.978,2117.797,2524.895,5845.117,3091.727
0,0,0,0,0,0,4,0
4483.648,7249.295,3934.694,10017.174,5892.833,5103.724,13035.426,7581.255
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.756
13.621,0,6.181,33.853,43.483,19.36,0,0
0,1,1,6.693,0,0,5,0
1752.712,3454.906,1875.313,5802.134,2883.806,2840.987,7189.476,3228.754
0,0,0,0,0,0,0,0
66.652,45.398,36.177,50.346,7.511,56.719,144.888,155.515
940.096,1615.908,770.536,2153.145,1422.011,1564.922,4101.861,1568.791
3,9,3,51,43,3,202,3
26.891,1.118,11.831,51.197,38.668,23.479,42.98,39.055
26.858,43.8,35.071,35.859,11.442,28.748,103.674,53.57
0,0,0,1,0,0,0,0
166.63,218.43,172.855,300.931,291.277,176.394,529.154,66.913
86.744,141.587,69.237,331.236,216.127,165.364,177.557,181.233
4,1,0,22,21,0,15,1
0,0,0,0,0,0,0,0
61.528,105.446,50.47,90,69,70.214,135.554,70.817
396.732,675.368,398.366,1241.245,641.698,613.409,1473.051,628.454
639.786,1047.547,764.908,1776.516,956.585,1053.439,2489.398,1050.364
1021.674,1761.726,1011.862,1926.857,886.764,1632.735,2222.964,1176.098
0,0,2.89,0,0,0,0,0
183.31,215.954,99.947,236.513,167.787,166.498,418.039,200.189
1,0,0,0,0,0,0,0
1265.025,2052.366,1483.503,2414.883,1269.154,1846.113,3166.156,1839.756
508.157,987.22,527.793,2907.069,1608.649,710.989,4779.393,1271.142
318.485,343.635,488.642,572.883,328.858,250.936,4417.766,540.176
11.958,13.051,11.448,15.613,8.585,16.174,40.857,8.634
0,0,0,0,0,0,0,0
911,1673.263,1151,2474.996,1140.001,1485.4,5028.397,2143.162
0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,6
292,530.993,237,777,437,380,1326,520
88,146,82,149,145,93,328.519,159
0,0,0,0,0,0,1,0
5,28,9.001,14,2,7,8,18
0,0,0,0,0,0,0,0
389.066,378.275,203.769,433.22,294.961,277.734,1115.662,309.226
569.088,873.466,442.95,1106.924,591.187,728.402,1597.436,880.953
2174.513,2922.075,2848.079,11063.852,7019.524,3490.134,15671.448,5069.856
981.461,1818.224,1256.843,4039.893,2950.16,1608.432,4016.653,1300.299
567.825,1019.101,760.99,1548.796,1014.229,964.798,2667.519,1153.843
1118.195,2020.564,1177.611,4849.65,2449.379,1892.629,5009.398,2024.018
0,0,20.372,6.607,13.05,0,0,5
7,2.317,0,15,0,3.835,34.48,3
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,12.018,3,0,1,1,8.422,0
0,0,0,0,0,0,0,0
5.747,3,2,2,0,1,2,0
0,0,0,0,0,0,0,0
1823.03,2326.445,1619.473,2785.786,2158.755,1971.124,4730.358,2232.994
1364.549,2001.5,1472.107,2880.732,1624.492,1966.81,4086.555,2180.737
0,0,0,0,0,0,8.875,0
0,0,0,0,0,0,0,0
78.665,116.217,104.033,616.371,416.054,99.224,310.141,131.184
48300.476,102214.61,53950.884,136849.681,67916.951,90373.065,267408.9,104910.138
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
38583.289,71972.279,51418.892,70889.431,39973.309,63126.24,145908.794,70137.817
0,0,0,0,0,0,0,0
640,1094.025,652.176,1298.892,639.924,989.52,1728.117,973.982
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
2331.381,4388.168,2881.947,5993.132,3319.102,2936.655,7623.773,3428.896
0,0,0,0,0,0,4,0
1,0,0,0,0,0,0,0
2014.548,3513.886,1735.532,5787.253,2660.813,2578.976,7583.871,3320.521
232.68,288.147,398.321,1011.86,407.22,594.372,1035.277,547.085
2204.444,3715.031,2442.669,5088.138,3037.846,3358.502,7340.959,3086.915
1323.065,1956.918,1302.572,2110.265,1161.118,2085.288,3531.441,1767.108
30238.045,52339.449,36631.256,66459.557,38425.079,49176.403,100923.216,48397.198
68.157,168.989,41.321,305.932,145.917,145.019,458.36,256.368
110.01,255.613,98.844,165.956,70.849,151.027,235.212,165.603
6.349,13.86,2.195,34.343,18.352,16.461,29.07,21.084
305,607.001,266,580,390.014,389,840.843,453.762
413.747,589,345.647,956.802,591.068,482.195,1300.262,491.407
143.381,188.744,137.919,250.505,130.986,120.133,379.105,164.496
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,2,2,2,4,3
173.106,399.725,322.706,584.735,229.289,293.698,825.068,399.532
1631.202,2762.904,1917.813,4690.088,2982.47,2560.358,5190.39,1986.709
0,9,2.836,28,23,0,9,4
308.702,295.23,126.038,220.284,141.387,178.846,539.811,210.478
74,110,88,181,87,106,211.776,78.012
109.164,420.324,188.525,920.609,690.145,193.781,903.163,225.428
117.798,184.407,148.422,164.851,160.465,220.639,519.279,175.451
0,7,9,0,0,0,0,0
46.759,70.571,39.001,101,64.47,51,121.999,67.001
102,160,117.002,160.001,78,149.001,239.999,145.999
132.097,167.885,130.691,408.911,200.155,246.271,503.901,238.023
191.97,277.998,148.19,527.654,432.985,182.333,1128.186,366.479
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
37.575,89.495,54.796,74.468,56.282,85.835,144.599,74.335
1782.966,3261.833,2171.611,5509.343,2455.243,2478.103,6307.091,3704.471
0,14,11,12,3.654,19,27,3.368
5,12,4,45,0,1,26,1
2977.216,5869.11,3233.896,5438.478,3531.656,4747.999,8515.124,4599.069
6.153,0,0,25.634,35.792,11.18,0,6.132
0,0,0,0,0,0,0,0
51.328,104.173,107.056,189.218,66.925,39.544,97.606,91.491
0,0,0,0,0,0,0,0
1,3,0,3,1,0,0,2
0,0,0,0,3,0,0,3
0,2.422,6,48,1,0,0,0
0,6.579,0,0,0,2,2,0
176.803,435.994,294.451,246.564,235.809,279.651,285.158,238.777
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1
0,0,0,1,1,0,0,3
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
3890.498,9393.148,6684.665,17010.177,8591.279,5683.772,16355.788,9151.996
1597.095,2486.345,1922.739,3970.832,1944.195,2371.448,5808.211,3071.142
24,76,56,105,86,54,145,45
0,0,0,56,8,0,0,0
30,66,25.32,89.999,45,58,119,148.999
0,0,0,0,0,0,0,0
17,32,15.835,30,4.959,0,4.469,37.71
1,5,0,4,0,0,0,1.403
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
3,6,3,8,10,1,10,7
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
9.371,13,2,90.728,245.775,101.56,344.379,231.826
0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0
0,0,0,14,1.415,1,0,0
14.776,20.906,19.467,0,0,32.94,1.265,1.107
2,8,6,46,7,6,4,14
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,7,0
0,0,0,0,0,0,0,0
2443.028,5205.753,2980.951,9834.839,6774.916,4411.383,17718.345,6239.398
1,7,3,15.753,5,0,1.999,6
3030.35,4769.628,3477.062,6426.022,4088.977,4108.279,10962.978,5160.562
1209.887,1786.29,1242.761,5151.088,2509.483,1795.248,6725.828,2631.317
2200.286,5150.073,2647.691,19136.299,9493.426,3867.173,13216.884,4534.174
173.946,319.242,221.276,2155.909,1112.954,262.749,1438.723,527.626
5,0,0,0,2,3,12,0
340.164,525.968,412.365,1271.879,487.77,538.006,1169.244,640.273
52.515,111.89,56.464,94.455,52.167,132.782,113.342,83.158
75.002,137.138,67.903,204,113,151,382,145.244
11.795,43.404,131.834,91.68,33.534,142.444,171.719,39.923
371.127,688.521,407.59,474.645,507.836,558.751,1336.756,378.467
377.723,402.119,365.533,680.891,315.907,453.796,803.485,440.283
0,0,0,0,1,0,0,0
2,1,3,4,2,1,4,1
0,0,0,0,0,0,0,0.774
120.57,180.216,215.861,389.245,2253.363,153.747,531.203,859.753
76.725,169.652,11.759,124.427,27.044,161.999,189.471,94.561
0,0,0,0,0,0,0,1
0,0,21.042,10.8,0,0,5.05,0
11394.45,16848.959,10656.173,32017.367,22348.92,15361.201,40494.034,19120.61
0,0,0,0,0,0,0,0
767.637,1044.438,832.476,1032.641,785.316,964.199,1356.077,1391.727
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
4067.444,7028.38,3901.286,8568.723,4821.186,5518.183,13066.084,5899.945
33,13.695,36.977,60.451,12.822,10.77,328.861,72.948
3732.937,6131.045,4107.488,10540.924,6000.858,5416.638,16678.297,5586.706
0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,47.847,17.474,0,16.077,0
0,0,0.875,0,0,0,0,2.671
98,73.413,67,162.586,112,73.349,241.008,160.905
0,2,2,29,9,0,4,2
9,29,17.486,0,4,11,32,0
404.122,866.557,871.047,334.503,227.547,589.352,524.931,392.11
0,0,0,0,0,0,0,0
2666.818,2647.343,2154,3488,3820.996,2672.575,10066.344,2332.031
1009.498,1145.338,1374.246,1126.249,642.512,1341.864,2908.088,1772.939
443.638,2712.954,798.056,375.862,172.122,1170.633,766.579,782.059
6931.291,10025.655,4875.642,16081.967,6837.516,9605.629,29371.112,10394.273
0,0,0,0,0,0,0,0
3,13,11,35.683,25.541,16,37.505,10.577
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
3.561,6.612,6.089,476.543,125.23,2,146.249,20
0,0,0,0,0,0,0,0
29.264,341.522,201.242,344.81,96,143.821,100.023,121.243
0,0,0,0,0,0,1,0
6,122,81,234,79,13,68,32
4.5,19,7,0,8,24,0,0
0,0,0,1,0,0,0,0
37.363,109.253,59.34,153.372,115.812,75.507,169.785,87.446
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0
12.642,54.925,23.539,1.147,2,13.17,5.416,5.598
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1173.675,1345.388,1138.186,2220.957,954.013,1403.417,2511.413,1011.4
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
287.993,522.4,311.222,596.446,316.396,247.564,694.672,229.25
1052.318,1498.776,806.956,1368.28,661.422,1706.29,1740.03,1392.683
0,0,0,0,0,0,0,0
1,0,0,0,0,0,2,0
1804.25,3138.645,2077.13,4128.902,2051.317,3278.293,4922.664,2820.647
778.226,373.422,1178.062,820.436,312.192,879.069,2443.33,1730.192
0,1,0,0,0,0,0,0
421.575,348.041,161.183,545.811,156.931,1513.5,477.92,633.149
303.147,606.206,472.45,1462.829,1317.779,348.306,3230.804,1162.106
2,2,7,17,13,1,14,3
1.249,13.665,5,2.787,0,0,17.562,0
2105.274,3556.639,2220.548,3540.611,2171.132,3165.832,4685.249,1899.843
428.982,647.487,511,1599.469,794.106,771,1794.623,812.875
944.059,1296.188,907,2729,1451.002,1044.176,4517.106,1218
0,0,2.876,7.819,2,4.56,28.311,0
5.219,261.593,154.528,190.631,221.158,63.251,455.164,82.329
80,163,133,196,110,212,345,156
81,139.839,153.943,218.127,267.869,221.334,179.044,98.767
2944.52,4333.683,3085.491,7977.332,4455.277,4615.144,8250.533,4149.8
913.057,1426.165,547.751,3826.654,2666.222,1377.295,4171.341,1458.573
18,63.004,11,39.263,27.081,15,50.413,26
741.336,1207.613,784.336,2966.32,1885.236,1074.434,2480.587,880.397
122.839,251.545,118.152,367.136,238.998,183.109,396.853,120.64
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
7,18,12,15,3,1,10,3
0,0,0,0,0,0,8,1
0,0,0,0,0,0,0,0
26,121,28,58,57,22,48.005,40
487.014,681,294,1288,594,332,1536.633,571.533
0,0,0,1,0,1,0,4
1469.704,2037.26,1439.658,3772.429,2128.521,2187.671,4807.767,2002.948
643.118,936.911,736.547,1488.832,871.129,940.16,2206.939,968.171
2219.65,4094,2631,5932.807,2907.688,3469.84,8244.962,3903.41
10.781,72.59,47,0,0,1.911,24.418,2.445
1,15,11,11,16,4,11,8
5.408,42,40,0,31,0,0,6.862
580.165,1001.708,700.587,1365.611,737.018,816.314,2012.523,933.544
179.51,338.901,215.473,1305.674,1203.994,263,775.859,229.792
