SRR18889440,SRR18889441,SRR18889442,SRR18889443,SRR18889444,SRR18889445
0,6.649,0,0,0,5.314
8.814,14.324,27.234,18.237,6.871,5.831
9.637,7.777,43.466,32.392,51.26,78.569
0,0,0,0,0,0
303.456,282.804,397.299,269.686,328.683,327.524
2.926,0,1.507,4.476,4.118,0
0,0,0,0,0,0
48,50,49,43,38,38
86.937,86.358,112.337,64.14,75.677,83.599
1,0,0,0,0,0
0,0,65.069,0,0,0
0,2.184,1.258,2.074,2.863,5.009
7,1,11,2,2.188,10
4.575,91.124,51.104,12.067,125.57,68.182
0,0,8.83,4.703,3.705,11.44
20.125,28.428,32.167,28.408,32.5,27.041
17.358,0,0,0,0,5.241
0,1.777,0,0,0,0
887.882,674.255,747.213,649.587,768.738,923.392
0,0,0,0,0,0
0,0,0,0,0,0
1,2,2,1,0,0
314.746,240.98,311.851,211.875,282.721,279.862
312,303,368,300,312,288
282.999,204,279,212,224,191.999
0,0,0,0,0,0
0,0,1,0,0,0
0,0,0,0,0,0
1999.66,1590.519,2228.72,2041.848,1920.315,1759.323
6.6,8.858,10.6,7.59,9.686,2.952
11,16,16,28,12,11
0,0,0,0,0,0
3.376,0,3.062,0,0,9.723
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2,0,0,0,0
0,0,0,0,0,0
6.522,0,4.474,0,3.716,5.043
0,0,0,0,0,0
0,0,0,0,0,0
83.338,131.994,168.95,141.891,102.295,119.047
0,0,0,0,0,0
0,0,0,0,0,0
21.296,18.263,10.524,23.424,31.233,22.128
2.704,4.737,3.476,6.576,6.767,2.872
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
747.881,694.636,730.718,644.911,750.486,683.163
0,0,0,0,0,0
0,0,0,0,0,0
0,2,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1.74,17.331,0,0,3.307,5.489
541.044,486.841,490.416,499.538,537.825,467.403
740.427,364.66,635.378,657.264,538.12,630.275
9895.211,9013.168,10532.224,10301.415,8427.466,8102.726
429.001,375,482.691,460.062,433.003,438.999
228.656,181.055,182.394,187.773,157.001,254.845
1155.08,1248.111,1213.708,1327.04,1319.949,1074.935
510.1,509.088,540.804,538.758,509.616,387.27
1462.368,1055.955,1181.197,1261.057,1019.734,1116.474
7,0,0,3,0,0
1247.922,1195.025,1404.497,857.3,1143.881,1123.821
104.25,74.945,95.955,118.669,97,78
1066.982,1046.929,1274.348,1226.473,1007.708,994.579
4390.043,3996.983,5136.487,4469.619,4166.434,4471.387
1,0,0,0,0,0
0,0,0,0,0,0
647.801,636.821,755.648,660.662,477.501,621.654
262.149,181.097,146.693,126.003,249.127,167.1
3227.277,2846.732,2994.139,3308.013,2624.943,2561.898
2071.395,1999.331,2394.268,2305.945,1874.351,1753.739
731.775,710.629,658.496,710.867,621.641,583.856
102.539,116.881,124.845,82.55,82.576,62.755
1033.991,756.154,792.922,771.575,531.843,629.805
625.153,519.929,621.899,636.018,574.237,580.983
56,31,54,48,40,56
52.074,77.32,52.719,42.621,31.555,68.686
0,0,0,0,0,0
249.343,120.664,214.712,209.842,167.409,138.382
1,0,0,2,1,1
0,0,0,0,0,0
0,0,0,0,0,0
102.833,77,104,72,68,103
1332.594,1304.239,1526.29,1455.627,1163.723,1199.745
126.831,141.999,145.713,106.213,152.835,133.939
1624.122,1209.481,1610.822,1428.695,1355.178,1507.964
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,4,0
5781.036,3553.821,6595.58,4951.551,4261.846,4979.815
0,0,0,0,0,0
382.622,232.713,190.789,203.475,163.378,258.459
637.319,550.094,550.247,544.062,549.556,541.98
0,0,0,0,0,0
218.79,154.685,153.572,231.472,169.041,160.78
27.994,33.715,33.6,36.286,26.154,26.299
0,0,1,0,0,0
91.051,119.384,105.895,135.099,62.243,86.955
500.639,439.099,571.451,551.857,494.036,433.973
27.035,23,18,17,7,11
0,0,0,2,0,0
4414.08,3588.352,4421.673,4491.536,4027.052,4080.669
367.198,308.779,357.523,336.024,318.461,325.694
2165.81,2010.531,2341.56,1943.986,1889.886,1667.61
2183.748,2056.188,2260.848,2245.32,1823.655,1883.114
0,0,0,0,2.085,0
77.518,9.965,42.981,52.373,0,12.262
0,0,0,0,0,0
6012.831,5645.925,6642.706,6072.244,5624.071,5725.735
519.145,374.048,664.217,556.564,588.376,600.868
0,0,0,0,0,0
49.73,62.343,90.252,65.131,71.187,72.977
13,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,2,1,0
7,4,11,3,4,6
30,52,64,41,71,43
0,1,3,0,4,1
1,0,0,1,1,0
0,0,0,0,0,0
440.357,365.967,427.88,289.036,383.4,315.645
194.164,189.83,206.409,207.847,193.799,177.497
282.941,156.127,234.031,182.441,121.466,123.221
7205.088,5492.983,7060.5,7492.053,5727.157,6308.505
1455.152,1477.652,1608.008,1435.574,1251.999,1193.862
10.559,0,0,27,0,20
1,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
46.329,0,4.623,27.483,55.753,83.093
0,0,0,0,0,0
1,1,0,3,0,0
1,0,1,0,0,0
295.973,265.33,237.511,293.038,243.306,212.916
810.442,762.861,842.596,959.647,834.714,744.858
0,18.125,19.699,18.468,18.109,22.315
0,0,0,0,0,0
264.416,265.006,348.842,265.149,295.38,286.986
58002.945,37572.193,65449.283,48840.014,56049.802,54636.866
0,5,5,3,3,7
0,0,0,0,0,0
94693.408,77906.018,103595.331,94005.444,83257.372,80669.661
0,0,0,0,0,0
2097.437,1704.578,2247.961,2229.14,2030.465,2115.486
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
1,1,2,0,2,0
0,0,0,0,0,0
9108.428,8140.92,11547.765,7834.669,9268.795,10702.457
0,0,0,0,0,0
0,0,0,0,0,0
4435.623,4173.156,6135.123,4926,4535.083,4573.53
1015.375,1005.442,785.108,968.589,927.338,926.024
3503.683,2920.429,3766.505,3513.331,3079.554,3095.352
1316.294,992.924,1328.886,1345.463,1217.544,1186.81
37409.734,33937.384,40169.042,37402.244,32404.824,31696.066
1098.57,776.225,1053.968,820.13,739.663,658.248
115.67,126.161,64.802,83.729,46.412,75.439
0,0,0,0,0,0
63,65,62,63,56.901,69
1070.298,872.889,1052.568,988.338,894.68,853.824
317.84,253.743,345.083,395.148,282.108,204.795
0,0,0,0,0,0
0,0,0,0,0,0
5,7,8,3.649,8,10
343.655,401.539,411.658,317.786,418.11,378.387
425.584,273.566,381.148,353.282,328.831,357.404
11,7.642,7,5,2.405,5.267
103.828,147.4,76.347,45.166,101.775,35.414
455,434,495,452,385.001,448
0,0,0,0,6,0
357.786,338.97,416.216,335.801,413.249,300.448
0,0,0,3,1,1
239.281,168.757,267.55,198.394,191.326,223.545
107,97,123.003,92,91,87.042
9.196,32.231,23.1,20.789,17.94,14.095
499.425,391.338,482.304,479.857,388.443,410.548
0,0,0,0,0,0
0,0,0,0,0,0
392.818,429.697,465.576,287.412,261.975,97.427
1714.681,1704.409,1847.935,1779.446,1786.385,1660.63
143.013,129.999,165,50.779,127.019,61.898
0,1,0,1,0,0
2019.376,1315.214,1870.737,1674.674,1573.854,1567.678
84.776,34.109,69.794,62.351,82.266,57.672
0,0,2,0,0,0
259.394,190.385,182.378,322.332,199.682,265.953
0,0,0,0,0,0
3,4,2,0,4,1
0,1,2.119,0,0,1
227.205,202.559,164.804,150.491,189.432,106.844
142.793,2.481,107.801,82.931,63.723,71.607
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
42.667,19.378,47.465,57.999,48,36.81
0,0,0,0,0,0
0,0,0,0,0,0
12.326,25,33,0,14.501,0
18658.187,17064.73,21082.996,17693.24,15366.076,17383.12
0,0,0,0,0,0
756.605,605.199,721.898,515.959,846.927,582.886
109,63.733,132,123,107.882,124.999
1,6,4,0,8,4
90.072,106.369,158.132,138.868,121.02,107.002
2.518,15,8,8,0,10
0,0,0,0,0,0
51,63,31.82,67,42.6,55
1,0,0,0,0,4
2,3,0,1,0,1
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,1
1,1,1,6,3,4
0,0,0,0,0,1
0,3.379,3.593,4.252,2.241,3.608
7669.902,7213.815,8435.952,7676.487,7147.481,7370.122
110.37,35.164,113.884,59.125,0,0
0,0,0,0,0,0
9,3,4,5,1,2
1,1,0,1,0,1
0,0,0,0,0,0
0,3,0,0,0,0
44,28,58,26.929,9.361,0
273.291,191.58,253.421,201.813,234.057,228.914
9.414,0,0,0,7.478,1.119
0,0,2.686,4,1,1.37
6539.131,5289.931,6803.329,6438.263,5108.135,6504.311
994.785,905.608,1192.142,1046.312,899.153,1099.519
0,0,0,0,0,0
1289.044,1207.235,1431.031,1194.838,1208.682,1256.253
294.805,266.272,276.602,281.684,270.369,227.903
0,0,10,5.69,3.753,2.439
59.65,1.697,5.328,3.313,23.038,13.234
222.738,227.767,244.35,285.061,147.617,215.074
62.658,16.334,56.045,47.35,35.739,66.874
31,26.16,21.007,40.343,32,43.168
2,1,3,1,4,3
0,0,0,0,0,0
1585.535,1210.087,1771.135,1448.777,1485.483,1282.527
0,0,0,0,0,0
2,6,5,3,1,4.832
229.843,205.565,262.645,240.73,187.576,196.688
14,30.103,21,26,15,29
0,0,0,0,0,0
538.448,459.972,562.219,489.117,520.956,551.933
0,0,0,0,0,0
0,0,0,0,0,0
5081.331,4179.847,5387.118,4993.904,5462.116,4999.336
713.986,773.866,834.071,737.498,767.72,614.362
259.63,148.896,269.976,246.667,82.026,218.125
0,0,0,0,0,0
0,0,0,0,0,0
5.78,52.907,3.577,0,0,0
51.678,44.992,61.557,11.891,38.255,26.399
22,20,26,22,11,0
272,218,354.001,313.075,319.005,267
2,0,5,0,2,0
0,0,3,0,0,0
0,0,0,0,0,0
395.041,355,464.399,476,436,360.004
15.244,0,8.238,23.255,17.727,5.327
0,0,0,0,0,0
802.907,991.243,1346.629,651.987,654.134,897.01
0,0,0,0,0,0
1,3,4,2,3,0
35,21.061,14.52,20.572,27,20.126
0,0,0,0,0,0
86.689,167.449,217.286,96.128,47.74,189.694
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
133.001,84,106,99.831,94,117
11102.358,10939.343,11048.752,10953.056,10552.285,10624.657
0,0,0,0,0,0
338.06,262.117,341.732,346.382,420.399,298.177
169.972,51.859,0,0,205.628,202.886
0,0,1,0,0,0
0,0,0,0,0,0
1,0,1,4,0,2
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
5028.564,4222.721,5054.083,5226.641,4176.806,3902.829
0,0,0,0,0,0
0,0,0,0,0,0
0,1,8,6.847,7,7.11
506.056,388.927,504.213,449.837,399.517,458.286
0,0,0,0,0,0
0,0,0,0,0,0
1127.246,1008.353,1196.271,1146.615,1142.002,1318.393
1642.849,2160.993,2092.571,2224.514,1533.369,1692.152
1,1,2,0,0,0
2177.341,1976.797,2379.614,1968.918,1774.421,1783.69
79,24.102,9.971,40.216,21.257,41.279
248.286,223,269,222,212,193
10.072,7,6.71,13.978,18.043,8.647
364.802,181.607,358.738,380.15,349.868,486.3
298.896,360.408,483,445,425,401
290.432,290,367,320,304,339
0,5.165,9,0,0,12.076
0,1,0,0,0.941,0
380,321,289,387,238,236
0,0,0,0,0,0
759.309,838.59,923.266,901.874,625.247,775.26
1,0,0,1,0,0
446.554,456.4,466.201,479,445,495
76,51,63,57,68,68
108.657,117.557,146.342,131.202,98.997,117.43
0,0,0,0,0,0
78,71,69.804,70,80,64
5,0,7,1,0,6
0,0,0,0,0,0
0,0,0,0,0,0
52,53,61,42,57,53
9,6,12,16,6,10
77,50,56,65,53,42
0,0,0,0,0,0
2191.102,1363.517,2278.505,2311.156,2128.53,2010.747
1402.303,1283.151,1230.343,1434.407,1275.654,812.784
2794.492,2992,2997.689,2905.016,2600.472,2702.539
44.112,32,59.814,44,50.943,46
360.648,342.769,265.215,329.638,236.336,257.542
0,0,0,3,0,0
2016.018,1897.344,2237.57,1922.222,1650.715,1788.642
342.817,241.118,258.982,290.037,287.873,336.236
4852.24,3767.846,5035.75,4665.702,4625.417,5176.547
36.728,30.886,48.369,31.498,40.591,16.711
2734.413,2392.135,2862.675,2593.668,2514.046,2576.828
24.204,0,76.959,120.926,107.683,62.425
35.657,27.142,19.076,0,47.368,47.641
588.666,685.178,860.073,816.371,681.492,599.144
1538.995,1505.966,1354.635,1401.148,1225.649,1263.052
0,2,0,0,0,0
720.891,780.852,946.96,529.506,306.726,481.416
8786.96,8707.074,8123.615,8481.926,7308.906,7548.657
420.886,402.794,408.632,296.901,436.556,326.604
0,0,0,0,0,0
104.251,81.785,93.488,102.813,98.035,74.117
8,8,12,19,7,12
501.878,544.849,855.779,593.807,515.982,751.549
697.635,663.333,703.953,684.874,574.636,585.797
1353.255,1353.11,1497.087,1150.062,1291.807,1225.619
14.901,8.913,5,9,10,3
355.941,275.833,328.467,369.389,304.712,322.665
158.104,127.254,207.301,156.225,173.853,139.975
84.757,62.813,101.766,71.035,66.623,97.122
133.894,108.411,149.216,87.922,55.922,111.981
211.97,184.795,242.721,157.421,225.581,231.363
0,0,0,0,0,0
32.037,49.666,42.579,61.211,35.335,39.949
14,6,7,13,6,6
0,0,0,0,0,0
1512.185,1289.275,1727.895,1505.402,1427.663,1466.933
36.401,21.975,69.359,53.001,46.327,39.638
2938.318,2474.31,3204.856,2800.271,2597.148,2962.667
39.854,13.61,34.866,23.44,18.784,25.946
643.643,960.935,957.065,908.723,557.157,746.264
140.265,70.688,112.416,86.241,122.046,69.969
723.906,777.335,975.55,800.956,775.952,780.061
53.518,48,56.738,64.536,53.094,41.191
0,0,0,0,0,0
290.856,253.897,275.747,310.082,193.94,349.917
2956.75,2536.926,3033.163,2741.381,2603.001,2674.746
1241.283,1251.63,1513.768,1193.594,1137.628,1260.338
822.661,653.692,689.001,673.212,651.572,589.371
2420.249,1899.78,2693.214,2315.756,2462.584,2478.892
943.471,680.512,974.056,861.102,938.85,863.145
4867.092,4260,5285.99,4674.522,4614.55,4766.965
62.373,58.349,70.461,61.171,79.307,56.817
1078.883,1091.432,1214.565,1187.038,965.919,947.511
1121.897,1090.396,1383.364,974.093,1570.503,1346.106
0,0,0,0,0,0
0,0,0,0,0,0
5482.076,4083.13,5562.168,4900.025,4050.357,5383.04
0,0,0,0,0,0
0,0,0,0,0,0
12.955,163.452,0,0,386.787,193.344
77.606,95.98,63.512,126.992,50.794,63.718
0,0,0,0,0,0
416.107,341.571,405.617,353.909,407.86,386.32
0,0,0,0,0,0
0,0,0,0,0,0
958.203,1006.183,925.416,941.707,968.856,859.489
12892.9,11149.055,13877.401,12544.352,12417.571,12307.918
7101.834,6841.93,7657.654,7335.929,6559.832,6651.573
949.696,842.134,1023,858.331,722.76,905
0,14.807,0,24.353,18.341,60.758
528.85,411.364,558.465,440.814,334.396,392.811
29602.938,29079.66,32853.221,29439.216,26822.657,29899.375
9702.533,8763.007,7989.212,8780.64,6164.04,7552.057
5197.585,5206.773,5121.803,4859.392,4469.523,4595.105
0.966,0,30.593,142,0,167
1715.66,1381.852,1933.331,1599.372,1615.937,1586.428
0,0,0,0,0,0
