Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,infection_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Time
SRR27961782,RNA-Seq,152,1491172744,PRJNA1075838,SAMN39939130,508592845,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX23618255,uncalculated,uncalculated,missing,SARS-2,NextSeq 550,GSM8076549,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:41:00Z,1,GSM8076549,Calu-3/2B4,SRP489631,48 hpi
SRR27961783,RNA-Seq,152,1235199880,PRJNA1075838,SAMN39939131,426475938,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX23618254,uncalculated,uncalculated,missing,SARS-2,NextSeq 550,GSM8076548,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:40:00Z,1,GSM8076548,Calu-3/2B4,SRP489631,48 hpi
SRR27961784,RNA-Seq,152,1395589672,PRJNA1075838,SAMN39939132,477957982,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX23618253,uncalculated,uncalculated,missing,SARS-2,NextSeq 550,GSM8076547,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:40:00Z,1,GSM8076547,Calu-3/2B4,SRP489631,24 hpi
SRR27961785,RNA-Seq,152,1305143440,PRJNA1075838,SAMN39939133,443852115,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23618252,uncalculated,uncalculated,missing,SARS-2,NextSeq 550,GSM8076546,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:40:00Z,1,GSM8076546,Calu-3/2B4,SRP489631,24 hpi
SRR27961786,RNA-Seq,152,1326987512,PRJNA1075838,SAMN39939134,457444106,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX23618251,uncalculated,uncalculated,missing,SARS-2,NextSeq 550,GSM8076545,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:40:00Z,1,GSM8076545,Calu-3/2B4,SRP489631,24 hpi
SRR27961787,RNA-Seq,152,1618628240,PRJNA1075838,SAMN39939135,559208820,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX23618250,uncalculated,uncalculated,missing,SARS-2,NextSeq 550,GSM8076544,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:41:00Z,1,GSM8076544,Calu-3/2B4,SRP489631,12 hpi
SRR27961788,RNA-Seq,152,1596003192,PRJNA1075838,SAMN39939136,542404967,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX23618249,uncalculated,uncalculated,missing,SARS-2,NextSeq 550,GSM8076543,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:40:00Z,1,GSM8076543,Calu-3/2B4,SRP489631,12 hpi
SRR27961789,RNA-Seq,152,1541132256,PRJNA1075838,SAMN39939137,523936538,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX23618248,uncalculated,uncalculated,missing,SARS-2,NextSeq 550,GSM8076542,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:40:00Z,1,GSM8076542,Calu-3/2B4,SRP489631,12 hpi
SRR27961790,RNA-Seq,152,1187154200,PRJNA1075838,SAMN39939138,314631207,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX23618247,uncalculated,uncalculated,missing,SARS-1,NextSeq 550,GSM8076541,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:40:00Z,1,GSM8076541,Calu-3/2B4,SRP489631,48 hpi
SRR27961791,RNA-Seq,152,1607083384,PRJNA1075838,SAMN39939139,547501987,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX23618246,uncalculated,uncalculated,missing,SARS-1,NextSeq 550,GSM8076540,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:41:00Z,1,GSM8076540,Calu-3/2B4,SRP489631,48 hpi
SRR27961792,RNA-Seq,152,1273867616,PRJNA1075838,SAMN39939140,429775513,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX23618245,uncalculated,uncalculated,missing,SARS-1,NextSeq 550,GSM8076539,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:40:00Z,1,GSM8076539,Calu-3/2B4,SRP489631,48 hpi
SRR27961793,RNA-Seq,152,1321914208,PRJNA1075838,SAMN39939141,451241387,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX23618244,uncalculated,uncalculated,missing,SARS-1,NextSeq 550,GSM8076538,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:40:00Z,1,GSM8076538,Calu-3/2B4,SRP489631,24 hpi
SRR27961794,RNA-Seq,152,1333300528,PRJNA1075838,SAMN39939142,457347218,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX23618243,uncalculated,uncalculated,missing,SARS-1,NextSeq 550,GSM8076537,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:40:00Z,1,GSM8076537,Calu-3/2B4,SRP489631,24 hpi
SRR27961795,RNA-Seq,152,1371006408,PRJNA1075838,SAMN39939143,470407616,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX23618242,uncalculated,uncalculated,missing,SARS-1,NextSeq 550,GSM8076536,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:40:00Z,1,GSM8076536,Calu-3/2B4,SRP489631,24 hpi
SRR27961796,RNA-Seq,152,952861248,PRJNA1075838,SAMN39939144,332265285,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX23618241,uncalculated,uncalculated,missing,SARS-1,NextSeq 550,GSM8076535,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:40:00Z,1,GSM8076535,Calu-3/2B4,SRP489631,12 hpi
SRR27961797,RNA-Seq,152,1296304488,PRJNA1075838,SAMN39939145,441726035,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX23618240,uncalculated,uncalculated,missing,SARS-1,NextSeq 550,GSM8076534,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:40:00Z,1,GSM8076534,Calu-3/2B4,SRP489631,12 hpi
SRR27961798,RNA-Seq,152,1694258424,PRJNA1075838,SAMN39939146,578474308,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX23618239,uncalculated,uncalculated,missing,SARS-1,NextSeq 550,GSM8076533,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:41:00Z,1,GSM8076533,Calu-3/2B4,SRP489631,12 hpi
