"sample","condition"
"SRR22223232","mock_48h"
"SRR22223233","mock_48h"
"SRR22223234","mock_12h"
"SRR22223235","mock_12h"
"SRR22223236","mock_12h"
"SRR22223237","mock_12h"
"SRR22223238","mock_4h"
"SRR22223239","mock_4h"
"SRR22223240","mock_4h"
"SRR22223241","infected_48h"
"SRR22223242","infected_48h"
"SRR22223243","infected_48h"
"SRR22223244","infected_24h"
"SRR22223245","infected_24h"
"SRR22223246","infected_24h"
"SRR22223247","infected_12h"
"SRR22223248","infected_12h"
"SRR22223249","infected_12h"
"SRR22223250","infected_7h"
"SRR22223251","infected_7h"
"SRR22223252","infected_7h"
"SRR22223253","infected_4h"
"SRR22223254","infected_4h"
"SRR22223255","infected_4h"
"SRR22223256","infected_2h"
"SRR22223257","infected_2h"
"SRR22223258","infected_2h"
"SRR22223259","infected_1h"
"SRR22223260","infected_1h"
"SRR22223261","infected_1h"
"SRR22223262","infected_0h"
"SRR22223263","infected_0h"
"SRR22223264","infected_0h"
