"sample","condition"
"SRR26260919","infected_total_cov_depleted"
"SRR26260920","infected_total_cov_depleted"
"SRR26260921","infected_total_cov_depleted"
"SRR26260922","bystander_total_cov_depleted"
"SRR26260923","bystander_total_cov_depleted"
"SRR26260924","bystander_total_cov_depleted"
"SRR26260925","mock_total_cov_depleted"
"SRR26260926","mock_total_cov_depleted"
"SRR26260927","mock_total_cov_depleted"
"SRR26260934","infected_total_cov_depleted"
"SRR26260935","infected_total_cov_depleted"
"SRR26260936","infected_total_cov_depleted"
"SRR26260937","infected_total_cov_depleted"
"SRR26260938","infected_total_cov_depleted"
"SRR26260939","infected_total_cov_depleted"
"SRR26260940","bystander_total_cov_depleted"
"SRR26260941","bystander_total_cov_depleted"
"SRR26260942","bystander_total_cov_depleted"
"SRR26260943","bystander_total_cov_depleted"
"SRR26260944","bystander_total_cov_depleted"
"SRR26260945","bystander_total_cov_depleted"
"SRR26260946","mock_total_cov_depleted"
"SRR26260947","mock_total_cov_depleted"
"SRR26260948","mock_total_cov_depleted"
"SRR26260949","mock_total_cov_depleted"
"SRR26260950","bystander_total_cov_depleted"
"SRR26260951","mock_total_cov_depleted"
"SRR26260989","infected_total"
"SRR26260990","infected_total"
"SRR26260991","infected_total"
"SRR26260992","infected_total"
"SRR26260993","infected_total"
"SRR26260994","infected_total"
"SRR26260995","bystander_total"
"SRR26260996","bystander_total"
"SRR26260997","bystander_total"
"SRR26260998","bystander_total"
"SRR26260999","bystander_total"
"SRR26261000","mock_total"
"SRR26261001","mock_total"
"SRR26261002","mock_total"
"SRR26261003","mock_total"
"SRR26261004","mock_total"
"SRR26261005","mock_total"
"SRR26261006","infected_total"
