"sample","condition"
"SRR27961772","mock_48hpi"
"SRR27961773","mock_48hpi"
"SRR27961774","mock_48hpi"
"SRR27961775","mock_24hpi"
"SRR27961776","mock_24hpi"
"SRR27961777","mock_24hpi"
"SRR27961778","mock_12hpi"
"SRR27961779","mock_12hpi"
"SRR27961780","mock_12hpi"
"SRR27961781","sars2_48hpi"
"SRR27961782","sars2_48hpi"
"SRR27961783","sars2_48hpi"
"SRR27961784","sars2_24hpi"
"SRR27961785","sars2_24hpi"
"SRR27961786","sars2_24hpi"
"SRR27961787","sars2_12hpi"
"SRR27961788","sars2_12hpi"
"SRR27961789","sars2_12hpi"
"SRR27961790","sars1_48hpi"
"SRR27961791","sars1_48hpi"
"SRR27961792","sars1_48hpi"
"SRR27961793","sars1_24hpi"
"SRR27961794","sars1_24hpi"
"SRR27961795","sars1_24hpi"
"SRR27961796","sars1_12hpi"
"SRR27961797","sars1_12hpi"
"SRR27961798","sars1_12hpi"
