"SRR27961772","SRR27961773","SRR27961774","SRR27961775","SRR27961776","SRR27961777","SRR27961778","SRR27961779","SRR27961780","SRR27961781","SRR27961782","SRR27961783","SRR27961784","SRR27961785","SRR27961786","SRR27961787","SRR27961788","SRR27961789","SRR27961790","SRR27961791","SRR27961792","SRR27961793","SRR27961794","SRR27961795","SRR27961796","SRR27961797","SRR27961798"
6,2.225,0,1.301,0,5,1.622,1.634,0,1,3.405,2.622,9.478,9,0,1.859,0,1.621,5,8,5,0,1.884,0,7,3,8
78.018,52,69,95,105.853,92,65,53,34,99,42,53.001,59,56.022,94,45.001,42,51,60,63,46,64,79,91.046,22,39,58
208,162.024,239,175.1,204,213.999,189.026,136.001,89.001,260,147.001,218.997,131.219,163.247,175.999,116,128,113,151.064,158.071,142,155,194.215,180.05,91,92,117
552,458.085,493,527.02,482.338,408.259,700,702.578,384,437.519,275.161,321,406.509,490.414,461.062,698.163,694.572,660.722,253.1,372.141,284,463.496,433.476,484.22,375,450.694,717.069
103.508,170.923,224,81.119,132.701,122.97,90.95,64.837,2.629,179.007,114.856,84.503,73.492,2.488,116,117.162,99,91,98.194,154.783,122.685,48.005,99.304,99,70,101,1.866
4,1,4,4,2,4,2,1,0,1,4,0,2,2,1,3,3,0,3,1,2,3,2,1,1,0,6
74.245,116.78,46.056,74.407,75.004,146.037,95.414,53.788,102,68.683,73.581,22.777,83.823,58.503,86,101.609,85.922,56.087,62.628,61.805,27.77,47.982,118,39.401,47.822,76.519,102.956
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.002,99.999,103,90.008,104.001,91,102,102,52,77,84.001,55.001,85,82,65,88,110,119,50,65,59,83,79,81,58,77.999,120.006
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,4,3,1,1,1,2,1,2,1,0,2,0,1,1,1,2,5,4,3,0,1,0,2,0
12.27,97.291,51.771,53.907,23.853,24.596,32.485,17.14,19.176,27.724,47.398,45.853,12.172,0,12.2,15.37,15.231,3.972,0,0,11.754,4.5,17.905,0,11.362,23.188,0
152.498,192.666,157.21,191,255.432,238,315,325.4,286.441,134.93,139.069,135.141,139.014,131.001,141.22,234.754,270.364,269,84.217,131.487,110,166.92,189.247,196,143.542,208.021,232.236
0,0,0,0,0,0,0,1.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.823,7.383,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
28.745,7.044,27.209,12.325,13.695,7.87,0,0,0,2.466,3.59,0,0,5.326,0,15.602,0,0,0,17.361,8.054,9.349,0,0,9.464,0,0
175.678,128.706,84.786,109.405,154.288,105.17,143.235,78.098,178.922,37.928,96.774,52.72,53.822,127.807,115.787,78.295,125.771,26.631,52.473,36.663,82.339,67.212,136.202,134.725,57.176,115.973,80.562
106.631,108.001,106.999,113.328,103.085,77.569,121.06,124.54,75.386,94.15,90.274,91,75.305,77.579,75.332,82.812,99.345,108.411,62,55.184,68,83.325,96.329,100.999,78,75.952,94.229
349.986,364.012,303.198,170.089,326.377,306.804,302.083,281.533,249.473,332.235,231.407,267.141,251.878,265.268,257.973,215.691,265.567,210.739,210.234,193.563,215.494,231.356,203.387,208.372,134.17,219.851,259.25
651.25,611.692,650.274,789.701,922.269,767.081,908.795,690.005,534.736,726.539,430.312,463.143,695.579,583.535,521.23,611.01,896.973,623.421,475.794,591.572,546.563,655.873,533.548,653.318,403.951,575.59,635.115
54.416,20.42,39.845,70.913,10.323,32.626,87.672,85.059,11.202,25.438,24.857,70.242,14.473,12.848,45.477,62.712,64.318,20.564,16.237,29,17.444,13.843,25.098,5.778,22.69,153.334,41.91
3,1,1,1,4,2,3,1,5,1,1,4,3,0,3,5,4,1,2,2,4,0,1,1,0,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
407.417,259.444,190.155,166.274,256.957,334.477,366.722,337.398,285.305,338.72,237.91,308.304,105.621,186.376,196.819,105.511,199.727,333.878,122.254,242.784,89.691,221.547,181.312,198.315,169.066,91.8,351.754
7.71,1.863,3.003,6.717,13.623,14.451,4.728,6.345,6.71,0,3.422,0,2.42,0,0,5.459,13.644,2.252,0,5.324,0,0,0,2.608,3.119,0,7.65
598.908,419.262,544.381,543.721,481.101,462.868,708.215,607.488,515,391.711,309.163,240.301,299.065,369,325.602,656.124,667,609.465,249.909,397.018,190.277,336.425,340.929,385.001,300.17,494,583.054
27.247,16.591,10.569,16.546,25.966,14.926,20.656,12.633,28.206,20.728,39,13.389,18.321,25.795,13.067,9.202,17.766,16.513,16.586,25.624,3.224,19,16.729,30.724,3.902,7.212,23.133
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1.933,1,0,0,0,0,0,0,0,1
23.371,21.687,23.772,17.291,29.084,22.646,26.393,25.296,35.101,23.334,37.347,12.711,14.543,24.727,22.164,25.424,20.274,21.087,13.478,22.38,29.579,14.086,14.471,19.475,9.952,14.794,25.531
219.542,233.331,150.065,149.991,212.108,146.739,109.265,123.995,102.042,316.069,314.535,277.219,200.323,149.131,140.9,134.541,85.534,125.545,135.813,208.144,137.607,145.22,138.559,102.251,68.85,76.865,141.17
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
732.697,746.427,666.38,871.618,1066.979,873.869,835.105,827.609,934.847,655.348,644.098,505.661,744.186,544.371,648.351,848.151,905.261,850.923,471.966,716.338,410.911,599.93,687.544,767.08,519.562,667.419,780.829
90.932,117.13,88.254,73.857,56.223,112.747,99.15,114.85,84.865,69.728,95.46,52.442,80.192,68.462,21.782,100.235,88.158,88.091,44.157,102.716,49.578,54.049,77.174,54.481,72.349,90.192,61.359
470.278,600.646,397.393,601.909,822.925,650.922,647.057,534.044,798.505,303.129,441.681,393.9,568.928,515.002,316.708,749.95,510.322,422.626,437.134,488.032,330.181,310.121,162.4,202.963,512.658,661.813,607.119
689.962,679.522,615.035,834.59,859.818,771.384,909.999,813.554,821.573,790.303,761.665,515.535,721.102,602.845,563.178,712.03,733.609,766.387,488.444,687.936,437.67,532.368,591.003,664.9,494.001,649.019,881.093
82.868,58.516,47.379,49.063,59.937,8.825,111.961,18.033,65.594,25.501,30.143,1.851,36.107,34.093,11.541,78.208,11.66,79.37,45.198,39.489,35.594,22,0,16.052,82.656,40.102,79.616
668.45,665.711,629.145,669.622,818.839,629.536,789.069,732.306,847.263,692.275,636.095,486.351,605.76,534.524,487.65,710.378,722.71,574.755,395.684,570.346,507.085,434.631,400.188,501.873,430.721,549.94,812.414
2.622,1.687,8,3,7,4,0,4,3,10,7,0,2.268,3,0,0,4,2,3,1,0,5,10,0,0,3,2
0,0,0,1,0,5.282,3.283,4.491,1,0,1,1.415,0,3.066,3.708,7.655,0,0,0,1,0,2.362,7,1,3.513,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,4,1,0,0,5,2.983,1,2,0,0,0,0,1.727,0,0,2,0,0,0,3,0,0,0,0
1.636,9,7.31,0,1.617,0,6.624,3,7,4.798,5.93,3,4.764,1.207,2.62,4.452,2.216,6.088,0,8,4,0,6,0,0,0,0
6,8,0,0,3,5,4,0,1,5,4,5,3,4,1,7,1,1,1.401,0,1,1,1,3.554,0,3,3
111.866,138.251,110.368,149.956,181.961,131.033,234.634,209.087,239.999,119.853,132,58.429,150.246,113.424,75.078,229,184.827,214,84.392,117.172,78.838,112.577,105.949,119.669,115.88,142.558,159.91
183.567,219.02,169.988,173.098,211.722,187.943,204.821,166.835,201.682,204.78,216.394,164.88,184.096,105.611,153,210.142,185.901,144.332,115.345,124.746,128.987,164.018,118.765,146.68,103.266,165.315,188.591
137.087,108.435,91.592,165.099,210.393,181.823,171.269,169.146,156.039,132.09,121.282,86.488,162.272,133.92,158.542,175.07,174.231,134.962,72.241,133.386,105,141.07,135.176,121.531,95.458,121.188,152.494
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
74.175,64.428,69.272,76.753,88.698,79.597,89.759,66.772,41.824,79.662,84.42,57.953,60.217,64,56.151,55.947,69.235,44.021,44.268,63.115,42.587,27.146,56.746,59.294,32.546,36.745,86.281
19.801,16.213,0,6,13.798,16.469,12.031,14.315,14,9.755,16.41,5.155,10,11.388,7,14.405,9.31,6.403,3,10.088,5,14.149,9.919,0,13.717,5,13.465
20.804,20.794,20.091,9.661,13.113,11.093,21.981,22.335,36.062,12.532,22.063,6.604,10.726,11.228,6.574,16.819,16.039,16.055,17.572,14.358,6.251,6.371,14.923,12.572,8.683,9.755,28.671
263.637,294.551,196.484,173.754,239.178,206.006,217.287,194.498,186.838,209.513,207.367,142.6,163.415,154.633,160.032,193.888,169.167,202.464,115.952,210.56,133.667,177.476,151.268,175.647,125.558,165.746,236.876
203,228.002,224.565,225.019,282,247.512,294.342,249.528,231.028,200,170,137.562,195.713,172.86,192.446,261.064,284,238,135.798,165.639,124.179,195.822,189.586,193.115,153,207,269.707
220,256.018,196,226.97,235.357,227.78,148,164.413,190.383,274.152,266,204,197.483,158.682,179.973,156.295,156.847,146.687,102.937,192.377,150.733,154.627,194,158.572,109.44,142,184
130,143,134,107,149.16,112,222.087,185.005,148,164,182.527,149,106.36,79,99,220.078,198,188,99,128.058,70,90,93.202,78.391,117,186,232.506
196.754,318.853,129.795,200.67,107.979,199.749,171.679,67.652,121.537,195.921,166.515,263.358,176.345,206.605,257.227,27.65,234.529,11.719,139.501,15.173,53.503,293.162,75.653,213.745,8.575,199.081,89.828
