"SRR20079510","SRR20079511","SRR20079512","SRR20079513","SRR20079514","SRR20079515","SRR20079516","SRR20079517","SRR20079518","SRR20079519","SRR20079520","SRR20079521","SRR20079522","SRR20079523","SRR20079524","SRR20079525","SRR20079526","SRR20079527","SRR20079528","SRR20079529","SRR20079530","SRR20079531","SRR20079532","SRR20079533","SRR20079534","SRR20079535","SRR20079536","SRR20079537","SRR20079538","SRR20079539","SRR20079540","SRR20079541","SRR20079542","SRR20079543"
0,0,1,1.063,65.025,10.248,39.323,3.399,19.57,145.036,246.846,26.851,3,4.084,3.15,9.121,227.627,354.199,45.916,98.023,314.544,28.893,9.393,0,0,1.075,32.038,6.266,130.072,12.38,57.666,47.547,492.16,35.193
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,648.852,116,462,58,66,460.509,848.554,86,22,0,0,103,1783.096,3326.787,137,455.013,943.263,11.143,92,0,0,0,197,46,735.703,60.382,140.768,105,1163.775,90.005
0,0,0,0,21,2,10,4,2,6,18,1,0,2,0,2,25,94,1,4,12,3,1,0,0,0,12,1,19,1,2,1,24,0
0,0,0,0,36.112,3.149,19.253,2,3.66,12.695,44.998,4,2,2,2,7.9,189.07,356.071,13,34.595,53.182,13.061,7.291,1,0,2,33.386,16,86.124,8.753,12.887,4.898,57.746,0
4,0,0,12,929,154,611.998,79,56,349,772,76,31,39,7,136,2163.032,3956.348,128,441,939.72,113.006,120,0,1,8,456,94,1623.073,147.669,255,181.043,1626.154,145
0,0,0,0,26.003,3,8.918,2,3,1,24.149,3.669,0,1,0,10,16.325,117.04,9,0,63.012,0,0,0,0,1,2.437,0,9.873,3,1,1,39,0
15,2,4,13,1448,256.923,1051.811,158,106,663.147,1384,146,54,82,13,206,3743.008,7271.854,234,813,1958.374,238,179,1,2,22,732,189,2599.772,246,388,252,2481.683,199
1,0,0,0,69,6,34,4,1,34,67,10,0,1,0,4,106,219,4,22,61,14,7,0,1,1,19,4,81,5,18,8,101,8
16.895,2,0,7,1178.834,136.459,763.528,106,138.198,1021.001,1938.167,183,14.709,47,22,143,2900.261,5495.465,263.999,871.051,2191.633,231,53.111,3,0,0,324,80,1607.945,141,373,241,2925.671,214.421
0,0,0,0,45,1.861,1,0,0,0,0,0,0,0,0,0,0,278.001,12,40,11.865,0,8,0,0,0,0,0,45.835,14,0,6,94.25,0
0,0,0,0,12,3,4,3,1,6,13,0,0,1,0,1,27,63,2,6,13,1,1,0,0,0,3,1,24,1,4,1,25,1
2,0,0,4,222.81,82.999,138.244,32.334,25.892,151.761,378.012,28.227,10,9.689,9,38.829,590.484,1099.763,58.558,211.569,340.922,15.847,41.566,2,1,6,74.101,24.865,415.164,38.977,36.235,56.253,627.592,34.275
0,0,0,0,0,0,0,0,0,0,1.213,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.244,0
2,1,1,5,285.001,34.141,151,24,18,178,374.999,38,5,9,6,37.001,649.001,1069.001,44,167,365.1,37,24,0,0,0,73.999,10,405,41,48,49,528,40
0,0,0,0,1.415,0,3.624,0,0,1,1.416,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,11,2,3,2,0,10,22,8,1,0,0,1,33,29,6,19,28,1,1,0,1,0,4,0,23,2,5,1,42,3
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1677.661,285.852,1075.21,127.792,131,910.264,2070.067,198.14,56,58.291,18,234.212,3718.054,7047.998,372,1103.299,2533.869,316,202.963,0,0,18,679.088,158.879,2245.804,236,492,355.528,3390.246,299
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,2.248,6.489,0,2.991,1.852,0,0,0,0,0,12.86,2.72,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.599,416.628,57.786,284.001,40.001,0,260.859,680.974,45.923,0,3.721,0,48,893.001,1457.186,102.475,191.759,668.091,66.11,46.981,0,0,0,97.378,19.633,387.603,40,76.129,64.316,765.594,6.793
2.892,1,0,2.226,272.383,39.744,3.331,27.873,38.232,165.308,298.481,34.385,19,0,3.781,25.613,775.606,1170.93,108.999,204.263,380.763,34.037,19.997,1,0,0,41.231,35.815,277.042,35.984,79.39,32.295,347.964,15.962
5.204,0,1,0,673.938,106.557,424.442,41.692,51.474,410.856,1029.662,112,14.209,29,13,60.478,1627.738,3145.362,103.374,431.361,1201.369,129.996,69.521,0,1,8.632,209.16,28.611,977.704,103,150.27,91.518,1292.462,106.787
0,0,0,1,361.86,53.9,208.092,21.294,36.261,225.845,398.78,49.29,4.432,19.38,5.633,38,662.728,1403.534,90.117,193.938,563.348,53.925,17.583,0,0,4.336,120.403,10.713,431.63,37.001,76.051,49.279,695.75,42.603
33,5,0,25,2651.359,444.298,1861.095,283.05,122.058,1299.467,2684.914,249.571,81.661,119.967,14.913,413.936,6366.692,12989.791,382.843,1210.542,2966.025,328.065,360.615,0,1,16.447,984.784,269.364,4079.396,408.523,626.123,421.792,3856.273,260.76
6.877,0,0,0,311.776,82.316,242.731,14.384,135,294.942,539.545,76.772,2.228,44,1.265,25.597,876.235,1990.431,99.104,323.968,756.075,70.717,30.547,0,1,0,66.362,37.555,790.07,19.913,178.197,91.162,859.446,33.38
0,0,0,0,22,1,16,1,2,16,36,1,0,0,1,5,28,80,5,16,38,6,1,0,0,0,8,1,25,2,5,4,30,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,268.06,18.131,91.725,14.738,19.668,220.037,433.696,17.787,14,0,0,37.052,339.769,1039.632,12.57,225.352,518.324,68.446,40.815,2,2,0,106.316,28,268.698,57.343,108.607,28.013,795.923,51.081
0,0,0,2.591,6.725,0,0,2.043,0,2.676,0,0,0,0,0,0,5.81,0,0,0,24.66,0,0,0,0,0,3.11,4.858,0,2.546,0,0,13.865,0
7,0,0,5.534,2817.866,468.797,1774.752,265.014,327,2157.586,4744,480.999,99,89.413,10.688,461,7116.256,13051.191,624.816,2143.999,4641.01,563.095,387,1,1,34,1163.319,133.907,3889.993,361.776,748.976,546.999,5696.934,460.001
0,0,0,1,24.131,2,34,4,1,8,26.327,4,1,2,0,8,122.922,184.658,9,12,25,0,7,0,0,0,22,2,83.339,14,3,0,41,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,68.702,8.514,40.196,4.483,8.646,11.614,36.201,3.229,0,0,0,7,115.699,191.179,11.124,27.592,47.934,8.331,0,0,0,0,27.778,4,68.215,7.081,8.267,4.342,75.922,3.695
0,0,0,0,75.846,0,50.165,0,10,59,130.031,1,3,0,1,0,238,450.386,17.402,44.421,141.149,10,12,0,0,0,33,6,113.074,8,4,3,184.06,10
0,0,0,0,0,0,5,0,0,0,2,0,2,0,0,0,7,5.921,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,1273.977,218.301,599.826,9.857,110,744.003,1565.582,197.982,63,90,0,235.852,3050.832,5805.323,209.554,811.083,2005.264,211.659,78.776,0,0,0,436.523,7.495,1521.543,217.752,319.139,167.383,2290.282,252
3.177,2,0,1.513,305.421,58.703,271.654,41.124,42.442,242.432,377.375,42.993,14,3.358,10,55.452,738.621,1279.913,55.085,200.511,428.803,69.419,29.183,1,0,0,102.526,28,463.88,44.88,83.52,54.817,783.874,83.02
56.388,3.073,0,30.395,3583.459,401.902,1974.313,460.602,400.126,2348.816,5829.728,738.73,225.577,136.143,111,261.047,6335.981,12174.368,1235.608,2306.453,6650.432,696.443,567.3,0,0,0,1422.158,517.746,4227.687,554.021,1344.82,960.233,10049.025,617.822
25.319,2.276,0,29,2992.217,508.693,2319.364,264.437,232.058,1848.041,3867.217,424.989,82.973,121.033,42,456.604,7243.319,12620.493,509.279,2040.94,5002.173,560.378,434.932,0,2,22.556,1014.565,273.174,3859.15,462.8,960.196,631,5860.369,454.336
5.466,0,0,0,141.696,60.459,293.475,39.975,69.338,235.79,823.071,91.327,0,12.646,15.265,67.641,748.946,1229.88,134.607,319.253,728.202,73.254,90.187,0,0,0,35.788,25.79,150.96,42.2,202.291,112.966,494.744,127.941
0,1,2,0,2077.206,343.759,1606.613,214,193.625,1488.523,2787.124,280.684,63,99,25,285.974,4234.524,8103.004,481.393,1374.941,3228.807,319.411,223.679,0,0,36,844,192,2745.18,255.656,649.879,461.888,4152.095,303.537
4,1,0,0,173,43,124,2.66,13,101,135.488,13.988,6,6,0,27,397.787,653.933,26,45.465,111.734,16,29,0,0,4,27.595,31,286,27,3.929,2.651,221.714,4.083
0,0,0,0,10.716,0,0,0,0,0,22.901,0,1,0,0,0,12.714,45.528,0,2.275,1.382,0,0,0,0,0,0,0,3.723,2.096,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,43,0,0,9,0,0,0,0,0,0,0,13,0,0,0,9,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,1,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,1,15,14,1,0,5,0,0,0,0,0,0,0,5,2,0,0,7,0
8,1,0,4,822.426,130.399,474.923,73.88,63,430.896,1052.682,85.511,14,27,8,85.174,1546.632,3030.487,115.426,444.143,973.111,109.562,88,0,1,5,341.732,67.105,925.357,101.366,118.91,108.989,1069.253,69.473
0,1,0,0,218.286,34.264,216.167,38,20.626,190.192,417.557,41.946,7,9,7,27.282,567.328,945.357,34.278,222.932,496.937,40.527,20.5,0,0,7,76.033,28,474.322,32.744,110.773,73,813.266,62
0,1,0,0,456.008,52.886,285.22,53.003,80,356.376,677.074,32.481,23.241,36,3.06,127.605,1288.523,2401.977,56.778,286.457,622.648,130.732,99.727,0,0,0,151.933,35.442,1025.839,34.016,105.858,133.094,969.546,138.614
0,0,0,0,12,3,5,0,0,7,4.673,0,0,0,0,1,28,68,0,10,17,0,0,0,0,0,0,1,10,0,5,3,28,0
4.653,0,0,0,291.136,40.854,213.359,35.126,24.7,321.504,578.55,87.989,10.64,6.731,11.953,54.112,601.028,1321.644,142.054,292.205,873.564,101.402,35.471,0,0,2.978,143.143,20.467,429.494,51.366,186.86,115.534,1217.622,111.609
0,0,0,0,84.416,9.445,64.729,11.918,7.834,54.324,84.951,5,2.538,0,0,10.228,185.74,413.092,11.196,60.161,102.546,11.995,10.317,0,0,0,34.375,0,150.83,14.557,15.749,3.273,133.81,8.653
4.015,1,0,1.592,157.391,21.644,131.64,21.443,10.559,91.226,195.533,13.451,15.59,4.164,7.974,27.377,503.15,856.751,31.694,90.888,210.442,27.469,23.68,0,1,0,51.46,12.57,265.086,21.861,35.876,44.221,214.495,17.497
0,0,0,0,881.255,143,604.361,69.198,83.432,590.058,1436.677,135,9.393,21.662,18,87.93,1800.92,3091.293,231.058,737.754,1757.351,178.178,98,1,0,1,257.835,69,1255.338,136.174,294.55,186.028,2339.008,182.42
4,1,1,7,546.004,94,349,59,29,302,537,59,15,27,5,63,1332.945,2408.002,81,273,703,72,83,0,0,3,194,66,690,73,102,56,788,64
9,1,1,1,664.569,102,470.442,63.001,56,504,1015.352,115,31,39,7,98.601,1666.928,3140.63,191,584.778,1408.358,146,99.286,1,0,9,253.234,77.024,993.09,84,234.435,170.999,1835.131,144.49
0,0,0,1,45,9,38,3,5,77,145,19,2,2,5,4,117,172,28,81,203,22,6,1,0,0,6,3,97,10,31,22,393,30
2.201,1,0,0,58.989,17.898,119.601,16.211,9.467,61.774,154.351,14.516,9.902,3.45,0,13.624,351.181,390.474,15.096,79.305,237.062,19.417,14.618,0,2,4.433,19.272,2.817,185.295,8.565,22.429,10.676,279.978,10.97
0,0,0,0,350.423,72.442,307.528,34.434,0,54.843,289.475,4.031,0,22.672,0,13.412,1189.891,1488.711,4.237,77.993,356.643,38.503,63.428,0,0,0,155.706,1.979,557.807,31.788,84.518,71.231,594.101,50.314
16,0,0,12,2206.062,351,1553,178,137,1107,2437.302,254,47,88,21,280,4350.642,8616.787,295,967,2362.43,277,246,2,0,15,874,243,3115.521,318,496.196,345,3433.006,243
4,0,0,9.001,308.219,52.664,215.539,35.138,3.189,175.486,257.447,13.271,5.227,9.366,6.558,33.863,1065.752,1788.57,37.28,41.711,401.303,5.087,41.365,0,0,4.616,216.958,47.56,733.119,33.348,18.943,23.047,323.798,41.662
3.68,0,3.394,25,2134.349,320.33,1497.102,197.409,214.315,1484.068,3134.769,289.343,58,57.399,27.206,293.753,5056.687,9251.783,435.042,1400.769,3483.243,365.645,311.014,6,0,23.427,804.841,168.613,2642.151,275.81,646.112,404.987,4534.334,392.021
0,0,0,5.051,540.928,110,334.803,36,36.698,239,502.92,46.186,6.696,30,5,83,1304.472,2627.276,96,266.445,608,83,83.115,0,1,0,267,59,886.084,68.051,106.782,95,892.055,65
0,0,0,8,222.444,17.498,127.298,26.153,13.24,104.853,280.793,36.587,1.596,21.148,1.932,51.489,653.016,1236.348,24.507,84.474,347.25,55.843,22.138,0,0,0,71.994,41.28,347.121,27.93,39.841,50.957,408.87,48.82
0,0,0,0,257.582,51.701,195.321,54.539,6.775,59.318,153.467,22.119,2.795,18.371,7.973,41.861,642.57,1417.533,21.695,90.898,168.654,6.155,0,0,1,0,145.586,8.226,363.502,32.239,77.206,60.537,296.569,21.048
0,0,0,0,278.317,0,131.073,5.321,4.936,112.21,298.556,20.322,2,10.118,0,16.409,573.151,875.637,59.634,199.764,239.173,50.052,27.51,0,0,0,73.276,4.862,126.452,0,0,0,566.055,23.356
