"Gene_Symbol","log2FoldChange","lfcSE","pvalue","padj","cohort","baseMean","stat","GENENAME","GENEBIOTYPE"
"ACCS",-0.085322376,0.591203355,0.885247909,0.998673308,"GSE201325",56.8850715,-0.144319844,"ACCS","protein_coding"
"ACD",0.192001552,0.309128421,0.534529808,0.997447198,"GSE201325",181.6571439,0.621106113,"ACD","protein_coding"
"ACE",-0.21000193,2.909870329,0.942467553,NA,"GSE201325",0.906459992,-0.072168827,"ACE","protein_coding"
"ACER2",-0.103907988,0.331023188,0.753597429,0.997447198,"GSE201325",87.4297694,-0.313899422,"ACER2","protein_coding"
"ACER3",0.005456343,0.098968627,0.956033268,0.999779309,"GSE201325",1326.123901,0.055132044,"ACER3","protein_coding"
"ACHE",-0.117315575,0.268063533,0.661646591,0.997447198,"GSE201325",134.8470365,-0.437640937,"ACHE","protein_coding"
"ACIN1",-0.0712237,0.115203165,0.536414309,0.997447198,"GSE201325",1452.979098,-0.618244305,"ACIN1","protein_coding"
"ACKR4",-2.912493266,3.969635707,0.463135968,NA,"GSE201325",0.699681283,-0.733692832,"ACKR4","protein_coding"
"ACLY",-0.189765393,0.110037546,0.084608368,0.678667119,"GSE201325",4954.72596,-1.724551293,"ACLY","protein_coding"
"ACO1",0.639393711,0.425884787,0.133270166,0.774834475,"GSE201325",251.1479801,1.501330243,"ACO1","protein_coding"
"ACO2",0.115277124,0.14310673,0.420512448,0.977195043,"GSE201325",563.147945,0.80553252,"ACO2","protein_coding"
"ACOT1",0.329362163,0.241301036,0.172270961,0.839578526,"GSE201325",181.363946,1.364943015,"ACOT1","protein_coding"
"ACOT11",0.18168509,0.468753419,0.698317968,0.997447198,"GSE201325",30.57500506,0.38759203,"ACOT11","protein_coding"
"ACOT12",-0.942409258,4.080472857,0.817349067,NA,"GSE201325",0.150464858,-0.230955894,"ACOT12","protein_coding"
"ACOT13",0.501762198,0.341825108,0.142133676,0.787654815,"GSE201325",100.2008521,1.46789158,"ACOT13","protein_coding"
"ACOT2",0.025861821,0.142073887,0.855558569,0.998359305,"GSE201325",496.889562,0.182030782,"ACOT2","protein_coding"
"ACOT4",0.941999793,0.688601053,0.171315007,0.838071208,"GSE201325",17.07343099,1.367990636,"ACOT4","protein_coding"
"ACOT6",1.855601879,4.039802152,0.645997286,NA,"GSE201325",0.329835059,0.45932989,"ACOT6","protein_coding"
"ACOT7",0.075537255,0.07228854,0.296050266,0.936000346,"GSE201325",4163.958299,1.044940941,"ACOT7","protein_coding"
"ACOT8",0.040612733,0.148071197,0.783870673,0.997447198,"GSE201325",335.2866895,0.274278412,"ACOT8","protein_coding"
"ACOT9",0.099763542,0.115211316,0.386535181,0.968451565,"GSE201325",2000.14533,0.86591791,"ACOT9","protein_coding"
"ACOX1",0.084895245,0.093095524,0.361813238,0.961585054,"GSE201325",2072.570139,0.911915431,"ACOX1","protein_coding"
"ACOX2",-1.907879118,4.031888363,0.636072348,NA,"GSE201325",0.349840641,-0.473197407,"ACOX2","protein_coding"
"ACOX3",0.078297549,1.245294829,0.949866275,0.999779309,"GSE201325",26.49986321,0.062874708,"ACOX3","protein_coding"
"ACP1",0.007909911,0.051157432,0.877121685,0.998563786,"GSE201325",5945.744679,0.154619007,"ACP1","protein_coding"
"ACP2",-0.28944408,0.157321179,0.065793335,0.63256173,"GSE201325",547.0694636,-1.839829079,"ACP2","protein_coding"
"ACP6",-0.326409971,0.380558875,0.39105143,0.968451565,"GSE201325",68.99044505,-0.857712149,"ACP6","protein_coding"
"ACP7",4.504567343,3.928278652,0.251504556,NA,"GSE201325",2.071251065,1.1467026,"ACP7","protein_coding"
"ACR",0.895568939,4.039727656,0.824554885,NA,"GSE201325",0.504905717,0.221690424,"ACR","protein_coding"
"ACRBP",-0.789998654,1.066931926,0.459033295,0.98587318,"GSE201325",5.715076681,-0.740439605,"ACRBP","protein_coding"
"ACRC",-0.509179739,0.46878194,0.277401089,0.923265968,"GSE201325",50.42507927,-1.0861761,"ACRC","protein_coding"
"ACRV1",-2.765376619,2.467274792,0.262363508,NA,"GSE201325",1.534402547,-1.120822305,"ACRV1","protein_coding"
"ACSBG1",0.872844997,4.041751603,0.82902118,NA,"GSE201325",0.499158784,0.21595711,"ACSBG1","protein_coding"
"ACSF2",0.060310457,0.2077604,0.771595527,0.997447198,"GSE201325",369.3665685,0.290288512,"ACSF2","protein_coding"
"ACSF3",0.102392012,0.285433787,0.71980141,0.997447198,"GSE201325",197.9316279,0.358724217,"ACSF3","protein_coding"
"ACSL1",0.431643256,0.355949373,0.225262321,0.890113087,"GSE201325",182.108319,1.212653509,"ACSL1","protein_coding"
"ACSL3",0.103620476,0.083251532,0.213253999,0.880432409,"GSE201325",6520.23088,1.244667494,"ACSL3","protein_coding"
"ACSL4",0.061740512,0.096774702,0.523485438,0.99719649,"GSE201325",1398.848619,0.637981938,"ACSL4","protein_coding"
"ACSL5",0.907416837,2.336120449,0.697698616,0.997447198,"GSE201325",9.66476713,0.38842896,"ACSL5","protein_coding"
"ACSL6",0.329972192,4.080472857,0.935548388,NA,"GSE201325",0.346705453,0.080866165,"ACSL6","protein_coding"
"ACSM3",-1.084076689,1.361845468,0.426011679,0.977862081,"GSE201325",38.52135679,-0.796035023,"ACSM3","protein_coding"
"ACSM5",3.204951895,3.447596859,0.352568334,NA,"GSE201325",0.842793619,0.929619102,"ACSM5","protein_coding"
"ACSM6",0.146621528,4.080472857,0.971336194,NA,"GSE201325",0.31368326,0.035932485,"ACSM6","protein_coding"
"ACSS1",0.322415679,0.173637726,0.063335393,0.623876184,"GSE201325",258.2137017,1.856829659,"ACSS1","protein_coding"
"ACSS2",0.167351554,0.126219925,0.184881862,0.850069453,"GSE201325",826.5220361,1.325872714,"ACSS2","protein_coding"
"ACSS3",0.445980512,1.307676658,0.733067445,0.997447198,"GSE201325",18.61763701,0.341048002,"ACSS3","protein_coding"
"ACTA2",-0.199857383,0.159539361,0.210309373,0.880432409,"GSE201325",286.9469063,-1.252715199,"ACTA2","protein_coding"
"ACTB",-0.269216793,0.109230878,0.013714396,0.296216665,"GSE201325",53191.20099,-2.464658326,"ACTB","protein_coding"
"ACTBL2",-0.844505786,1.56281908,0.588939581,NA,"GSE201325",3.877307691,-0.540373352,"ACTBL2","protein_coding"
"ACTG1",0.012108749,0.059710252,0.839297777,0.998359305,"GSE201325",88660.54266,0.202791788,"ACTG1","protein_coding"
"ACTL6A",-0.067372233,0.091923281,0.463608405,0.98587318,"GSE201325",2066.029879,-0.732918064,"ACTL6A","protein_coding"
"ACTL7B",0.981144094,4.080472857,0.809982485,NA,"GSE201325",0.179780612,0.240448626,"ACTL7B","protein_coding"
"ACTL8",-0.946718177,2.790092367,0.734372988,NA,"GSE201325",0.989678672,-0.339314278,"ACTL8","protein_coding"
"ACTN1",-0.032668632,0.061017822,0.592376801,0.997447198,"GSE201325",9352.070333,-0.535394921,"ACTN1","protein_coding"
"ACTN4",-0.145781803,0.087954657,0.097425414,0.708541499,"GSE201325",4774.19815,-1.657465424,"ACTN4","protein_coding"
"ACTR10",0.03336566,0.203012844,0.869453689,0.998563786,"GSE201325",947.3523983,0.164352456,"ACTR10","protein_coding"
"ACTR1A",0.021128933,0.066430336,0.750438281,0.997447198,"GSE201325",3301.739611,0.318061508,"ACTR1A","protein_coding"
"ACTR1B",-0.016127365,0.113076438,0.886587483,0.999115861,"GSE201325",1227.700211,-0.142623568,"ACTR1B","protein_coding"
"ACTR2",0.073859845,0.046176143,0.109704239,0.735482962,"GSE201325",35400.94678,1.599523915,"ACTR2","protein_coding"
"ACTR3",0.143061825,0.163183467,0.380653337,0.968451565,"GSE201325",849.5364868,0.876693134,"ACTR3","protein_coding"
"ACTR3B",0.637899521,0.345729665,0.065025637,0.630540877,"GSE201325",83.75355662,1.845081825,"ACTR3B","protein_coding"
"ACTR5",0.042993069,0.336728297,0.898403159,0.999486641,"GSE201325",63.30570301,0.127678811,"ACTR5","protein_coding"
"ACTR6",0.145673707,0.119836558,0.224136103,0.889333976,"GSE201325",955.0045243,1.215603231,"ACTR6","protein_coding"
"ACTR8",0.35108793,0.218743655,0.108489414,0.731950543,"GSE201325",297.9537874,1.605019951,"ACTR8","protein_coding"
"ACTRT3",-0.67445385,0.955178144,0.480124284,0.987963316,"GSE201325",7.040005023,-0.706102683,"ACTRT3","protein_coding"
"ACVR1",-0.069278772,0.182259722,0.703863644,0.997447198,"GSE201325",378.8162951,-0.380110161,"ACVR1","protein_coding"
"ACVR1B",-0.020003117,0.202408128,0.921276693,0.999486641,"GSE201325",352.7278831,-0.098825662,"ACVR1B","protein_coding"
"ACVR1C",0.509738035,1.322609972,0.699938757,0.997447198,"GSE201325",8.38791613,0.385403139,"ACVR1C","protein_coding"
"ACVR2A",0.512180838,0.704084907,0.466955316,0.987025219,"GSE201325",92.8854217,0.727441866,"ACVR2A","protein_coding"
"ACVR2B",0.0384955,0.135892015,0.776962151,0.997447198,"GSE201325",444.1170177,0.283280074,"ACVR2B","protein_coding"
"ACVRL1",-3.499116029,3.948745642,0.375545561,NA,"GSE201325",1.049521924,-0.886133559,"ACVRL1","protein_coding"
"ACY1",-0.072311025,0.181109572,0.689696684,0.997447198,"GSE201325",359.639327,-0.399266723,"ACY1","protein_coding"
"ACY3",-0.106118965,3.704588213,0.977147499,NA,"GSE201325",0.768152139,-0.028645279,"ACY3","protein_coding"
"ACYP1",-0.152988274,0.21808722,0.482990778,0.989076379,"GSE201325",213.7738888,-0.701500411,"ACYP1","protein_coding"
"ACYP2",0.078657794,0.276142419,0.775762876,0.997447198,"GSE201325",99.165043,0.284845025,"ACYP2","protein_coding"
"AD000671.6",0.234000272,0.742258764,0.752568575,0.997447198,"GSE201325",19.66690216,0.315254307,"AD000671.6","protein_coding"
"ADA",0.125497833,0.133331391,0.346578063,0.957162488,"GSE201325",440.1784138,0.941247456,"ADA","protein_coding"
"ADAL",0.582555976,0.39268414,0.137935495,0.784661861,"GSE201325",312.2178633,1.483523059,"ADAL","protein_coding"
