"Gene_Symbol","log2FoldChange","lfcSE","pvalue","padj","cohort","baseMean","stat","GENENAME","GENEBIOTYPE"
"DPH1",-0.238851343082147,0.116648173631087,0.0405970717338614,0.244673153186546,"GSE207923",125.924440591869,-2.04762179849931,"DPH1","protein_coding"
"DPH2",-0.0746138564381213,0.237777926429964,0.753675681569224,0.934443528759609,"GSE207923",177.783942797089,-0.313796396319817,"DPH2","protein_coding"
"DPH3",0.137268656558151,0.0701523427407202,0.0503801213663365,0.276328597713827,"GSE207923",238.494109665514,1.95672234447664,"DPH3","protein_coding"
"DPH5",0.283906963740343,0.278717204485943,0.308383329046382,0.691186005068393,"GSE207923",42.5883378267838,1.01862016111984,"DPH5","protein_coding"
"DPH6",-0.198826270240738,0.20537180112927,0.332980255143047,0.711246768581622,"GSE207923",37.0913215498188,-0.968128385432953,"DPH6","protein_coding"
"DPH7",-0.0236351284178381,0.151335791316423,0.875893721553492,0.967717851059224,"GSE207923",86.4996572597684,-0.156176726022598,"DPH7","protein_coding"
"DPM1",0.0809419866149648,0.0799559447994226,0.311379189388585,0.69367170031273,"GSE207923",257.082911767186,1.01233231397635,"DPM1","protein_coding"
"DPM2",-0.132842311928674,0.0795468071178105,0.0949214925867752,0.400268257531308,"GSE207923",109.301842916716,-1.66998923956724,"DPM2","protein_coding"
"DPM3",-0.195054993474117,0.100662146419326,0.052657466358791,0.283878438801873,"GSE207923",43.1348921475764,-1.93771939514961,"DPM3","protein_coding"
"DPP10",0.0738392188410433,3.63942518769234,0.983813067169589,NA,"GSE207923",0.0164504688833785,0.0202887035817496,"DPP10","protein_coding"
"DPP3",0.244927134611185,0.301049687429186,0.41588725547937,0.773337986425628,"GSE207923",270.749777951056,0.813577109821109,"DPP3","protein_coding"
"DPP4",2.45245473990126,2.28225218051637,0.28256434250476,NA,"GSE207923",1.31456928235523,1.07457657871375,"DPP4","protein_coding"
"DPP7",-0.551519575497669,0.574223763120779,0.336823210114383,0.714858111908894,"GSE207923",99.0896047228973,-0.960461079667413,"DPP7","protein_coding"
"DPP8",0.113579794434802,0.0780509748917218,0.145613844978465,0.495369606650275,"GSE207923",290.627647412736,1.45520020207779,"DPP8","protein_coding"
"DPP9",0.0380190121544148,0.345635840650195,0.912411509556534,0.976626915641018,"GSE207923",370.748999390441,0.109997308389359,"DPP9","protein_coding"
"DPRX",0.0191697313167516,3.64279346014899,0.995801254661843,NA,"GSE207923",0.00497701041355842,0.00526237117927831,"DPRX","protein_coding"
"DPY19L1",-0.0225126546763017,0.251859597601739,0.928775361715372,0.981690324045739,"GSE207923",60.3319042974341,-0.0893857327283612,"DPY19L1","protein_coding"
"DPY19L2",-0.955027963043222,1.19235324635731,0.423154459798875,NA,"GSE207923",0.708917513684454,-0.800960592811626,"DPY19L2","protein_coding"
"DPY19L3",-0.105108969307948,0.413378320971962,0.79928835092599,0.946942141618704,"GSE207923",51.0230426469123,-0.254268218664221,"DPY19L3","protein_coding"
"DPY19L4",0.00360682566465406,0.184927718213489,0.984439065745979,0.995118967955335,"GSE207923",117.066343712618,0.0195039753883199,"DPY19L4","protein_coding"
"DPY30",0.0318528595617999,0.113986904874525,0.779904761814735,0.941894258135406,"GSE207923",206.17835753433,0.279443148288507,"DPY30","protein_coding"
"DPYD",-0.541375172976293,1.16257800808784,0.641453285938837,0.895810476269655,"GSE207923",2.25695744964412,-0.465667825479275,"DPYD","protein_coding"
"DPYS",-0.396170139339881,3.64274354733113,0.91339604061014,NA,"GSE207923",0.00482197492220203,-0.108755978616759,"DPYS","protein_coding"
"DPYSL2",-0.382609988035796,0.103527564349768,0.000219255365010119,0.00485258320386108,"GSE207923",105.050553958418,-3.69573060507004,"DPYSL2","protein_coding"
"DPYSL3",-0.134668572805049,0.250017862769592,0.590138176661439,0.875534707795354,"GSE207923",44.7891631570412,-0.538635805111074,"DPYSL3","protein_coding"
"DPYSL4",-0.669969147915976,0.957640287797172,0.484174531629003,0.81700646288119,"GSE207923",8.09038386298668,-0.6996041796206,"DPYSL4","protein_coding"
"DQX1",0.137982121844562,0.184184921623833,0.453766841426088,0.796544224136407,"GSE207923",19.2245417215002,0.749149933816879,"DQX1","protein_coding"
"DR1",-0.00494676569264632,0.0583733550561014,0.932465267678984,0.982577851730203,"GSE207923",240.29658171811,-0.0847435561634601,"DR1","protein_coding"
"DRAM1",0.702731262570085,0.217559193482264,0.00123760234508624,0.0198541418632926,"GSE207923",53.3691631946825,3.23006925757597,"DRAM1","protein_coding"
"DRAM2",0.264002041738545,0.87532612541836,0.762953800701971,0.937466413634842,"GSE207923",25.9016065394264,0.301604206789059,"DRAM2","protein_coding"
"DRAP1",-0.0139321374098596,0.0501464930554104,0.781143821481492,0.942642746703683,"GSE207923",825.805169327399,-0.277828748552068,"DRAP1","protein_coding"
"DRAXIN",0.963693647079068,2.16012232627427,0.655503920768314,NA,"GSE207923",0.115412016231138,0.446129200813005,"DRAXIN","protein_coding"
"DRC1",0.0941965034805764,3.64341898870241,0.979373889195798,NA,"GSE207923",0.00768403794581607,0.0258538762005311,"DRC1","protein_coding"
"DRC3",-0.527800020394662,0.54898302785171,0.336344000474881,0.714643256748281,"GSE207923",1.89836598694193,-0.961414094093324,"DRC3","protein_coding"
"DRC7",-0.2010394519357,2.01455828642723,0.920508414519527,NA,"GSE207923",0.214391656196911,-0.0997933161279929,"DRC7","protein_coding"
"DRD2",-0.490412435988171,0.566464702903323,0.386631515726165,NA,"GSE207923",1.5041958322029,-0.865742266860833,"DRD2","protein_coding"
"DRD4",-0.923747438929639,1.47321646582691,0.530641119431407,NA,"GSE207923",0.58796451298081,-0.627027636709953,"DRD4","protein_coding"
"DRD5",-0.7355200141341,2.09349241252772,0.725336016409492,NA,"GSE207923",0.146867342323212,-0.351336364886089,"DRD5","protein_coding"
"DRG1",0.32821817634013,0.756031999173803,0.664192116191431,0.903500705906388,"GSE207923",182.441796572482,0.434132651394133,"DRG1","protein_coding"
"DRG2",-0.05411438118741,0.178380363035958,0.761611620094831,0.937466413634842,"GSE207923",157.813699325235,-0.303365125322127,"DRG2","protein_coding"
"DRICH1",0.0167268591817411,0.792294200584629,0.983156368776763,NA,"GSE207923",0.384209324642687,0.0211119293431637,"DRICH1","protein_coding"
"DROSHA",1.20640381433177,0.732568711318556,0.0995964499642118,0.410130371896809,"GSE207923",77.7236575695178,1.64681318720309,"DROSHA","protein_coding"
"DRP2",-0.435819260329635,1.75390803068554,0.80375942884507,NA,"GSE207923",0.366536230739166,-0.24848467120553,"DRP2","protein_coding"
"DSC1",0.546468784085652,0.31383337809422,0.0816361852753509,0.370907968458383,"GSE207923",4.08096120275097,1.74127043912324,"DSC1","protein_coding"
"DSC2",0.683434424873982,0.685670326876922,0.318891165258529,0.701241147638959,"GSE207923",66.531966859094,0.996739100533745,"DSC2","protein_coding"
"DSC3",0.100758219379424,0.0618068526300827,0.103056881338615,0.417495507963444,"GSE207923",1489.75877593985,1.63021113504141,"DSC3","protein_coding"
"DSCAM",0.072546568619919,0.188927848780392,0.700985216003474,0.918953248314083,"GSE207923",12.0992076557439,0.383990867880185,"DSCAM","protein_coding"
"DSCAML1",-0.891430146539923,3.63329258331799,0.806185054185067,NA,"GSE207923",0.0789517817052408,-0.245350498507294,"DSCAML1","protein_coding"
"DSCC1",-0.529416852676436,0.921978098443809,0.565819972491061,0.862192733161405,"GSE207923",14.1703725386529,-0.574218469581902,"DSCC1","protein_coding"
"DSCR3",0.328743944230122,0.540361992042096,0.542937294702732,0.850790326236166,"GSE207923",156.683492024353,0.608377252788927,"DSCR3","protein_coding"
"DSE",0.618231754648325,0.524603405910086,0.238607478664935,0.622583078246799,"GSE207923",143.564657819841,1.17847453463595,"DSE","protein_coding"
"DSEL",-0.117490179532506,0.231694821597391,0.612091512387191,0.884919861606085,"GSE207923",23.295943796759,-0.507090226369689,"DSEL","protein_coding"
"DSG1",-0.00333572316361636,0.124645345651017,0.978649789614728,0.993378516566589,"GSE207923",29.4755058300612,-0.0267617145766176,"DSG1","protein_coding"
"DSG2",-0.498076771347453,1.50697428956625,0.741011279589755,0.931400087064371,"GSE207923",231.410188513604,-0.33051444526689,"DSG2","protein_coding"
"DSG3",0.399825958040129,0.0460070432886834,3.60727125297537e-18,1.01579223474743e-15,"GSE207923",4858.7111503708,8.6905380015689,"DSG3","protein_coding"
"DSG4",0.395982139745538,0.447514806702043,0.376239149676309,0.748327919216636,"GSE207923",1.70328304115373,0.884847012468091,"DSG4","protein_coding"
"DSN1",0.541169826551752,0.312796646205046,0.0836122109656297,0.375630554015652,"GSE207923",45.1393919953285,1.7301011155887,"DSN1","protein_coding"
"DSP",-0.251125982623373,0.326182510470328,0.441362728039656,0.789666261634939,"GSE207923",11309.6558363343,-0.769894076360104,"DSP","protein_coding"
"DST",-0.473788501285968,0.0834466611377488,1.36485425577985e-08,9.55759051600335e-07,"GSE207923",2840.73987723394,-5.67774066482859,"DST","protein_coding"
"DSTN",-0.136397389194996,0.158276276353951,0.388815339751006,0.756426726680077,"GSE207923",363.202358568002,-0.861767741426849,"DSTN","protein_coding"
"DSTYK",-0.0138629341562203,0.122844906841387,0.910150210257342,0.976352417990954,"GSE207923",156.535215245384,-0.112849075412786,"DSTYK","protein_coding"
"DTD1",-0.0101434759495373,0.16579697639801,0.951215776240354,0.98705512835133,"GSE207923",50.8697556771817,-0.061180102133992,"DTD1","protein_coding"
"DTD2",-0.297356994103798,0.112806035584277,0.00838891084525868,0.0834791240879689,"GSE207923",71.0241268630265,-2.63600252028752,"DTD2","protein_coding"
"DTHD1",-0.74772722577198,2.75528663510771,0.78609946973221,NA,"GSE207923",0.162574139841183,-0.27137910671234,"DTHD1","protein_coding"
"DTL",0.198674413718894,1.07955661306535,0.853987296782633,0.963718744724497,"GSE207923",28.0295593696857,0.18403334416596,"DTL","protein_coding"
"DTNA",0.990404500276821,0.27691798859168,0.000348190150750759,0.00706793963985629,"GSE207923",70.1445466628616,3.57652641243609,"DTNA","protein_coding"
"DTNB",0.359315915438828,1.13837265717798,0.752275793055298,0.934443528759609,"GSE207923",9.51589566956583,0.315639973582615,"DTNB","protein_coding"
"DTNBP1",-0.0628324735368766,0.0941220440937913,0.504412043698161,0.829817696709577,"GSE207923",56.9199992647235,-0.667563843750194,"DTNBP1","protein_coding"
"DTWD1",-0.370783286614385,0.24887755200821,0.136271008626147,0.478524403453855,"GSE207923",52.3801616867146,-1.48982213792489,"DTWD1","protein_coding"
"DTWD2",-0.162827563637088,0.124870613727349,0.192243730848779,0.563342688867692,"GSE207923",59.7176579563046,-1.30397023588446,"DTWD2","protein_coding"
"DTX1",-0.576713428444313,3.63556573841941,0.873959603615299,NA,"GSE207923",0.0355335489798543,-0.158630999943091,"DTX1","protein_coding"
"DTX2",0.451994690195146,0.323005480990567,0.161710864061477,0.519695199097482,"GSE207923",98.5998158901582,1.3993406205028,"DTX2","protein_coding"
"DTX3",-0.911659999904775,0.695892793107784,0.190176176836674,0.561098382140181,"GSE207923",7.58024652495249,-1.31005811374105,"DTX3","protein_coding"
"DTX3L",0.604436273671936,0.0841777179585634,6.9467976608907e-13,9.78094330232855e-11,"GSE207923",118.30203220675,7.18047825874148,"DTX3L","protein_coding"
"DTX4",-0.154399888344688,0.0905854520862859,0.0882939284829428,0.386431925751239,"GSE207923",138.031649458289,-1.70446671941998,"DTX4","protein_coding"
"DTYMK",-0.122897229719609,0.0883189827704842,0.16406917561544,0.524145774657883,"GSE207923",99.7229393226675,-1.39151545754307,"DTYMK","protein_coding"
"DUOX1",0.500100397447044,0.289887332462237,0.0844996570020045,0.378113981986346,"GSE207923",321.970690149284,1.72515436669586,"DUOX1","protein_coding"
"DUOX2",0.142637604173075,0.148730622178902,0.337542021425799,0.715300358922637,"GSE207923",30.3063074734576,0.959033197625582,"DUOX2","protein_coding"
"DUOXA1",0.44559186232079,0.678585071747918,0.511406962650649,0.833760920261313,"GSE207923",111.286473887477,0.656648489441453,"DUOXA1","protein_coding"
"DUOXA2",-0.414327035905634,0.489447257051598,0.397262557591744,0.761595014606713,"GSE207923",1.95641680704607,-0.846520293936298,"DUOXA2","protein_coding"
"DUS1L",-0.0253368392516357,0.233303567222136,0.913519516472601,0.976721680432857,"GSE207923",105.980536898992,-0.108600307973481,"DUS1L","protein_coding"
"DUS2",0.558919309455177,0.381880851517599,0.143304349885161,0.491101261193708,"GSE207923",60.6554173170285,1.46359605943588,"DUS2","protein_coding"
"DUS3L",-0.490413652188572,0.596767035816414,0.41119979340137,0.769706563923113,"GSE207923",67.6440528739532,-0.821784084500672,"DUS3L","protein_coding"
"DUS4L",0.441077922198677,0.65457890134632,0.500416464995707,0.827389356444961,"GSE207923",25.6614480925437,0.673834615340458,"DUS4L","protein_coding"
"DUSP10",0.731717067973436,0.395068828828553,0.0640077978003909,0.319918128356561,"GSE207923",75.7990467303006,1.85212554010678,"DUSP10","protein_coding"
"DUSP11",0.214544013986295,0.0827383754788577,0.00951313817389788,0.0907231808497577,"GSE207923",238.855687122322,2.59304117037103,"DUSP11","protein_coding"
"DUSP12",0.379360756420072,0.292883382340303,0.195229815129492,0.567427779361353,"GSE207923",78.5264528488067,1.29526213945211,"DUSP12","protein_coding"
"DUSP13",0.553544585692437,1.56530673776354,0.723613715843071,NA,"GSE207923",0.54755531050218,0.35363329904484,"DUSP13","protein_coding"
"DUSP14",0.38983093756274,0.0628694310261452,5.62327111154477e-10,5.02864818657399e-08,"GSE207923",417.379797891914,6.20064363872839,"DUSP14","protein_coding"
"DUSP15",0.675101421173701,0.524191668423546,0.19778411529152,0.570374094287491,"GSE207923",2.58032550034304,1.28789040696507,"DUSP15","protein_coding"
"DUSP16",-1.05666063149145,0.704954830070295,0.133898164280393,0.473814337489551,"GSE207923",24.7805858804507,-1.49890544247507,"DUSP16","protein_coding"
"DUSP18",0.133260543983431,0.110777175945812,0.228991686699446,0.611705665950884,"GSE207923",40.9974779861523,1.20296029254814,"DUSP18","protein_coding"
"DUSP19",-0.577445491794868,0.209992085096651,0.0059623628367644,0.0660077142245291,"GSE207923",17.7847681484129,-2.7498440787856,"DUSP19","protein_coding"
"DUSP2",0.838780519634775,1.52571025733403,0.582481277984647,0.872041970343914,"GSE207923",12.5197641146889,0.549763964424299,"DUSP2","protein_coding"
"DUSP22",-0.0474185176777329,0.13855392102667,0.732171242310425,0.928546587484869,"GSE207923",162.901407573907,-0.34223872790006,"DUSP22","protein_coding"
"DUSP23",-0.317446331140978,0.153714758687581,0.0389073961466675,0.238001867347856,"GSE207923",55.3519450992103,-2.06516494480646,"DUSP23","protein_coding"
"DUSP26",0.0162353468690957,3.62628453829764,0.996427779124007,NA,"GSE207923",0.115873668328516,0.00447712988256499,"DUSP26","protein_coding"
"DUSP27",0.145593108150115,3.64255450713847,0.968116998944981,NA,"GSE207923",0.0059832932078022,0.0399700561418613,"DUSP27","protein_coding"
"DUSP28",-0.238492074587917,0.214953501982102,0.267212209406913,0.651659036576468,"GSE207923",26.0892781358194,-1.10950541577022,"DUSP28","protein_coding"
"DUSP3",0.0467197017098572,0.0551545609570558,0.396956835537711,0.761457239110619,"GSE207923",449.301841420279,0.847068690225527,"DUSP3","protein_coding"
"DUSP4",-0.304998537386685,0.207053430092025,0.140739530608757,0.485960784661337,"GSE207923",1017.84401359022,-1.47304266947487,"DUSP4","protein_coding"
"DUSP5",0.733585111264598,0.275743675431671,0.00780507262153458,0.0793903494577705,"GSE207923",283.187144838444,2.66038780442084,"DUSP5","protein_coding"
"DUSP6",-0.423131289982273,0.205215445161058,0.0392183881135377,0.239306300914095,"GSE207923",191.132307991611,-2.06188812762211,"DUSP6","protein_coding"
"DUSP7",-0.170126610507998,0.0662687209253731,0.0102516544059714,0.096059197083997,"GSE207923",779.299126824935,-2.56722339185604,"DUSP7","protein_coding"
"DUSP8",1.52851504433055,0.949559024828284,0.107461091947245,0.425313263134508,"GSE207923",2.38035960536281,1.60971040700389,"DUSP8","protein_coding"
"DUSP9",-1.24783232910589,1.02286540374019,0.222488396112281,0.6031837620623,"GSE207923",3.60557488226896,-1.21993795522175,"DUSP9","protein_coding"
"DUT",0.0186563680706062,0.0952970965114552,0.844789736464176,0.961127152248205,"GSE207923",149.349432216861,0.195770582248155,"DUT","protein_coding"
"DUXB",-0.161678619155691,3.64376345754141,0.964608417029447,NA,"GSE207923",0.00397072761931465,-0.0443713267997867,"DUXB","unprocessed_pseudogene"
"DVL1",0.492420493552225,0.391035548776106,0.207931755952671,0.58453202846933,"GSE207923",371.257945682578,1.25927296148251,"DVL1","protein_coding"
"DVL2",-0.631583815374621,0.527935145303461,0.231568424508796,0.614367122561036,"GSE207923",53.9840370414492,-1.19632841456611,"DVL2","protein_coding"
"DVL3",-0.153178886767564,0.075449707213324,0.0423350137280355,0.250695252857681,"GSE207923",267.493412123354,-2.03021181161739,"DVL3","protein_coding"
"DXO",0.00997752705131471,0.15585432461055,0.948955664895212,0.986590213138016,"GSE207923",35.0279946691283,0.0640182880792472,"DXO","protein_coding"
"DYDC2",-0.82722658466442,2.19547627779303,0.706332016070619,NA,"GSE207923",0.101855928918707,-0.376786847132767,"DYDC2","protein_coding"
"DYM",0.122295172968453,0.243476128779409,0.615464847420807,0.886068006928217,"GSE207923",81.399078129786,0.502288144556681,"DYM","protein_coding"
"DYNAP",0.46185872460262,3.63978279515345,0.899026007665742,NA,"GSE207923",0.0272320715647892,0.12689183684741,"DYNAP","protein_coding"
"DYNC1I1",-0.269453320821292,1.21913299377048,0.825076511235057,NA,"GSE207923",0.999494821785428,-0.221020448300673,"DYNC1I1","protein_coding"
"DYNC1I2",0.262715022701556,0.182430039765056,0.149842950904123,0.500730239380264,"GSE207923",814.128030419599,1.44008641910014,"DYNC1I2","protein_coding"
"DYNC1LI1",0.427746804349246,0.486280484862794,0.379059891346513,0.749694386508088,"GSE207923",168.116750746574,0.879629797337922,"DYNC1LI1","protein_coding"
"DYNC1LI2",-0.231049401724833,0.318885926109203,0.468726980193899,0.805829021788895,"GSE207923",703.760081123303,-0.724551893976373,"DYNC1LI2","protein_coding"
"DYNC2H1",-0.0331392358438078,0.262101152070552,0.899386158896569,0.973095918379352,"GSE207923",133.791665785299,-0.126436818693904,"DYNC2H1","protein_coding"
"DYNC2LI1",0.0386333879865531,0.0876917204153647,0.659532196758469,0.902492620357562,"GSE207923",71.1122468239628,0.440559129226345,"DYNC2LI1","protein_coding"
"DYNLL1",-0.117245719704284,0.10902758595851,0.282206133343659,0.666313821905095,"GSE207923",2628.92351200212,-1.0753766459518,"DYNLL1","protein_coding"
"DYNLL2",-0.443875970357209,0.0850270406425764,1.78527936697353e-07,9.52748887979625e-06,"GSE207923",337.995486588922,-5.22040949564629,"DYNLL2","protein_coding"
"DYNLRB1",-0.0941975041980848,0.0890583708161918,0.290189852130406,0.672149578744475,"GSE207923",309.463769785122,-1.05770522562668,"DYNLRB1","protein_coding"
"DYNLRB2",-1.11701450757501,0.730617403705818,0.126298209511446,NA,"GSE207923",0.528877016140549,-1.52886381012732,"DYNLRB2","protein_coding"
"DYNLT1",0.13889798596303,0.0695786735339563,0.0459042799965947,0.262778177229641,"GSE207923",334.723813120251,1.99627240515363,"DYNLT1","protein_coding"
"DYNLT3",0.19850120836444,0.232366709305966,0.392961843140485,0.758830550881889,"GSE207923",326.192836934125,0.854258378738177,"DYNLT3","protein_coding"
"DYRK1A",2.37426760707061,0.915647282814471,0.00951445221151973,0.0907231808497577,"GSE207923",5.18285255373747,2.59299366866759,"DYRK1A","protein_coding"
"DYRK1B",-0.178063031871307,0.154751907483354,0.249882239393926,0.634492859355439,"GSE207923",36.7334070818214,-1.1506354575336,"DYRK1B","protein_coding"
"DYRK2",0.387347790918321,0.18895005925791,0.0403643433037066,0.243825688555252,"GSE207923",58.4284754266439,2.0500008967428,"DYRK2","protein_coding"
"DYRK3",-0.270103193355955,0.101769649001444,0.00795286680861711,0.0804665857729382,"GSE207923",149.452413520894,-2.65406431098255,"DYRK3","protein_coding"
"DYRK4",-0.112957385319716,0.0804239869265374,0.160162997712281,0.517196445131634,"GSE207923",94.8816746637964,-1.40452357109447,"DYRK4","protein_coding"
"DYSF",-0.423854958776121,0.38808745919495,0.274761241402238,0.660448326317462,"GSE207923",12.0886107201923,-1.09216350266862,"DYSF","protein_coding"
"DYX1C1",-0.06862302250442,0.19797236856509,0.728869834795813,0.927329086060301,"GSE207923",20.8683025173525,-0.346629294794025,"DYX1C1","protein_coding"
"DZANK1",-0.828241523202284,1.02026567215073,0.416912111165757,0.774067576303818,"GSE207923",4.17399757595497,-0.811790052150186,"DZANK1","protein_coding"
"DZIP1",-0.164905633350167,0.849829186288773,0.84614015928346,0.961499115694653,"GSE207923",4.93103408944847,-0.194045622356552,"DZIP1","protein_coding"
"DZIP1L",0.639082078012415,1.15328556100668,0.579482789384487,NA,"GSE207923",1.48914215962093,0.554140361780453,"DZIP1L","protein_coding"
"DZIP3",-0.248287986309419,0.6066956178674,0.682358859770292,0.911993621711641,"GSE207923",3.73038349181775,-0.409246381541666,"DZIP3","protein_coding"
"E2F1",-0.0579714228388926,0.347291798143183,0.867429652324497,0.965715969760659,"GSE207923",29.296465304901,-0.166924249719805,"E2F1","protein_coding"
"E2F2",-0.468495428888423,1.37130284706372,0.732619896554407,0.928675741843685,"GSE207923",8.40341181934458,-0.341642569977582,"E2F2","protein_coding"
"E2F3",-0.0234867434344571,0.0530632705692839,0.658042270945345,0.902121172053647,"GSE207923",239.963367575247,-0.442617712449345,"E2F3","protein_coding"
"E2F4",0.51638238388265,0.397062200578223,0.193427075291371,0.565123033439581,"GSE207923",416.756064695233,1.30050753542056,"E2F4","protein_coding"
"E2F5",0.0785007506109658,0.0950178861787811,0.40870871664538,0.767923197287524,"GSE207923",66.5648708275223,0.826168143366845,"E2F5","protein_coding"
"E2F6",-0.0327521735095605,0.17904293768849,0.854853605569807,0.963718744724497,"GSE207923",99.0753372237392,-0.182929156170039,"E2F6","protein_coding"
"E2F7",0.0979785415839952,0.488225086042051,0.840946346586515,0.959343777403569,"GSE207923",96.6681900890536,0.200683136498145,"E2F7","protein_coding"
"E2F8",-0.569006013128812,0.719428875537142,0.428994467373944,0.779602508656477,"GSE207923",21.0485108755096,-0.79091350441554,"E2F8","protein_coding"
"E4F1",-0.0417217409621518,0.558955756270584,0.9404993206955,0.98402558762643,"GSE207923",80.4354362067534,-0.0746422959135871,"E4F1","protein_coding"
"EAF1",0.178288612381882,0.0644573755242281,0.00567498531657783,0.0635435115608355,"GSE207923",267.571180868234,2.76599242416979,"EAF1","protein_coding"
"EAF1-AS1",0.471631131666785,3.63494099405557,0.896764758570586,NA,"GSE207923",0.0602762499443944,0.129749322599203,"EAF1-AS1","antisense"
"EAF2",0.140331462901894,0.186639292023368,0.452119643212412,0.79492774630948,"GSE207923",11.9692018699132,0.751885958098917,"EAF2","protein_coding"
"EAPP",-0.0834353544343688,0.19294025876398,0.665420638504108,0.90356756055672,"GSE207923",131.738333403218,-0.432441393874326,"EAPP","protein_coding"
"EARS2",-0.159210237246298,0.0938529824753406,0.0898141105631936,0.38973434534553,"GSE207923",72.4165004332974,-1.69637909256778,"EARS2","protein_coding"
"EBAG9",-0.606765774556408,0.705938014607371,0.390055305922438,0.756855528585752,"GSE207923",26.5174636876605,-0.859517070905835,"EBAG9","protein_coding"
"EBF1",-0.707950446055636,3.64205276134925,0.845876579626432,NA,"GSE207923",0.580638788828843,-0.194382259798281,"EBF1","protein_coding"
"EBF3",0.332116025005876,1.49791699077091,0.824532966965918,0.95407716311394,"GSE207923",1.90073268676949,0.221718577899936,"EBF3","protein_coding"
"EBF4",-1.51969212277025,0.963541519005498,0.114750840576349,NA,"GSE207923",0.511514118539007,-1.57719422857748,"EBF4","protein_coding"
"EBI3",-0.568274898950171,3.63717024274163,0.875843107238092,NA,"GSE207923",0.0651368544037629,-0.156240940353074,"EBI3","protein_coding"
"EBLN2",-0.0833700215023725,0.215702228635644,0.699122591747691,0.918953248314083,"GSE207923",3.79841006905728,-0.386505146607446,"EBLN2","protein_coding"
"EBNA1BP2",0.00629398889934331,0.130268179250937,0.961464699692766,0.989631862074466,"GSE207923",434.202679323619,0.0483156280799711,"EBNA1BP2","protein_coding"
"EBP",-0.630916038686432,0.21367387791437,0.00315002305093361,0.0415658575065865,"GSE207923",319.918695253099,-2.95270551947989,"EBP","protein_coding"
"EBPL",-0.0317498844885649,0.0456625610955953,0.486857630249511,0.818853823402247,"GSE207923",217.159002199207,-0.695315455961745,"EBPL","protein_coding"
"ECD",-0.215277624137029,0.257530704466454,0.403194322675528,0.76510128622512,"GSE207923",97.9188446756205,-0.835929931473748,"ECD","protein_coding"
"ECE1",-0.106199827514626,0.0752069546162677,0.157920178589762,0.51245380466983,"GSE207923",353.172443836371,-1.41210115549146,"ECE1","protein_coding"
"ECE2",-0.0616208391943589,0.247206281133895,0.803152781924082,0.947644385197934,"GSE207923",97.1729891813957,-0.249268905756416,"ECE2","protein_coding"
"ECH1",-0.175131620933511,0.059943671439675,0.00348234911269281,0.0447455608777476,"GSE207923",212.928445915813,-2.92160317723877,"ECH1","protein_coding"
"ECHDC1",0.00592750547559406,0.144928382178737,0.967375976954443,0.990278061551016,"GSE207923",300.840151580837,0.0408995490495699,"ECHDC1","protein_coding"
"ECHDC2",0.00409399098941531,0.106932880006568,0.9694599605816,0.990944628328419,"GSE207923",54.4892070078255,0.038285614201767,"ECHDC2","protein_coding"
"ECHDC3",0.815455359353457,0.515066968515088,0.113375295994574,0.439075892584846,"GSE207923",5.48952013457941,1.58320259150839,"ECHDC3","protein_coding"
"ECHS1",-0.0150775139868316,0.0937257921112993,0.87219708679149,0.967059110562569,"GSE207923",375.747626500739,-0.160868354880661,"ECHS1","protein_coding"
"ECI1",-0.366359173895234,0.275041052197473,0.182854821346671,0.552152306758655,"GSE207923",40.4749035647436,-1.3320163334461,"ECI1","protein_coding"
"ECI2",-0.0886033092502166,0.116905973984381,0.448509459541025,0.793095783094049,"GSE207923",71.1448633847515,-0.757902322956176,"ECI2","protein_coding"
"ECM1",-0.294612541615878,0.25382138843704,0.245760626531286,0.630041110064953,"GSE207923",335.81940927245,-1.16070810040879,"ECM1","protein_coding"
"ECSCR",-1.01896884176328,3.62601309531198,0.778697885540978,NA,"GSE207923",0.0634374855837287,-0.281016315986473,"ECSCR","protein_coding"
"ECSIT",-0.144912329004147,0.0998545882304304,0.146714836376135,0.496109059641837,"GSE207923",94.8889573142264,-1.45123355443356,"ECSIT","protein_coding"
"ECT2",0.73215120184548,0.509407252943269,0.150643832574487,0.501199377607677,"GSE207923",230.801659800454,1.43726104725685,"ECT2","protein_coding"
"ECT2L",0.0451887233823182,0.459116625191452,0.921594530699499,NA,"GSE207923",0.776662816280141,0.0984253692914616,"ECT2L","protein_coding"
"EDA",-0.436929160880138,0.293079401883827,0.136008287205416,0.47836026605466,"GSE207923",3.95494636616875,-1.49082179802363,"EDA","protein_coding"
"EDA2R",-1.11996064532752,2.11923733193339,0.597170776050491,NA,"GSE207923",1.46958345902387,-0.52847344110618,"EDA2R","protein_coding"
"EDAR",0.604297611864323,0.201242261705177,0.00267476075611033,0.0365329810186999,"GSE207923",7.60422489987929,3.00283651527246,"EDAR","protein_coding"
"EDARADD",-0.157937447971394,0.10233449369108,0.122747046134154,0.455289627163483,"GSE207923",46.1741929465591,-1.54334518376731,"EDARADD","protein_coding"
"EDC3",0.371377894412481,0.431444844863635,0.389360753329228,0.756638688570153,"GSE207923",159.222597495809,0.860777220619848,"EDC3","protein_coding"
"EDC4",0.118283338825411,0.543240222328757,0.8276342592658,0.954176959537784,"GSE207923",154.491950589585,0.217736710139679,"EDC4","protein_coding"
