.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR22223232_1	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR22223232_2	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
SRR22223233_1	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR22223233_2	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
SRR22223234_1	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR22223234_2	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
SRR22223235_1	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR22223235_2	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
SRR22223236_1	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR22223236_2	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
SRR22223237_1	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR22223237_2	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
SRR22223238_1	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR22223238_2	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
SRR22223239_1	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR22223239_2	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
SRR22223240_1	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR22223240_2	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
SRR22223241_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR22223241_2	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
SRR22223242_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR22223242_2	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
SRR22223243_1	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR22223243_2	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
SRR22223244_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR22223244_2	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
SRR22223245_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR22223245_2	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
SRR22223246_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR22223246_2	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
SRR22223247_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR22223247_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR22223248_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR22223248_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR22223249_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR22223249_2	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
SRR22223250_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR22223250_2	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
SRR22223251_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR22223251_2	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
SRR22223252_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR22223252_2	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
SRR22223253_1	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR22223253_2	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
SRR22223254_1	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR22223254_2	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
SRR22223255_1	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
SRR22223255_2	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
SRR22223256_1	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
SRR22223256_2	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
SRR22223257_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR22223257_2	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
SRR22223258_1	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR22223258_2	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
SRR22223259_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR22223259_2	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
SRR22223260_1	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR22223260_2	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
SRR22223261_1	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR22223261_2	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
SRR22223262_1	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR22223262_2	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
SRR22223263_1	1	1	0.5	1	0.25	1	1	0.5	0.25	0.5	1
SRR22223263_2	1	1	1	1	0.5	1	1	0.5	0.25	1	1
SRR22223264_1	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR22223264_2	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
