Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR22223237_1	(1, 0.13035985151414223)	(2, 0.14049508856223436)	(3, 0.12798440533099564)	(4, 0.1270651269706885)	(5, 0.12732391541665733)	(6, 0.12868738290064227)	(7, 0.12735481552960884)	(8, 0.12835906920053258)	(9, 0.12707285199892637)	(10, 0.12707516950739775)	(15, 0.12784071980577116)	(20, 0.1282710038786208)	(25, 0.15359364644237536)	(30, 0.13499486845686728)	(35, 0.027920592976692114)	(40, 0.0007944856414861186)	(45, 6.343796365560152e-05)	(50, 0.0010344179157469316)	(55, 1.1606422499003589e-05)	(60, 0.0007436968058477569)	(65, 0.0010906380688618968)	(70, 3.8715636929836365e-05)	(75, 5.345717962151573e-05)	(80, 6.513534706392653e-05)	(85, 0.0003307880281662745)	(90, 0.0010590375376594448)	(95, 8.196538504992125e-05)	(100, 0.0003269705901950882)	(105, 0.0003856777852498138)	(110, 0.0005220599075901519)	(115, 0.0036952619772738986)	(120, 0.0019554563580325792)	(125, 0.008418779014669224)	(130, 0.009433107863232496)	(135, 0.0011061230818444165)	(140, 0.001640169844796367)	(145, 0.00020539902171531348)	(150, 0.00010233083647936123)
SRR22223237_2	(1, 0.06565887750781937)	(2, 0.053824134247394725)	(3, 0.05906170339267404)	(4, 0.05417562303221804)	(5, 0.05532278972554249)	(6, 0.054337848625213424)	(7, 0.054291498455786166)	(8, 0.07176937484397856)	(9, 0.05377392156384853)	(10, 0.054982115980252204)	(15, 0.053943099682258)	(20, 0.061284966519534495)	(25, 0.059118096098810524)	(30, 0.06566505753040967)	(35, 0.01635080854110589)	(40, 0.0009322750275028863)	(45, 0.006748866625256611)	(50, 0.0014101673420999715)	(55, 0.001360821368272793)	(60, 0.002506297720670312)	(65, 0.003463652631932795)	(70, 0.001088653807068014)	(75, 0.0003266983378254355)	(80, 0.0026917904575175958)	(85, 0.001571202912328957)	(90, 0.0002783514110523284)	(95, 0.01156400536181106)	(100, 0.0014383601340720864)	(105, 0.0031022262259352697)	(110, 0.0005794724933297953)	(115, 0.011682691498597911)	(120, 0.0025999077506415925)	(125, 0.0026076835802477404)	(130, 0.004957663037804783)	(135, 0.004158994498916647)	(140, 0.0014394025367480327)	(145, 0.0030711378003316107)	(150, 0.0017210328863231626)
SRR22223238_1	(1, 0.12714980523629055)	(2, 0.13502428343702122)	(3, 0.12437798890963336)	(4, 0.12322468071777251)	(5, 0.12343789735828459)	(6, 0.12321498905229467)	(7, 0.12321498905229467)	(8, 0.12474627219779061)	(9, 0.12321498905229467)	(10, 0.12321886571848581)	(15, 0.12420741559722367)	(20, 0.12447975139715048)	(25, 0.13051668982328604)	(30, 0.1293401216342784)	(35, 0.02639108457510184)	(40, 0.0012237569043884165)	(45, 3.59082411674728e-05)	(50, 0.0005638780734885309)	(55, 1.0676427690976858e-05)	(60, 0.00024363536106935228)	(65, 0.001617308752803133)	(70, 1.941911900040007e-05)	(75, 4.370601566200215e-05)	(80, 2.3321300028379107e-05)	(85, 0.00017796530112302718)	(90, 0.0014975604759321194)	(95, 7.609956777689465e-05)	(100, 7.632093112005634e-05)	(105, 0.0001896243714124027)	(110, 0.00015215642407584142)	(115, 0.0049139402184840515)	(120, 0.0001897561974223478)	(125, 0.011318344053407078)	(130, 0.011876797906790396)	(135, 0.0014243429801224965)	(140, 0.002322826488924901)	(145, 9.951649801270421e-05)	(150, 0.0)
SRR22223238_2	(1, 0.06807910414896323)	(2, 0.05288741851247667)	(3, 0.060926655026330316)	(4, 0.05289711017795448)	(5, 0.05570284733378406)	(6, 0.05288741851247667)	(7, 0.05322178097146153)	(8, 0.07717957803263843)	(9, 0.052998872665471625)	(10, 0.05464354829705808)	(15, 0.053073498489650844)	(20, 0.06120674415863939)	(25, 0.05753263377599692)	(30, 0.06451063292002902)	(35, 0.015065333484688042)	(40, 0.0007535203656868278)	(45, 0.00781084420213177)	(50, 0.0008524949763896716)	(55, 0.0010368229564280147)	(60, 0.002201841276672967)	(65, 0.003862890551136891)	(70, 0.0008004718922493809)	(75, 0.00019314043967343778)	(80, 0.003487925567823747)	(85, 0.0013867378417881193)	(90, 0.00013427278748584626)	(95, 0.01103680761202606)	(100, 0.0004204101995112331)	(105, 0.004003303874265551)	(110, 0.0005616782321709706)	(115, 0.015196348533969903)	(120, 0.001442160387550818)	(125, 0.0009030071963896739)	(130, 0.004495842510164919)	(135, 0.003767029070260086)	(140, 0.0002968702626875008)	(145, 0.0011242216685535703)	(150, 0.0006532626892281361)
SRR22223239_1	(1, 0.1382723937243965)	(2, 0.14817844736591398)	(3, 0.13581246939906277)	(4, 0.134821864034911)	(5, 0.13524844050751225)	(6, 0.134821864034911)	(7, 0.134821864034911)	(8, 0.1364001969835356)	(9, 0.134821864034911)	(10, 0.13482755172121239)	(15, 0.135775499438104)	(20, 0.13628075557120722)	(25, 0.14360933937049636)	(30, 0.14397714308465032)	(35, 0.02979411349823294)	(40, 0.0010756453834325473)	(45, 6.74086894946605e-05)	(50, 0.001342555149060746)	(55, 1.899112912014564e-05)	(60, 0.000357080286691405)	(65, 0.0014010671572333132)	(70, 3.0405899276562888e-05)	(75, 7.890656267022546e-05)	(80, 6.279680469686607e-05)	(85, 0.00035441238802390616)	(90, 0.0013422403870815072)	(95, 0.00010341820929608664)	(100, 0.00014906722004522102)	(105, 0.0004333569761162751)	(110, 0.000213433228140639)	(115, 0.004528690414473931)	(120, 0.00039188058829551543)	(125, 0.01024630625243288)	(130, 0.01128471404060293)	(135, 0.0013474905658258335)	(140, 0.0021258719589961903)	(145, 9.851463636824125e-05)	(150, 0.0)
SRR22223239_2	(1, 0.0790493601115924)	(2, 0.0648822814826471)	(3, 0.0716601076584222)	(4, 0.06485858278972481)	(5, 0.06723793155912279)	(6, 0.06483014435821806)	(7, 0.06551266671438004)	(8, 0.08627272171430657)	(9, 0.06492493912990724)	(10, 0.06645871853583787)	(15, 0.06517519732716662)	(20, 0.0727360283170942)	(25, 0.07127618883308111)	(30, 0.07883322803214111)	(35, 0.01917370276298805)	(40, 0.0010710947030913623)	(45, 0.00815830717374684)	(50, 0.0017467511259262678)	(55, 0.0017563915144142809)	(60, 0.0026989891175411185)	(65, 0.0038736988878079887)	(70, 0.0014337556148742137)	(75, 0.0002773989666888491)	(80, 0.0033476586692993086)	(85, 0.0013508918428009717)	(90, 0.00025087653686441835)	(95, 0.009905517551236656)	(100, 0.0005457672749947575)	(105, 0.0036518510903650403)	(110, 0.0007116244516147504)	(115, 0.013410667429004805)	(120, 0.0016585950855430348)	(125, 0.000959412786275224)	(130, 0.004082065285477108)	(135, 0.0037029015696197535)	(140, 0.00030267206279278907)	(145, 0.0015131897961945342)	(150, 0.0006285926487540327)
SRR22223240_1	(1, 0.10467509520361323)	(2, 0.11445096803623024)	(3, 0.10219955117881617)	(4, 0.10111839521696603)	(5, 0.10140636666474855)	(6, 0.10111334308630317)	(7, 0.10111334308630317)	(8, 0.10280075472769547)	(9, 0.10111334308630317)	(10, 0.10112344734762888)	(15, 0.10211366495754771)	(20, 0.10223188481505842)	(25, 0.10782257260656951)	(30, 0.10696573124614996)	(35, 0.022159895213387796)	(40, 0.001175435831020842)	(45, 7.182348280504851e-05)	(50, 0.001054141826932391)	(55, 1.1129037742624027e-05)	(60, 0.00034908663858849846)	(65, 0.0014512417974477739)	(70, 3.7455275996236695e-05)	(75, 5.772675443861015e-05)	(80, 5.574061552517217e-05)	(85, 0.0002982995676655079)	(90, 0.001437246937431589)	(95, 8.459852896612351e-05)	(100, 0.00012280242502042102)	(105, 0.0003601815471419296)	(110, 0.00022498455797232054)	(115, 0.0047559984402334695)	(120, 0.000378009367516844)	(125, 0.01057341527624628)	(130, 0.011637082857109368)	(135, 0.001369225945615566)	(140, 0.002272221192239097)	(145, 0.0001195481932542274)	(150, 0.0)
SRR22223240_2	(1, 0.0447416691502099)	(2, 0.029954082700044543)	(3, 0.03724935937720163)	(4, 0.029943978438718842)	(5, 0.032586242775390004)	(6, 0.029918717785404586)	(7, 0.030565390510249535)	(8, 0.05247142906437218)	(9, 0.030039968921313016)	(10, 0.031604108574531733)	(15, 0.030218814346777943)	(20, 0.037643425568904015)	(25, 0.034343373819929635)	(30, 0.041030373965279435)	(35, 0.01115247159045828)	(40, 0.0010249941901833255)	(45, 0.008045581153838233)	(50, 0.0015275183852406019)	(55, 0.0016368256202618752)	(60, 0.0026208375737834786)	(65, 0.00398352851915164)	(70, 0.0012887604570418004)	(75, 0.00031676556009863934)	(80, 0.0035770080616363458)	(85, 0.001270414885360975)	(90, 0.0002407225748198519)	(95, 0.010250329568364061)	(100, 0.0005542437884456777)	(105, 0.003956882037418305)	(110, 0.000688911669361848)	(115, 0.013951426531009845)	(120, 0.0016344043879727343)	(125, 0.0010132649680064)	(130, 0.004333493364375043)	(135, 0.0038708376928278075)	(140, 0.0003377085146775349)	(145, 0.001458669578833896)	(150, 0.0006192018548135269)
SRR22223241_1	(1, 0.11940431410150383)	(2, 0.13030130900895656)	(3, 0.11713238914391806)	(4, 0.1162895782725556)	(5, 0.11695374988314015)	(6, 0.1162895782725556)	(7, 0.1162895782725556)	(8, 0.11759043853052809)	(9, 0.1162895782725556)	(10, 0.11630057145783423)	(15, 0.11720018045313634)	(20, 0.11748783546792746)	(25, 0.12343972919753823)	(30, 0.12334903541898945)	(35, 0.025826227681870064)	(40, 0.0009925012858716404)	(45, 0.0001054917587774074)	(50, 0.0018705246161956864)	(55, 1.834907062782978e-05)	(60, 0.0004909039669894518)	(65, 0.0012518448880482643)	(70, 4.682201065263172e-05)	(75, 0.0001285997362603123)	(80, 0.00011124288949930283)	(85, 0.00046123944410722507)	(90, 0.0012159905862031365)	(95, 0.00013235921884736037)	(100, 0.00023804891243076913)	(105, 0.0006400525516831908)	(110, 0.000306643741414447)	(115, 0.0043314109710407625)	(120, 0.0006466099518965625)	(125, 0.009422824444096924)	(130, 0.010983444353221997)	(135, 0.0014396485450137778)	(140, 0.0021456659448744224)	(145, 0.0001081424558025759)	(150, 0.0)
SRR22223241_2	(1, 0.05235504488952696)	(2, 0.038425763042715805)	(3, 0.04472394210860378)	(4, 0.03842118254884971)	(5, 0.04036789244194235)	(6, 0.038398280079519204)	(7, 0.039451793668722285)	(8, 0.05786537901044568)	(9, 0.038453246005912406)	(10, 0.03997946656209705)	(15, 0.038842587984530934)	(20, 0.04558599105420387)	(25, 0.04371440126051527)	(30, 0.04999975494357817)	(35, 0.014187640113943585)	(40, 0.0013748538713648588)	(45, 0.008387852080343138)	(50, 0.0023778128246977203)	(55, 0.0024146895853283095)	(60, 0.0031925134477752523)	(65, 0.003967194038138215)	(70, 0.001910861757463133)	(75, 0.0004882944754188661)	(80, 0.0034825349220123005)	(85, 0.0012317402442884025)	(90, 0.00038072108795300576)	(95, 0.008958548941092949)	(100, 0.0007255871556245834)	(105, 0.003647818953902749)	(110, 0.0008925937509502071)	(115, 0.012054106485119762)	(120, 0.0018940236969063951)	(125, 0.0011476842766696873)	(130, 0.004032343748095403)	(135, 0.0037001141888204974)	(140, 0.00034845108287514165)	(145, 0.001886103440061838)	(150, 0.0005858776555204528)
SRR22223242_1	(1, 0.16411288174275052)	(2, 0.17459676274090882)	(3, 0.16177384853200605)	(4, 0.16076676478849106)	(5, 0.16137008684681803)	(6, 0.16076676478849106)	(7, 0.16076676478849106)	(8, 0.16212655988918181)	(9, 0.16076676478849106)	(10, 0.1607723339151833)	(15, 0.16170887538726314)	(20, 0.16205787399331073)	(25, 0.16865357637249737)	(30, 0.1686814220059586)	(35, 0.03489222123750272)	(40, 0.0010776572957747605)	(45, 0.00011251261326835398)	(50, 0.0017454540152328387)	(55, 1.3020020066454926e-05)	(60, 0.00045111109126842394)	(65, 0.0013331403365387652)	(70, 4.746023176897089e-05)	(75, 0.00010613812709722305)	(80, 7.82647643310051e-05)	(85, 0.0004794637289606838)	(90, 0.0012933413014620644)	(95, 0.00010495750565788897)	(100, 0.00023052863848807537)	(105, 0.0005053105058776081)	(110, 0.0002927265034728805)	(115, 0.00460384992954964)	(120, 0.0005670473194265336)	(125, 0.009962485309582774)	(130, 0.011289873749427824)	(135, 0.0013670332977717226)	(140, 0.002265832186983521)	(145, 0.00013700506185537712)	(150, 0.0)
