Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR22223237_1	(1, 36.14174372350146)	(2, 36.177483025892016)	(3, 36.30188127998928)	(4, 36.34193222964053)	(5, 36.35949226170403)	(6, 36.33239676378482)	(7, 36.31480737661401)	(8, 36.35325267914601)	(9, 36.35381309131953)	(10, 36.38204001232451)	(15, 36.37197324220169)	(20, 36.35554080160996)	(25, 36.288029446880635)	(30, 36.27111770691189)	(35, 36.285126238176545)	(40, 36.26501977166422)	(45, 36.247519967241765)	(50, 36.21454081564877)	(55, 36.19343204823118)	(60, 36.16655258583865)	(65, 36.13551837696985)	(70, 36.11409527848359)	(75, 36.10915860187367)	(80, 36.074658674492454)	(85, 36.063865226263644)	(90, 36.033722366868496)	(95, 35.996185502661746)	(100, 35.9577075119221)	(105, 35.9589853933844)	(110, 35.934359197726614)	(115, 35.88687008800851)	(120, 35.84346821142037)	(125, 35.78620469172981)	(130, 35.79437357000999)	(135, 35.722697224722374)	(140, 35.67576025632873)	(145, 35.63697584713982)	(150, 35.46102857331799)
SRR22223237_2	(1, 35.46642380207891)	(2, 35.9329938775675)	(3, 35.97905899345277)	(4, 35.94046903976702)	(5, 36.00287772751917)	(6, 35.96490932960544)	(7, 35.950567196679565)	(8, 35.99387760612036)	(9, 36.02550607335926)	(10, 36.01150430517755)	(15, 35.976953305255684)	(20, 35.96050443352889)	(25, 35.90462670094983)	(30, 35.86803224565837)	(35, 35.84846052264964)	(40, 35.824747085435824)	(45, 35.79543275274192)	(50, 35.77155055753066)	(55, 35.72499884459311)	(60, 35.69251802429807)	(65, 35.67740907968793)	(70, 35.64794594071555)	(75, 35.61982067952586)	(80, 35.555773179086216)	(85, 35.53797917117693)	(90, 35.529417551163604)	(95, 35.46218997136795)	(100, 35.42391242664574)	(105, 35.37682586928579)	(110, 35.34770494816857)	(115, 35.3175901401468)	(120, 35.253970272185235)	(125, 35.18740914957811)	(130, 35.132931843310615)	(135, 35.087089703856655)	(140, 35.042597475727945)	(145, 34.9477535119837)	(150, 34.73294183440768)
SRR22223238_1	(1, 36.221169281994904)	(2, 36.20397709122881)	(3, 36.31009457708673)	(4, 36.34628054231459)	(5, 36.35985488281614)	(6, 36.326979881265466)	(7, 36.320545681471394)	(8, 36.34080339448645)	(9, 36.34421718673436)	(10, 36.372951152842994)	(15, 36.361857781787116)	(20, 36.3463535302473)	(25, 36.29130993907431)	(30, 36.270786790725154)	(35, 36.28670665188612)	(40, 36.268358488360455)	(45, 36.26007841606593)	(50, 36.230389888819374)	(55, 36.2118215699475)	(60, 36.18655048600904)	(65, 36.150619321199244)	(70, 36.135497221671145)	(75, 36.134127222480274)	(80, 36.110222380065565)	(85, 36.09202141595853)	(90, 36.05808242875712)	(95, 36.03086681320824)	(100, 35.99008161154388)	(105, 36.00261998453318)	(110, 35.98098863045173)	(115, 35.93844162164693)	(120, 35.89600523194495)	(125, 35.84709457200324)	(130, 35.857862425221036)	(135, 35.79181545194433)	(140, 35.73401316179904)	(145, 35.70500493888234)	(150, 35.531369934922)
SRR22223238_2	(1, 35.37252847992817)	(2, 35.8444060288362)	(3, 35.88541316151432)	(4, 35.83171081931014)	(5, 35.91226043172105)	(6, 35.856018194745104)	(7, 35.854560810548875)	(8, 35.88063458893382)	(9, 35.92887427234976)	(10, 35.900816716649814)	(15, 35.870113636716056)	(20, 35.859196072471946)	(25, 35.79987601452355)	(30, 35.76544435704716)	(35, 35.74305166298232)	(40, 35.72070566414792)	(45, 35.6963198368088)	(50, 35.67328591959635)	(55, 35.62488731693203)	(60, 35.58476786602406)	(65, 35.57698714218135)	(70, 35.539699767964045)	(75, 35.52103406019565)	(80, 35.46000100854604)	(85, 35.44305051592856)	(90, 35.45087723354308)	(95, 35.38081146670047)	(100, 35.33332796419264)	(105, 35.27390980201696)	(110, 35.24544274294258)	(115, 35.21326876835125)	(120, 35.15444743681634)	(125, 35.096410484557644)	(130, 35.05232763191902)	(135, 35.01002993258161)	(140, 34.983685218101165)	(145, 34.875722937143834)	(150, 34.66778783454437)
SRR22223239_1	(1, 36.11405626354084)	(2, 36.13457231679844)	(3, 36.25408686329314)	(4, 36.2915608006556)	(5, 36.30447469240281)	(6, 36.27277086539569)	(7, 36.255975412132116)	(8, 36.29980420139908)	(9, 36.30290934633791)	(10, 36.33346372986144)	(15, 36.31614153996951)	(20, 36.30301628431986)	(25, 36.23577929122897)	(30, 36.21587792518891)	(35, 36.23229015415171)	(40, 36.21555106004105)	(45, 36.2003239158211)	(50, 36.169674308262856)	(55, 36.15095330797185)	(60, 36.12715335207207)	(65, 36.088565410265915)	(70, 36.07310560549206)	(75, 36.06870215278726)	(80, 36.04097890621807)	(85, 36.026353420226926)	(90, 35.994535416636545)	(95, 35.961268178460095)	(100, 35.919971530334664)	(105, 35.92925728756912)	(110, 35.90658234915289)	(115, 35.8612858441704)	(120, 35.82046211662556)	(125, 35.76537076819623)	(130, 35.775011022787076)	(135, 35.71272048385026)	(140, 35.65277016619129)	(145, 35.62571673492003)	(150, 35.43659613239714)
SRR22223239_2	(1, 35.28134652181394)	(2, 35.78721848915145)	(3, 35.862898084719035)	(4, 35.80374941760462)	(5, 35.870491288123496)	(6, 35.81757542464503)	(7, 35.810547435066766)	(8, 35.853264423853965)	(9, 35.90438819217365)	(10, 35.87382451876249)	(15, 35.83438287892669)	(20, 35.8175261124048)	(25, 35.754358706259914)	(30, 35.72140607188951)	(35, 35.70147294861044)	(40, 35.679403003399386)	(45, 35.65038911562683)	(50, 35.629344303443176)	(55, 35.576872671991104)	(60, 35.543374611580575)	(65, 35.53051177164031)	(70, 35.49676007998361)	(75, 35.47209160265772)	(80, 35.404239266756704)	(85, 35.389043876403285)	(90, 35.39138441157291)	(95, 35.317932887514054)	(100, 35.27206329111844)	(105, 35.21269207204897)	(110, 35.18829872250601)	(115, 35.16144539786502)	(120, 35.092334841194834)	(125, 35.03086565162503)	(130, 34.982260568360616)	(135, 34.928377718471864)	(140, 34.89336271985387)	(145, 34.79158921790876)	(150, 34.60166573684573)
SRR22223240_1	(1, 36.17309852579332)	(2, 36.1722713404399)	(3, 36.29188169587295)	(4, 36.32726196899012)	(5, 36.35175394062403)	(6, 36.31457662463008)	(7, 36.29801856951042)	(8, 36.32441787203347)	(9, 36.32427701863059)	(10, 36.3539921557588)	(15, 36.3409966004718)	(20, 36.317752080732646)	(25, 36.2570135774496)	(30, 36.23268021240572)	(35, 36.24430367017877)	(40, 36.22291682679067)	(45, 36.20955987009032)	(50, 36.180560143954516)	(55, 36.163981606886026)	(60, 36.136656929816226)	(65, 36.10174688822559)	(70, 36.085558031954065)	(75, 36.079742259349594)	(80, 36.05282744031886)	(85, 36.03677221040282)	(90, 35.99190489386873)	(95, 35.96744618849475)	(100, 35.918067778197795)	(105, 35.92934262388995)	(110, 35.90171534758575)	(115, 35.86123901951265)	(120, 35.81455301207085)	(125, 35.76125169638364)	(130, 35.76567190509547)	(135, 35.70095391743257)	(140, 35.6422498102052)	(145, 35.608503882502106)	(150, 35.437362790773975)
SRR22223240_2	(1, 35.57026632155225)	(2, 35.92150888551058)	(3, 35.967451142991514)	(4, 35.91085576070967)	(5, 35.97599182039837)	(6, 35.91333650842905)	(7, 35.92557155638312)	(8, 35.953488518957286)	(9, 35.99126966560806)	(10, 35.967355142404664)	(15, 35.936643856465125)	(20, 35.9245368699191)	(25, 35.86965005760187)	(30, 35.834873978894926)	(35, 35.80829586029881)	(40, 35.78211745435736)	(45, 35.757418375091426)	(50, 35.73356118562422)	(55, 35.690214879929954)	(60, 35.65118649719532)	(65, 35.638193493658335)	(70, 35.60247152559466)	(75, 35.57974298808962)	(80, 35.52118903187751)	(85, 35.50916431670177)	(90, 35.51245081268945)	(95, 35.451773825369756)	(100, 35.3933849269873)	(105, 35.342373462317894)	(110, 35.30688325898138)	(115, 35.274458074060355)	(120, 35.21036471527985)	(125, 35.150959346169046)	(130, 35.10938326455435)	(135, 35.057267156282094)	(140, 35.027649609888385)	(145, 34.924349312026166)	(150, 34.72380647843543)
SRR22223241_1	(1, 36.184702597923284)	(2, 36.156287824859504)	(3, 36.2779314966072)	(4, 36.315406898782584)	(5, 36.33420217667817)	(6, 36.29758602934713)	(7, 36.27641068103378)	(8, 36.321478801451484)	(9, 36.317899969984026)	(10, 36.348330261119756)	(15, 36.33756338888205)	(20, 36.32085383886839)	(25, 36.252342155379786)	(30, 36.23521393906578)	(35, 36.25559413861784)	(40, 36.230802112099944)	(45, 36.22088965875694)	(50, 36.19676878831526)	(55, 36.17730975187696)	(60, 36.151307253464175)	(65, 36.114541429139294)	(70, 36.09933806739869)	(75, 36.08327794458363)	(80, 36.06805851401138)	(85, 36.05231735747692)	(90, 36.01890985499146)	(95, 35.98131604627689)	(100, 35.93922309985427)	(105, 35.94063787442114)	(110, 35.91994487190365)	(115, 35.8765770437508)	(120, 35.84551468155655)	(125, 35.78532508549436)	(130, 35.796553419876105)	(135, 35.74022577827644)	(140, 35.68175572813435)	(145, 35.64834592087378)	(150, 35.45981019959534)
SRR22223241_2	(1, 35.46675406554329)	(2, 35.841301919268155)	(3, 35.89899117828945)	(4, 35.84658235840193)	(5, 35.92387329126394)	(6, 35.86699684087919)	(7, 35.86210963714381)	(8, 35.90398671070476)	(9, 35.94110886519318)	(10, 35.92240264125934)	(15, 35.88691935999324)	(20, 35.87526219548475)	(25, 35.81533331314862)	(30, 35.78147440326127)	(35, 35.757760232368575)	(40, 35.730240324170495)	(45, 35.705164331067316)	(50, 35.68330771951396)	(55, 35.639490855190544)	(60, 35.5974086723405)	(65, 35.58067305440771)	(70, 35.551365466444025)	(75, 35.526625596387596)	(80, 35.46809178196645)	(85, 35.45301623626655)	(90, 35.451520380875934)	(95, 35.38909144391745)	(100, 35.33434047521497)	(105, 35.28300732316892)	(110, 35.248685353863564)	(115, 35.219615316819514)	(120, 35.146072386279194)	(125, 35.0841312806406)	(130, 35.036964555756086)	(135, 34.972375335779546)	(140, 34.933423224060085)	(145, 34.84405981108781)	(150, 34.626482227664575)
