Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
SRR22223232_1	(35, 27796.0)	(40, 610.0)	(45, 854.0)	(50, 1343.0)	(55, 2016.0)	(60, 3120.0)	(65, 4788.0)	(70, 7860.0)	(75, 13074.0)	(80, 21283.0)	(85, 33386.0)	(90, 51382.0)	(95, 74575.0)	(100, 99811.0)	(105, 129189.0)	(110, 157242.0)	(115, 188537.0)	(120, 215703.0)	(125, 245413.0)	(130, 272274.0)	(135, 294381.0)	(140, 312163.0)	(145, 1924216.0)	(150, 16142692.0)
SRR22223232_2	(35, 9552.0)	(40, 613.0)	(45, 853.0)	(50, 1348.0)	(55, 2010.0)	(60, 3104.0)	(65, 4764.0)	(70, 7810.0)	(75, 12980.0)	(80, 21113.0)	(85, 33098.0)	(90, 50915.0)	(95, 73817.0)	(100, 98773.0)	(105, 127935.0)	(110, 155623.0)	(115, 186621.0)	(120, 213217.0)	(125, 243001.0)	(130, 269107.0)	(135, 291831.0)	(140, 308733.0)	(145, 2193633.0)	(150, 15913257.0)
SRR22223233_1	(35, 39875.0)	(40, 1056.0)	(45, 1416.0)	(50, 2299.0)	(55, 3570.0)	(60, 5769.0)	(65, 9129.0)	(70, 15373.0)	(75, 24804.0)	(80, 39180.0)	(85, 58481.0)	(90, 83720.0)	(95, 110599.0)	(100, 137479.0)	(105, 164158.0)	(110, 189071.0)	(115, 214810.0)	(120, 238091.0)	(125, 261885.0)	(130, 283175.0)	(135, 302780.0)	(140, 316298.0)	(145, 1925255.0)	(150, 16234439.0)
SRR22223233_2	(35, 12886.0)	(40, 1050.0)	(45, 1397.0)	(50, 2276.0)	(55, 3536.0)	(60, 5745.0)	(65, 9067.0)	(70, 15246.0)	(75, 24577.0)	(80, 38780.0)	(85, 57881.0)	(90, 82706.0)	(95, 109424.0)	(100, 135832.0)	(105, 162283.0)	(110, 186826.0)	(115, 212045.0)	(120, 234824.0)	(125, 258959.0)	(130, 279602.0)	(135, 300053.0)	(140, 313385.0)	(145, 2212098.0)	(150, 16002234.0)
SRR22223234_1	(35, 34070.0)	(40, 922.0)	(45, 1295.0)	(50, 1954.0)	(55, 3024.0)	(60, 4743.0)	(65, 7605.0)	(70, 12617.0)	(75, 20462.0)	(80, 33270.0)	(85, 51787.0)	(90, 76552.0)	(95, 109096.0)	(100, 142293.0)	(105, 179232.0)	(110, 213220.0)	(115, 248111.0)	(120, 276618.0)	(125, 306309.0)	(130, 330128.0)	(135, 351717.0)	(140, 366397.0)	(145, 1946266.0)	(150, 15905221.0)
SRR22223234_2	(35, 12832.0)	(40, 929.0)	(45, 1298.0)	(50, 1946.0)	(55, 2994.0)	(60, 4718.0)	(65, 7571.0)	(70, 12501.0)	(75, 20283.0)	(80, 32944.0)	(85, 51286.0)	(90, 75958.0)	(95, 108010.0)	(100, 140832.0)	(105, 177408.0)	(110, 211106.0)	(115, 245397.0)	(120, 272811.0)	(125, 302488.0)	(130, 325888.0)	(135, 348942.0)	(140, 362789.0)	(145, 2216557.0)	(150, 15685421.0)
SRR22223235_1	(35, 29919.0)	(40, 1472.0)	(45, 2086.0)	(50, 3145.0)	(55, 4891.0)	(60, 7869.0)	(65, 12666.0)	(70, 21343.0)	(75, 34733.0)	(80, 54598.0)	(85, 83676.0)	(90, 119149.0)	(95, 162277.0)	(100, 201853.0)	(105, 241552.0)	(110, 276972.0)	(115, 311953.0)	(120, 339766.0)	(125, 364294.0)	(130, 387191.0)	(135, 402366.0)	(140, 411608.0)	(145, 1921396.0)	(150, 15404816.0)
SRR22223235_2	(35, 12945.0)	(40, 1463.0)	(45, 2077.0)	(50, 3129.0)	(55, 4847.0)	(60, 7782.0)	(65, 12558.0)	(70, 21142.0)	(75, 34432.0)	(80, 54111.0)	(85, 82851.0)	(90, 117975.0)	(95, 160724.0)	(100, 199797.0)	(105, 239159.0)	(110, 274018.0)	(115, 308688.0)	(120, 336000.0)	(125, 360642.0)	(130, 382595.0)	(135, 398953.0)	(140, 408019.0)	(145, 2192631.0)	(150, 15185053.0)
SRR22223236_1	(35, 30929.0)	(40, 883.0)	(45, 1051.0)	(50, 1561.0)	(55, 1948.0)	(60, 2859.0)	(65, 3967.0)	(70, 6136.0)	(75, 9174.0)	(80, 14283.0)	(85, 22179.0)	(90, 34042.0)	(95, 51394.0)	(100, 72787.0)	(105, 100005.0)	(110, 132048.0)	(115, 168067.0)	(120, 203021.0)	(125, 238237.0)	(130, 268838.0)	(135, 294504.0)	(140, 315897.0)	(145, 1906637.0)	(150, 16062892.0)
SRR22223236_2	(35, 12998.0)	(40, 875.0)	(45, 1056.0)	(50, 1569.0)	(55, 1943.0)	(60, 2837.0)	(65, 3951.0)	(70, 6079.0)	(75, 9101.0)	(80, 14157.0)	(85, 21998.0)	(90, 33730.0)	(95, 50898.0)	(100, 72140.0)	(105, 99078.0)	(110, 130842.0)	(115, 166400.0)	(120, 200444.0)	(125, 235585.0)	(130, 265870.0)	(135, 292503.0)	(140, 314078.0)	(145, 2206587.0)	(150, 15798620.0)
