Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR22223235_2 - polya	(1, 0.0062543292962543105)	(2, 0.008653184268453311)	(3, 0.010138647567871131)	(4, 0.012705758900845613)	(5, 0.014628688738279683)	(6, 0.016638150418398286)	(7, 0.018666841396891228)	(8, 0.023440514718321304)	(9, 0.03029575958877376)	(10, 0.04181507077992255)	(15, 0.0631817056685712)	(20, 0.08304076356467158)	(25, 0.09990485823896836)	(30, 0.11467392085538072)	(35, 0.1297650742195633)	(40, 0.14533022978867338)	(45, 0.16295965053826894)	(50, 0.17939300892898047)	(55, 0.19662342173730846)	(60, 0.21262123651984116)	(65, 0.23793853075949817)	(70, 0.25959072072900574)	(75, 0.2762202179631356)	(80, 0.29135656017849787)	(85, 0.3095436305809493)	(90, 0.326489449773337)	(95, 0.34289684861124325)	(100, 0.3573265141113485)	(105, 0.3706245354021238)	(110, 0.38391294204371196)	(115, 0.39775515247848114)	(120, 0.4116935094051219)	(125, 0.42730769968508653)	(130, 0.44146527061319496)	(135, 0.4548430934922238)	(140, 0.45959465312052333)
SRR22223235_2 - polyg	(1, 0.07449910922678943)	(2, 0.07647972695934652)	(3, 0.0768114323563039)	(4, 0.07699891801545372)	(5, 0.07715755972704204)	(6, 0.07728255016647524)	(7, 0.07745080652725073)	(8, 0.07763829218640055)	(9, 0.0783690055246255)	(10, 0.08104764678817115)	(15, 0.08337343042654767)	(20, 0.08402338071160038)	(25, 0.08460506698742418)	(30, 0.08517425421930466)	(35, 0.0858924685135863)	(40, 0.08672990445778883)	(45, 0.0876375273410577)	(50, 0.08865283429522289)	(55, 0.08976140334650365)	(60, 0.09085362749416619)	(65, 0.09209103284455501)	(70, 0.09342843054649042)	(75, 0.09517637376871797)	(80, 0.10503427358032373)	(85, 0.11718622868798834)	(90, 0.12411454489226328)	(95, 0.1286257382908836)	(100, 0.13215816040225)	(105, 0.13544060163474997)	(110, 0.13890283680705)	(115, 0.14266408756907104)	(120, 0.14680800136874145)	(125, 0.15127592884601954)	(130, 0.15608613783436084)	(135, 0.16162994455568325)	(140, 0.16521332430774166)
SRR22223236_1 - polya	(1, 0.004041449628871073)	(2, 0.011527658432722826)	(3, 0.016180841131968923)	(4, 0.022152759876367743)	(5, 0.025206411022747996)	(6, 0.027974252455920244)	(7, 0.032933301690353856)	(8, 0.03843889932372909)	(9, 0.04934479627508714)	(10, 0.07075745942041098)	(15, 0.09863443628973063)	(20, 0.12565398401942623)	(25, 0.16227774095400976)	(30, 0.1955790853276876)	(35, 0.22263172681364943)	(40, 0.24786822306936668)	(45, 0.2724318129476714)	(50, 0.2963204907663657)	(55, 0.3211237596673255)	(60, 0.345657264312661)	(65, 0.3701125473522764)	(70, 0.40233282902125866)	(75, 0.4264150551720552)	(80, 0.44814361326355634)	(85, 0.47047287317334374)	(90, 0.49785745506306645)	(95, 0.5246262925180181)	(100, 0.5485360299997909)	(105, 0.5729301397323688)	(110, 0.5949926439098288)	(115, 0.6130648433544653)	(120, 0.6308783097955664)	(125, 0.6480118499715619)	(130, 0.668021538419419)	(135, 0.6877805165925325)	(140, 0.6942217649712518)
SRR22223236_2 - polya	(1, 0.007095100775251326)	(2, 0.00930135119299732)	(3, 0.010785556019480991)	(4, 0.013322743999888885)	(5, 0.015258227320911508)	(6, 0.01721376746391364)	(7, 0.019475174142103285)	(8, 0.024348981883123986)	(9, 0.031198386589126326)	(10, 0.04284438027152825)	(15, 0.06339259438953529)	(20, 0.08259499575271725)	(25, 0.09931135403153905)	(30, 0.11455955294146081)	(35, 0.1300484337151367)	(40, 0.1461029168686347)	(45, 0.1637298548653262)	(50, 0.18078417059450275)	(55, 0.19807816534633443)	(60, 0.2139962621103718)	(65, 0.23617108449091698)	(70, 0.2574724322742546)	(75, 0.27539019418964894)	(80, 0.2922459473812284)	(85, 0.31214131194380235)	(90, 0.32937012202420063)	(95, 0.3458327615049817)	(100, 0.36175085826901904)	(105, 0.3769459066006951)	(110, 0.39205671628005717)	(115, 0.4077361368625384)	(120, 0.4244093729741043)	(125, 0.44267411790974415)	(130, 0.4590264448696379)	(135, 0.4744581637006721)	(140, 0.4798093238048052)
SRR22223236_2 - polyg	(1, 0.11056824536753851)	(2, 0.11323580269081321)	(3, 0.11359682548644437)	(4, 0.11382747893920872)	(5, 0.11402303295350893)	(6, 0.11416844491286038)	(7, 0.11436901313265548)	(8, 0.11458462396893519)	(9, 0.11552228039647724)	(10, 0.11877449408045464)	(15, 0.12165966792220702)	(20, 0.12250406012754436)	(25, 0.12324716538188515)	(30, 0.1240343956445809)	(35, 0.12477850374002067)	(40, 0.12559682207678463)	(45, 0.1265755949893847)	(50, 0.1275714162006673)	(55, 0.1287517601741614)	(60, 0.12992809278325962)	(65, 0.1311134509622486)	(70, 0.13239809041003617)	(75, 0.13427240042402128)	(80, 0.14200631097931998)	(85, 0.15023763071971047)	(90, 0.15492591285742072)	(95, 0.15840978283526144)	(100, 0.16114753903546442)	(105, 0.1639725424112783)	(110, 0.16708335550030012)	(115, 0.17008686459173158)	(120, 0.17342532261022087)	(125, 0.1771548886573106)	(130, 0.1812354490890417)	(135, 0.1859247340678509)	(140, 0.18879486529311867)
SRR22223237_1 - polya	(1, 0.003202024204599227)	(2, 0.010405613036417754)	(3, 0.014716178793152056)	(4, 0.019949885424312433)	(5, 0.022676820392282342)	(6, 0.024909353553028243)	(7, 0.029312619648617047)	(8, 0.0343377505173548)	(9, 0.04375455993932454)	(10, 0.06309494063566863)	(15, 0.08865319656067837)	(20, 0.11264404425622328)	(25, 0.14728075336638385)	(30, 0.17905070449746896)	(35, 0.2044482798351309)	(40, 0.2270656175099816)	(45, 0.2495415871680792)	(50, 0.27063168676030197)	(55, 0.29229189343648)	(60, 0.3140007677905565)	(65, 0.33596456807648306)	(70, 0.3645464000537971)	(75, 0.3874032136040219)	(80, 0.4081078342871748)	(85, 0.4293207618283798)	(90, 0.4551887913857283)	(95, 0.480467401288527)	(100, 0.5039352645723677)	(105, 0.5282521084595511)	(110, 0.5506624153776266)	(115, 0.5694110589109495)	(120, 0.5874119197108459)	(125, 0.606138160662279)	(130, 0.6278980202027256)	(135, 0.6477490252655933)	(140, 0.6546497929904871)
SRR22223237_2 - polya	(1, 0.007192001289461713)	(2, 0.009609935127916618)	(3, 0.0110892780354697)	(4, 0.013758275291655544)	(5, 0.016071921248899137)	(6, 0.018215616584909475)	(7, 0.020517674999796252)	(8, 0.025233804739018997)	(9, 0.0319816169048029)	(10, 0.044032660955888044)	(15, 0.06671643387358447)	(20, 0.08752379743230106)	(25, 0.10521256709138742)	(30, 0.12084802424484661)	(35, 0.13599294210520074)	(40, 0.15159904415135603)	(45, 0.1689904002232842)	(50, 0.186394116340393)	(55, 0.20463831552978262)	(60, 0.22128961389652244)	(65, 0.246066869466683)	(70, 0.26847717638475865)	(75, 0.2863436216933162)	(80, 0.3027106390209021)	(85, 0.32278026238290164)	(90, 0.3403377065619441)	(95, 0.3570384451094063)	(100, 0.37254103177717407)	(105, 0.3873607259487136)	(110, 0.40224453785462766)	(115, 0.4174767485340697)	(120, 0.43279007201000946)	(125, 0.4496337235798723)	(130, 0.46493932202757426)	(135, 0.4803893785033244)	(140, 0.48573818805522917)
SRR22223237_2 - polyg	(1, 0.10380892946056552)	(2, 0.10859844696804809)	(3, 0.10923962431179172)	(4, 0.10966836337899379)	(5, 0.10997736450850878)	(6, 0.11027864060978591)	(7, 0.11051811648516005)	(8, 0.11084643018526974)	(9, 0.11159189541022468)	(10, 0.11409943957623894)	(15, 0.11645480068596706)	(20, 0.11753707714209335)	(25, 0.11867033878458963)	(30, 0.1198414530654515)	(35, 0.12123813817085931)	(40, 0.12265954336662835)	(45, 0.12401374081672785)	(50, 0.12537257328377005)	(55, 0.12682410608966682)	(60, 0.12845176953938706)	(65, 0.13008638551452145)	(70, 0.13200914504292854)	(75, 0.13466964476805274)	(80, 0.1422981101529544)	(85, 0.15191345280063753)	(90, 0.15835226383690643)	(95, 0.16306993858177676)	(100, 0.16703519557627805)	(105, 0.1712368384348583)	(110, 0.1756339245078568)	(115, 0.18047288219606175)	(120, 0.18594838221106763)	(125, 0.19211681725901092)	(130, 0.19874180147581258)	(135, 0.20600101051094377)	(140, 0.2106267574197834)
SRR22223238_1 - polya	(1, 0.002258158056332612)	(2, 0.007690336556652049)	(3, 0.011353786107268905)	(4, 0.016684202120071205)	(5, 0.019504476774117516)	(6, 0.021835322321533797)	(7, 0.026748996718789737)	(8, 0.031313771158844074)	(9, 0.04054023669373097)	(10, 0.06144709746248937)	(15, 0.08981944814881436)	(20, 0.11312111945714269)	(25, 0.14784441853108465)	(30, 0.179526472978086)	(35, 0.20578119475750678)	(40, 0.2285721152951538)	(45, 0.25026690846725924)	(50, 0.27055253347888925)	(55, 0.2925448607811637)	(60, 0.31617023371645137)	(65, 0.3415604589352504)	(70, 0.3772044662295855)	(75, 0.39982093678863173)	(80, 0.42028101177886257)	(85, 0.4419515757872734)	(90, 0.472426048715738)	(95, 0.4986303738346741)	(100, 0.5226259683912146)	(105, 0.548130555262652)	(110, 0.5709912557917393)	(115, 0.5880185428697254)	(120, 0.6045525241748904)	(125, 0.6205621863777051)	(130, 0.6402304522983979)	(135, 0.6601952831827119)	(140, 0.6673341639736758)
SRR22223238_2 - polya	(1, 0.0072299824464554865)	(2, 0.009953340445723572)	(3, 0.01174629855912071)	(4, 0.014353356572654926)	(5, 0.017037947910011723)	(6, 0.01964016009080703)	(7, 0.022004926467395686)	(8, 0.02655516340923329)	(9, 0.03357192921517668)	(10, 0.04689021591480018)	(15, 0.06936809565751359)	(20, 0.09131099546585122)	(25, 0.1101186414921133)	(30, 0.12700055358793208)	(35, 0.14406466899473394)	(40, 0.16100957691615853)	(45, 0.17891783638607875)	(50, 0.19667006004180596)	(55, 0.21380201710695257)	(60, 0.23008498427624194)	(65, 0.2508203025660428)	(70, 0.27129394588794264)	(75, 0.2891430861984481)	(80, 0.305374687540705)	(85, 0.32375105445320396)	(90, 0.34116988481649413)	(95, 0.3575904736355685)	(100, 0.3732900025430931)	(105, 0.3883721723596802)	(110, 0.4030269397286954)	(115, 0.4188098169593292)	(120, 0.43492317998275665)	(125, 0.4521830670322104)	(130, 0.46774012845721086)	(135, 0.48247049081695315)	(140, 0.48777183183332196)
SRR22223238_2 - polyg	(1, 0.14226880338169345)	(2, 0.15171333138983134)	(3, 0.15283756458525874)	(4, 0.15354990199787868)	(5, 0.15396664361342505)	(6, 0.1543446185670601)	(7, 0.15486796850286252)	(8, 0.15543493093331515)	(9, 0.15650585996861452)	(10, 0.1598233170616731)	(15, 0.1628568083562315)	(20, 0.16408377320572382)	(25, 0.16508492224958288)	(30, 0.16599787713759376)	(35, 0.16706105284051084)	(40, 0.16823568269642292)	(45, 0.16945101754734188)	(50, 0.17080203571495028)	(55, 0.17228776803270046)	(60, 0.17370275119246253)	(65, 0.17515262434794474)	(70, 0.17675368748488102)	(75, 0.17898567804442347)	(80, 0.18658685127867958)	(85, 0.19443516198262012)	(90, 0.19950390302752125)	(95, 0.20336893922007682)	(100, 0.20690252045329083)	(105, 0.21019284088301152)	(110, 0.21372545294967776)	(115, 0.2175536608134176)	(120, 0.22153208949206368)	(125, 0.2257266423108652)	(130, 0.23035925840926433)	(135, 0.23569064358861436)	(140, 0.23907400400692216)
