Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR22223232_1	(2.0, 25894.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 27.0)	(16.0, 71.0)	(17.0, 155.0)	(18.0, 258.0)	(19.0, 503.0)	(20.0, 895.0)	(21.0, 1721.0)	(22.0, 3573.0)	(23.0, 7011.0)	(24.0, 12998.0)	(25.0, 24008.0)	(26.0, 40586.0)	(27.0, 65550.0)	(28.0, 97659.0)	(29.0, 140602.0)	(30.0, 188596.0)	(31.0, 252027.0)	(32.0, 326561.0)	(33.0, 446198.0)	(34.0, 694865.0)	(35.0, 1760316.0)	(36.0, 14053356.0)	(37.0, 2080277.0)
SRR22223232_2	(2.0, 7645.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 62.0)	(13.0, 415.0)	(14.0, 1002.0)	(15.0, 1417.0)	(16.0, 1816.0)	(17.0, 2384.0)	(18.0, 3097.0)	(19.0, 4825.0)	(20.0, 7555.0)	(21.0, 12059.0)	(22.0, 18744.0)	(23.0, 31953.0)	(24.0, 44905.0)	(25.0, 58414.0)	(26.0, 77552.0)	(27.0, 104835.0)	(28.0, 135459.0)	(29.0, 180174.0)	(30.0, 237710.0)	(31.0, 326000.0)	(32.0, 465646.0)	(33.0, 755515.0)	(34.0, 1435117.0)	(35.0, 3763332.0)	(36.0, 11450732.0)	(37.0, 1095343.0)
SRR22223233_1	(2.0, 36670.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 6.0)	(15.0, 31.0)	(16.0, 81.0)	(17.0, 184.0)	(18.0, 310.0)	(19.0, 584.0)	(20.0, 1048.0)	(21.0, 2011.0)	(22.0, 3830.0)	(23.0, 7676.0)	(24.0, 14277.0)	(25.0, 25867.0)	(26.0, 44087.0)	(27.0, 70440.0)	(28.0, 104801.0)	(29.0, 149152.0)	(30.0, 199693.0)	(31.0, 265049.0)	(32.0, 341664.0)	(33.0, 467977.0)	(34.0, 727996.0)	(35.0, 1800007.0)	(36.0, 14106906.0)	(37.0, 2292365.0)
SRR22223233_2	(2.0, 9691.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 3.0)	(12.0, 117.0)	(13.0, 689.0)	(14.0, 1210.0)	(15.0, 1584.0)	(16.0, 1960.0)	(17.0, 2585.0)	(18.0, 3501.0)	(19.0, 5311.0)	(20.0, 8356.0)	(21.0, 13125.0)	(22.0, 21011.0)	(23.0, 36470.0)	(24.0, 51608.0)	(25.0, 64642.0)	(26.0, 84154.0)	(27.0, 113000.0)	(28.0, 146200.0)	(29.0, 194055.0)	(30.0, 256014.0)	(31.0, 351226.0)	(32.0, 507371.0)	(33.0, 830506.0)	(34.0, 1577134.0)	(35.0, 4023009.0)	(36.0, 11251031.0)	(37.0, 1107149.0)
SRR22223234_1	(2.0, 31097.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 9.0)	(15.0, 24.0)	(16.0, 82.0)	(17.0, 176.0)	(18.0, 387.0)	(19.0, 644.0)	(20.0, 1167.0)	(21.0, 2358.0)	(22.0, 4324.0)	(23.0, 8331.0)	(24.0, 15650.0)	(25.0, 28522.0)	(26.0, 48139.0)	(27.0, 76405.0)	(28.0, 112490.0)	(29.0, 158428.0)	(30.0, 210158.0)	(31.0, 273407.0)	(32.0, 349298.0)	(33.0, 468126.0)	(34.0, 714476.0)	(35.0, 1731252.0)	(36.0, 13977074.0)	(37.0, 2410885.0)
SRR22223234_2	(2.0, 9877.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 2.0)	(12.0, 153.0)	(13.0, 816.0)	(14.0, 1474.0)	(15.0, 1842.0)	(16.0, 2042.0)	(17.0, 2507.0)	(18.0, 3441.0)	(19.0, 5266.0)	(20.0, 8006.0)	(21.0, 12899.0)	(22.0, 20777.0)	(23.0, 35354.0)	(24.0, 51341.0)	(25.0, 65991.0)	(26.0, 86021.0)	(27.0, 114607.0)	(28.0, 146048.0)	(29.0, 192376.0)	(30.0, 248753.0)	(31.0, 338283.0)	(32.0, 478792.0)	(33.0, 775998.0)	(34.0, 1486125.0)	(35.0, 3891001.0)	(36.0, 11459791.0)	(37.0, 1183326.0)
SRR22223235_1	(2.0, 26407.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 19.0)	(16.0, 71.0)	(17.0, 141.0)	(18.0, 234.0)	(19.0, 431.0)	(20.0, 759.0)	(21.0, 1608.0)	(22.0, 3325.0)	(23.0, 6826.0)	(24.0, 13077.0)	(25.0, 22915.0)	(26.0, 37497.0)	(27.0, 58943.0)	(28.0, 86264.0)	(29.0, 125501.0)	(30.0, 175209.0)	(31.0, 241093.0)	(32.0, 319082.0)	(33.0, 442252.0)	(34.0, 690560.0)	(35.0, 1729982.0)	(36.0, 14353992.0)	(37.0, 2465403.0)
SRR22223235_2	(2.0, 9445.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 3.0)	(12.0, 88.0)	(13.0, 395.0)	(14.0, 835.0)	(15.0, 1253.0)	(16.0, 1546.0)	(17.0, 2098.0)	(18.0, 2852.0)	(19.0, 4501.0)	(20.0, 7233.0)	(21.0, 11318.0)	(22.0, 17929.0)	(23.0, 30044.0)	(24.0, 41848.0)	(25.0, 51586.0)	(26.0, 66084.0)	(27.0, 88830.0)	(28.0, 119612.0)	(29.0, 165586.0)	(30.0, 228891.0)	(31.0, 323825.0)	(32.0, 472355.0)	(33.0, 782515.0)	(34.0, 1511464.0)	(35.0, 3984682.0)	(36.0, 11714742.0)	(37.0, 1160031.0)
SRR22223236_1	(2.0, 28121.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 24.0)	(16.0, 78.0)	(17.0, 155.0)	(18.0, 262.0)	(19.0, 509.0)	(20.0, 890.0)	(21.0, 1667.0)	(22.0, 3431.0)	(23.0, 7033.0)	(24.0, 13141.0)	(25.0, 24149.0)	(26.0, 40516.0)	(27.0, 64729.0)	(28.0, 95315.0)	(29.0, 135883.0)	(30.0, 182874.0)	(31.0, 246089.0)	(32.0, 317506.0)	(33.0, 436484.0)	(34.0, 684141.0)	(35.0, 1737565.0)	(36.0, 13884404.0)	(37.0, 2038371.0)
SRR22223236_2	(2.0, 10187.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 5.0)	(12.0, 188.0)	(13.0, 947.0)	(14.0, 1659.0)	(15.0, 2101.0)	(16.0, 2280.0)	(17.0, 2681.0)	(18.0, 3632.0)	(19.0, 5144.0)	(20.0, 8115.0)	(21.0, 12684.0)	(22.0, 19459.0)	(23.0, 32512.0)	(24.0, 47936.0)	(25.0, 62088.0)	(26.0, 80904.0)	(27.0, 109292.0)	(28.0, 143419.0)	(29.0, 191495.0)	(30.0, 254482.0)	(31.0, 357093.0)	(32.0, 518052.0)	(33.0, 854912.0)	(34.0, 1642776.0)	(35.0, 4170069.0)	(36.0, 10529497.0)	(37.0, 879730.0)
