Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR22223232_1	SRR22223232_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20223708.0	2.9 Gbp	0.0	35-151	50.0	36.82014089910506	147.4574973590402	151	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR22223232_2	SRR22223232_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20223708.0	2.9 Gbp	0.0	35-151	51.0	37.184131080056844	147.53691083751804	151	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR22223233_1	SRR22223233_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20662712.0	3 Gbp	0.0	35-151	50.0	34.92603326658854	146.6901530157319	151	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR22223233_2	SRR22223233_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20662712.0	3 Gbp	0.0	35-151	51.0	37.264596176951464	146.82580534442914	151	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR22223234_1	SRR22223234_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20622909.0	3 Gbp	0.0	35-151	50.0	35.439901143326445	146.4686871769642	151	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR22223234_2	SRR22223234_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20622909.0	3 Gbp	0.0	35-151	51.0	36.7114886625866	146.5753064710706	151	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR22223235_1	SRR22223235_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20801591.0	3 Gbp	0.0	35-151	50.0	35.23812197387583	145.21204656893792	151	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR22223235_2	SRR22223235_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20801591.0	3 Gbp	0.0	35-151	51.0	36.75526977677004	145.30572945117515	151	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR22223236_1	SRR22223236_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19943339.0	2.9 Gbp	0.0	35-151	50.0	35.522848443466756	147.8337311520403	151	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR22223236_2	SRR22223236_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19943339.0	2.9 Gbp	0.0	35-151	51.0	37.41469321169695	147.90084137866785	151	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR22223237_1	SRR22223237_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25889873.0	3.8 Gbp	0.0	35-151	51.0	30.75557224012736	147.28347883359643	151	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR22223237_2	SRR22223237_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25889873.0	3.8 Gbp	0.0	35-151	52.0	32.12201176913098	147.35365998125985	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
SRR22223238_1	SRR22223238_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20636288.0	3 Gbp	0.0	35-151	50.0	33.7723916424254	148.01228898336754	151	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
