Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR22223232_1	0.12803784548313296	0.0
SRR22223232_2	0.16949908493536398	0.13443627647313738
SRR22223233_1	0.17746944350770605	0.11655294813188122
SRR22223233_2	0.19962529604051976	0.17032614111835853
SRR22223234_1	0.15078862055784661	0.0
SRR22223234_2	0.18870276739329064	0.1411391574292453
SRR22223235_1	0.12694702054280368	0.0
SRR22223235_2	0.24699072296921906	0.19948474133541036
SRR22223236_1	0.14100447272144348	0.0
SRR22223236_2	0.18927622902062688	0.16029412126023632
SRR22223237_1	0.18852545163122275	0.6509688170351395
SRR22223237_2	0.521246280350622	1.4323438357538487
SRR22223238_1	0.1337498294266876	0.22647968471849197
SRR22223238_2	0.2899794769291842	0.5125776496238084
SRR22223239_1	0.1595348610142756	0.6422250987169054
SRR22223239_2	0.47648118015698965	1.1369969300713187
SRR22223240_1	0.107671008686684	0.10111334308630315
SRR22223240_2	0.19165762882592172	0.14854779787981273
SRR22223241_1	0.12752094923223364	0.22290973399377337
SRR22223241_2	0.20509161285464303	0.27819629495760456
SRR22223242_1	0.16076676478849106	0.2420388869840413
SRR22223242_2	0.20943629113983503	0.276442167125408
SRR22223243_1	0.1415142703100577	0.35011729837965355
SRR22223243_2	0.2747442174987627	0.33396263830070266
SRR22223244_1	0.3114249554796944	3.024337860975118
SRR22223244_2	0.2354318003578154	2.3195216568282855
SRR22223245_1	0.302026106177805	3.4711093332586738
SRR22223245_2	0.2769147927784503	2.3120002546607425
SRR22223246_1	0.37633384239147055	4.670174940273824
SRR22223246_2	0.260383334609388	3.149122668594581
SRR22223247_1	0.5379415313392546	13.45795647825875
SRR22223247_2	0.562130876907719	11.990612071277686
SRR22223248_1	0.6063678910508725	14.024030115159157
SRR22223248_2	0.5753573566828815	11.985542601339173
SRR22223249_1	0.2577800607331491	2.9210430400596508
SRR22223249_2	0.45393321354892907	2.608284302941642
SRR22223250_1	0.39767688538171186	7.926621950647581
SRR22223250_2	0.33201452893576117	6.361956431234161
SRR22223251_1	0.4218671881310661	3.910404860016997
SRR22223251_2	0.2181521629272553	3.181361910600312
SRR22223252_1	0.4149952038367116	8.895771810861696
SRR22223252_2	0.43671505661261373	7.575916589194629
SRR22223253_1	0.3362490895108664	0.10250957395382632
SRR22223253_2	0.2732811847383199	0.3914102408591073
SRR22223254_1	0.15398084739511256	0.0
SRR22223254_2	0.22166437387130308	0.15745856392643812
SRR22223255_1	0.38893966103431743	0.536718458303025
SRR22223255_2	0.3535859786260432	0.6801514156551842
SRR22223256_1	0.19610554423473356	0.5677801295544112
SRR22223256_2	0.4384424485203124	0.8937783954489136
SRR22223257_1	0.21244107394249745	0.0
SRR22223257_2	0.15740510963800203	0.10731825395447853
SRR22223258_1	0.1223054526507697	0.22481395744123767
SRR22223258_2	0.2633358986118018	0.30536449961361173
SRR22223259_1	0.21175370484885978	0.11246512772557635
SRR22223259_2	0.24520157771513873	0.2533628586945108
SRR22223260_1	0.20599113832714977	0.21392377405565532
SRR22223260_2	0.2589242330689169	0.17756377495938236
SRR22223261_1	0.21043271826656612	0.2371790093149314
SRR22223261_2	0.32521327361912733	0.47391734747300185
SRR22223262_1	0.1555274624410688	0.0
SRR22223262_2	0.1893216175651454	0.14538229972986286
SRR22223263_1	0.35167754984652033	0.0
SRR22223263_2	0.0	0.0
SRR22223264_1	0.20600641098425249	0.0
SRR22223264_2	0.16463547186052171	0.10981385856257778
