Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR22223232_1	(1.0, 23.380684030627545)	(2.0, 12.68350072125469)	(3.0, 7.98460189535994)	(4.0, 5.364090813330553)	(5.0, 3.8750721431595267)	(6.0, 3.02655055533699)	(7.0, 2.317201003277453)	(8.0, 1.8930693598873856)	(9.0, 1.5600632247374795)	('>10', 17.21540798732133)	('>50', 4.8977860945545)	('>100', 8.942864062544079)	('>500', 2.7169785862859506)	('>1k', 3.438744897427709)	('>5k', 0.4418496048534297)	('>10k+', 0.2615350200414178)
SRR22223232_2	(1.0, 24.47271017450619)	(2.0, 11.777036692717473)	(3.0, 7.664633694340744)	(4.0, 5.163525252630924)	(5.0, 3.7385134709778423)	(6.0, 2.8522107541275323)	(7.0, 2.2678112538096724)	(8.0, 1.8383057313953537)	(9.0, 1.5432725649296457)	('>10', 16.378031882532817)	('>50', 4.742079156906627)	('>100', 9.132277077343028)	('>500', 3.2789413393980076)	('>1k', 4.068266599888464)	('>5k', 0.5632766566278457)	('>10k+', 0.5191076978676887)
SRR22223233_1	(1.0, 21.94390528508967)	(2.0, 12.112214181333524)	(3.0, 7.5098164739212745)	(4.0, 5.207800151172126)	(5.0, 3.8014811484768063)	(6.0, 2.9871565854064706)	(7.0, 2.3710812583841965)	(8.0, 1.9300629476040239)	(9.0, 1.6693913358593548)	('>10', 17.567298376333333)	('>50', 4.78930629428714)	('>100', 8.74469626594761)	('>500', 3.0778545694653197)	('>1k', 4.941008495929654)	('>5k', 0.5997862360219061)	('>10k+', 0.7471403947676486)
SRR22223233_2	(1.0, 24.793388040741554)	(2.0, 11.585449091705543)	(3.0, 7.512280643824313)	(4.0, 5.002491471462317)	(5.0, 3.7127927835010057)	(6.0, 2.8126242273795334)	(7.0, 2.1946239642511607)	(8.0, 1.7854618598007972)	(9.0, 1.5012470857492852)	('>10', 16.02447144472401)	('>50', 4.384536606728989)	('>100', 8.613571426503457)	('>500', 3.4112973117662397)	('>1k', 5.039317298142659)	('>5k', 0.612319367745011)	('>10k+', 1.014127375974063)
SRR22223234_1	(1.0, 22.27121395964855)	(2.0, 12.274258197845777)	(3.0, 7.9185665811977985)	(4.0, 5.19012593495714)	(5.0, 3.7875864590547024)	(6.0, 2.933586382000012)	(7.0, 2.3738789987091002)	(8.0, 1.931504314343255)	(9.0, 1.5750816059520396)	('>10', 17.388642933954284)	('>50', 4.9144725460574055)	('>100', 9.114938289604167)	('>500', 3.1316917681768435)	('>1k', 4.283871884585328)	('>5k', 0.4875689993321798)	('>10k+', 0.4230111445815102)
SRR22223234_2	(1.0, 24.24793390369609)	(2.0, 11.43351244045887)	(3.0, 7.434804293355287)	(4.0, 5.18380681096696)	(5.0, 3.7347512721984644)	(6.0, 2.824528239550801)	(7.0, 2.2419019074939905)	(8.0, 1.8901803508675648)	(9.0, 1.5037740076359105)	('>10', 16.42962182526175)	('>50', 4.625490208639908)	('>100', 9.1115809425344)	('>500', 3.3538018779558776)	('>1k', 4.595980355912781)	('>5k', 0.6649604328791314)	('>10k+', 0.7233711305923557)
SRR22223235_1	(1.0, 22.42492069282187)	(2.0, 12.016414200971017)	(3.0, 7.520591564213425)	(4.0, 5.109360542984395)	(5.0, 3.708858868323941)	(6.0, 2.835905621327226)	(7.0, 2.3134216700842747)	(8.0, 1.9438289954121897)	(9.0, 1.5984449828365321)	('>10', 16.709936071719248)	('>50', 4.670832525720751)	('>100', 8.57697608234749)	('>500', 3.0770925100103934)	('>1k', 5.874667276306034)	('>5k', 0.8933826074527887)	('>10k+', 0.7253657874682543)
SRR22223235_2	(1.0, 24.259962489720536)	(2.0, 11.787683291172769)	(3.0, 7.346945550391523)	(4.0, 5.040302127907547)	(5.0, 3.6101669352778094)	(6.0, 2.8665691373455955)	(7.0, 2.258657010880746)	(8.0, 1.7801288401763136)	(9.0, 1.46580353392581)	('>10', 15.5434368830093)	('>50', 4.29939318655486)	('>100', 8.52636191480874)	('>500', 3.51293633085503)	('>1k', 5.645989052587771)	('>5k', 0.8782732252951708)	('>10k+', 1.177390490090508)
SRR22223236_1	(1.0, 22.47980915712978)	(2.0, 12.110746140448843)	(3.0, 7.638024734871725)	(4.0, 5.378945969496764)	(5.0, 3.73886712136825)	(6.0, 2.9230684728289837)	(7.0, 2.2808188994058805)	(8.0, 1.956134891135403)	(9.0, 1.7119407773303932)	('>10', 17.607092009427987)	('>50', 4.954367505985321)	('>100', 8.88264921532623)	('>500', 2.944556335104138)	('>1k', 4.306005334579998)	('>5k', 0.659182774339047)	('>10k+', 0.42779066122115467)
SRR22223236_2	(1.0, 25.018687817252523)	(2.0, 11.517870373391343)	(3.0, 7.361306966301004)	(4.0, 5.034747466555288)	(5.0, 3.594506543438262)	(6.0, 2.7938382589535333)	(7.0, 2.2045818649515105)	(8.0, 1.8481189963897706)	(9.0, 1.580058901408376)	('>10', 16.25724172496181)	('>50', 4.661709132741009)	('>100', 8.912055401571239)	('>500', 3.2655381703858386)	('>1k', 4.470774554457073)	('>5k', 0.721104604068143)	('>10k+', 0.7578592231731978)
SRR22223237_1	(1.0, 19.74572845942223)	(2.0, 10.49656448955005)	(3.0, 6.3292805006024455)	(4.0, 4.32616328287487)	(5.0, 3.165994742895938)	(6.0, 2.404618007579731)	(7.0, 1.9329341761374246)	(8.0, 1.6063644550087846)	(9.0, 1.3904568997977886)	('>10', 14.381902796311714)	('>50', 4.122023847805161)	('>100', 8.262662043158379)	('>500', 3.4833540431970498)	('>1k', 10.35160249376122)	('>5k', 4.096788696150597)	('>10k+', 3.90356106574665)
SRR22223237_2	(1.0, 21.52989942071519)	(2.0, 9.943947030697089)	(3.0, 6.295762750706999)	(4.0, 4.268142743122011)	(5.0, 3.057995870127446)	(6.0, 2.3612225307036203)	(7.0, 1.8977578018498777)	(8.0, 1.520174178088235)	(9.0, 1.3166821442236862)	('>10', 13.24663781947469)	('>50', 3.8188590567214047)	('>100', 7.6684887962358825)	('>500', 3.869382639390647)	('>1k', 11.20883320307023)	('>5k', 3.3559341344048033)	('>10k+', 4.640279880468229)
SRR22223238_1	(1.0, 21.29345687848627)	(2.0, 11.52752612415153)	(3.0, 7.317649009786595)	(4.0, 4.910415615165453)	(5.0, 3.63872746729779)	(6.0, 2.8151181363722633)	(7.0, 2.300204400317719)	(8.0, 1.8982102338508584)	(9.0, 1.6017922372321889)	('>10', 17.70876582587673)	('>50', 4.976774630554334)	('>100', 8.882487903037116)	('>500', 3.0415522087854687)	('>1k', 5.911743694905527)	('>5k', 0.9777350788655733)	('>10k+', 1.197840555314471)
SRR22223238_2	(1.0, 24.118832406566)	(2.0, 11.209197297544495)	(3.0, 7.228288978329006)	(4.0, 4.9029277979352965)	(5.0, 3.6750257583342347)	(6.0, 2.8454053142755775)	(7.0, 2.2065151251271353)	(8.0, 1.8206601922982866)	(9.0, 1.5148397233317532)	('>10', 15.812444151238337)	('>50', 4.439489599985999)	('>100', 8.415986828680293)	('>500', 3.553771245608231)	('>1k', 5.667829794518007)	('>5k', 0.96661242452587)	('>10k+', 1.6221733617015308)
SRR22223239_1	(1.0, 21.093490723607868)	(2.0, 10.918753281275102)	(3.0, 6.808886162556839)	(4.0, 4.473705184395469)	(5.0, 3.331929995466191)	(6.0, 2.4592770680673195)	(7.0, 2.023394710865099)	(8.0, 1.699885546294333)	(9.0, 1.3756518205105892)	('>10', 15.363261715734689)	('>50', 4.369139514345271)	('>100', 8.310665283123726)	('>500', 3.5173572193833618)	('>1k', 8.994071412312186)	('>5k', 2.983893560127489)	('>10k+', 2.2766368019344174)
SRR22223239_2	(1.0, 23.65153388164549)	(2.0, 10.499228162543535)	(3.0, 6.525288866882442)	(4.0, 4.3385325089203555)	(5.0, 3.2084208162442334)	(6.0, 2.4346712499196106)	(7.0, 1.9308488614614194)	(8.0, 1.6077020429126576)	(9.0, 1.3786582626290225)	('>10', 13.988664647994645)	('>50', 3.816108469026024)	('>100', 8.097805054286226)	('>500', 3.9361637258730835)	('>1k', 9.419305442128683)	('>5k', 1.7691597105247752)	('>10k+', 3.3979082970077186)
SRR22223240_1	(1.0, 21.613170420690313)	(2.0, 11.545581611227453)	(3.0, 7.453955993678209)	(4.0, 4.926059796812752)	(5.0, 3.6493516434284534)	(6.0, 2.94342653963971)	(7.0, 2.2619029967880637)	(8.0, 1.9292178716985267)	(9.0, 1.51130646663094)	('>10', 18.14166955448174)	('>50', 5.483884749612665)	('>100', 10.151631572498781)	('>500', 3.273189414654726)	('>1k', 4.304509674265071)	('>5k', 0.44050914361775756)	('>10k+', 0.3706325502747872)
SRR22223240_2	(1.0, 23.285579060342087)	(2.0, 10.80088176416765)	(3.0, 7.003779070114792)	(4.0, 4.727174978951834)	(5.0, 3.5444964506922765)	(6.0, 2.772227541942549)	(7.0, 2.274376065936509)	(8.0, 1.7781339078860507)	(9.0, 1.5516301391080223)	('>10', 17.23186472652591)	('>50', 5.170866546795966)	('>100', 10.32614419600661)	('>500', 3.523345209971874)	('>1k', 4.699969954604955)	('>5k', 0.623958868406999)	('>10k+', 0.6855715185458475)
SRR22223241_1	(1.0, 20.0086832391171)	(2.0, 10.908306659807634)	(3.0, 6.8442973392400255)	(4.0, 4.496121606329351)	(5.0, 3.083362383577471)	(6.0, 2.3842242819787285)	(7.0, 1.8504265201248957)	(8.0, 1.576120022072328)	(9.0, 1.26000647130904)	('>10', 13.895856950612066)	('>50', 4.2251017885822755)	('>100', 9.026867859000925)	('>500', 4.308077187083941)	('>1k', 10.613196461110737)	('>5k', 3.521120250630675)	('>10k+', 1.9982309794228745)
SRR22223241_2	(1.0, 21.69510908863556)	(2.0, 10.334039764724544)	(3.0, 6.474547828780046)	(4.0, 4.25446436660831)	(5.0, 3.02600758953042)	(6.0, 2.388604942961255)	(7.0, 1.845085156008711)	(8.0, 1.475488274315399)	(9.0, 1.2687138820698383)	('>10', 13.11920453438335)	('>50', 3.8688784260213596)	('>100', 9.456792871316583)	('>500', 4.7330868752661726)	('>1k', 11.117332751903415)	('>5k', 2.956237842060084)	('>10k+', 1.9864058054150722)
SRR22223242_1	(1.0, 19.838322341652987)	(2.0, 10.68384974017535)	(3.0, 6.6103277220862955)	(4.0, 4.395530910833114)	(5.0, 3.1450862599299576)	(6.0, 2.3348582909981195)	(7.0, 1.8502017080050361)	(8.0, 1.506086042858523)	(9.0, 1.2783256889570678)	('>10', 13.74298296356029)	('>50', 4.174772128364623)	('>100', 9.24266165881254)	('>500', 4.673737505640709)	('>1k', 11.242900817331824)	('>5k', 3.384392427068885)	('>10k+', 1.8959637937247538)
SRR22223242_2	(1.0, 21.64968546392323)	(2.0, 10.037965303789345)	(3.0, 6.322988324654749)	(4.0, 4.289099543751394)	(5.0, 3.0559682675013145)	(6.0, 2.188077039997842)	(7.0, 1.8166498162814761)	(8.0, 1.4462552088797411)	(9.0, 1.233677182625199)	('>10', 12.858600638746776)	('>50', 3.8848255328564023)	('>100', 9.665231642586646)	('>500', 5.141339514629672)	('>1k', 11.594539127587627)	('>5k', 3.1259777754284417)	('>10k+', 1.6891196167601443)
SRR22223243_1	(1.0, 20.221303484731386)	(2.0, 10.726468084655034)	(3.0, 6.59179723871354)	(4.0, 4.316109922171055)	(5.0, 3.09628925284286)	(6.0, 2.3126738965777305)	(7.0, 1.8163631377412202)	(8.0, 1.5023928593333908)	(9.0, 1.2688286289009592)	('>10', 13.797696957275027)	('>50', 4.119218864064413)	('>100', 8.861019055693134)	('>500', 4.530837267792776)	('>1k', 11.349109023912538)	('>5k', 3.1184538298098765)	('>10k+', 2.371438495785063)
