Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR22223232_1	63.17985910089494	50.0	147.4574973590402	151	18.181818181818183	20.223708
SRR22223232_2	62.815868919943156	51.0	147.53691083751804	151	9.090909090909092	20.223708
SRR22223233_1	65.07396673341145	50.0	146.6901530157319	151	18.181818181818183	20.662712
SRR22223233_2	62.735403823048536	51.0	146.82580534442914	151	9.090909090909092	20.662712
SRR22223234_1	64.56009885667356	50.0	146.4686871769642	151	18.181818181818183	20.622909
SRR22223234_2	63.2885113374134	51.0	146.5753064710706	151	9.090909090909092	20.622909
SRR22223235_1	64.76187802612418	50.0	145.21204656893792	151	18.181818181818183	20.801591
SRR22223235_2	63.24473022322996	51.0	145.30572945117515	151	9.090909090909092	20.801591
SRR22223236_1	64.47715155653324	50.0	147.8337311520403	151	18.181818181818183	19.943338999999998
SRR22223236_2	62.58530678830305	51.0	147.90084137866785	151	9.090909090909092	19.943338999999998
SRR22223237_1	69.24442775987264	51.0	147.28347883359643	151	18.181818181818183	25.889872999999998
SRR22223237_2	67.87798823086902	52.0	147.35365998125985	151	9.090909090909092	25.889872999999998
SRR22223238_1	66.22760835757461	50.0	148.01228898336754	151	18.181818181818183	20.636288
SRR22223238_2	63.72837957239387	51.0	148.0692856195843	151	9.090909090909092	20.636288
SRR22223239_1	67.36202834497973	51.0	147.28255359103923	151	18.181818181818183	21.098209999999998
SRR22223239_2	65.27930007643388	52.0	147.36506817402994	151	9.090909090909092	21.098209999999998
SRR22223240_1	65.81163450089767	50.0	147.29705775530095	151	18.181818181818183	19.793629
SRR22223240_2	64.82514565962994	51.0	147.3340946725838	151	9.090909090909092	19.793629
SRR22223241_1	68.62878163043098	49.0	147.01285950750437	151	18.181818181818183	21.831706999999998
SRR22223241_2	67.48057355337909	49.0	147.0814737940556	151	9.090909090909092	21.831706999999998
SRR22223242_1	69.0250454142053	49.0	147.15271371477272	151	18.181818181818183	21.547363999999998
SRR22223242_2	67.77054842360376	49.0	147.26461348125923	151	9.090909090909092	21.547363999999998
SRR22223243_1	68.67152341533722	49.0	147.3503255794185	151	18.181818181818183	21.739857
SRR22223243_2	66.93534044887448	49.0	147.43669698471336	151	9.090909090909092	21.739857
SRR22223244_1	75.11427986699955	48.0	146.48873004557475	151	18.181818181818183	21.295339
