.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR26260919_1	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
SRR26260919_2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR26260920_1	1	0.5	1	1	0.5	0.25	0.5	0.5	0.25	0.25	1
SRR26260920_2	1	0.25	1	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR26260921_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR26260921_2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR26260922_1	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR26260922_2	1	0.25	1	1	0.5	1	1	0.5	0.25	0.5	1
SRR26260923_1	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR26260923_2	1	0.25	1	1	0.5	0.25	1	0.5	0.25	0.25	1
SRR26260924_1	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR26260924_2	1	0.25	1	1	0.5	1	1	0.5	0.25	0.5	1
SRR26260925_1	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR26260925_2	1	0.25	1	1	0.5	1	1	0.5	0.25	0.5	1
SRR26260926_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR26260926_2	1	0.25	1	1	0.5	0.5	1	0.5	0.25	0.5	1
SRR26260927_1	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR26260927_2	1	0.25	1	1	0.5	1	1	0.5	0.25	1	1
SRR26260934_1	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
SRR26260934_2	1	1	0.5	1	0.25	0.25	1	0.5	1	0.5	1
SRR26260935_1	1	1	0.5	1	0.25	0.25	1	0.5	1	0.5	1
SRR26260935_2	1	1	0.5	1	0.25	0.25	1	0.5	1	0.5	1
SRR26260936_1	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
SRR26260936_2	1	1	0.5	1	0.25	0.25	1	0.5	1	0.5	1
SRR26260937_1	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
SRR26260937_2	1	1	0.5	1	0.25	0.25	1	0.5	1	0.5	1
SRR26260938_1	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
SRR26260938_2	1	1	0.5	1	0.25	0.25	1	0.5	1	0.5	1
SRR26260939_1	1	1	0.5	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR26260939_2	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
SRR26260940_1	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.25	1
SRR26260940_2	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.25	1
SRR26260941_1	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.25	1
SRR26260941_2	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.25	1
SRR26260942_1	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
SRR26260942_2	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
SRR26260943_1	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
SRR26260943_2	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
SRR26260944_1	1	1	0.5	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR26260944_2	1	1	0.5	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR26260945_1	1	1	0.5	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR26260945_2	1	1	0.5	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR26260946_1	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
SRR26260946_2	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
SRR26260947_1	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
SRR26260947_2	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
SRR26260948_1	1	1	0.5	1	0.25	0.5	1	0.5	0.5	0.25	1
SRR26260948_2	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.25	1
SRR26260949_1	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
SRR26260949_2	1	1	0.5	1	0.25	0.25	1	0.5	1	0.5	1
SRR26260950_1	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
SRR26260950_2	1	1	0.5	1	0.25	0.25	1	0.5	1	0.5	1
SRR26260951_1	1	1	0.5	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR26260951_2	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
SRR26260989_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR26260989_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR26260990_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR26260990_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR26260991_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR26260991_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR26260992_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR26260992_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR26260993_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR26260993_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR26260994_1	1	1	1	1	0.25	0.25	1	0.5	0.5	0.5	1
SRR26260994_2	1	1	1	1	0.25	0.25	1	0.5	0.5	1	1
SRR26260995_1	1	1	1	1	0.25	0.25	1	0.5	0.5	0.5	1
SRR26260995_2	1	1	1	1	0.5	0.25	1	0.5	0.5	1	1
SRR26260996_1	1	1	1	1	0.25	0.25	1	0.5	0.5	0.5	1
SRR26260996_2	1	1	1	1	0.25	0.25	1	0.5	0.5	1	1
SRR26260997_1	1	1	1	1	0.5	0.25	1	0.5	0.5	0.5	1
SRR26260997_2	1	1	1	1	0.25	0.25	1	0.5	0.5	1	1
SRR26260998_1	1	1	1	1	0.25	0.25	1	0.5	0.5	0.5	1
SRR26260998_2	1	1	1	1	0.5	0.25	1	0.5	0.5	0.5	1
SRR26260999_1	1	1	1	1	0.5	0.25	1	0.5	0.5	0.5	1
SRR26260999_2	1	1	1	1	0.25	0.25	1	0.5	0.5	1	1
SRR26261000_1	1	1	1	1	0.5	0.25	1	0.5	0.5	0.5	1
SRR26261000_2	1	1	1	1	0.25	0.25	1	0.5	0.5	1	1
SRR26261001_1	1	1	1	1	0.25	0.25	1	0.5	0.5	0.5	1
SRR26261001_2	1	1	1	1	0.5	0.25	1	0.5	0.5	0.5	1
SRR26261002_1	1	1	1	1	0.25	0.25	1	0.5	0.5	0.5	1
SRR26261002_2	1	1	1	1	0.5	0.25	1	0.5	0.5	0.5	1
SRR26261003_1	1	1	1	1	0.25	0.25	1	0.5	0.5	0.5	1
SRR26261003_2	1	1	1	1	0.25	0.25	1	0.5	0.5	1	1
SRR26261004_1	1	1	1	1	0.25	0.25	1	0.5	0.5	0.5	1
SRR26261004_2	1	1	1	1	0.25	0.25	1	0.5	1	1	1
SRR26261005_1	1	1	1	1	0.5	0.25	1	0.5	0.5	0.5	1
SRR26261005_2	1	1	1	1	0.25	0.25	1	0.5	0.5	1	1
SRR26261006_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
