Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR26260919_1	(1.0, 19.85004572225527)	(2.0, 10.113463795971931)	(3.0, 5.012350259589792)	(4.0, 2.8991491730341377)	(5.0, 1.9504462384380719)	(6.0, 1.4717995304427154)	(7.0, 1.156525319269831)	(8.0, 1.0176751902142405)	(9.0, 0.8618946942309004)	('>10', 11.769097845777676)	('>50', 4.83303228525612)	('>100', 12.80357091932717)	('>500', 7.013792402034193)	('>1k', 13.637732409379927)	('>5k', 2.8537114086459607)	('>10k+', 2.7557128061321015)
SRR26260919_2	(1.0, 24.78739525614111)	(2.0, 9.657289273049823)	(3.0, 4.375841717242406)	(4.0, 2.542977040292881)	(5.0, 1.706799701817827)	(6.0, 1.3247676046510959)	(7.0, 1.0253372459798094)	(8.0, 0.8202381916945867)	(9.0, 0.7735730437560333)	('>10', 10.730638356785224)	('>50', 4.979333232202077)	('>100', 15.234375467138777)	('>500', 7.842150515757955)	('>1k', 11.113422892508277)	('>5k', 1.0536662079367234)	('>10k+', 2.032194253045455)
SRR26260920_1	(1.0, 18.819027947723995)	(2.0, 11.195201866567803)	(3.0, 6.204883998336057)	(4.0, 3.676932037079475)	(5.0, 2.405084981667236)	(6.0, 1.7127391737537696)	(7.0, 1.4165101921137446)	(8.0, 1.0838152187353167)	(9.0, 0.9279133867552636)	('>10', 12.413095800138576)	('>50', 4.623546199596363)	('>100', 11.505648318059942)	('>500', 5.81931939212252)	('>1k', 8.942445205523867)	('>5k', 1.3034314945790264)	('>10k+', 7.95040478724724)
SRR26260920_2	(1.0, 22.348353580786583)	(2.0, 10.819459778774233)	(3.0, 5.551131934456886)	(4.0, 3.268203873981898)	(5.0, 2.107616476939617)	(6.0, 1.563797587934012)	(7.0, 1.230887003896442)	(8.0, 0.9625069176143461)	(9.0, 0.8262573748772487)	('>10', 11.44306000535094)	('>50', 4.88147242990053)	('>100', 13.519257860219483)	('>500', 5.972468209102732)	('>1k', 7.120975521014075)	('>5k', 0.7019872577595381)	('>10k+', 7.682564187391454)
SRR26260921_1	(1.0, 15.160473336439006)	(2.0, 9.28714456014609)	(3.0, 6.5415984362258675)	(4.0, 4.2859000954999065)	(5.0, 2.8503085214715913)	(6.0, 2.0698009373758275)	(7.0, 1.5450087027941737)	(8.0, 1.2363596269379178)	(9.0, 1.0655310804886253)	('>10', 12.991551574554066)	('>50', 5.279035367619206)	('>100', 13.758433816559545)	('>500', 6.209993681726446)	('>1k', 11.21442165705199)	('>5k', 2.5110841534456574)	('>10k+', 3.9933544516641675)
SRR26260921_2	(1.0, 20.260754141342836)	(2.0, 10.49136491997656)	(3.0, 5.690853438923639)	(4.0, 3.2883242405142266)	(5.0, 2.0631187439276695)	(6.0, 1.5473762075362132)	(7.0, 1.1593280402366775)	(8.0, 0.9486263901822988)	(9.0, 0.8437197561269612)	('>10', 11.862385386653889)	('>50', 5.510757266229298)	('>100', 15.928975117016886)	('>500', 7.050464844766324)	('>1k', 9.437828092096298)	('>5k', 0.6574054117002132)	('>10k+', 3.2587180027701286)
SRR26260922_1	(1.0, 25.428515983226536)	(2.0, 10.136156737533117)	(3.0, 5.726694100256003)	(4.0, 3.811394729058887)	(5.0, 3.0007953451684743)	(6.0, 2.3527419538475667)	(7.0, 1.980813055535695)	(8.0, 1.7078538672552424)	(9.0, 1.495163813640704)	('>10', 18.80607027198758)	('>50', 6.219741369824944)	('>100', 11.333744623299042)	('>500', 3.1399888818290673)	('>1k', 3.674073345691525)	('>5k', 0.577328645165551)	('>10k+', 0.6089232766799715)
SRR26260922_2	(1.0, 32.234056157123604)	(2.0, 11.118211244216997)	(3.0, 5.948292076703272)	(4.0, 4.088323525120342)	(5.0, 2.9103749223649213)	(6.0, 2.3617845585501787)	(7.0, 1.8603071611670734)	(8.0, 1.66217925710965)	(9.0, 1.3810858098205059)	('>10', 17.063818369594035)	('>50', 5.631155858969902)	('>100', 9.628880767218579)	('>500', 1.9845177129645273)	('>1k', 1.613702877958436)	('>5k', 0.08322415978526836)	('>10k+', 0.43008554133275145)
SRR26260923_1	(1.0, 26.83878620153484)	(2.0, 11.351422675733833)	(3.0, 5.953396712788299)	(4.0, 3.8634840776529997)	(5.0, 2.8096797125916737)	(6.0, 2.2587863232688754)	(7.0, 1.8461470598977687)	(8.0, 1.5543225896018822)	(9.0, 1.4133516960009609)	('>10', 17.346249730425807)	('>50', 5.969285417025183)	('>100', 10.253550623658777)	('>500', 2.372706127452506)	('>1k', 2.322823746756691)	('>5k', 0.0)	('>10k+', 3.8460073056098194)
SRR26260923_2	(1.0, 27.940235504068156)	(2.0, 12.069853446113385)	(3.0, 6.321764874541512)	(4.0, 4.000286536651757)	(5.0, 2.951426432820864)	(6.0, 2.2881138171941653)	(7.0, 1.8241137973670436)	(8.0, 1.5423205589413285)	(9.0, 1.3419350839538102)	('>10', 17.19734622410761)	('>50', 6.048597661312364)	('>100', 9.951829194419146)	('>500', 1.8393360028943393)	('>1k', 0.8564058919276847)	('>5k', 0.045973947530594396)	('>10k+', 3.7804610261562304)
SRR26260924_1	(1.0, 23.567568988109848)	(2.0, 11.621748833882272)	(3.0, 6.446525430234537)	(4.0, 4.053474832371504)	(5.0, 3.0245695210147483)	(6.0, 2.4157505512962367)	(7.0, 1.9285211383112404)	(8.0, 1.625134965411987)	(9.0, 1.4550828697557536)	('>10', 18.55341828000227)	('>50', 6.222255791743015)	('>100', 11.713041501864229)	('>500', 3.4250267919479085)	('>1k', 3.5109498584945595)	('>5k', 0.1582645619566613)	('>10k+', 0.2786660836030922)
SRR26260924_2	(1.0, 27.97833213924013)	(2.0, 11.59072901496716)	(3.0, 6.280648444402537)	(4.0, 4.028687406211968)	(5.0, 2.975160249790696)	(6.0, 2.3022954138204783)	(7.0, 1.8395463988778356)	(8.0, 1.6096708967071989)	(9.0, 1.3818459097732139)	('>10', 17.276273467430144)	('>50', 6.242016098346773)	('>100', 11.565127484645712)	('>500', 2.72735853371958)	('>1k', 1.7692321530355315)	('>5k', 0.18521652749234066)	('>10k+', 0.24785986153866316)
SRR26260925_1	(1.0, 25.270946786064165)	(2.0, 10.586197092832858)	(3.0, 5.932709654690097)	(4.0, 3.8728819155123433)	(5.0, 2.949495255218891)	(6.0, 2.379331785684295)	(7.0, 1.9550671146111414)	(8.0, 1.6704687410749164)	(9.0, 1.4532199735052498)	('>10', 19.12726820403014)	('>50', 6.700911236976154)	('>100', 11.990130048876752)	('>500', 2.916673780277973)	('>1k', 2.846732250950763)	('>5k', 0.2208855759894851)	('>10k+', 0.12708058370469125)
SRR26260925_2	(1.0, 30.134352795078495)	(2.0, 11.149839688826122)	(3.0, 6.076690489351341)	(4.0, 4.065093457946236)	(5.0, 2.8558482262248615)	(6.0, 2.3235162995256107)	(7.0, 1.957542317917296)	(8.0, 1.6568923253242858)	(9.0, 1.3743704006110737)	('>10', 18.376533106615085)	('>50', 6.5803560048600644)	('>100', 10.65077291397332)	('>500', 1.6281623675853043)	('>1k', 0.9785872882052506)	('>5k', 0.07506071461109262)	('>10k+', 0.11638160334461074)
SRR26260926_1	(1.0, 26.34910623135446)	(2.0, 10.69002025929398)	(3.0, 5.808027272678602)	(4.0, 3.8654901305889515)	(5.0, 2.906651895477338)	(6.0, 2.2908034611461185)	(7.0, 1.9243423319573003)	(8.0, 1.652926343430481)	(9.0, 1.4241795383157465)	('>10', 18.158671697225472)	('>50', 6.442664839332027)	('>100', 11.630000239420916)	('>500', 2.9807091736767566)	('>1k', 2.637077413183578)	('>5k', 0.21328860704054176)	('>10k+', 1.0260405658777598)
SRR26260926_2	(1.0, 29.944981728766702)	(2.0, 10.84163294372907)	(3.0, 5.9189856685821445)	(4.0, 3.9349400880688035)	(5.0, 2.8460036552484715)	(6.0, 2.1767314817033636)	(7.0, 1.8990274953267414)	(8.0, 1.5858640148107979)	(9.0, 1.3304955084232044)	('>10', 18.072224781106733)	('>50', 6.546483725950833)	('>100', 10.914061012915283)	('>500', 1.8608147099385297)	('>1k', 1.1064385059587383)	('>5k', 0.037207655747892504)	('>10k+', 0.9841070237225297)
SRR26260927_1	(1.0, 25.071518076045546)	(2.0, 9.892838511239987)	(3.0, 5.640078976093653)	(4.0, 3.7640784268686818)	(5.0, 2.9144311149257276)	(6.0, 2.3602254094061603)	(7.0, 1.9748383221485322)	(8.0, 1.6375523332300936)	(9.0, 1.4745302475013151)	('>10', 18.87997323394643)	('>50', 6.557966383750669)	('>100', 12.365227507538776)	('>500', 3.3849894060933403)	('>1k', 3.550419132756028)	('>5k', 0.28985906965211755)	('>10k+', 0.24147384880291847)
SRR26260927_2	(1.0, 28.325614621688054)	(2.0, 10.600019583321702)	(3.0, 5.921372767906985)	(4.0, 4.002132713727515)	(5.0, 2.925600178942577)	(6.0, 2.3671855337374645)	(7.0, 1.8470191619584848)	(8.0, 1.6049643123811679)	(9.0, 1.42714582520906)	('>10', 18.56894244756918)	('>50', 6.6376391034118685)	('>100', 11.559071868796796)	('>500', 2.480081773354828)	('>1k', 1.614294382806608)	('>5k', 0.11891572518784332)	('>10k+', 0.0)
