"Symbol","n_studies","pooled_log2FC","pooled_lfcSE","rem_pvalue","I2","rem_padj","multi_study","is_robust","Confidence_Level"
"KRT75",6,0.691171620674892,0.0717307182470723,5.65367077224627e-22,0,5.55133933126862e-18,TRUE,TRUE,"Medium"
"MS4A4A",4,1.75753535238755,0.20538024930678,1.15371240455196e-17,0,7.55220140019714e-14,TRUE,TRUE,"High"
"IL1RL1",6,0.416925160783751,0.0527070431027107,2.56900985282378e-15,0,1.26125538724383e-11,TRUE,TRUE,"Medium"
"FCGR1A",6,2.31430352780046,0.301905486605685,1.77919820131378e-14,0,6.98797885547999e-11,TRUE,TRUE,"High"
"RAET1L",5,0.768400655438224,0.103906351393216,1.41273279030911e-13,0,4.62387442268172e-10,TRUE,TRUE,"Medium"
"TGM5",6,0.654145314399159,0.0921490342738062,1.25867000209093e-12,0,3.53110878586596e-09,TRUE,TRUE,"Medium"
"ADH7",3,0.740355451352475,0.110058494589628,1.73283699335709e-11,0,4.25368160944332e-08,TRUE,TRUE,"Medium"
"TRIM29",6,-0.223794175509936,0.0351525297709562,1.93548297041892e-10,0,4.22322384145409e-07,TRUE,TRUE,"Medium"
"UCN2",7,-0.856275518015073,0.134932930889033,2.21079535980807e-10,0,4.34155992759108e-07,TRUE,TRUE,"Medium"
"TMPRSS11B",5,0.99712469058966,0.165710595275971,1.77387730276054e-09,0,3.16685477014649e-06,TRUE,TRUE,"Medium"
"ZNF750",6,0.59007064573491,0.0986246246161748,2.19071361894988e-09,0,3.58510283741148e-06,TRUE,TRUE,"Medium"
"GRHL3",6,0.506752826101763,0.0875796842414061,7.20001222121747e-09,0,1.06403826950265e-05,TRUE,TRUE,"Medium"
"CYGB",8,0.493340070061257,0.0853910984858794,7.58556664275234e-09,0,1.06403826950265e-05,TRUE,TRUE,"Medium"
"FOXG1",6,-0.563213865783366,0.0990466987194887,1.29785801922273e-08,0,1.6805726335197e-05,TRUE,TRUE,"Medium"
"SPRR2A",5,0.543029727086478,0.095651119833522,1.36924137571622e-08,0,1.6805726335197e-05,TRUE,TRUE,"Medium"
"TMPRSS11D",6,0.675169204979245,0.119364133715097,1.54596669294719e-08,0,1.78586434800571e-05,TRUE,TRUE,"Medium"
"IL1RN",5,0.343630494803473,0.0637685319378724,7.09629233322264e-08,0,7.7420549355459e-05,TRUE,TRUE,"Medium"
"LILRB4",4,1.143220578285,0.216598565606419,1.3055755865587e-07,0,0.000134941544046525,TRUE,TRUE,"High"
"SPINK6",3,0.930342042590923,0.177975446022209,1.7194585875906e-07,0,0.000168833638715521,TRUE,TRUE,"Medium"
"CYSLTR1",4,0.734213549747397,0.140809754902935,1.84588688035895e-07,0,0.000172616793126139,TRUE,TRUE,"Medium"
"ZPLD1",8,0.994993744386047,0.191634056213239,2.07873703620583e-07,0,0.000180545541134976,TRUE,TRUE,"Medium"
"CCR5",5,1.20101976516366,0.231608668004818,2.1537112247216e-07,0,0.000180545541134976,TRUE,TRUE,"High"
"FUBP1",8,-0.256570985155379,0.0495211052201725,2.20648385132876e-07,0,0.000180545541134976,TRUE,TRUE,"Medium"
"IL12RB1",7,1.11950174521594,0.217549225675489,2.66142240834135e-07,0,0.000203591032141922,TRUE,TRUE,"High"
"CR1",6,1.20449497726909,0.23417429482913,2.69547145111008e-07,0,0.000203591032141922,TRUE,TRUE,"High"
"TLR7",7,1.29344346467797,0.252752216490341,3.09715981739368e-07,0,0.000225266757385101,TRUE,TRUE,"High"
"TGM1",8,0.740224152394842,0.147180754963941,4.92134476147363e-07,13.3949403766682,0.000345162030092211,TRUE,TRUE,"Medium"
"GBP6",5,0.606205698849303,0.123021100226157,8.32218464569314e-07,0,0.000563555386455593,TRUE,TRUE,"Medium"
"TP53AIP1",7,-0.578804166098425,0.119036660529637,1.1596945465873e-06,0,0.000759136050196045,TRUE,TRUE,"Medium"
"AIM2",6,2.39479716830864,0.493635660799897,1.22626681471022e-06,0,0.000776820248621911,TRUE,TRUE,"High"
"RUFY4",6,2.68749502728487,0.559707176010262,1.57395775717938e-06,4.88798732080783,0.00096591820110902,TRUE,TRUE,"High"
"RPTN",4,-0.568770274741967,0.119916384651592,2.10516769443441e-06,0,0.00125276615706978,TRUE,TRUE,"Medium"
"ADAMTSL4",8,0.690070887894273,0.14572597240962,2.18622607761657e-06,0,0.00126273846212454,TRUE,TRUE,"Medium"
"NOS1",7,-0.547372882604114,0.116383162649717,2.56119712240742e-06,0,0.00141367438746793,TRUE,TRUE,"Medium"
"SLC26A6",7,-0.32439119590317,0.0690077477230586,2.59152041698979e-06,0,0.00141367438746793,TRUE,TRUE,"Medium"
"DNAAF2",8,-0.188675513652345,0.0405979295975485,3.36117045024351e-06,0,0.00178396392707789,TRUE,TRUE,"Medium"
"ALOX15B",8,-0.244263664868411,0.0528399055060534,3.78755418100379e-06,0,0.0019337064697,TRUE,TRUE,"Medium"
"RGS20",7,0.261974467689328,0.0567063112604131,3.84023588544149e-06,0,0.0019337064697,TRUE,TRUE,"Medium"
"LILRB1",5,1.1050219993398,0.241501650804241,4.74790897058423e-06,0,0.00233098590910833,TRUE,TRUE,"High"
"TLL1",7,-0.703857769304294,0.154430448599123,5.17007167519126e-06,0,0.00247633823310746,TRUE,TRUE,"Medium"
"CAV1",8,-0.113346635703102,0.0249063599249715,5.34140547969094e-06,0,0.00249748859071835,TRUE,TRUE,"Medium"
"CD300A",5,0.755988148437943,0.167396113259854,6.29701735893088e-06,0,0.00283396709441028,TRUE,TRUE,"Medium"
"ZNF844",7,0.568935884238272,0.126026937394158,6.34965638833141e-06,8.04968965389329,0.00283396709441028,TRUE,TRUE,"Medium"
"SPI1",8,0.345525785867982,0.0770601549560793,7.33099429703327e-06,0,0.00311208308827581,TRUE,TRUE,"Medium"
"EPGN",8,0.394216788374513,0.0879857699453367,7.44820781897155e-06,0,0.00311208308827581,TRUE,TRUE,"Medium"
"COPS7B",8,-0.167605324339893,0.037465389883194,7.6912062662878e-06,3.23601215462766,0.00314666476369499,TRUE,TRUE,"Medium"
"SUB1",8,0.186559135630581,0.0419108036327121,8.5337061610077e-06,0,0.00341326862913665,TRUE,TRUE,"Medium"
"LMO2",8,0.510013715269519,0.114676111309504,8.69046906287976e-06,0,0.00341326862913665,TRUE,TRUE,"Medium"
"AL078584.1",6,0.568899089954883,0.128185551002907,9.07604142901597e-06,0,0.00345799459658172,TRUE,TRUE,"Medium"
"IL21R",7,1.47719157344873,0.33298657015661,9.15651894399885e-06,0,0.00345799459658172,TRUE,TRUE,"High"
"ATP8B4",7,0.67525813411608,0.152401024231105,9.38850603953157e-06,0,0.00347870720008153,TRUE,TRUE,"Medium"
