Symbol,n_studies,pooled_log2FC,pooled_lfcSE,rem_pvalue,I2,rem_padj,multi_study,is_robust,Confidence_Level
IL27,4,1.95767064,0.470780956,3.21E-05,0,0.009836141,TRUE,TRUE,High
ITGB2,8,0.669043485,0.161566494,3.46E-05,0,0.010448213,TRUE,TRUE,Medium
GAS1,7,-0.381867111,0.092481562,3.64E-05,0,0.010835427,TRUE,TRUE,Medium
CCDC127,8,-0.211484814,0.051352078,3.82E-05,0,0.011185676,TRUE,TRUE,Medium
CRCT1,4,0.519498778,0.126528393,4.03E-05,0,0.01148327,TRUE,TRUE,Medium
BCLAF1,8,-0.147196909,0.035853761,4.03E-05,0,0.01148327,TRUE,TRUE,Medium
SYTL2,8,0.331688656,0.081028054,4.25E-05,6.630771244,0.011920348,TRUE,TRUE,Medium
HMGN5,8,-0.484866455,0.118664,4.39E-05,0,0.011980965,TRUE,TRUE,Medium
DOCK10,8,0.662948546,0.162257011,4.39E-05,0,0.011980965,TRUE,TRUE,Medium
ITGAL,6,0.585466594,0.144258175,4.94E-05,0,0.013288354,TRUE,TRUE,Medium
SIGLEC12,3,2.477899108,0.612884743,5.28E-05,13.47223392,0.014003853,TRUE,TRUE,High
MSI1,6,0.744485305,0.184806198,5.61E-05,0,0.014554563,TRUE,TRUE,Medium
NLRP12,6,-0.567846273,0.140985495,5.63E-05,0,0.014554563,TRUE,TRUE,Medium
IGHA1,5,3.835833463,0.953399946,5.74E-05,0,0.014634988,TRUE,TRUE,High
CSF2RB,6,0.665882173,0.165743119,5.88E-05,0,0.014693018,TRUE,TRUE,Medium
MAB21L1,4,-0.747559691,0.18612927,5.91E-05,0,0.014693018,TRUE,TRUE,Medium
KRTAP19-1,3,-1.408422864,0.352625482,6.49E-05,0,0.015940986,TRUE,TRUE,High
HIRA,8,0.270211756,0.067829072,6.78E-05,0,0.016448877,TRUE,TRUE,Medium
BNC1,7,-0.2355981,0.059349799,7.20E-05,0,0.017237714,TRUE,TRUE,Medium
STXBP4,8,-0.386504986,0.09793268,7.93E-05,0,0.018592546,TRUE,TRUE,Medium
UTP20,8,0.176530493,0.044738635,7.95E-05,6.616082374,0.018592546,TRUE,TRUE,Medium
HOXA9,8,-0.237559637,0.060318385,8.20E-05,0,0.018735764,TRUE,TRUE,Medium
POFUT2,8,-0.211323333,0.053658034,8.20E-05,0,0.018735764,TRUE,TRUE,Medium
EPO,8,1.200314098,0.305814046,8.67E-05,0,0.019578599,TRUE,TRUE,High
TSPYL1,8,-0.102049056,0.026050699,8.95E-05,24.82740392,0.019980997,TRUE,TRUE,Medium
PLP2,8,-0.152197946,0.038954287,9.34E-05,5.003887094,0.020526131,TRUE,TRUE,Medium
ZIC2,7,-0.210253962,0.053913261,9.62E-05,0,0.020526131,TRUE,TRUE,Medium
RPP14,8,0.148758999,0.038154628,9.67E-05,0,0.020526131,TRUE,TRUE,Medium
MFAP5,7,0.448124353,0.114975915,9.72E-05,0,0.020526131,TRUE,TRUE,Medium
LCP2,7,0.522044038,0.133944601,9.72E-05,0,0.020526131,TRUE,TRUE,Medium
CALML3,4,-0.332189872,0.08547151,0.000101676,0,0.021241667,TRUE,TRUE,Medium
15-Sep,2,0.169738683,0.043899346,0.000110389,0,0.022819204,TRUE,FALSE,Low
APBB1IP,6,0.419028011,0.109204994,0.000124507,0,0.025469516,TRUE,TRUE,Medium
KIAA0907,8,-0.214712301,0.056509903,0.000144958,11.70815262,0.029347278,TRUE,TRUE,Medium
PGA3,4,-2.743760088,0.7248493,0.000153533,0,0.030421086,TRUE,TRUE,High
