"SRR26260919","SRR26260920","SRR26260921","SRR26260922","SRR26260923","SRR26260924","SRR26260925","SRR26260926","SRR26260927","SRR26260934","SRR26260935","SRR26260936","SRR26260937","SRR26260938","SRR26260939","SRR26260940","SRR26260941","SRR26260942","SRR26260943","SRR26260944","SRR26260945","SRR26260946","SRR26260947","SRR26260948","SRR26260949","SRR26260950","SRR26260951","SRR26260989","SRR26260990","SRR26260991","SRR26260992","SRR26260993","SRR26260994","SRR26260995","SRR26260996","SRR26260997","SRR26260998","SRR26260999","SRR26261000","SRR26261001","SRR26261002","SRR26261003","SRR26261004","SRR26261005","SRR26261006"
1.000778,5.202812,0,7.594937,10.459328,14.263787,18.475392,28.912561,19.813778,0,2.542574,6.26544,5.794531,4.328349,1.215386,2.948621,1.497223,2.00902,0.699294,0.876798,1.145741,4.089183,1.27189,0,1.982573,1.791742,1.211107,3.253122,4.678678,0,0,0,0.4335,3.624341,4.923748,1.025617,6.986542,8.176123,8.452539,2.265684,5.478741,1.67505,1.086723,2.63451,0
0,0,0,0,0,0,1.542601,0,0,36.108612,12.455205,30.400696,11.714247,23.713305,69.401572,91.822248,85.139881,70.355283,74.683928,61.748762,64.77695,78.822226,92.409188,58.870888,87.825076,29.387466,67.240037,25.295453,18.063123,31.900215,7.669008,8.387477,71.560275,76.764939,75.016904,59.979754,66.687732,61.122462,78.578942,73.890882,76.096665,78.32646,81.642097,73.458055,24.016246
0.270052,0,0,0,0,0,0,0.0584,0,2.042906,0.449853,0.420628,0.863279,3.699709,0.19459,0,0.16048,0.381183,0,0.75646,0,1.32367,0,0,1.00725,2.893066,0.275253,5.314301,1.632488,0,1.739806,0.834758,0.079579,0.111347,0.11387,0,0,0,0,0.067909,0.179697,0.146122,0.119114,0.169422,0
58.16004,58.851868,56.070217,22.940562,20.787149,24.95836,28.69965,24.963045,26.692618,14.722929,9.867139,31.728164,28.809225,10.479148,17.864058,19.453701,24.6674,21.013452,18.71161,18.306343,13.734197,20.082544,22.400946,24.409737,19.00937,32.149007,25.650739,26.774316,14.403116,31.536964,39.326058,22.442401,14.259762,16.956238,16.933383,18.769503,17.786304,19.236543,16.357417,17.653335,18.684548,22.1785,15.265657,15.049778,13.782953
0.080996,0,0,0,0,0,0,0,0,0.417591,0.736123,0.687731,1.763803,0.644274,0,0,0.262423,0,0,0,0,0,0,0,0,1.311293,0,0.724643,1.335504,2.094498,0.711694,1.365344,0,0,0.093161,0,0,0,0.060628,0,0,0,0,0,0
0,0,0,0,0.183503,0.446092,0.053417,0.077846,0.19746,0,0,0,0,0,49.239487,61.473967,73.148426,81.090673,68.712994,64.252323,69.782354,44.817774,34.374924,29.574509,34.790412,0,0,0,0,0,0,0,90.613977,87.749439,83.82003,101.396045,98.965839,101.608035,80.975335,80.633807,84.161677,73.058066,93.470959,91.547683,0
0,1.490051,0,0.372969,0,0,0.133319,0.748384,0.304739,0,6.507366,0.64462,5.857374,0,5.735595,10.7254,0,7.660737,8.54386,0,9.156116,9.18893,5.66628,8.098366,10.812868,3.729161,9.82107,6.545162,4.236717,6.639943,7.419507,0,7.009502,7.081963,6.177109,5.488703,7.245475,5.810835,2.831611,7.461826,5.772073,9.488475,0,5.409891,0
54.503973,52.507888,81.663244,14.077688,29.91321,13.66266,28.075539,17.917223,27.651661,0,15.968862,15.771484,19.702758,11.973687,11.474143,6.687706,26.153587,21.828249,25.831724,4.569545,18.574444,16.329612,9.655308,9.48768,17.494533,32.249776,3.484587,24.833878,25.384507,22.270705,0,39.125933,5.408517,8.486747,14.868905,15.096623,10.59094,12.581323,17.48138,9.80332,12.528745,14.676296,13.367554,19.109982,34.985923
1.601037,1.224806,2.995305,3.129093,0,0.136764,0.847834,0.245443,0.133558,9.970376,6.566026,10.210911,11.698689,11.805523,9.189091,7.504403,5.245125,9.527841,8.377133,11.251213,9.074726,8.932891,2.973922,11.178674,8.562547,6.114891,3.673139,6.620715,5.586188,8.44681,15.453961,3.694991,9.631909,10.849282,8.66887,8.075583,9.999398,5.000155,9.19325,10.107299,7.267063,8.295528,9.282812,9.621743,3.227309
20.039478,14.158933,13.709406,14.217476,5.236445,7.143185,9.014442,7.015728,7.09254,14.347325,15.576256,15.711608,19.54632,25.015825,57.690068,49.488896,42.441876,51.556131,57.596648,42.930018,57.953059,47.340819,72.034571,60.393357,62.322727,14.675429,42.856846,19.4574,19.644172,28.963059,18.212852,25.542703,63.770475,54.157134,51.289676,56.739909,56.033939,59.232136,55.829208,67.840525,63.611895,56.855259,58.60285,60.874774,0
