"DRR456169","DRR456170","DRR456171","DRR456172","DRR456173","DRR456174","DRR456175","DRR456176","DRR456177","DRR456178","DRR456179","DRR456180","DRR456181","DRR456182","DRR456183","DRR456184","DRR456185","DRR456186"
11.815628,13.934043,5.803243,16.467261,6.018642,8.317291,18.007945,13.718639,13.2819,11.326202,6.767233,5.174158,5.664201,5.787043,4.860497,3.343673,6.23036,3.66307
0.031087,0.113229,0.033959,0.017863,0.033313,0.112167,0.066628,0.014143,0.06282,4.166762,1.82737,0.24144,0.406592,0.214488,0.17964,0.188532,0.163963,0.147916
16.029736,9.998108,5.926516,41.063932,29.277382,27.155399,25.495959,27.094391,21.933358,30.456326,27.582605,26.666744,44.34416,25.667338,42.86359,37.766253,55.473354,36.568725
0,0,0,0,0,0,0,0,0,0.249293,0,0,0,0.497691,0.762914,0.116155,0,1.060471
6.548279,8.19878,6.586385,14.005248,12.717718,9.745834,8.831382,7.775876,6.495977,7.830655,5.405711,3.031803,12.822166,6.767613,12.798788,7.945345,14.40321,9.361104
1.328152,1.563341,1.590868,2.655101,4.878918,3.805085,4.857689,4.192338,3.735383,2.549406,5.14778,5.633181,2.871625,3.000314,6.314122,4.483304,0.181703,13.033078
0.022461,0,0.122671,0.053772,0.049512,0.113498,0.029172,0.034058,0.009456,1.978468,1.116937,2.299558,1.124066,0.684498,2.056304,2.96864,0.237589,3.381706
0.05405,0,0.398311,0,0,0,0,0,0,0,0,0.07242,0.560497,0.4394,0,0,0,0
6.510346,7.471154,11.004176,7.351539,10.42774,8.449907,7.757346,8.578775,10.984565,7.907858,6.135097,6.831028,8.005217,7.469473,11.110309,7.283474,6.815922,5.440682
0,0,0,0,0.022535,0,0,0,0,0.076914,0.097653,0,0,0,0,0,0,0.221086
0,0,0,0,0,0,0,0,0.027547,0.798554,0.457881,0.468911,0,0,0,0,0.157673,0.185441
0.008596,0,0,0,0,0.066194,0,0.034206,0.184517,0.02053,0.157754,0.141594,0.028561,0.021204,0.04515,0.124522,0,0.024057
2.673463,4.248336,3.689704,1.937365,5.974709,3.035534,4.303074,3.599533,0.893707,10.752237,10.215465,7.3712,9.107253,7.494516,8.666945,7.33599,7.340904,7.457056
23.187644,31.826083,24.385517,22.582045,25.794995,32.456667,14.592536,27.434679,31.165963,20.708103,22.004443,27.251611,15.191927,22.989515,20.169801,24.56701,23.290376,17.829359
7.917333,12.231512,9.837712,9.609152,10.56505,10.230771,12.230181,10.383599,10.468081,12.545001,13.529541,7.6079,18.393867,11.104101,13.50957,14.292866,11.782837,14.03641
3.167341,4.189161,1.504961,4.318394,2.051348,2.832826,1.93454,2.913301,3.582092,4.145311,5.25808,3.837534,5.383554,3.572207,2.427065,2.326235,2.69982,2.027879
8.014121,8.391663,7.578699,9.521712,9.195998,7.198605,7.647653,7.832367,6.494777,8.373323,7.972525,6.447723,8.113753,13.047819,7.48456,7.501928,6.974923,7.71666
4.064335,2.112506,3.053644,3.196596,4.111704,4.149342,6.329003,3.125691,5.730951,2.39086,1.270684,3.047494,1.804944,3.307536,1.458353,2.343522,0.36068,3.293282
0.010376,0.023614,0.033125,0.01452,0.05417,0,0.019692,0.022991,0.013106,0.160152,0.123675,0.118933,0.067171,0,0.146007,1.007907,0.697109,0.084871
0.189071,0.091254,0,0.013775,0.048208,0.044515,0.202958,0.056103,0.050694,0,0,0,0,0,0,0,0,0
1.029914,3.682976,1.942815,4.474118,5.359998,1.943646,2.433477,3.655329,2.1379,3.296183,4.447351,4.423149,12.586694,17.602919,3.999056,6.461667,3.104,6.295894
0,0,0,0,0,0,0,0.238067,0.441717,1.05367,0.262773,1.632315,1.458313,0,0,0.973915,0,0
16.559672,11.351621,7.952391,43.795714,42.365172,27.148336,26.380958,28.854852,17.689435,19.045432,17.033948,13.644796,23.193037,13.461231,16.720515,21.838108,18.095503,14.167972
18.22095,27.446516,15.657993,31.726827,36.24854,31.430878,25.222566,30.232896,20.868067,30.201622,23.830515,21.886898,39.018635,30.236643,35.545266,27.682918,38.71439,33.020842
0.23733,2.324975,0.291516,0.150345,3.964076,1.063679,1.448178,1.924859,0.989893,0,1.957907,1.046125,2.093949,1.425423,1.884161,1.631881,3.465229,0.11413
0.260121,0.274781,0.156779,0.513522,0.533182,0.423924,0.179718,0.43144,0.782401,1.684196,1.427965,1.17765,0.581167,0.339902,0.621101,0.766983,0.62046,0.404751
5.170262,4.38233,3.881701,5.602208,8.087751,6.217396,6.394078,5.609772,5.204662,6.398958,6.570418,6.192276,4.725876,6.611862,6.231885,5.25699,4.582256,6.335661
0.087284,0.016557,0,0.026681,0,0.024037,0.120453,0.057916,0.119425,2.015623,1.851438,0.968308,3.322109,1.148684,3.192977,2.282695,4.238266,2.645938
44.149031,54.803578,45.299165,46.802945,44.489669,41.063918,42.061813,42.078237,34.32561,68.135201,57.176005,49.370033,75.49814,60.607476,73.107067,61.244865,88.957513,61.968552
40.66058,35.096119,31.172267,51.75588,54.710975,52.615388,38.750757,43.451564,49.334937,45.165848,32.873924,35.626688,46.451656,41.047696,41.567665,40.035727,31.258504,40.081523
17.545071,23.218701,32.462635,24.897399,22.946503,24.200225,16.87785,13.864875,23.728602,17.217719,13.790783,19.524354,21.695377,19.701784,14.808292,18.267103,16.351937,15.957751
47.58598,50.144698,55.798786,57.125971,57.220881,51.522985,55.021148,54.343288,50.281613,44.172778,43.216331,48.491716,37.024278,39.759953,34.153748,30.606963,38.768212,29.856163
7.09336,5.737336,9.061178,6.581944,6.827674,5.826832,7.028414,6.022121,10.442574,4.55589,2.70413,5.981697,5.207203,4.238793,5.42328,3.266514,4.846253,3.530206
19.908249,25.062013,18.479453,30.495006,32.217627,23.279649,35.687848,28.973509,28.148599,35.019966,40.549348,31.011301,31.351868,31.83824,34.590857,35.011589,25.393269,32.579925
23.285325,13.387732,4.936364,35.113551,26.940731,28.970695,36.43123,35.190174,27.731723,7.424431,5.685323,4.162633,2.289054,3.341393,4.448188,4.106813,6.050407,4.262245
0,1.036019,1.864949,0.107848,0,0.495907,0,0,0.778571,0.313763,0.310094,0.999111,2.205108,0.440801,0.131768,1.121087,0.918749,1.370945
0,0.022174,0,0,0,0,0,0,0,0,0.481508,0.417395,0.194202,0,0.198672,0.128266,0,0.154069
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.013964,0,0,0.04811,0,0,0,0,0,0,0,0,0
0,0,0,0.070939,0.066324,0,0,0,0.062557,0.444244,0.060395,0.088538,0,0,0,0.353905,0,0
