"SRR27961772","SRR27961773","SRR27961774","SRR27961775","SRR27961776","SRR27961777","SRR27961778","SRR27961779","SRR27961780","SRR27961781","SRR27961782","SRR27961783","SRR27961784","SRR27961785","SRR27961786","SRR27961787","SRR27961788","SRR27961789","SRR27961790","SRR27961791","SRR27961792","SRR27961793","SRR27961794","SRR27961795","SRR27961796","SRR27961797","SRR27961798"
8.848434,5.982266,7.282064,4.59093,7.129198,6.410125,5.824916,4.942076,3.470709,8.916416,2.800461,6.625249,4.896399,6.805924,6.116541,8.555732,4.744747,5.577155,8.950015,9.129777,9.946849,6.497656,8.604099,5.491082,5.349398,5.851195,5.070415
113.004218,104.791072,104.61525,141.191024,131.556406,119.959468,149.306004,133.606456,136.751228,99.984274,114.809184,93.045649,110.830118,124.806112,121.41148,132.440402,137.323519,141.824499,106.92955,102.75183,107.619504,125.017991,116.358131,121.9501,132.663798,154.308432,147.998754
0.612319,0.499755,0.853993,0.469951,0.474426,0.330634,0.402463,0.404701,0.250622,0.432033,0.358123,0.320756,0.370568,0.349549,0.172087,0.590951,0.424717,0.44042,0.554904,0.411307,0.410302,0.329279,0.397183,0.359952,0.686413,0.641776,0.538983
0,0,0.359142,0,0,0.155861,0,0,0,0,0,0,0,0.198606,0,0,0,0,0,0,0,0,0,0,0.272098,0,0
15.104371,7.667497,14.076573,9.360873,8.332405,9.821324,7.659479,9.956049,5.525444,10.301834,9.145864,10.868849,9.112023,7.835915,8.800009,9.037644,7.439162,8.380487,8.866258,10.942511,12.365179,11.23965,12.935312,11.769839,8.150026,10.166447,7.622567
0.04965,0.043647,0.108552,0,0.04049,0.0934,0.0844,0,0.039192,0.154611,0,0,0.052373,0.119717,0,0,0.049217,0,0,0,0.077681,0.125198,0,0,0,0,0
6.047597,2.44022,2.574383,2.613892,2.764303,2.374044,2.761717,2.622395,1.6485,4.835023,4.45345,4.561441,2.365846,2.149807,1.633837,2.726685,2.542542,2.834315,3.493151,3.791591,4.271211,2.310114,2.583717,2.107591,2.275866,2.287615,2.372844
0.716701,0.411045,0.928411,0.632209,0.605078,0.699293,0.554425,0.805662,0.399432,1.043828,0.482042,0.289908,0.694038,0.647253,0.470558,0.679754,0.54965,0.497601,0.690725,0.913562,0.952431,0.655985,0.774212,0.859586,0.515831,1.127153,0.637582
0.834308,0.067053,0,0.042856,0,0.178546,0.047083,0.052354,0,0.635908,0.740734,1.131663,0.299777,0.335642,0,0.061177,0,0.057018,0.706307,0.280722,0.268787,0,0.080465,0,0.381315,0.137525,0.225466
1.529961,0.888644,1.467466,1.774127,1.89813,1.679667,1.101342,0.959151,0.52542,2.131466,0.874014,1.683916,1.209638,1.31302,2.158458,0.837766,0.809781,1.017328,2.131323,1.667038,1.404749,1.57076,2.123851,2.092439,0.707691,0.91727,1.063994
2.762712,2.99449,3.642692,2.239822,2.337487,2.584773,1.759592,1.582487,1.572948,4.16539,3.033563,3.967878,2.24099,3.035154,3.013019,1.343447,1.319264,1.288233,2.93524,5.875981,3.061806,6.578275,3.300333,2.917533,2.045092,1.513696,1.343034
12.438774,9.643821,12.361297,11.707942,9.014109,8.735313,13.394741,15.166461,7.456707,10.229958,7.336976,10.421958,10.012626,13.220455,12.692978,15.589284,16.242333,15.639336,9.445484,10.080229,10.502038,13.345501,12.033596,12.822363,14.042057,12.290203,15.640706
2.954843,4.438928,7.308516,2.156494,4.171353,3.197666,2.676553,1.673971,0.367034,5.610905,3.401608,3.383937,2.538846,0.546717,5.077457,3.952961,3.338411,2.595115,4.542099,5.033713,5.328104,2.524883,3.419226,3.243741,4.151985,4.075469,0.312227
0.100083,0.021838,0.108696,0.095451,0.040405,0.093349,0.041944,0.023158,0,0.025809,0.106346,0,0.052402,0.059901,0.029332,0.071426,0.073909,0,0.124364,0.02913,0.077993,0.094068,0.06178,0.029396,0.041104,0,0.140526
6.539233,5.030918,3.382362,7.368375,3.354704,7.524953,2.786476,3.123257,4.163175,5.751307,3.431042,4.281117,4.697125,4.374913,4.820964,5.871314,5.187202,2.539892,3.051736,3.917616,4.48794,3.77794,7.456029,3.459696,4.772889,5.021218,3.321841
0,0.121722,0,0,0,0,0,0,0,0.14326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.628047,3.375116,3.376154,2.315337,4.852325,2.671068,2.307249,2.596848,1.599057,3.203806,3.890909,2.077907,3.352472,4.383453,2.055011,3.023563,4.469488,4.147699,2.338624,5.328357,2.479629,5.642391,2.63159,2.691279,2.569964,3.349983,3.130226
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.060272,0,0.032774,0.115127,0.073149,0.028157,0.025332,0.027969,0.047524,0.031126,0.064125,0.042315,0,0.072254,0,0.02874,0.029714,0.030737,0.100289,0.315052,0.188025,0.113442,0,0.178963,0,0.072403,0
0.43691,3.033049,2.099275,1.836005,0.68872,0.819838,0.975357,0.56811,0.538573,1.021036,2.003656,2.300145,0.455281,0,0.547897,0.523178,0.535563,0.144455,0,0,0.653401,0.201326,0.791008,0,0.666572,0.992666,0
