"SRR26260919","SRR26260920","SRR26260921","SRR26260922","SRR26260923","SRR26260924","SRR26260925","SRR26260926","SRR26260927"
0.861503,0.762263,0,0.292129,0,0.06301,0.081351,0.250202,0
9.56674,8.86587,9.348482,17.040938,11.133089,10.615019,7.691546,6.70783,7.303064
0.555294,0.515837,1.04712,0,0,0.877877,0.363728,0.926857,0.549381
2.215478,1.821694,1.456435,3.04889,1.500123,1.932461,2.34123,2.167936,2.02737
4.960287,1.05739,0,14.729605,4.385525,4.79627,5.721737,0.930122,2.069262
2.330615,3.784968,2.08074,5.65438,5.005091,4.907277,6.636931,5.937765,4.592713
3.260449,0,1.512772,0,1.439553,3.914978,0,2.873933,2.06938
0,0,0,0.221797,0,0,0,0,0
0,0,0,0,0,0,0.420143,2.066766,0
0,0,0,0,0,0,0,0,0
5.583607,13.49656,12.58239,22.578456,16.095047,23.691116,20.001761,16.465795,21.225257
0,0,1.336829,0,0,0,0,0,0.093662
0,0,0,0,0,0,0,0,0
8.186164,4.768822,10.918671,4.365339,0.340528,1.795648,0.770554,2.831822,2.103356
46.851586,46.663359,49.406311,4.32257,3.002224,2.724005,2.235646,2.21571,2.447721
20.576519,15.398544,14.803427,13.084221,10.00158,9.882296,10.547524,11.22397,11.191738
0.378341,0.430397,0,0.236497,0.482131,0.505715,0.132848,0.250544,0.213507
3.223716,3.97309,3.348815,3.154808,5.354392,5.307016,1.737374,2.162306,2.969018
0,0,0,0,0,0,0,0,0
22.259021,36.215366,36.697689,23.575567,20.678968,24.345888,18.465918,18.010316,18.71471
0,0,0,0,0,0,0,0,0
5.152922,15.490547,7.57293,31.090178,35.16736,38.693061,30.000454,32.955487,34.216448
3.443971,2.132658,2.519529,2.583078,0.523542,1.64061,2.056098,1.650328,1.452147
2.573794,0,0,0.089955,0,7.284309,0.182729,0,0
2.931684,2.569369,0.676954,0,0,0.260534,0,0,0
0,0,0,0,0,0,0,0,0
3.350165,20.549385,0,0,13.778411,9.03721,16.556293,13.258493,20.685366
1.212861,0,0.557045,0.172979,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
6.625362,5.345746,10.323039,29.540167,30.345666,22.539597,26.945437,23.506744,26.422977
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0.927286,0,0,0,0.225415,0,0
0,2.457826,0,0,2.821665,0.395703,0.862429,2.396731,1.968883
0,0.896212,0.280306,0,0.327401,0,0.163906,0,0.250552
0.223377,0,0,0.016098,0,0.035584,0,0.053607,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0.374592,0,0,0.109827,0,0
0,0,0,0,0,0,0,0,0
0.445637,0,0.937878,0,0,0.157318,0,0,0
0,0,0,0.485218,0.698558,0,1.150536,0.195208,0
0.301556,0.077028,0.630351,0.078315,0.050369,0,0.086302,0.033656,0.050092
7.441977,2.7067,0,12.455387,17.30839,11.226734,11.258745,17.835732,19.791836
0.115374,0,0,0,0,0,0,0,0
