"SYMBOL","GENENAME","GENEBIOTYPE","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG","A1BG","protein_coding",25.504975706778,0.121323427055552,0.533559470546543,0.227385012829546,0.820124373122091,0.999199842950971
"A1CF","A1CF","protein_coding",0.260803279764605,2.33504545126656,3.99440940382584,0.584578398255835,0.558831236170159,NA
"A2M","A2M","protein_coding",0,NA,NA,NA,NA,NA
"A2ML1","A2ML1","protein_coding",0,NA,NA,NA,NA,NA
"A3GALT2","A3GALT2","protein_coding",0,NA,NA,NA,NA,NA
"A4GALT","A4GALT","protein_coding",54.12253979621,0.362449412469048,3.72929173108395,0.0971898790990264,0.922575605303838,0.999199842950971
"A4GNT","A4GNT","protein_coding",0,NA,NA,NA,NA,NA
"AAAS","AAAS","protein_coding",910.75537565985,0.297096343216559,0.161514386431353,1.83944198272908,0.0658502039250014,0.533079488265383
"AACS","AACS","protein_coding",2.73259198350136,-5.836774860628,3.91609180591033,-1.49045914904724,0.136103550016316,NA
"AADAC","AADAC","protein_coding",191.845146022733,-2.39672555288366,2.12940345249947,-1.12553849298516,0.26036091521447,0.907812895010869
"AADACL2","AADACL2","protein_coding",0,NA,NA,NA,NA,NA
"AADACL3","AADACL3","protein_coding",0,NA,NA,NA,NA,NA
"AADACL4","AADACL4","protein_coding",0.334130212530212,-0.109928625447865,4.08045587180361,-0.0269402804249113,0.978507366032729,NA
"AADAT","AADAT","protein_coding",0.95627869247022,4.20964572795886,3.93084259481858,1.07092706624981,0.28420222473096,NA
"AAED1","AAED1","protein_coding",169.008627086181,-0.155495142406596,0.24233992362458,-0.641640634695754,0.52110654278759,0.999199842950971
"AAGAB","AAGAB","protein_coding",13.9850176411874,2.09210320978604,1.97362352454163,1.06003155301462,0.289130244862598,0.925316574502101
"AAK1","AAK1","protein_coding",354.627674490278,-0.111316445552096,0.132607975947871,-0.839440046923383,0.401222419111757,0.983630675416896
"AAMDC","AAMDC","protein_coding",51.7654872296924,1.21277157037414,0.795309120655485,1.52490589995321,0.127282570085741,0.719534746688401
"AAMP","AAMP","protein_coding",3.12963935717526,5.92015838468534,3.91412133167069,1.5125127411823,0.130403473813889,NA
"AANAT","AANAT","protein_coding",0.38293484371601,1.18283334783247,4.06139915753976,0.29123789658463,0.770869380849129,NA
"AAR2","AAR2","protein_coding",796.544289010296,0.396804181604979,0.119577481563045,3.31838550551653,0.000905394320628567,0.0381995433081459
"AARD","AARD","protein_coding",0.167065106265106,-0.109921269797591,4.08045587181216,-0.0269384777708118,0.978508803820786,NA
"AARS","AARS","protein_coding",4.00732405813727,-0.788668124081595,2.06696969561206,-0.381557661805999,0.702789493310584,NA
"AARS2","AARS2","protein_coding",15.9705475671834,2.02202785444915,2.61806427183269,0.77233698049502,0.439914868164114,0.992390082390421
"AARSD1","AARSD1","protein_coding",142.846229992316,0.487613611885062,0.457050811269901,1.06686959056093,0.286030728382536,0.92138824639427
