SYMBOL,GENENAME,GENEBIOTYPE,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABCC6,ABCC6,protein_coding,7.26280453,0.785012823,1.000456137,0.784654913,0.432655924,0.980271782
ABCC8,ABCC8,protein_coding,0,NA,NA,NA,NA,NA
ABCC9,ABCC9,protein_coding,6.021045798,1.461352594,1.371164684,1.065774674,0.286525512,0.927812395
ABCD1,ABCD1,protein_coding,312.7613881,0.092770139,0.16176083,0.573501873,0.566304931,0.997447198
ABCD2,ABCD2,protein_coding,0,NA,NA,NA,NA,NA
ABCD3,ABCD3,protein_coding,4199.221957,0.085192805,0.085306436,0.998667967,0.317955563,0.945628198
ABCD4,ABCD4,protein_coding,143.9149093,-0.514082744,0.324346761,-1.584978813,0.112971148,0.737102121
ABCE1,ABCE1,protein_coding,1482.508506,0.00205683,0.140017422,0.014689812,0.988279647,0.999779309
ABCF1,ABCF1,protein_coding,1242.909535,0.078323446,0.091333919,0.857550479,0.39114073,0.968451565
ABCF2,ABCF2,protein_coding,569.1971729,-0.209150665,0.216721111,-0.96506826,0.334510623,0.951845582
ABCF3,ABCF3,protein_coding,231.4168252,-0.404957357,0.242053705,-1.673006232,0.094326069,0.702916134
ABCG1,ABCG1,protein_coding,0,NA,NA,NA,NA,NA
ABCG2,ABCG2,protein_coding,12.51715157,0.227387139,1.7684379,0.128580788,0.897689369,0.999486641
ABCG4,ABCG4,protein_coding,1.258416209,0.440836291,2.70211905,0.163144659,0.870404538,NA
ABCG5,ABCG5,protein_coding,0,NA,NA,NA,NA,NA
ABCG8,ABCG8,protein_coding,0,NA,NA,NA,NA,NA
ABHD1,ABHD1,protein_coding,0.179780612,0.981144094,4.080472857,0.240448626,0.809982485,NA
ABHD10,ABHD10,protein_coding,1006.442544,0.260048903,0.134583114,1.932255058,0.053328033,0.581127776
ABHD11,ABHD11,protein_coding,471.6797125,0.005792721,0.146171202,0.039629704,0.968388346,0.999779309
ABHD12,ABHD12,protein_coding,1655.379038,0.164466866,0.086422042,1.903066191,0.057031909,0.595975102
ABHD12B,ABHD12B,protein_coding,0,NA,NA,NA,NA,NA
ABHD13,ABHD13,protein_coding,1093.490266,0.190542527,0.100319301,1.899360581,0.057517083,0.595975102
ABHD14A,ABHD14A,protein_coding,99.83199313,0.019747102,0.300036327,0.065815705,0.947524553,0.999779309
ABHD14A-ACY1,ABHD14A-ACY1,protein_coding,16.36094339,1.574555634,1.388927896,1.133648218,0.256942139,0.910329208
ABHD14B,ABHD14B,protein_coding,297.6296869,0.867190479,0.324965878,2.668558575,0.007617749,0.217627338
ABHD15,ABHD15,protein_coding,31.98116397,-0.158507544,0.452413145,-0.350360165,0.726068418,0.997447198
ABHD16A,ABHD16A,protein_coding,456.1784424,-0.056468423,0.325320621,-0.173577754,0.862197316,0.998359305
ABHD16B,ABHD16B,protein_coding,0.352168851,0.018823735,4.080472857,0.004613126,0.996319271,NA
ABHD17A,ABHD17A,protein_coding,50.7275302,0.277755216,0.482561385,0.575585252,0.564895552,0.997447198
ABHD17B,ABHD17B,protein_coding,18.88765637,0.670833913,0.885277653,0.757766686,0.448590669,0.985797794
ABHD17C,ABHD17C,protein_coding,193.7200694,-0.044589226,0.353959882,-0.125972542,0.89975366,0.999486641
ABHD18,ABHD18,protein_coding,110.1844244,-0.138011938,0.314215441,-0.439227103,0.660496988,0.997447198
ABHD2,ABHD2,protein_coding,4263.312163,-0.109960487,0.076890151,-1.430098464,0.152688761,0.808316484
ABHD3,ABHD3,protein_coding,180.873093,0.073270929,0.305527911,0.239817464,0.810471768,0.997447198
ABHD4,ABHD4,protein_coding,779.3718626,0.200375591,0.126789233,1.580383335,0.114019106,0.739221358
ABHD5,ABHD5,protein_coding,38.96594633,1.336660117,0.701993441,1.904092033,0.056898199,0.595975102
ABHD6,ABHD6,protein_coding,53.37894328,0.844534432,2.641578271,0.319708275,0.749189486,0.997447198
ABHD8,ABHD8,protein_coding,24.10565536,0.51251239,0.549927937,0.931962818,0.351355741,0.957162488
ABI1,ABI1,protein_coding,749.9961191,0.055430992,0.181225104,0.305868178,0.759705016,0.997447198
ABI2,ABI2,protein_coding,4083.309051,-0.277078305,0.083358512,-3.323935346,0.000887568,0.049964841
ABI3,ABI3,protein_coding,0,NA,NA,NA,NA,NA
ABI3BP,ABI3BP,protein_coding,380.6766947,-0.321426013,0.254834293,-1.261313808,0.207195808,0.878569547
ABL1,ABL1,protein_coding,1176.437983,0.058886307,0.14261168,0.412913637,0.67966989,0.997447198
ABL2,ABL2,protein_coding,4027.852459,0.345986591,0.061738335,5.604080325,2.09E-08,9.65E-06
ABLIM1,ABLIM1,protein_coding,190.9414713,0.046567861,0.402545307,0.115683526,0.907903363,0.999486641
ABLIM2,ABLIM2,protein_coding,1.726469492,-0.911172365,2.011791219,-0.452915967,0.650609253,NA
ABLIM3,ABLIM3,protein_coding,2573.589823,0.048907098,0.072062043,0.678680421,0.497340374,0.995086483
ABO,ABO,protein_coding,0,NA,NA,NA,NA,NA
ABR,ABR,protein_coding,4824.609574,-0.16080275,0.149190511,-1.077834969,0.281107411,0.926661274
ABRA,ABRA,protein_coding,0,NA,NA,NA,NA,NA
ABRACL,ABRACL,protein_coding,897.2854176,0.421516787,0.111282205,3.787818429,0.000151976,0.014844245
ABT1,ABT1,protein_coding,0.159327005,0.981144094,4.080472857,0.240448626,0.809982485,NA
ABTB1,ABTB1,protein_coding,171.9020601,-0.094424515,0.363926592,-0.259460334,0.795280083,0.997447198
ABTB2,ABTB2,protein_coding,11.39440476,0.198703397,1.021512886,0.194518737,0.845769726,0.998359305
AC002310.11,AC002310.11,protein_coding,0.645353822,1.478479776,3.995997459,0.369990169,0.711389815,NA
AC002398.9,AC002398.9,protein_coding,28.94586848,0.09645079,1.706134967,0.056531747,0.954918206,0.999779309
AC002985.3,AC002985.3,protein_coding,17.14410279,0.597407752,0.69812652,0.855729922,0.392147186,0.968765516
AC003002.4,AC003002.4,protein_coding,0.164917529,0.981144094,4.080472857,0.240448626,0.809982485,NA
AC003002.6,AC003002.6,protein_coding,0.898903059,3.293165599,3.95640829,0.832362425,0.405204405,NA
AC003005.4,AC003005.4,protein_coding,110.7137165,-0.240031602,0.327720787,-0.732427151,0.463907892,0.98587318
AC003006.7,AC003006.7,protein_coding,2.269692592,2.482657457,2.330706778,1.065195108,0.286787647,NA
AC004076.7,AC004076.7,protein_coding,44.32479287,0.312780697,0.451044542,0.693458557,0.488021825,0.991529829
