"SYMBOL","GENENAME","GENEBIOTYPE","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG","A1BG","protein_coding",13.8912627332795,0.241425674174868,0.273329035729853,0.883278549350619,0.377085790576048,0.789955348247845
"A1CF","A1CF","protein_coding",2.00200085573517,-1.3305438270586,0.434732790945641,-3.06060148847841,0.00220892884262934,0.026093618091091
"A2M","A2M","protein_coding",0.0919415820481124,0,3.61147272648109,0,1,NA
"A2ML1","A2ML1","protein_coding",1.68838217275221,0,1.69133198950326,0,1,1
"A3GALT2","A3GALT2","protein_coding",0.595367780099527,0.393940396804938,1.34653127460437,0.292559411158633,0.769858942089392,NA
"A4GALT","A4GALT","protein_coding",14.6065275280311,1.28254780800821,1.63431534943654,0.784761526256478,0.432593401609281,0.827329075526954
"A4GNT","A4GNT","protein_coding",0.166864361905387,0,3.61147272648078,0,1,NA
"AAAS","AAAS","protein_coding",470.830799909596,-0.251949886765903,0.0570253235881138,-4.41821055827238,9.95214429438084e-06,0.000261204979539174
"AACS","AACS","protein_coding",180.952982189063,0.276961863515375,0.259487429393094,1.06734212197929,NA,NA
"AADAC","AADAC","protein_coding",122.490652507817,0.596608632081044,0.329339404676544,1.81153127627408,0.0700586521668012,0.322777069794353
"AADACL2","AADACL2","protein_coding",0.814545109103855,0,1.87331944205472,0,1,NA
"AADACL3","AADACL3","protein_coding",1.33315900362851,0,1.87348121932839,0,1,1
"AADACL4","AADACL4","protein_coding",0.899508018680028,0.00130703610723895,1.44277789661545,0.000905916364746837,0.999277183418057,NA
"AADAT","AADAT","protein_coding",35.6378096845428,-0.415039140961529,0.457137908502377,-0.907907949094034,0.363926857469634,0.780937140084531
"AAED1","AAED1","protein_coding",93.8011563067311,-0.0353318375601572,0.112725539116231,-0.31343241147622,0.753952163058873,0.972561551642997
"AAGAB","AAGAB","protein_coding",327.082151414913,-0.160454453022207,0.151005679142092,-1.06257230809991,0.287975950631396,0.711106423836227
"AAK1","AAK1","protein_coding",1093.08986223466,-0.0830113973966292,0.0541635642175693,-1.53260588729319,0.125372990044731,0.459054294303049
"AAMDC","AAMDC","protein_coding",13.936719296551,-0.422727720093033,0.4952931569056,-0.853489926519624,0.393387671559353,0.803770468565487
