Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
DRR456169_1	57.69813213417939	49.0	101.0	101	18.181818181818183	21.20967
DRR456169_2	51.12621660786616	49.0	101.0	101	18.181818181818183	21.20967
DRR456170_1	65.51728296351915	49.0	101.0	101	18.181818181818183	35.208267
DRR456170_2	59.11128992861761	49.0	101.0	101	9.090909090909092	35.208267
DRR456171_1	65.42239943418551	50.0	101.0	101	18.181818181818183	35.592922
DRR456171_2	58.35762355594241	49.0	101.0	101	18.181818181818183	35.592922
DRR456172_1	55.0601588566489	48.0	101.0	101	18.181818181818183	37.342171
DRR456172_2	49.31081347699743	47.0	101.0	101	9.090909090909092	37.342171
DRR456173_1	56.3884020614152	49.0	101.0	101	18.181818181818183	36.563364
DRR456173_2	50.24700395545769	48.0	101.0	101	18.181818181818183	36.563364
DRR456174_1	61.67451722423039	48.0	101.0	101	18.181818181818183	41.707209
DRR456174_2	55.66169904006259	48.0	101.0	101	9.090909090909092	41.707209
DRR456175_1	67.45132647512366	49.0	101.0	101	18.181818181818183	45.184718
DRR456175_2	58.713605146466215	48.0	101.0	101	27.27272727272727	45.184718
DRR456176_1	63.476083149807216	49.0	101.0	101	18.181818181818183	39.51724
DRR456176_2	55.80912626148591	48.0	101.0	101	27.27272727272727	39.51724
DRR456177_1	56.97467164285696	48.0	101.0	101	18.181818181818183	39.968419999999995
DRR456177_2	51.009961154772995	47.0	101.0	101	18.181818181818183	39.968419999999995
DRR456178_1	63.38742843792855	49.0	101.0	101	18.181818181818183	40.828948
DRR456178_2	55.80910487552962	49.0	101.0	101	27.27272727272727	40.828948
DRR456179_1	64.65972741115634	49.0	101.0	101	18.181818181818183	37.533325999999995
DRR456179_2	56.70370075437268	49.0	101.0	101	27.27272727272727	37.533325999999995
DRR456180_1	64.0105363278451	48.0	101.0	101	18.181818181818183	38.816945
DRR456180_2	56.59801379638222	48.0	101.0	101	18.181818181818183	38.816945
DRR456181_1	62.169827916021006	49.0	101.0	101	18.181818181818183	45.631876
DRR456181_2	57.60077219044744	49.0	101.0	101	9.090909090909092	45.631876
DRR456182_1	65.79245188019266	50.0	101.0	101	18.181818181818183	38.618645
DRR456182_2	58.81250661575939	49.0	101.0	101	18.181818181818183	38.618645
DRR456183_1	64.635204035874	49.0	101.0	101	18.181818181818183	36.118054
DRR456183_2	54.544738322905154	49.0	101.0	101	27.27272727272727	36.118054
DRR456184_1	65.65871030873235	49.0	101.0	101	18.181818181818183	34.841045
DRR456184_2	53.569412599191494	48.0	101.0	101	27.27272727272727	34.841045
DRR456185_1	64.70082202933145	49.0	101.0	101	18.181818181818183	34.130935
DRR456185_2	54.769971070204726	48.0	101.0	101	27.27272727272727	34.130935
DRR456186_1	65.3239644053974	50.0	101.0	101	18.181818181818183	33.036457
DRR456186_2	57.465358295887675	50.0	101.0	101	27.27272727272727	33.036457
