Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
DRR456169_1	(1.0, 30.0700019836877)	(2.0, 12.605466176604176)	(3.0, 7.016086266144157)	(4.0, 4.505103842348069)	(5.0, 3.1649266115732653)	(6.0, 2.4300520043142084)	(7.0, 1.8533871243629294)	(8.0, 1.6005619019516069)	(9.0, 1.3009427310210757)	('>10', 13.133948583018306)	('>50', 3.4783610365187787)	('>100', 5.581077581754128)	('>500', 1.5054802374806302)	('>1k', 3.5652300786047975)	('>5k', 1.8785275152888112)	('>10k+', 6.310846325327425)
DRR456169_2	(1.0, 37.31066599368971)	(2.0, 12.420118255544436)	(3.0, 6.585305868898941)	(4.0, 4.040239353213063)	(5.0, 2.8355163310334652)	(6.0, 2.184897555147609)	(7.0, 1.6865144841991462)	(8.0, 1.3034680917529562)	(9.0, 1.0385538557992169)	('>10', 11.240783310933224)	('>50', 3.028191566103285)	('>100', 4.202854473541819)	('>500', 1.2366900937084921)	('>1k', 3.1268669295705736)	('>5k', 1.601999330837937)	('>10k+', 6.157334506026217)
DRR456170_1	(1.0, 22.26169624076618)	(2.0, 11.413304385107264)	(3.0, 7.002735138139311)	(4.0, 4.910815991167304)	(5.0, 3.5222344341406635)	(6.0, 2.737669273150302)	(7.0, 2.2960185159135933)	(8.0, 1.856136723824937)	(9.0, 1.6307029459973366)	('>10', 16.874687658615557)	('>50', 4.472763022979644)	('>100', 7.177447579289298)	('>500', 1.8411017254884643)	('>1k', 3.541046386788501)	('>5k', 1.7656742266366277)	('>10k+', 6.6959657519951)
DRR456170_2	(1.0, 28.982805248277344)	(2.0, 11.489961709838283)	(3.0, 6.890113106164559)	(4.0, 4.792080711299301)	(5.0, 3.3952602068155744)	(6.0, 2.5678180930691132)	(7.0, 2.039390825642264)	(8.0, 1.6928333056201907)	(9.0, 1.4318687795820866)	('>10', 14.358684502071561)	('>50', 3.959389746935897)	('>100', 5.894833308171514)	('>500', 1.3925492197746703)	('>1k', 3.0073093472891093)	('>5k', 1.5020658956530777)	('>10k+', 6.603035993795407)
DRR456171_1	(1.0, 22.62295188990774)	(2.0, 11.50531189528242)	(3.0, 6.812099049822175)	(4.0, 4.588345089643276)	(5.0, 3.3569000935536013)	(6.0, 2.6967668616554574)	(7.0, 2.1139958926049265)	(8.0, 1.7322810667145452)	(9.0, 1.5035108372274584)	('>10', 15.633376955811611)	('>50', 4.147644558786608)	('>100', 7.768204329552312)	('>500', 2.3189670648005425)	('>1k', 3.808468590717131)	('>5k', 1.8224865031857003)	('>10k+', 7.568689320734541)
DRR456171_2	(1.0, 30.184794564429346)	(2.0, 11.351689898764926)	(3.0, 6.601000721653628)	(4.0, 4.495151054453562)	(5.0, 3.215228822207726)	(6.0, 2.4021386303693206)	(7.0, 1.9307578032728816)	(8.0, 1.5344049269708402)	(9.0, 1.2433762469125216)	('>10', 12.818396912024296)	('>50', 3.9028097132789754)	('>100', 6.469521928707291)	('>500', 1.5162261197265758)	('>1k', 3.18235680148237)	('>5k', 1.522791517666482)	('>10k+', 7.629354338079207)
DRR456172_1	(1.0, 31.860196099394024)	(2.0, 14.072069092773587)	(3.0, 7.351452352434176)	(4.0, 4.581744097244077)	(5.0, 3.1987228999439585)	(6.0, 2.4330199179319423)	(7.0, 1.9033441570507033)	(8.0, 1.548921805571069)	(9.0, 1.2970454394987179)	('>10', 12.543345498075146)	('>50', 3.1090166615209505)	('>100', 4.901847240518977)	('>500', 1.2365763431359638)	('>1k', 2.739036515992387)	('>5k', 1.370057924366324)	('>10k+', 5.853603954547926)
DRR456172_2	(1.0, 38.227337265738605)	(2.0, 13.723414440135953)	(3.0, 7.1851511082138835)	(4.0, 4.33824354676828)	(5.0, 2.9426328290717727)	(6.0, 2.173533605814178)	(7.0, 1.6433153060647236)	(8.0, 1.3191243956157013)	(9.0, 1.1436691719027878)	('>10', 10.341138022092277)	('>50', 2.6755576686584575)	('>100', 3.7768355919097654)	('>500', 1.013052285522414)	('>1k', 2.417421718694748)	('>5k', 1.5374989421294192)	('>10k+', 5.542074101666943)
DRR456173_1	(1.0, 31.086300557380785)	(2.0, 13.112302569180695)	(3.0, 7.051098798765248)	(4.0, 4.446692442625934)	(5.0, 3.2022013685040074)	(6.0, 2.4683987649755985)	(7.0, 1.922672596396136)	(8.0, 1.6334381954205774)	(9.0, 1.3563653771717465)	('>10', 13.136826649473216)	('>50', 3.243021186426037)	('>100', 5.386341782017412)	('>500', 1.4083050367679686)	('>1k', 2.9547566159796212)	('>5k', 1.4852022480547133)	('>10k+', 6.106075810860341)
DRR456173_2	(1.0, 37.893743755285406)	(2.0, 12.68387842370798)	(3.0, 6.783331165250875)	(4.0, 4.308417019566654)	(5.0, 3.002728146952404)	(6.0, 2.2013221298613566)	(7.0, 1.6937051201057536)	(8.0, 1.3479868148859315)	(9.0, 1.0803733124319426)	('>10', 10.861160477971978)	('>50', 2.879838032516712)	('>100', 4.292350197354211)	('>500', 1.1064766892257711)	('>1k', 2.557769499359515)	('>5k', 1.5356510301339927)	('>10k+', 5.771268185389502)
DRR456174_1	(1.0, 25.857471319462043)	(2.0, 12.423499103238745)	(3.0, 6.984301313945456)	(4.0, 4.641286481008285)	(5.0, 3.375772180081303)	(6.0, 2.7045462711885393)	(7.0, 2.161239765366018)	(8.0, 1.7835075673768277)	(9.0, 1.454696066852513)	('>10', 15.168304544444755)	('>50', 3.8577506589724884)	('>100', 6.227246825312725)	('>500', 1.709089140463052)	('>1k', 3.1459124772390963)	('>5k', 1.4734733515273117)	('>10k+', 7.031902933520856)
DRR456174_2	(1.0, 32.19919581886948)	(2.0, 12.353950212044316)	(3.0, 7.067025918509548)	(4.0, 4.537810541975251)	(5.0, 3.1837145377658067)	(6.0, 2.5061378086460877)	(7.0, 1.958824538805274)	(8.0, 1.5248130618152171)	(9.0, 1.2889608311195746)	('>10', 12.833359432230178)	('>50', 3.3165264588692573)	('>100', 5.178914544505568)	('>500', 1.2281444278938642)	('>1k', 2.6950216347888634)	('>5k', 1.511089288166167)	('>10k+', 6.616510943995632)
DRR456175_1	(1.0, 20.09070613184252)	(2.0, 11.68720360142204)	(3.0, 7.215785999307076)	(4.0, 4.853364892123206)	(5.0, 3.6167304520918804)	(6.0, 2.755988451501784)	(7.0, 2.271951074625778)	(8.0, 1.8829086971010478)	(9.0, 1.6010329624162811)	('>10', 17.331998882179125)	('>50', 4.206224277626671)	('>100', 6.796643292513322)	('>500', 1.8968904747547946)	('>1k', 3.276940813590048)	('>5k', 1.6220676662309572)	('>10k+', 8.893562330673504)
DRR456175_2	(1.0, 29.57865501774656)	(2.0, 11.139214746630213)	(3.0, 6.955938551982448)	(4.0, 4.79203142426198)	(5.0, 3.436484844395313)	(6.0, 2.547823683578938)	(7.0, 2.032895755058096)	(8.0, 1.6589827861487407)	(9.0, 1.333003033407472)	('>10', 13.810905956028186)	('>50', 3.448980654050181)	('>100', 5.238536336981802)	('>500', 1.2150038171341975)	('>1k', 2.736488782867403)	('>5k', 1.6754548093420787)	('>10k+', 8.3995998003865)
DRR456176_1	(1.0, 24.11083865502426)	(2.0, 12.242649871245995)	(3.0, 7.09436593789283)	(4.0, 4.673450385439375)	(5.0, 3.2839983144785645)	(6.0, 2.6604878251211614)	(7.0, 2.127811027014561)	(8.0, 1.790445961551819)	(9.0, 1.5180491146754147)	('>10', 15.478614660669516)	('>50', 3.8393098398217007)	('>100', 6.421072796415611)	('>500', 1.7648443776466582)	('>1k', 3.151824574788261)	('>5k', 1.8032812334759822)	('>10k+', 8.03895542473843)
DRR456176_2	(1.0, 32.461612302702406)	(2.0, 11.812771726278418)	(3.0, 6.900325067936889)	(4.0, 4.396776970157443)	(5.0, 3.1766848437041655)	(6.0, 2.42368617604702)	(7.0, 1.9342809013404658)	(8.0, 1.536430775591909)	(9.0, 1.224531576497314)	('>10', 12.421110043106387)	('>50', 3.2891379660294144)	('>100', 4.905993432621935)	('>500', 1.158338234036417)	('>1k', 2.7920177627945244)	('>5k', 1.6031691851128707)	('>10k+', 7.963133036042451)
