Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
DRR456169_1	0.37111845681710276	3.876594968238544
DRR456169_2	0.7045701323971565	3.3761675688494917
DRR456170_1	0.3451064490052862	3.291289514476813
DRR456170_2	0.6454620444681359	2.882970638685511
DRR456171_1	0.42508170585151733	3.8472733427168473
DRR456171_2	0.9643068922523417	3.638186828268833
DRR456172_1	0.31612784377212566	2.739034642629642
DRR456172_2	0.7134935995017536	2.382820752440987
DRR456173_1	0.29757929275872974	2.913831998609318
DRR456173_2	0.7574685961609002	2.3864543754781424
DRR456174_1	0.31806012241193127	3.083800213051897
DRR456174_2	0.5406595296271203	2.6850010510173434
DRR456175_1	0.38561931491970364	3.8464597698717515
DRR456175_2	1.1360478115631927	3.4045603648561005
DRR456176_1	0.3822382332369366	3.5544309268562277
DRR456176_2	1.1755704598802952	3.3253916518461306
DRR456177_1	0.3032469134381594	3.4667369888526993
DRR456177_2	0.7018340980203871	2.958443190899215
DRR456178_1	0.36903718410770714	3.0681564462547506
DRR456178_2	1.126017256187938	2.6636027947621868
DRR456179_1	0.4573908531314278	3.359902077423141
DRR456179_2	1.047258641560303	3.159307011587516
DRR456180_1	0.4311776725345078	2.9025648463576923
DRR456180_2	0.9395793512343643	2.8354704369444836
DRR456181_1	0.3451797598678608	3.1335420003332755
DRR456181_2	0.29145196660334544	2.940448909003873
DRR456182_1	0.4089941529538388	3.0632043149105828
DRR456182_2	0.9446680482963605	3.0859808778894235
DRR456183_1	0.421603555939088	3.9441272223581043
DRR456183_2	1.5851158536946648	3.3266714757112887
DRR456184_1	0.4771211655677951	2.7409740436889884
DRR456184_2	1.4935114604053925	2.2614849812914626
DRR456185_1	0.4257222956241896	4.391242138546747
DRR456185_2	1.4566228554828633	3.684027407980473
DRR456186_1	0.4422841105509589	4.472216860300728
DRR456186_2	1.0839328200357563	3.968479428650596
