Sample	Unique Reads	Duplicate Reads
DRR456169_1	8972087.0	12237583.0
DRR456169_2	10365969.0	10843701.0
DRR456170_1	12140768.0	23067499.0
DRR456170_2	14396207.0	20812060.0
DRR456171_1	12307179.0	23285743.0
DRR456171_2	14821739.0	20771183.0
DRR456172_1	16781513.0	20560658.0
DRR456172_2	18928443.0	18413728.0
DRR456173_1	15945868.0	20617496.0
DRR456173_2	18191370.0	18371994.0
DRR456174_1	15984490.0	25722719.0
DRR456174_2	18492268.0	23214941.0
DRR456175_1	14707027.0	30477691.0
DRR456175_2	18655142.0	26529576.0
DRR456176_1	14433244.0	25083996.0
DRR456176_2	17463014.0	22054226.0
DRR456177_1	17196544.0	22771876.0
DRR456177_2	19580545.0	20387875.0
DRR456178_1	14948528.0	25880420.0
DRR456178_2	18042678.0	22786270.0
DRR456179_1	13264380.0	24268946.0
DRR456179_2	16250542.0	21282784.0
DRR456180_1	13970011.0	24846934.0
DRR456180_2	16847326.0	21969619.0
DRR456181_1	17262618.0	28369258.0
DRR456181_2	19347564.0	26284312.0
DRR456182_1	13210492.0	25408153.0
DRR456182_2	15906052.0	22712593.0
DRR456183_1	12773077.0	23344977.0
DRR456183_2	16417556.0	19700498.0
DRR456184_1	11964865.0	22876180.0
DRR456184_2	16176902.0	18664143.0
DRR456185_1	12047940.0	22082995.0
DRR456185_2	15437432.0	18693503.0
DRR456186_1	11455734.0	21580723.0
DRR456186_2	14051939.0	18984518.0
