Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
DRR456171_1 - illumina_universal_adapter	(1, 1.1238189435528783e-05)	(2, 1.1238189435528783e-05)	(3, 2.528592622993976e-05)	(4, 6.46195892542905e-05)	(5, 8.709596812534807e-05)	(6, 0.0003483838725013923)	(7, 0.00035119341986027445)	(8, 0.00037366979873133203)	(9, 0.0003961461776023896)	(10, 0.00043267029326785815)	(12, 0.0004663848615744445)	(14, 0.0005450521876231459)	(16, 0.0006237195136718475)	(18, 0.0006953629713233434)	(20, 0.0007965066762431025)	(22, 0.000948222233622741)	(24, 0.0010676279963752343)	(26, 0.0012418199326259304)	(28, 0.0015410367263468843)	(30, 0.0019006587882838054)	(32, 0.002358615007781603)	(34, 0.0028587144376626345)	(36, 0.0035512678616270955)	(38, 0.004492466226852631)	(40, 0.005839644185436644)	(42, 0.0076447783635184546)	(44, 0.00971120044597631)	(46, 0.012045934301207414)	(48, 0.015323271295343496)	(50, 0.02005033472666279)	(52, 0.025798668622935762)	(54, 0.03214262655929176)	(56, 0.03904287487270643)	(58, 0.04800392617386119)	(60, 0.060114480064322906)	(62, 0.07504722427678177)	(64, 0.09166991122560827)	(66, 0.11100100182839723)	(68, 0.1332891410264097)	(70, 0.16116406514755938)	(72, 0.19507670654294695)	(74, 0.236417791155219)	(76, 0.28611025529176837)	(78, 0.34455305467755637)	(80, 0.4162414650867945)	(82, 0.5054783082996108)	(84, 0.62124992154339)	(86, 0.7547273022428448)	(88, 0.9153744106763699)	(90, 1.0533892103604194)
DRR456171_1 - polya	(1, 0.0619055665056103)	(2, 0.07490253258779934)	(3, 0.08635705716996205)	(4, 0.10082341652084648)	(5, 0.11354785650922394)	(6, 0.12399094404218906)	(7, 0.13349002366256976)	(8, 0.14647856110268215)	(9, 0.16371232460206556)	(10, 0.1826571024430082)	(12, 0.19642528927521039)	(14, 0.21038031100677826)	(16, 0.22127854521188228)	(18, 0.23112038961004663)	(20, 0.24044527729417664)	(22, 0.2507001251540967)	(24, 0.2608608531774941)	(26, 0.2739041767911047)	(28, 0.28568179931953885)	(30, 0.297841520288781)	(32, 0.30896451828259563)	(34, 0.3196997987408845)	(36, 0.32908087737219216)	(38, 0.3388370305759106)	(40, 0.3490539495464857)	(42, 0.3591851773226149)	(44, 0.3690579267417269)	(46, 0.3791104871918074)	(48, 0.38782148877802164)	(50, 0.39576829348261994)	(52, 0.4029509013056023)	(54, 0.41103256428342694)	(56, 0.41958623121754374)	(58, 0.42742767789618397)	(60, 0.43405399534210765)	(62, 0.4420443480307686)	(64, 0.44950510104228025)	(66, 0.4565668983288307)	(68, 0.46390543603023093)	(70, 0.4715431905253522)	(72, 0.48045086042668816)	(74, 0.488348498052506)	(76, 0.49705528531768195)	(78, 0.5056145713465166)	(80, 0.512651082706837)	(82, 0.5193349958736178)	(84, 0.5268126061692828)	(86, 0.5365280209362974)	(88, 0.5443750867096554)	(90, 0.5507724260458301)
DRR456171_2 - illumina_universal_adapter	(1, 1.1238189435528783e-05)	(2, 1.1238189435528783e-05)	(3, 1.6857284153293175e-05)	(4, 5.900049453652611e-05)	(5, 7.866732604870148e-05)	(6, 9.833415756087685e-05)	(7, 0.00010114370491975904)	(8, 0.0001236200837908166)	(9, 0.000143286915302992)	(10, 0.00018262057832734273)	(12, 0.00021071605191616468)	(14, 0.00028516905692654285)	(16, 0.0003497886461808334)	(18, 0.00043969416166506363)	(20, 0.0005506712823409104)	(22, 0.0007066011607588722)	(24, 0.0008484833023824231)	(26, 0.001047961164863059)	(28, 0.0013780829795317171)	(30, 0.0017686100624163422)	(32, 0.002268709492297373)	(34, 0.0028081425852027548)	(36, 0.003545648766909331)	(38, 0.0045065139636470426)	(40, 0.005897239906293729)	(42, 0.007733279105323244)	(44, 0.009846058719202654)	(46, 0.012210292821702023)	(48, 0.015518534836785808)	(50, 0.020300384441603307)	(52, 0.026147052495437154)	(54, 0.03256405866312409)	(56, 0.0394895929027687)	(58, 0.048518073340536635)	(60, 0.06073398525695643)	(62, 0.07575803975857898)	(64, 0.09246220358081306)	(66, 0.11186634241493296)	(68, 0.13418257708653425)	(70, 0.16216988310203923)	(72, 0.19615416795507826)	(74, 0.23781413619258346)	(76, 0.28776648345982947)	(78, 0.3464228084448925)	(80, 0.4183458160585972)	(82, 0.5077793275865353)	(84, 0.6237321566349625)	(86, 0.7576084930593785)	(88, 0.9183019590243251)	(90, 1.0563673305608345)
DRR456171_2 - polya	(1, 0.024572301200783683)	(2, 0.029949774845684205)	(3, 0.047717352343255214)	(4, 0.07599825605776339)	(5, 0.10269457506186201)	(6, 0.12200459405945935)	(7, 0.14736918761544782)	(8, 0.18008636660963098)	(9, 0.21711339125233944)	(10, 0.26775267284883214)	(12, 0.33796466612097764)	(14, 0.4192771810080667)	(16, 0.5162360651367708)	(18, 0.6314036256983903)	(20, 0.7710887012872953)	(22, 0.9493825766819595)	(24, 1.2268590929398828)	(26, 1.4595458052025063)	(28, 1.6649799080839724)	(30, 1.8490923560588817)	(32, 2.02260016752769)	(34, 2.1865161843132745)	(36, 2.339330274710236)	(38, 2.4836539129886552)	(40, 2.6244782600315872)	(42, 2.758360215550721)	(44, 2.88592068951237)	(46, 3.0047223995827035)	(48, 3.121548997859743)	(50, 3.240928069912327)	(52, 3.3548510009939614)	(54, 3.4632545762890725)	(56, 3.5664956083122368)	(58, 3.667463716522066)	(60, 3.7641725509358293)	(62, 3.8561121787078902)	(64, 3.9481936886215747)	(66, 4.038080942047973)	(68, 4.125679819150561)	(70, 4.207101906384645)	(72, 4.287043362160601)	(74, 4.36300368932902)	(76, 4.434763743195909)	(78, 4.502361452650614)	(80, 4.569650111895843)	(82, 4.635098517621003)	(84, 4.700513208777858)	(86, 4.766217283312677)	(88, 4.829642814939442)	(90, 4.874500048071355)
DRR456171_2 - polyg	(1, 5.202360177116113)	(2, 5.305133419504024)	(3, 5.305920092764511)	(4, 5.3064370494785456)	(5, 5.307108531297318)	(6, 5.308589162755449)	(7, 5.310623275043279)	(8, 5.315093264891261)	(9, 5.320403309399548)	(10, 5.330703110017211)	(12, 5.345085182947329)	(14, 5.351104638163735)	(16, 5.352901343699739)	(18, 5.3539254237120515)	(20, 5.354599715078184)	(22, 5.355108243150141)	(24, 5.35551141319614)	(26, 5.355925821431575)	(28, 5.356371134687959)	(30, 5.356934448933414)	(32, 5.357642454867852)	(34, 5.358264769607844)	(36, 5.358920798916143)	(38, 5.359565590035007)	(40, 5.3601359281488605)	(42, 5.360692218525919)	(44, 5.361304699850155)	(46, 5.361890490474483)	(48, 5.3624819001935276)	(50, 5.3631056197071985)	(52, 5.363786934941729)	(54, 5.36453427453919)	(56, 5.365322352573357)	(58, 5.366144145175831)	(60, 5.366906937283767)	(62, 5.367686586675857)	(64, 5.368467640841626)	(66, 5.369257123649472)	(68, 5.370142131067519)	(70, 5.371021519390849)	(72, 5.371982384587588)	(74, 5.373010678920938)	(76, 5.374267951364038)	(78, 5.375417056233821)	(80, 5.376719281434664)	(82, 5.378268746803086)	(84, 5.379705830277155)	(86, 5.381156961488017)	(88, 5.382619330888316)	(90, 5.383733316416112)
DRR456172_1 - illumina_universal_adapter	(1, 1.0711749994396416e-05)	(2, 1.6067624991594625e-05)	(3, 2.4101437487391937e-05)	(4, 6.42704999663785e-05)	(5, 7.766018745937402e-05)	(6, 0.00029725106234450055)	(7, 0.0003052848748402979)	(8, 0.00031331868733609514)	(9, 0.0003320642498262889)	(10, 0.0003655384685587777)	(12, 0.00040838546853636334)	(14, 0.0004673000935055436)	(16, 0.0005489771872128164)	(18, 0.0006293153121707895)	(20, 0.0007350938433654541)	(22, 0.0008850583432870038)	(24, 0.0010417176869550516)	(26, 0.001246579905597883)	(28, 0.0015746272491762732)	(30, 0.0019107084052504607)	(32, 0.0023632798425137092)	(34, 0.0028734269359968383)	(36, 0.003505420185666227)	(38, 0.0044159189351899225)	(40, 0.005730786247002082)	(42, 0.007506258808573288)	(44, 0.00950266121377892)	(46, 0.011691875118883688)	(48, 0.014894688367208215)	(50, 0.019498062927300074)	(52, 0.025357390174234915)	(54, 0.031844693764591245)	(56, 0.03874038282348394)	(58, 0.047509289162646705)	(60, 0.05941539928141831)	(62, 0.07421234292992768)	(64, 0.09128821138974486)	(66, 0.11054927684841892)	(68, 0.13394775574242856)	(70, 0.16270344860238578)	(72, 0.1979518009276965)	(74, 0.24140535374871483)	(76, 0.2926302811906678)	(78, 0.35372474728370773)	(80, 0.4273225035577069)	(82, 0.5189762534160106)	(84, 0.6367144534794188)	(86, 0.7754891915630722)	(88, 0.9414757915387404)	(90, 1.0853948475572028)
DRR456172_1 - polya	(1, 0.053545360284489085)	(2, 0.06939071646369999)	(3, 0.08244298383187201)	(4, 0.1007118734473151)	(5, 0.11407478156532463)	(6, 0.12598892549659205)	(7, 0.13727375411568868)	(8, 0.15309233091991356)	(9, 0.17536205915826372)	(10, 0.1993510232707145)	(12, 0.2157333059183945)	(14, 0.23189331975369082)	(16, 0.24492148568437544)	(18, 0.2565678358657829)	(20, 0.26828782932840195)	(22, 0.2815074677902364)	(24, 0.294763258408302)	(26, 0.3123144607741205)	(28, 0.3289899775778971)	(30, 0.3468571765685503)	(32, 0.3609899917174071)	(34, 0.37551244677231005)	(36, 0.3882942424531236)	(38, 0.40058597557169345)	(40, 0.41433316772075196)	(42, 0.42763850018254157)	(44, 0.44043904142584533)	(46, 0.45381801716884645)	(48, 0.4651644383504109)	(50, 0.47507280709522753)	(52, 0.48466384024646025)	(54, 0.49576924705315073)	(56, 0.5069951610472782)	(58, 0.5168312254796327)	(60, 0.5257340286937253)	(62, 0.5355339409698487)	(64, 0.5452374474960227)	(66, 0.5548954290847203)	(68, 0.5646377657046239)	(70, 0.5745568461994349)	(72, 0.5854440010999895)	(74, 0.595351030876057)	(76, 0.60767489924461)	(78, 0.6203763568004657)	(80, 0.6304079106702178)	(82, 0.6394914746654661)	(84, 0.6500238028474563)	(86, 0.6635125740279)	(88, 0.6744586435534239)	(90, 0.6832971762675502)
DRR456172_2 - illumina_universal_adapter	(1, 1.0711749994396416e-05)	(2, 1.6067624991594625e-05)	(3, 2.9457312484590144e-05)	(4, 4.8202874974783874e-05)	(5, 6.42704999663785e-05)	(6, 8.033812495797312e-05)	(7, 8.837193745377043e-05)	(8, 9.372781245096864e-05)	(9, 0.00010711749994396415)	(10, 0.00014059171867645295)	(12, 0.0001861166561526377)	(14, 0.00024904818736971667)	(16, 0.00034411496856998487)	(18, 0.00043382587477305487)	(20, 0.0005396044059677195)	(22, 0.0007042975621315644)	(24, 0.0008850583432870038)	(26, 0.0011140219994172271)	(28, 0.001467509749232309)	(30, 0.0018343871865403863)	(32, 0.0023217718112854228)	(34, 0.0028787828109940366)	(36, 0.00355630099813961)	(38, 0.004501612935145094)	(40, 0.005821836121954452)	(42, 0.0076468505272497414)	(44, 0.009699489619925955)	(46, 0.011959668868743598)	(48, 0.015203990148296412)	(50, 0.019890380770844845)	(52, 0.025827368205239058)	(54, 0.03239233198305476)	(56, 0.03935898638566033)	(58, 0.04821224775602897)	(60, 0.060208068781003654)	(62, 0.07516301074193035)	(64, 0.09238348782667188)	(66, 0.11183870375399438)	(68, 0.13524253852300125)	(70, 0.16400492622670493)	(72, 0.19926131236451144)	(74, 0.24271888209177767)	(76, 0.29384874275253037)	(78, 0.35482404062688266)	(80, 0.42844723730711853)	(82, 0.519868006603044)	(84, 0.6372594137603838)	(86, 0.775657901625484)	(88, 0.9410433046327167)	(90, 1.084318316682766)
DRR456172_2 - polya	(1, 0.03239233198305476)	(2, 0.04016102866649076)	(3, 0.06177734015518273)	(4, 0.09407326638828792)	(5, 0.121934528123713)	(6, 0.143403553049982)	(7, 0.16941168203637652)	(8, 0.20504431839273618)	(9, 0.24452515093458277)	(10, 0.297775938094226)	(12, 0.37016996146260484)	(14, 0.4532623451378871)	(16, 0.5536528660853703)	(18, 0.6695740855559791)	(20, 0.8102126681386574)	(22, 0.9871145413586156)	(24, 1.25528320246833)	(26, 1.475538205853109)	(28, 1.6648148282540938)	(30, 1.8383371443508199)	(32, 1.9988179048293686)	(34, 2.1536241157483853)	(36, 2.294912098174474)	(38, 2.4289817000730887)	(40, 2.558963430380092)	(42, 2.6811362949411803)	(44, 2.7976600503489744)	(46, 2.9069332899793103)	(48, 3.0136102692047553)	(50, 3.1219756880230665)	(52, 3.2247174380943195)	(54, 3.323055319949127)	(56, 3.4168139286813295)	(58, 3.507525044540126)	(60, 3.59300347052666)	(62, 3.675072882077478)	(64, 3.7582281972839766)	(66, 3.840942991771957)	(68, 3.9194092384184094)	(70, 3.993393956660956)	(72, 4.065619269966923)	(74, 4.132652062463107)	(76, 4.196452584398481)	(78, 4.25672760161695)	(80, 4.316068018648407)	(82, 4.373228594556005)	(84, 4.430480220338555)	(86, 4.490004076088667)	(88, 4.546334491371699)	(90, 4.586559790538156)
DRR456172_2 - polyg	(1, 4.20993198279768)	(2, 4.283310148196794)	(3, 4.284108173571376)	(4, 4.284584846446126)	(5, 4.285173992695818)	(6, 4.286196964820284)	(7, 4.288028674069325)	(8, 4.2921339522546775)	(9, 4.296268687752514)	(10, 4.304506023498205)	(12, 4.315887257867251)	(14, 4.32059373302104)	(16, 4.321707755020457)	(18, 4.322359832801366)	(20, 4.322831149801119)	(22, 4.323230162488411)	(24, 4.323532769425752)	(26, 4.323855460894333)	(28, 4.324178152362915)	(30, 4.324538334956475)	(32, 4.324936008675017)	(34, 4.325388580112281)	(36, 4.325853202268288)	(38, 4.3262910450493095)	(40, 4.326755667205316)	(42, 4.327241712861312)	(44, 4.327734453361053)	(46, 4.328192380673315)	(48, 4.32873600198553)	(50, 4.329299707828985)	(52, 4.329819227703713)	(54, 4.330407034984656)	(56, 4.331036350296827)	(58, 4.3317004787964795)	(60, 4.332360590389884)	(62, 4.333083633514505)	(64, 4.333830778076615)	(66, 4.334529719763749)	(68, 4.335337117919577)	(70, 4.336182007200385)	(72, 4.337117946356145)	(74, 4.338167697855596)	(76, 4.3392201272925455)	(78, 4.340291302291985)	(80, 4.3415941188850535)	(82, 4.343087069040522)	(84, 4.344497003133535)	(86, 4.345769023445369)	(88, 4.34712539878841)	(90, 4.348113557725393)
DRR456173_1 - illumina_universal_adapter	(1, 8.204934316218825e-06)	(2, 8.204934316218825e-06)	(3, 2.4614802948656476e-05)	(4, 6.290449642434432e-05)	(5, 7.384440884596943e-05)	(6, 0.0002953776353838777)	(7, 0.00030084759159469026)	(8, 0.0003254623945433467)	(9, 0.00034734221938659694)	(10, 0.00037742697854606594)	(12, 0.0004157166720217538)	(14, 0.0004827236356042075)	(16, 0.0005606705116082864)	(18, 0.0006386173876123652)	(20, 0.0007316066431961786)	(22, 0.0008615181032029767)	(24, 0.0009968995194205871)	(26, 0.001193817943009839)	(28, 0.0014891955783937166)	(30, 0.0018406402649384231)	(32, 0.0023137914771737085)	(34, 0.002843009740569823)	(36, 0.0034857295953402974)	(38, 0.004436134486968979)	(40, 0.005727044152720739)	(42, 0.007462387760601021)	(44, 0.00942746952933543)	(46, 0.011363834027963073)	(48, 0.014328550294223474)	(50, 0.018860409014881674)	(52, 0.02412524186778875)	(54, 0.030164073524525804)	(56, 0.036845625036033336)	(58, 0.0448905631330859)	(60, 0.05619012517557192)	(62, 0.07014535095840743)	(64, 0.08580583558996377)	(66, 0.10397703012228306)	(68, 0.1254876329213034)	(70, 0.1519321362224767)	(72, 0.18386574058120037)	(74, 0.22369249175212652)	(76, 0.2706575357781631)	(78, 0.32656322323077275)	(80, 0.39367685095933735)	(82, 0.47796887616795874)	(84, 0.5852743746445213)	(86, 0.7109903782376261)	(88, 0.8608466660780993)	(90, 0.9915088775748314)
DRR456173_1 - polya	(1, 0.04224720679421073)	(2, 0.056786350402550485)	(3, 0.06923597073835985)	(4, 0.08611899058303278)	(5, 0.09874091453948275)	(6, 0.10984766062553762)	(7, 0.12044023082777613)	(8, 0.13506415875738348)	(9, 0.15604964576016583)	(10, 0.178440911509127)	(12, 0.1942244701554266)	(14, 0.21008871065583573)	(16, 0.22278174404302625)	(18, 0.23358490755938105)	(20, 0.24457678456500884)	(22, 0.25670094250627484)	(24, 0.26978097529538037)	(26, 0.2863836598842492)	(28, 0.3020605543844379)	(30, 0.31854836989287966)	(32, 0.331983949835688)	(34, 0.3461511364216925)	(36, 0.3581782026402166)	(38, 0.36945178239070126)	(40, 0.3818467031644025)	(42, 0.3945356340844349)	(44, 0.4069838869311916)	(46, 0.41966324542785505)	(48, 0.43044726409747197)	(50, 0.439798154239856)	(52, 0.44861709114073856)	(54, 0.4587474500431634)	(56, 0.46943574447909114)	(58, 0.478805779468213)	(60, 0.4874195930111901)	(62, 0.49706996325611613)	(64, 0.5062239349749109)	(66, 0.5154955107522383)	(68, 0.5243773521495451)	(70, 0.5336817476641373)	(72, 0.5441649187421596)	(74, 0.5538740910163518)	(76, 0.5657562033952893)	(78, 0.577669768022439)	(80, 0.5868880117267109)	(82, 0.5954389207732637)	(84, 0.6056718413546411)	(86, 0.6184893162456278)	(88, 0.6287441166518486)	(90, 0.6370693900047053)
DRR456173_2 - illumina_universal_adapter	(1, 8.204934316218825e-06)	(2, 8.204934316218825e-06)	(3, 1.640986863243765e-05)	(4, 3.555471537028157e-05)	(5, 4.37596496865004e-05)	(6, 5.743454021353178e-05)	(7, 6.290449642434432e-05)	(8, 8.478432126759452e-05)	(9, 9.84592117946259e-05)	(10, 0.00012170652569057925)	(12, 0.0001640986863243765)	(14, 0.00023247313895953336)	(16, 0.00031178750401631534)	(18, 0.00039657182528390986)	(20, 0.0005018684823420514)	(22, 0.0006468223219285841)	(24, 0.0008095535192002574)	(26, 0.0010256167895273532)	(28, 0.0013702240308085438)	(30, 0.0017490184984073128)	(32, 0.002254989447907474)	(34, 0.0028183949376211666)	(36, 0.0035062419311308445)	(38, 0.004488099070971698)	(40, 0.005839178255042397)	(42, 0.007642896315557835)	(44, 0.009623020463871979)	(46, 0.011618186991765856)	(48, 0.014622560440554648)	(50, 0.019261083307323693)	(52, 0.02463531528444702)	(54, 0.03075482879529356)	(56, 0.03756629176680789)	(58, 0.0456768693383902)	(60, 0.05705848072403841)	(62, 0.07113267805445911)	(64, 0.08689845934307358)	(66, 0.10507375634255098)	(68, 0.12659393156494025)	(70, 0.15309039945011627)	(72, 0.18509648072863316)	(74, 0.224947846702508)	(76, 0.27202775980897165)	(78, 0.32792660981631777)	(80, 0.395027930143408)	(82, 0.4792242311183402)	(84, 0.5861618750397255)	(86, 0.7117643770414561)	(88, 0.8611639235383265)	(90, 0.9916128067428369)
DRR456173_2 - polya	(1, 0.026231175008951585)	(2, 0.03276230272466177)	(3, 0.050728373899075585)	(4, 0.07999263962692273)	(5, 0.10375959936290326)	(6, 0.12209215760344153)	(7, 0.14565399398151657)	(8, 0.17581259754983158)	(9, 0.21044562529859123)	(10, 0.2554989196289488)	(12, 0.3176225798041996)	(14, 0.3894335324287995)	(16, 0.47566055464699586)	(18, 0.5723789528775307)	(20, 0.6884992857878176)	(22, 0.8365395481663012)	(24, 1.0667768425246649)	(26, 1.2586136767940719)	(28, 1.42755464185407)	(30, 1.5822764557440612)	(32, 1.726952695052895)	(34, 1.865465661201196)	(36, 1.9936513500234825)	(38, 2.114799940180559)	(40, 2.235605290585407)	(42, 2.3503854842240446)	(44, 2.4597681985716635)	(46, 2.5629206327951666)	(48, 2.663880982067186)	(50, 2.766256682508754)	(52, 2.864133343966928)	(54, 2.9599245846197304)	(56, 3.0504824446678374)	(58, 3.136539898243498)	(60, 3.2195040915819453)	(62, 3.2996293776469803)	(64, 3.3801498680482465)	(66, 3.4600796031787446)	(68, 3.537065134378773)	(70, 3.6096104286246744)	(72, 3.680825156022296)	(74, 3.747531272013155)	(76, 3.8112644668034372)	(78, 3.8706681912528618)	(80, 3.9291994576866616)	(82, 3.98593931346142)	(84, 4.043174200273257)	(86, 4.102830910197431)	(88, 4.1594695717822905)	(90, 4.199411192033644)
DRR456173_2 - polyg	(1, 4.422571730544268)	(2, 4.503308284215861)	(3, 4.5040549332386375)	(4, 4.504522614494662)	(5, 4.505241913736384)	(6, 4.50663128261393)	(7, 4.508822000076361)	(8, 4.5134960776585)	(9, 4.518451857985496)	(10, 4.5284413655154925)	(12, 4.542343259225273)	(14, 4.547958169275672)	(16, 4.549567703890704)	(18, 4.5504442643734855)	(20, 4.55109382167352)	(22, 4.551627142404074)	(24, 4.552124908419258)	(26, 4.552554299981807)	(28, 4.552949504318038)	(30, 4.553469150158065)	(32, 4.554080417764624)	(34, 4.5546342508309685)	(36, 4.555286543109108)	(38, 4.555908750628088)	(40, 4.556462583694433)	(42, 4.556993169446882)	(44, 4.557515550265014)	(46, 4.558133655316835)	(48, 4.558755862835816)	(50, 4.559419095026376)	(52, 4.560124719377572)	(54, 4.560752396852762)	(56, 4.561475798561642)	(58, 4.562223815073471)	(60, 4.56294174682614)	(62, 4.563621388885333)	(64, 4.564430942404534)	(66, 4.565276050639104)	(68, 4.566174490946731)	(70, 4.567123528349306)	(72, 4.568117692890621)	(74, 4.569069465271303)	(76, 4.570173028936834)	(78, 4.571310779828683)	(80, 4.57250323028264)	(82, 4.573852941977658)	(84, 4.575213593585097)	(86, 4.576592022550223)	(88, 4.578153695048409)	(90, 4.5792121315752015)
DRR456174_1 - illumina_universal_adapter	(1, 1.9181336252924523e-05)	(2, 1.9181336252924523e-05)	(3, 4.0760339537464614e-05)	(4, 6.95323439168514e-05)	(5, 9.350901423300705e-05)	(6, 0.00033327571739456363)	(7, 0.00034526405255264146)	(8, 0.0003572523877107193)	(9, 0.0003764337239636438)	(10, 0.0004219893975643395)	(12, 0.00048792524093376757)	(14, 0.0006281887622832782)	(16, 0.0007960254544963677)	(18, 0.0009422831434249173)	(20, 0.001082546664774428)	(22, 0.0013091261992620989)	(24, 0.0015548870700026942)	(26, 0.0018342152791859076)	(28, 0.0021914676668966272)	(30, 0.002647024402903584)	(32, 0.0031553298136060845)	(34, 0.0037439570698677054)	(36, 0.004488432683184339)	(38, 0.0055781723490536134)	(40, 0.007009579566928106)	(42, 0.00890014002135698)	(44, 0.010874618821892397)	(46, 0.012930618301502744)	(48, 0.016002029769002286)	(50, 0.020502450787344702)	(52, 0.026019482627092118)	(54, 0.03181584267602275)	(56, 0.03852331619696729)	(58, 0.046722138611576716)	(60, 0.057914448315158185)	(62, 0.0721038418082591)	(64, 0.08849669130341471)	(66, 0.10722846498791133)	(68, 0.12988042426909938)	(70, 0.15771134433857703)	(72, 0.19108806825218155)	(74, 0.23221644967899913)	(76, 0.2816611392049754)	(78, 0.3405730170052856)	(80, 0.411889225193659)	(82, 0.5000622314478056)	(84, 0.614300276002645)	(86, 0.7480181663558452)	(88, 0.9081583473974487)	(90, 1.0472601990701416)
DRR456174_1 - polya	(1, 0.05428078392874479)	(2, 0.06871953479313372)	(3, 0.08036740123272214)	(4, 0.09601697394807694)	(5, 0.10784946074909975)	(6, 0.11762954457105965)	(7, 0.12701161566577135)	(8, 0.1405440483922096)	(9, 0.15959591062542688)	(10, 0.1802086540962259)	(12, 0.19473132330672138)	(14, 0.21041925869458203)	(16, 0.22283557741780324)	(18, 0.2336898160699269)	(20, 0.24415443382941304)	(22, 0.25581668627119114)	(24, 0.26779183426059505)	(26, 0.2829307038982158)	(28, 0.29729872358517206)	(30, 0.31171469661276063)	(32, 0.3243504018693747)	(34, 0.33726783300220353)	(36, 0.3489888282862562)	(38, 0.35999891529543493)	(40, 0.3719093262749852)	(42, 0.3841530129719301)	(44, 0.3953045623359741)	(46, 0.40723415465177737)	(48, 0.41791935777817213)	(50, 0.42719952802404015)	(52, 0.436013352032259)	(54, 0.4460451908925385)	(56, 0.4563671474636435)	(58, 0.4656173468716164)	(60, 0.47372026260496114)	(62, 0.48272230347516176)	(64, 0.49145460680430575)	(66, 0.4998356519133179)	(68, 0.5083150013706264)	(70, 0.5174884754335876)	(72, 0.5272865417582846)	(74, 0.5363796939756865)	(76, 0.5474413308260451)	(78, 0.5585713011868044)	(80, 0.5667701236014139)	(82, 0.5748071034913892)	(84, 0.5840273320614668)	(86, 0.5955385314802533)	(88, 0.6049985267534924)	(90, 0.6126015289107454)
DRR456174_2 - illumina_universal_adapter	(1, 1.1988335158077828e-05)	(2, 1.1988335158077828e-05)	(3, 3.5965005474233485e-05)	(4, 5.7544008758773576e-05)	(5, 7.912301204331366e-05)	(6, 9.590668126462262e-05)	(7, 0.00010309968235946931)	(8, 0.00011269035048593158)	(9, 0.00013426935377047167)	(10, 0.00017982502737116742)	(12, 0.00023976670316155655)	(14, 0.0003740360569320282)	(16, 0.0005454692496925412)	(18, 0.000695323439168514)	(20, 0.0008475752956761025)	(22, 0.0011029268345431602)	(24, 0.0013978398794318747)	(26, 0.0017239225957315918)	(28, 0.0021171399889165442)	(30, 0.002620650065555813)	(32, 0.0031876983185328946)	(34, 0.003844659085195559)	(36, 0.004627497371018041)	(38, 0.005814342551667746)	(40, 0.007294901943690358)	(42, 0.009264585410162545)	(44, 0.011326579057351932)	(46, 0.013449713213847515)	(48, 0.016614633695580062)	(50, 0.021228943897924218)	(52, 0.02683468941784141)	(54, 0.03272216081397343)	(56, 0.03950156434586644)	(58, 0.047832258447214726)	(60, 0.059112082997450154)	(62, 0.073382997169626)	(64, 0.08984058367463524)	(66, 0.10870063254532328)	(68, 0.13143651017261787)	(70, 0.1593681322574234)	(72, 0.19273766316993304)	(74, 0.23391879327144618)	(76, 0.28344620231001316)	(78, 0.342385653281187)	(80, 0.4136503116283806)	(82, 0.5017238147007153)	(84, 0.61586595257429)	(86, 0.7493464738913601)	(88, 0.9092181162254228)	(90, 1.0478979785005513)
DRR456174_2 - polya	(1, 0.032363709592746905)	(2, 0.040240045791604034)	(3, 0.06162723571361488)	(4, 0.09073251581039624)	(5, 0.11675679377155158)	(6, 0.1361826920617009)	(7, 0.16152603258587742)	(8, 0.19539787474151052)	(9, 0.23346083886840763)	(10, 0.28571559415543724)	(12, 0.3562669465607253)	(14, 0.437372829239185)	(16, 0.5345466775300165)	(18, 0.6482068843302365)	(20, 0.7849806013152306)	(22, 0.9569161053188671)	(24, 1.2120746319898799)	(26, 1.4205793535597167)	(28, 1.6005842059582553)	(30, 1.7626724914630465)	(32, 1.9122401597287413)	(34, 2.053308098367359)	(36, 2.185106656261751)	(38, 2.3086812162377015)	(40, 2.4274400619806515)	(42, 2.538634268238855)	(44, 2.6441975534733095)	(46, 2.743330295728971)	(48, 2.8405077405203496)	(50, 2.9378482266698787)	(52, 3.029633318307154)	(54, 3.1169587492656246)	(56, 3.2006253403338496)	(58, 3.281290052278492)	(60, 3.357356038856496)	(62, 3.4318335710260546)	(64, 3.5062511615198226)	(66, 3.580005797079349)	(68, 3.650618289993943)	(70, 3.7174041063260788)	(72, 3.78238687705044)	(74, 3.8433187893248864)	(76, 3.9023913108163146)	(78, 3.958502713523698)	(80, 4.012803877622211)	(82, 4.064654626014414)	(84, 4.116748737610326)	(86, 4.170356975936702)	(88, 4.221140762499836)	(90, 4.256918749945603)
