"Cell_Type","pooled_diff","pooled_se","pvalue","n_studies","padj"
"Neutrophil",-0.0193969587130922,0.0199865944218283,0.331798101982161,8,0.71148309643938
"NK_cell",-0.0207452690809663,0.0253487444502167,0.413132050410468,8,0.71148309643938
"B_cell",-0.0544946148960076,0.0766046931498293,0.476852280529372,8,0.71148309643938
"T_cell_CD8",0.00811912719367569,0.0116726104914812,0.486697648629855,8,0.71148309643938
"Macrophage",0.00970968397219378,0.0146751852972388,0.508202211742415,8,0.71148309643938
"T_cell_CD4",-0.0097893181593124,0.0253654833656465,0.699548010621669,8,0.816139345725281
"Monocyte",0.00147796854251989,0.0069693799596243,0.832055543144799,8,0.832055543144799
