"PC1","PC2","group","condition","name"
-80.9500457241907,-14.6130638463872,"infected_total_cov_depleted","infected_total_cov_depleted","SRR26260919"
-80.2453577754058,-18.8033397002349,"infected_total_cov_depleted","infected_total_cov_depleted","SRR26260920"
-80.8634594723055,-12.6941536143844,"infected_total_cov_depleted","infected_total_cov_depleted","SRR26260921"
-59.1824694919482,-59.6329777165635,"bystander_total_cov_depleted","bystander_total_cov_depleted","SRR26260922"
-56.7083209630216,-56.4091804532556,"bystander_total_cov_depleted","bystander_total_cov_depleted","SRR26260923"
-59.1386531837705,-58.2673817311225,"bystander_total_cov_depleted","bystander_total_cov_depleted","SRR26260924"
-56.9044927062196,-60.6115141683291,"mock_total_cov_depleted","mock_total_cov_depleted","SRR26260925"
-56.3152026493009,-61.2903883587518,"mock_total_cov_depleted","mock_total_cov_depleted","SRR26260926"
-57.9377975531951,-61.5181897006672,"mock_total_cov_depleted","mock_total_cov_depleted","SRR26260927"
-35.3080874303395,49.1994033038155,"infected_total_cov_depleted","infected_total_cov_depleted","SRR26260934"
-34.3678970158525,52.2345520466068,"infected_total_cov_depleted","infected_total_cov_depleted","SRR26260935"
-26.3808092626021,49.2024201835506,"infected_total_cov_depleted","infected_total_cov_depleted","SRR26260936"
-25.5533120343643,49.7781395111212,"infected_total_cov_depleted","infected_total_cov_depleted","SRR26260937"
-28.014610814119,48.9411878729377,"infected_total_cov_depleted","infected_total_cov_depleted","SRR26260938"
33.7572056137607,-2.68669829026148,"infected_total_cov_depleted","infected_total_cov_depleted","SRR26260939"
32.6713837594655,-2.57632230083354,"bystander_total_cov_depleted","bystander_total_cov_depleted","SRR26260940"
36.9128779266969,-1.59137467639628,"bystander_total_cov_depleted","bystander_total_cov_depleted","SRR26260941"
37.755127139675,-7.1570121808542,"bystander_total_cov_depleted","bystander_total_cov_depleted","SRR26260942"
35.6682882108032,-4.9876633116297,"bystander_total_cov_depleted","bystander_total_cov_depleted","SRR26260943"
35.836323181319,-6.26549447174067,"bystander_total_cov_depleted","bystander_total_cov_depleted","SRR26260944"
36.5864777756176,-8.90491217518005,"bystander_total_cov_depleted","bystander_total_cov_depleted","SRR26260945"
35.999650586317,-11.1141957616336,"mock_total_cov_depleted","mock_total_cov_depleted","SRR26260946"
38.2867468669868,-9.32964512916785,"mock_total_cov_depleted","mock_total_cov_depleted","SRR26260947"
34.2012594125614,-9.5880991969372,"mock_total_cov_depleted","mock_total_cov_depleted","SRR26260948"
35.5362391297039,-8.18568928969926,"mock_total_cov_depleted","mock_total_cov_depleted","SRR26260949"
-35.1287889768629,50.9133649237161,"bystander_total_cov_depleted","bystander_total_cov_depleted","SRR26260950"
37.1299647076281,-7.5484334021152,"mock_total_cov_depleted","mock_total_cov_depleted","SRR26260951"
-33.1891782533258,48.3616668037581,"infected_total","infected_total","SRR26260989"
-32.9600153299898,48.31195936552,"infected_total","infected_total","SRR26260990"
-25.0234847027026,45.776335529694,"infected_total","infected_total","SRR26260991"
-26.4947689496108,43.7784718383287,"infected_total","infected_total","SRR26260992"
-29.2787428732807,42.5532754760638,"infected_total","infected_total","SRR26260993"
39.5537234239937,-0.799610958973304,"infected_total","infected_total","SRR26260994"
41.222569848291,-2.83616130093057,"bystander_total","bystander_total","SRR26260995"
41.0790705665123,-4.41547958164089,"bystander_total","bystander_total","SRR26260996"
41.5359527923998,-6.49400731045073,"bystander_total","bystander_total","SRR26260997"
41.4449475184524,-7.07177349394862,"bystander_total","bystander_total","SRR26260998"
41.3332132269634,-5.4037469512766,"bystander_total","bystander_total","SRR26260999"
45.9330422240699,-10.7487501570221,"mock_total","mock_total","SRR26261000"
46.2335206132383,-12.1352425206936,"mock_total","mock_total","SRR26261001"
44.1375321091678,-10.1240800606815,"mock_total","mock_total","SRR26261002"
44.8044789688942,-12.0421179774829,"mock_total","mock_total","SRR26261003"
44.5928634071877,-11.9103187933816,"mock_total","mock_total","SRR26261004"
44.4397193784638,-10.3437137987851,"mock_total","mock_total","SRR26261005"
-26.706683225761,49.0499555263004,"infected_total","infected_total","SRR26261006"
