Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,treatment,antibody
SRR26260991,RNA-Seq,274,15582067798,PRJNA1023260,SAMN37650538,6652878849,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX21970619,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817962,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T23:25:00Z,1,GSM7817962,A549-ACE2,SRP464222,SARS-CoV-2 infection at MOI 1 during 24 h,
SRR26260993,RNA-Seq,272,14797246044,PRJNA1023260,SAMN37650540,6319478042,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX21970617,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817960,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T23:24:00Z,1,GSM7817960,A549-ACE2,SRP464222,SARS-CoV-2 infection at MOI 1 during 24 h,
SRR26260994,RNA-Seq,272,11738786564,PRJNA1023260,SAMN37650541,5137368080,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX21970616,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817959,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T23:20:00Z,1,GSM7817959,A549-ACE2,SRP464222,SARS-CoV-2 infection at MOI 1 during 24 h,
SRR26260995,RNA-Seq,271,8147952552,PRJNA1023260,SAMN37650542,3560777768,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX21970615,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817958,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T23:16:00Z,1,GSM7817958,A549-ACE2,SRP464222,SARS-CoV-2 infection at MOI 1 during 24 h,
SRR26260996,RNA-Seq,270,15359677592,PRJNA1023260,SAMN37650543,6781212060,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX21970614,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817957,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T23:27:00Z,1,GSM7817957,A549-ACE2,SRP464222,SARS-CoV-2 infection at MOI 1 during 24 h,
SRR26260997,RNA-Seq,273,11148411481,PRJNA1023260,SAMN37650544,4886063594,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX21970613,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817956,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T23:20:00Z,1,GSM7817956,A549-ACE2,SRP464222,SARS-CoV-2 infection at MOI 1 during 24 h,
SRR26260998,RNA-Seq,271,10426569044,PRJNA1023260,SAMN37650545,4576255290,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX21970612,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817955,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T23:20:00Z,1,GSM7817955,A549-ACE2,SRP464222,SARS-CoV-2 infection at MOI 1 during 24 h,
SRR26260999,RNA-Seq,270,13618812477,PRJNA1023260,SAMN37650546,5984635691,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX21970611,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817954,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T23:25:00Z,1,GSM7817954,A549-ACE2,SRP464222,SARS-CoV-2 infection at MOI 1 during 24 h,
SRR26261000,RNA-Seq,271,10560420280,PRJNA1023260,SAMN37650547,4648269565,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX21970610,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817953,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T23:20:00Z,1,GSM7817953,A549-ACE2,SRP464222,mock,
SRR26261001,RNA-Seq,271,10955411672,PRJNA1023260,SAMN37650548,4816586047,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX21970609,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817952,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T23:15:00Z,1,GSM7817952,A549-ACE2,SRP464222,mock,
